date,PREC_DAILY,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY
1987-10-01,0.0,56.8,70.7,48.6
1987-10-02,0.0,57.4,70.9,49.6
1987-10-03,0.0,58.1,68.5,50.9
1987-10-04,0.0,54.1,63.3,45.7
1987-10-05,0.0,52.2,64.8,44.6
1987-10-06,0.0,55.0,68.0,46.2
1987-10-07,0.0,55.6,67.6,48.0
1987-10-08,0.0,51.3,61.7,45.9
1987-10-09,0.0,50.5,63.5,43.3
1987-10-10,0.0,50.9,62.8,43.0
1987-10-11,0.0,52.9,61.9,47.5
1987-10-12,0.0,43.2,49.6,37.8
1987-10-13,0.0,42.1,49.8,37.9
1987-10-14,0.0,43.9,54.3,36.5
1987-10-15,0.1,36.7,45.7,29.7
1987-10-16,0.1,42.6,54.5,34.9
1987-10-17,0.1,42.8,52.7,37.6
1987-10-18,0.1,40.8,49.5,36.9
1987-10-19,0.1,41.7,53.1,34.3
1987-10-20,0.1,45.0,57.6,39.4
1987-10-21,0.1,43.9,54.5,38.8
1987-10-22,0.1,44.6,55.4,40.1
1987-10-23,0.5,37.4,42.1,33.4
1987-10-24,0.5,37.4,46.6,34.0
1987-10-25,0.5,39.4,52.0,33.3
1987-10-26,0.5,43.5,55.8,37.4
1987-10-27,0.5,47.3,58.5,43.0
1987-10-28,0.5,48.7,60.8,40.1
1987-10-29,1.5,38.8,45.7,32.4
1987-10-30,1.5,37.0,42.1,33.1
1987-10-31,1.7,37.2,41.7,33.3
1987-11-01,2.0,35.1,37.6,32.9
1987-11-02,2.0,33.1,36.0,31.3
1987-11-03,2.0,37.2,46.9,32.2
1987-11-04,2.0,39.9,48.9,33.6
1987-11-05,2.5,40.5,47.7,32.5
1987-11-06,3.1,32.9,36.0,31.6
1987-11-07,3.2,32.0,34.9,27.7
1987-11-08,3.2,36.1,43.5,27.5
1987-11-09,3.5,31.8,39.2,24.6
1987-11-10,3.5,29.5,37.4,22.8
1987-11-11,3.5,38.7,45.5,33.6
1987-11-12,3.5,37.8,39.7,36.7
1987-11-13,4.7,32.0,37.8,27.3
1987-11-14,4.8,17.4,26.6,13.6
1987-11-15,4.8,16.5,24.1,9.0
1987-11-16,4.9,23.4,27.0,19.8
1987-11-17,4.9,19.8,23.7,15.8
1987-11-18,4.9,32.0,37.4,24.1
1987-11-19,4.9,39.4,44.4,35.4
1987-11-20,4.9,39.7,46.4,30.6
1987-11-21,5.1,25.2,27.5,22.6
1987-11-22,5.1,19.2,23.9,16.3
1987-11-23,5.1,18.5,22.1,14.9
1987-11-24,5.3,25.3,35.4,17.1
1987-11-25,5.5,15.4,17.2,12.4
1987-11-26,5.5,16.0,21.6,9.5
1987-11-27,5.5,23.2,26.4,20.8
1987-11-28,5.5,19.8,22.3,17.1
1987-11-29,5.5,19.4,23.7,16.5
1987-11-30,5.5,26.4,33.3,22.5
1987-12-01,5.8,30.0,32.4,26.4
1987-12-02,5.8,33.6,36.7,31.3
1987-12-03,5.8,40.1,43.3,36.0
1987-12-04,5.8,36.5,40.8,31.6
1987-12-05,5.8,31.6,34.5,28.2
1987-12-06,5.9,35.8,40.6,25.9
1987-12-07,6.3,19.9,25.0,16.9
1987-12-08,6.8,19.8,25.3,14.9
1987-12-09,7.1,29.7,34.9,16.7
1987-12-10,7.1,29.7,36.7,17.8
1987-12-11,7.1,11.1,16.3,7.9
1987-12-12,7.1,6.8,9.0,4.3
1987-12-13,7.1,3.6,5.9,-2.6
1987-12-14,7.2,5.0,10.9,-2.4
1987-12-15,7.2,15.3,20.8,9.1
1987-12-16,7.2,19.0,24.8,12.9
1987-12-17,7.3,18.9,22.5,16.7
1987-12-18,7.3,20.5,26.2,16.5
1987-12-19,7.4,13.1,18.3,9.7
1987-12-20,7.9,20.5,26.4,13.3
1987-12-21,8.8,25.2,27.7,22.8
1987-12-22,9.1,16.7,26.8,5.7
1987-12-23,9.3,3.6,5.5,1.2
1987-12-24,9.4,1.0,7.5,-2.2
1987-12-25,9.5,18.0,24.6,6.6
1987-12-26,9.5,20.7,26.6,17.6
1987-12-27,9.5,23.2,26.4,19.6
1987-12-28,9.5,22.5,27.1,17.2
1987-12-29,9.5,13.6,18.5,6.8
1987-12-30,9.6,10.0,12.4,8.2
1987-12-31,9.7,11.8,16.5,10.0
1988-01-01,9.7,11.5,16.2,5.0
1988-01-02,9.7,14.9,17.8,13.1
1988-01-03,9.8,25.9,31.8,18.3
1988-01-04,10.5,28.2,31.3,24.8
1988-01-05,10.7,25.7,31.6,22.1
1988-01-06,10.8,18.5,23.2,11.7
1988-01-07,11.1,17.6,23.5,12.9
1988-01-08,11.1,17.6,21.7,12.9
1988-01-09,11.7,25.7,28.6,21.7
1988-01-10,12.2,29.1,31.3,26.4
1988-01-11,12.4,14.9,26.8,10.6
1988-01-12,12.8,12.9,22.6,7.3
1988-01-13,12.8,22.6,27.0,18.5
1988-01-14,12.8,32.0,34.7,26.2
1988-01-15,13.2,18.7,32.5,10.0
1988-01-16,13.4,15.1,20.7,9.5
1988-01-17,13.5,11.3,18.5,4.3
1988-01-18,13.5,9.3,14.5,4.3
1988-01-19,13.5,11.7,18.1,5.5
1988-01-20,13.5,21.4,29.8,12.6
1988-01-21,13.6,13.3,21.7,9.1
1988-01-22,13.6,29.5,34.3,21.2
1988-01-23,13.6,17.8,30.0,11.8
1988-01-24,13.6,23.5,31.8,10.9
1988-01-25,13.6,32.0,35.2,29.5
1988-01-26,13.6,37.6,45.5,30.2
1988-01-27,13.6,39.0,47.1,34.3
1988-01-28,13.6,37.2,43.9,32.0
1988-01-29,13.8,27.0,32.9,22.8
1988-01-30,14.2,16.0,22.8,10.0
1988-01-31,14.2,11.8,16.7,8.8
1988-02-01,14.2,9.7,17.8,1.9
1988-02-02,14.2,8.2,17.8,1.9
1988-02-03,14.2,16.0,24.8,9.1
1988-02-04,14.2,21.0,30.6,15.6
1988-02-05,14.2,26.2,36.7,20.3
1988-02-06,14.2,25.0,29.8,21.2
1988-02-07,14.5,28.2,34.0,23.4
1988-02-08,14.5,27.5,31.6,24.6
1988-02-09,14.8,29.1,32.5,26.1
1988-02-10,14.8,25.2,28.6,23.5
1988-02-11,14.8,28.8,37.0,23.0
1988-02-12,14.8,33.8,41.7,30.0
1988-02-13,14.8,18.9,32.4,13.6
1988-02-14,14.8,25.5,35.4,13.6
1988-02-15,14.8,27.7,34.0,15.8
1988-02-16,14.8,12.6,16.0,9.7
1988-02-17,15.1,21.0,34.5,9.9
1988-02-18,15.4,15.3,18.7,12.4
1988-02-19,15.4,25.0,33.4,14.0
1988-02-20,15.4,31.8,37.6,27.9
1988-02-21,15.4,33.4,45.3,27.7
1988-02-22,15.4,29.1,35.8,23.0
1988-02-23,15.4,33.8,46.6,24.8
1988-02-24,15.4,34.9,46.8,28.4
1988-02-25,15.4,34.9,47.5,28.2
1988-02-26,15.4,37.4,48.9,28.8
1988-02-27,15.4,39.7,51.6,32.5
1988-02-28,15.6,34.0,41.0,30.2
1988-02-29,15.6,33.6,45.1,28.8
1988-03-01,15.8,29.3,34.9,26.8
1988-03-02,15.8,27.1,28.2,26.2
1988-03-03,15.8,29.7,34.0,24.6
1988-03-04,16.1,30.6,43.3,22.8
1988-03-05,16.1,32.2,40.3,28.2
