datetime,00010_2_Mean,00010_2_Mean_cd,site_no,00060_Mean,00060_Mean_cd
2001-10-01 00:00:00+00:00,,,13010065,172.0,A
2001-10-02 00:00:00+00:00,,,13010065,171.0,A
2001-10-03 00:00:00+00:00,,,13010065,169.0,A
2001-10-04 00:00:00+00:00,,,13010065,169.0,A
2001-10-05 00:00:00+00:00,,,13010065,168.0,A
2001-10-06 00:00:00+00:00,,,13010065,163.0,A
2001-10-07 00:00:00+00:00,,,13010065,162.0,A
2001-10-08 00:00:00+00:00,,,13010065,166.0,A
2001-10-09 00:00:00+00:00,,,13010065,170.0,A
2001-10-10 00:00:00+00:00,,,13010065,168.0,A
2001-10-11 00:00:00+00:00,,,13010065,182.0,A
2001-10-12 00:00:00+00:00,,,13010065,187.0,A
2001-10-13 00:00:00+00:00,,,13010065,199.0,A
2001-10-14 00:00:00+00:00,,,13010065,209.0,A
2001-10-15 00:00:00+00:00,,,13010065,202.0,A
2001-10-16 00:00:00+00:00,,,13010065,194.0,A
2001-10-17 00:00:00+00:00,,,13010065,210.0,A
2001-10-18 00:00:00+00:00,,,13010065,217.0,A
2001-10-19 00:00:00+00:00,,,13010065,197.0,A
2001-10-20 00:00:00+00:00,,,13010065,194.0,A
2001-10-21 00:00:00+00:00,,,13010065,194.0,A
2001-10-22 00:00:00+00:00,,,13010065,191.0,A
2001-10-23 00:00:00+00:00,,,13010065,258.0,A
2001-10-24 00:00:00+00:00,,,13010065,232.0,A
2001-10-25 00:00:00+00:00,,,13010065,204.0,A
2001-10-26 00:00:00+00:00,,,13010065,202.0,A
2001-10-27 00:00:00+00:00,,,13010065,209.0,A
2001-10-28 00:00:00+00:00,,,13010065,215.0,A
2001-10-29 00:00:00+00:00,,,13010065,213.0,A
2001-10-30 00:00:00+00:00,,,13010065,213.0,A
2001-10-31 00:00:00+00:00,,,13010065,312.0,A
2001-11-01 00:00:00+00:00,,,13010065,287.0,A
2001-11-02 00:00:00+00:00,,,13010065,257.0,A
2001-11-03 00:00:00+00:00,,,13010065,246.0,A
2001-11-04 00:00:00+00:00,,,13010065,232.0,A
2001-11-05 00:00:00+00:00,,,13010065,228.0,A
2001-11-06 00:00:00+00:00,,,13010065,278.0,A
2001-11-07 00:00:00+00:00,,,13010065,432.0,A
2001-11-08 00:00:00+00:00,,,13010065,311.0,A
2001-11-09 00:00:00+00:00,,,13010065,266.0,A
2001-11-10 00:00:00+00:00,,,13010065,259.0,A
2001-11-11 00:00:00+00:00,,,13010065,261.0,A
2001-11-12 00:00:00+00:00,,,13010065,263.0,A
2001-11-13 00:00:00+00:00,,,13010065,255.0,A
2001-11-14 00:00:00+00:00,,,13010065,255.0,A
2001-11-15 00:00:00+00:00,,,13010065,243.0,A
2001-11-16 00:00:00+00:00,,,13010065,235.0,A
2001-11-17 00:00:00+00:00,,,13010065,234.0,A
2001-11-18 00:00:00+00:00,,,13010065,239.0,A
2001-11-19 00:00:00+00:00,,,13010065,224.0,A
2001-11-20 00:00:00+00:00,,,13010065,204.0,A
2001-11-21 00:00:00+00:00,,,13010065,241.0,A
2001-11-22 00:00:00+00:00,,,13010065,257.0,A
2001-11-23 00:00:00+00:00,,,13010065,261.0,A
2001-11-24 00:00:00+00:00,,,13010065,251.0,A
2001-11-25 00:00:00+00:00,,,13010065,250.0,A
2001-11-26 00:00:00+00:00,,,13010065,247.0,A
2001-11-27 00:00:00+00:00,,,13010065,220.0,"A, e"
2001-11-28 00:00:00+00:00,,,13010065,220.0,"A, e"
2001-11-29 00:00:00+00:00,,,13010065,244.0,A
2001-11-30 00:00:00+00:00,,,13010065,256.0,A
2001-12-01 00:00:00+00:00,,,13010065,253.0,A
2001-12-02 00:00:00+00:00,,,13010065,259.0,A
2001-12-03 00:00:00+00:00,,,13010065,300.0,A
2001-12-04 00:00:00+00:00,,,13010065,303.0,A
2001-12-05 00:00:00+00:00,,,13010065,288.0,A
2001-12-06 00:00:00+00:00,,,13010065,287.0,A
2001-12-07 00:00:00+00:00,,,13010065,331.0,A
2001-12-08 00:00:00+00:00,,,13010065,329.0,A
2001-12-09 00:00:00+00:00,,,13010065,323.0,A
2001-12-10 00:00:00+00:00,,,13010065,315.0,A
2001-12-11 00:00:00+00:00,,,13010065,311.0,A
