datetime,00010_Mean,00010_Mean_cd,site_no,00060_Mean,00060_Mean_cd,00095_Mean,00095_Mean_cd,00300_Mean,00300_Mean_cd,32295_Mean,32295_Mean_cd,32316_Mean,32316_Mean_cd,32319_Mean,32319_Mean_cd
2022-10-01 00:00:00+00:00,7.9,A,14158850,659.0,A,53.0,A,11.4,A,0.86,P,2.34,P,0.77,P
2022-10-02 00:00:00+00:00,7.7,A,14158850,659.0,A,53.0,A,11.4,A,0.84,P,2.34,P,0.77,P
2022-10-03 00:00:00+00:00,7.6,A,14158850,659.0,A,53.0,A,11.5,A,0.84,P,2.12,P,0.76,P
2022-10-04 00:00:00+00:00,7.6,A,14158850,660.0,A,53.0,A,11.5,A,0.84,P,2.28,P,0.76,P
2022-10-05 00:00:00+00:00,7.7,A,14158850,661.0,A,53.0,A,11.5,A,0.83,P,2.4,P,0.74,P
2022-10-06 00:00:00+00:00,7.8,A,14158850,662.0,A,53.0,A,11.5,A,0.82,P,2.38,P,0.71,P
2022-10-07 00:00:00+00:00,7.8,A,14158850,618.0,A,53.0,A,11.5,A,0.82,P,2.42,P,0.72,P
2022-10-08 00:00:00+00:00,7.7,A,14158850,633.0,A,53.0,A,11.5,A,0.81,P,2.29,P,0.7,P
2022-10-09 00:00:00+00:00,7.6,A,14158850,636.0,A,53.0,A,11.5,A,0.81,P,2.15,P,0.7,P
2022-10-10 00:00:00+00:00,7.4,A,14158850,638.0,A,53.0,A,11.5,A,0.83,P,2.22,P,0.7,P
2022-10-11 00:00:00+00:00,7.5,A,14158850,640.0,A,53.0,A,11.5,A,0.82,P,2.2,P,0.68,P
2022-10-12 00:00:00+00:00,7.5,A,14158850,642.0,A,53.0,A,11.5,A,0.81,P,2.31,P,0.67,P
2022-10-13 00:00:00+00:00,7.5,A,14158850,642.0,A,54.0,A,11.5,A,0.8,P,2.23,P,0.65,P
2022-10-14 00:00:00+00:00,7.4,A,14158850,630.0,A,54.0,A,11.5,A,0.81,P,2.08,P,0.65,P
2022-10-15 00:00:00+00:00,7.5,A,14158850,618.0,A,54.0,A,11.4,A,0.81,P,1.9,P,0.62,P
2022-10-16 00:00:00+00:00,7.4,A,14158850,619.0,A,54.0,A,11.5,A,0.84,P,1.85,P,0.63,P
2022-10-17 00:00:00+00:00,7.2,A,14158850,632.0,A,54.0,A,11.6,A,0.84,P,1.8,P,0.63,P
2022-10-18 00:00:00+00:00,7.2,A,14158850,626.0,A,54.0,A,11.6,A,0.83,P,1.95,P,0.62,P
2022-10-19 00:00:00+00:00,7.2,A,14158850,610.0,A,54.0,A,11.6,A,0.82,P,1.98,P,0.61,P
2022-10-20 00:00:00+00:00,7.1,A,14158850,599.0,A,54.0,A,11.6,A,0.84,P,1.79,P,0.58,P
2022-10-21 00:00:00+00:00,7.0,A,14158850,599.0,A,54.0,A,11.5,A,0.95,P,1.7,P,0.54,P
2022-10-22 00:00:00+00:00,7.0,A,14158850,620.0,A,54.0,A,11.5,A,1.35,P,1.74,P,0.53,P
2022-10-23 00:00:00+00:00,7.0,A,14158850,626.0,A,54.0,A,11.7,A,1.47,P,1.56,P,0.53,P
2022-10-24 00:00:00+00:00,6.9,A,14158850,627.0,A,54.0,A,11.7,A,1.17,P,1.46,P,0.52,P
2022-10-25 00:00:00+00:00,6.8,A,14158850,627.0,A,53.0,A,11.7,A,1.29,P,1.28,P,0.51,P
2022-10-26 00:00:00+00:00,6.7,A,14158850,628.0,A,53.0,A,11.7,A,1.39,P,1.15,P,0.51,P
2022-10-27 00:00:00+00:00,6.7,A,14158850,626.0,A,53.0,A,11.7,A,1.31,P,1.16,P,0.49,P
2022-10-28 00:00:00+00:00,6.6,A,14158850,623.0,A,53.0,A,11.8,A,1.12,P,1.16,P,0.49,P
2022-10-29 00:00:00+00:00,6.7,A,14158850,623.0,A,54.0,A,11.8,A,1.07,P,1.2,P,0.47,P
2022-10-30 00:00:00+00:00,6.7,A,14158850,623.0,A,54.0,A,11.8,A,1.04,P,1.22,P,0.46,P
2022-10-31 00:00:00+00:00,6.6,A,14158850,625.0,A,54.0,A,11.7,A,1.04,P,1.3,P,0.45,P
2022-11-01 00:00:00+00:00,6.5,A,14158850,668.0,A,54.0,A,11.6,A,1.17,P,1.67,P,0.44,P
2022-11-02 00:00:00+00:00,6.3,A,14158850,683.0,A,54.0,A,11.8,A,1.24,P,1.63,P,0.43,P
2022-11-03 00:00:00+00:00,6.2,A,14158850,681.0,A,54.0,A,11.9,A,1.19,P,1.5,P,0.43,P
2022-11-04 00:00:00+00:00,6.3,A,14158850,841.0,A,53.0,A,11.9,A,1.33,P,1.87,P,0.43,P
2022-11-05 00:00:00+00:00,6.5,A,14158850,1200.0,A,51.0,A,11.9,A,3.79,P,2.11,P,0.41,P
