datetime,00060_Mean,00060_Mean_cd,site_no,30208_m^3/s_Mean,30208_m^3/s_Mean_cd,99065_meters_Mean,99065_meters_Mean_cd
2022-10-01 00:00:00+00:00,20.1,A,12321500,0.57,P,2.867,P
2022-10-02 00:00:00+00:00,19.2,A,12321500,0.545,P,2.862,P
2022-10-03 00:00:00+00:00,18.7,A,12321500,0.53,P,2.859,P
2022-10-04 00:00:00+00:00,18.3,A,12321500,0.519,P,2.856,P
2022-10-05 00:00:00+00:00,18.3,A,12321500,0.518,P,2.856,P
2022-10-06 00:00:00+00:00,17.9,A,12321500,0.506,P,2.853,P
2022-10-07 00:00:00+00:00,17.8,A,12321500,0.504,P,2.853,P
2022-10-08 00:00:00+00:00,17.5,A,12321500,0.494,P,2.85,P
2022-10-09 00:00:00+00:00,17.4,A,12321500,0.492,P,2.85,P
2022-10-10 00:00:00+00:00,17.4,A,12321500,0.493,P,2.85,P
2022-10-11 00:00:00+00:00,17.3,A,12321500,0.491,P,2.85,P
2022-10-12 00:00:00+00:00,16.9,A,12321500,0.479,P,2.847,P
2022-10-13 00:00:00+00:00,16.8,A,12321500,0.477,P,2.846,P
2022-10-14 00:00:00+00:00,16.9,A,12321500,0.48,P,2.847,P
2022-10-15 00:00:00+00:00,17.0,A,12321500,0.48,P,2.847,P
2022-10-16 00:00:00+00:00,16.9,A,12321500,0.48,P,2.847,P
2022-10-17 00:00:00+00:00,16.9,A,12321500,0.477,P,2.846,P
2022-10-18 00:00:00+00:00,16.9,A,12321500,0.478,P,2.846,P
2022-10-19 00:00:00+00:00,16.7,A,12321500,0.473,P,2.845,P
2022-10-20 00:00:00+00:00,16.9,A,12321500,0.477,P,2.846,P
2022-10-21 00:00:00+00:00,17.2,A,12321500,0.487,P,2.849,P
2022-10-22 00:00:00+00:00,20.6,A,12321500,0.582,P,2.869,P
2022-10-23 00:00:00+00:00,23.4,A,12321500,0.663,P,2.886,P
2022-10-24 00:00:00+00:00,22.6,A,12321500,0.64,P,2.881,P
2022-10-25 00:00:00+00:00,22.6,A,12321500,0.639,P,2.881,P
2022-10-26 00:00:00+00:00,23.1,A,12321500,0.654,P,2.884,P
2022-10-27 00:00:00+00:00,22.9,A,12321500,0.648,P,2.883,P
2022-10-28 00:00:00+00:00,21.4,A,12321500,0.607,P,2.875,P
2022-10-29 00:00:00+00:00,22.1,A,12321500,0.627,P,2.879,P
2022-10-30 00:00:00+00:00,22.3,A,12321500,0.63,P,2.88,P
2022-10-31 00:00:00+00:00,82.4,A,12321500,2.33,P,3.051,P
2022-11-01 00:00:00+00:00,66.5,A,12321500,1.88,P,3.035,P
2022-11-02 00:00:00+00:00,42.3,A,12321500,1.2,P,2.965,P
2022-11-03 00:00:00+00:00,30.6,A,12321500,0.866,P,2.92,P
2022-11-04 00:00:00+00:00,28.2,A,12321500,0.798,P,2.91,P
2022-11-05 00:00:00+00:00,50.2,A,12321500,1.42,P,2.989,P
2022-11-06 00:00:00+00:00,35.8,A,12321500,1.01,P,2.94,P
2022-11-07 00:00:00+00:00,24.0,"A, e",12321500,0.68,"P, e",2.887,P
2022-11-08 00:00:00+00:00,18.6,"A, e",12321500,0.525,"P, e",2.882,P
2022-11-09 00:00:00+00:00,19.7,"A, e",12321500,0.558,"P, e",2.919,P
2022-11-10 00:00:00+00:00,20.8,"A, e",12321500,0.589,"P, e",2.914,P
2022-11-11 00:00:00+00:00,21.1,"A, e",12321500,0.597,"P, e",2.912,P
2022-11-12 00:00:00+00:00,20.8,"A, e",12321500,0.59,"P, e",2.895,P
2022-11-13 00:00:00+00:00,20.6,"A, e",12321500,0.584,"P, e",2.883,P
2022-11-14 00:00:00+00:00,20.1,"A, e",12321500,0.569,"P, e",2.875,P
2022-11-15 00:00:00+00:00,20.4,"A, e",12321500,0.578,"P, e",2.87,P
2022-11-16 00:00:00+00:00,20.6,A,12321500,0.585,P,2.87,P
