datetime,00060_Mean,00060_Mean_cd,site_no,00065_base gage_Mean,00065_base gage_Mean_cd
2002-10-01 00:00:00+00:00,11500.0,A,12396500,87.9,A
2002-10-02 00:00:00+00:00,14200.0,A,12396500,88.98,A
2002-10-03 00:00:00+00:00,15000.0,A,12396500,89.69,A
2002-10-04 00:00:00+00:00,14900.0,A,12396500,89.67,A
2002-10-05 00:00:00+00:00,14700.0,A,12396500,88.5,A
2002-10-06 00:00:00+00:00,14800.0,A,12396500,88.51,A
2002-10-07 00:00:00+00:00,14400.0,A,12396500,89.25,A
2002-10-08 00:00:00+00:00,14700.0,A,12396500,89.15,A
2002-10-09 00:00:00+00:00,14700.0,A,12396500,89.06,A
2002-10-10 00:00:00+00:00,14700.0,A,12396500,89.29,A
2002-10-11 00:00:00+00:00,13700.0,A,12396500,88.2,A
2002-10-12 00:00:00+00:00,14200.0,A,12396500,87.51,A
2002-10-13 00:00:00+00:00,14200.0,A,12396500,88.59,A
2002-10-14 00:00:00+00:00,14600.0,A,12396500,88.62,A
2002-10-15 00:00:00+00:00,14500.0,A,12396500,88.02,A
2002-10-16 00:00:00+00:00,16800.0,A,12396500,89.52,A
2002-10-17 00:00:00+00:00,17300.0,A,12396500,89.78,A
2002-10-18 00:00:00+00:00,17400.0,A,12396500,89.4,A
2002-10-19 00:00:00+00:00,17500.0,A,12396500,89.02,A
2002-10-20 00:00:00+00:00,17500.0,A,12396500,88.76,A
2002-10-21 00:00:00+00:00,17600.0,A,12396500,89.41,A
2002-10-22 00:00:00+00:00,17400.0,A,12396500,89.72,A
2002-10-23 00:00:00+00:00,17600.0,A,12396500,89.58,A
2002-10-24 00:00:00+00:00,17400.0,A,12396500,89.46,A
2002-10-25 00:00:00+00:00,17100.0,A,12396500,89.01,A
2002-10-26 00:00:00+00:00,17000.0,A,12396500,89.28,A
2002-10-27 00:00:00+00:00,17600.0,A,12396500,89.79,A
2002-10-28 00:00:00+00:00,17800.0,A,12396500,89.4,A
2002-10-29 00:00:00+00:00,17500.0,A,12396500,89.02,A
2002-10-30 00:00:00+00:00,17000.0,A,12396500,88.05,A
2002-10-31 00:00:00+00:00,16700.0,A,12396500,87.25,A
2002-11-01 00:00:00+00:00,16500.0,A,12396500,87.91,A
2002-11-02 00:00:00+00:00,16600.0,A,12396500,88.05,A
2002-11-03 00:00:00+00:00,16300.0,A,12396500,87.85,A
2002-11-04 00:00:00+00:00,16300.0,A,12396500,88.8,A
2002-11-05 00:00:00+00:00,15000.0,A,12396500,89.34,A
2002-11-06 00:00:00+00:00,14600.0,A,12396500,89.15,A
2002-11-07 00:00:00+00:00,14600.0,A,12396500,88.8,A
2002-11-08 00:00:00+00:00,14500.0,A,12396500,88.99,A
2002-11-09 00:00:00+00:00,14400.0,A,12396500,88.54,A
2002-11-10 00:00:00+00:00,14000.0,A,12396500,88.47,A
2002-11-11 00:00:00+00:00,14200.0,A,12396500,89.28,A
2002-11-12 00:00:00+00:00,14300.0,A,12396500,89.1,A
2002-11-13 00:00:00+00:00,14600.0,A,12396500,89.04,A
2002-11-14 00:00:00+00:00,16900.0,A,12396500,89.34,A
2002-11-15 00:00:00+00:00,17300.0,A,12396500,88.82,A
