datetime,00060_Mean,00060_Mean_cd,site_no,63680_Mean,63680_Mean_cd,99409_2_Mean,99409_2_Mean_cd,99409_Mean,99409_Mean_cd
2014-10-01 00:00:00+00:00,12100.0,A,06329500,47.0,A,124.0,A,4050.0,A
2014-10-02 00:00:00+00:00,12700.0,A,06329500,301.0,A,632.0,A,21700.0,A
2014-10-03 00:00:00+00:00,12900.0,A,06329500,79.1,A,201.0,A,7000.0,A
2014-10-04 00:00:00+00:00,12800.0,A,06329500,43.3,A,119.0,A,4130.0,A
2014-10-05 00:00:00+00:00,12900.0,A,06329500,27.5,A,80.4,A,2810.0,A
2014-10-06 00:00:00+00:00,13100.0,A,06329500,28.6,A,83.5,A,2960.0,A
2014-10-07 00:00:00+00:00,13000.0,A,06329500,30.3,A,87.5,A,3070.0,A
2014-10-08 00:00:00+00:00,12700.0,A,06329500,20.0,A,60.5,A,2080.0,A
2014-10-09 00:00:00+00:00,12500.0,A,06329500,13.6,A,43.0,A,1460.0,A
2014-10-10 00:00:00+00:00,11900.0,A,06329500,11.6,A,37.0,A,1190.0,A
2014-10-11 00:00:00+00:00,11700.0,A,06329500,9.3,A,30.5,A,961.0,A
2014-10-12 00:00:00+00:00,11200.0,A,06329500,7.8,A,25.9,A,785.0,A
2014-10-13 00:00:00+00:00,11100.0,A,06329500,9.4,A,30.4,A,906.0,A
2014-10-14 00:00:00+00:00,11000.0,A,06329500,11.4,A,35.7,A,1060.0,A
2014-10-15 00:00:00+00:00,10900.0,A,06329500,13.9,A,42.6,A,1250.0,A
2014-10-16 00:00:00+00:00,10900.0,A,06329500,23.3,A,66.4,A,1950.0,A
2014-10-17 00:00:00+00:00,10900.0,A,06329500,81.3,A,195.0,A,5730.0,A
2014-10-18 00:00:00+00:00,10900.0,A,06329500,201.0,A,435.0,A,12800.0,A
2014-10-19 00:00:00+00:00,10800.0,A,06329500,152.0,A,339.0,A,9850.0,A
2014-10-20 00:00:00+00:00,10400.0,A,06329500,89.1,A,211.0,A,5910.0,A
