,Date,Discharge cubic feet per second
0,1987-01-29,140.0
1,1987-01-30,140.0
2,1987-01-31,140.0
3,1987-02-01,140.0
4,1987-02-02,140.0
5,1987-02-03,140.0
6,1987-02-04,380.0
7,1987-02-05,640.0
8,1987-02-06,880.0
9,1987-02-07,940.0
10,1987-02-08,940.0
11,1987-02-09,1010.0
12,1987-02-10,1040.0
13,1987-02-11,780.0
14,1987-02-12,820.0
15,1987-02-13,1080.0
16,1987-02-14,1150.0
17,1987-02-15,1150.0
18,1987-02-16,1150.0
19,1987-02-17,1150.0
20,1987-02-18,1150.0
21,1987-02-19,1150.0
22,1987-02-20,1080.0
23,1987-02-21,1050.0
24,1987-02-22,1050.0
25,1987-02-23,540.0
26,1987-02-24,160.0
27,1987-02-25,160.0
28,1987-02-26,160.0
29,1987-02-27,160.0
30,1987-02-28,160.0
31,1987-03-01,160.0
32,1987-03-02,160.0
33,1987-03-03,160.0
34,1987-03-04,160.0
35,1987-03-05,160.0
36,1987-03-06,160.0
37,1987-03-07,160.0
38,1987-03-08,160.0
39,1987-03-09,160.0
40,1987-03-10,160.0
41,1987-03-11,160.0
42,1987-03-12,160.0
43,1987-03-13,160.0
44,1987-03-14,160.0
45,1987-03-15,160.0
46,1987-03-16,160.0
47,1987-03-17,160.0
48,1987-03-18,160.0
49,1987-03-19,160.0
50,1987-03-20,160.0
51,1987-03-21,160.0
52,1987-03-22,160.0
53,1987-03-23,160.0
54,1987-03-24,160.0
55,1987-03-25,160.0
56,1987-03-26,150.0
57,1987-03-27,150.0
58,1987-03-28,150.0
59,1987-03-29,150.0
60,1987-03-30,150.0
61,1987-03-31,150.0
62,1987-04-01,150.0
63,1987-04-02,150.0
64,1987-04-03,180.0
65,1987-04-04,200.0
66,1987-04-05,200.0
67,1987-04-06,200.0
68,1987-04-07,240.0
69,1987-04-08,320.0
70,1987-04-09,340.0
71,1987-04-10,680.0
72,1987-04-11,900.0
73,1987-04-12,900.0
74,1987-04-13,1270.0
75,1987-04-14,1530.0
76,1987-04-15,1790.0
77,1987-04-16,2170.0
78,1987-04-17,2390.0
79,1987-04-18,2440.0
80,1987-04-19,2440.0
81,1987-04-20,2640.0
82,1987-04-21,2910.0
83,1987-04-22,3130.0
84,1987-04-23,3250.0
85,1987-04-24,3430.0
86,1987-04-25,3630.0
87,1987-04-26,3700.0
88,1987-04-27,3830.0
89,1987-04-28,3980.0
90,1987-04-29,4020.0
91,1987-04-30,3980.0
92,1987-05-01,3880.0
93,1987-05-02,3850.0
94,1987-05-03,3890.0
95,1987-05-04,3840.0
96,1987-05-05,3810.0
97,1987-05-06,3760.0
98,1987-05-07,3740.0
99,1987-05-08,3800.0
100,1987-05-09,3840.0
101,1987-05-10,3840.0
102,1987-05-11,3840.0
103,1987-05-12,3860.0
104,1987-05-13,3900.0
105,1987-05-14,3910.0
106,1987-05-15,3910.0
107,1987-05-16,3910.0
108,1987-05-17,3910.0
109,1987-05-18,3900.0
110,1987-05-19,3870.0
111,1987-05-20,3850.0
112,1987-05-21,3840.0
113,1987-05-22,3750.0
114,1987-05-23,3710.0
115,1987-05-24,3710.0
116,1987-05-25,3750.0
117,1987-05-26,3640.0
118,1987-05-27,3420.0
119,1987-05-28,3260.0
120,1987-05-29,3090.0
121,1987-05-30,3060.0
122,1987-05-31,3060.0
123,1987-06-01,3060.0
124,1987-06-02,3010.0
125,1987-06-03,2940.0
126,1987-06-04,3000.0
127,1987-06-05,3070.0
128,1987-06-06,3160.0
129,1987-06-07,3200.0
130,1987-06-08,3280.0
131,1987-06-09,3320.0
132,1987-06-10,3320.0
133,1987-06-11,3320.0
134,1987-06-12,3320.0
135,1987-06-13,3320.0
136,1987-06-14,3320.0
137,1987-06-15,3400.0
138,1987-06-16,3540.0
139,1987-06-17,3610.0
140,1987-06-18,3610.0
141,1987-06-19,3590.0
142,1987-06-20,3580.0
143,1987-06-21,3580.0
144,1987-06-22,3610.0
145,1987-06-23,3630.0
146,1987-06-24,3680.0
147,1987-06-25,3710.0
148,1987-06-26,3740.0
149,1987-06-27,3760.0
150,1987-06-28,3760.0
151,1987-06-29,3810.0
152,1987-06-30,3910.0
153,1987-07-01,3940.0
154,1987-07-02,3960.0
155,1987-07-03,4000.0
156,1987-07-04,4020.0
157,1987-07-05,4020.0
158,1987-07-06,4000.0
159,1987-07-07,3970.0
160,1987-07-08,3950.0
161,1987-07-09,3980.0
162,1987-07-10,3940.0
163,1987-07-11,3910.0
164,1987-07-12,3870.0
165,1987-07-13,3830.0
166,1987-07-14,3800.0
