datetime,00010_Mean,00010_Mean_cd,site_no,00060_Mean,00060_Mean_cd,00095_Mean,00095_Mean_cd,00300_Mean,00300_Mean_cd,32295_Mean,32295_Mean_cd,32315_Mean,32315_Mean_cd,32316_Mean,32316_Mean_cd,32319_Mean,32319_Mean_cd,32321_Mean,32321_Mean_cd
2023-10-01 00:00:00+00:00,7.4,P,14158850,665.0,P,58.0,P,11.6,P,0.87,P,,,1.57,P,1.5,P,,
2023-10-02 00:00:00+00:00,7.3,P,14158850,664.0,P,58.0,P,11.6,P,0.86,P,,,1.69,P,1.51,P,,
2023-10-03 00:00:00+00:00,7.3,P,14158850,664.0,P,58.0,P,11.6,P,0.94,P,,,1.78,P,1.51,P,,
2023-10-04 00:00:00+00:00,7.4,P,14158850,665.0,P,58.0,P,11.6,P,0.88,P,,,1.85,P,1.5,P,,
2023-10-05 00:00:00+00:00,7.6,P,14158850,664.0,P,59.0,P,11.6,P,0.82,P,,,1.89,P,1.47,P,,
2023-10-06 00:00:00+00:00,7.8,P,14158850,664.0,P,58.0,P,11.5,P,0.8,P,,,1.9,P,1.48,P,,
2023-10-07 00:00:00+00:00,8.2,P,14158850,661.0,P,58.0,P,11.3,P,0.82,P,,,1.74,P,1.42,P,,
2023-10-08 00:00:00+00:00,7.7,P,14158850,651.0,P,59.0,P,11.4,P,0.76,P,,,1.71,P,1.46,P,,
2023-10-09 00:00:00+00:00,7.4,P,14158850,650.0,P,59.0,P,11.5,P,0.79,P,,,2.33,P,1.53,P,,
2023-10-10 00:00:00+00:00,7.4,P,14158850,662.0,P,58.0,P,11.4,P,1.03,P,,,2.64,P,1.51,P,,
2023-10-11 00:00:00+00:00,7.5,P,14158850,707.0,P,58.0,P,11.5,P,1.78,P,,,2.58,P,1.5,P,,
2023-10-12 00:00:00+00:00,7.7,P,14158850,691.0,P,58.0,P,11.5,P,1.96,P,,,2.17,P,1.48,P,,
2023-10-13 00:00:00+00:00,7.5,P,14158850,650.0,P,59.0,P,11.5,P,1.41,P,,,1.92,P,1.5,P,,
2023-10-14 00:00:00+00:00,7.2,P,14158850,662.0,P,59.0,P,11.7,P,1.18,P,,,2.05,P,1.54,P,,
