datetime,00010_Mean,00010_Mean_cd,site_no,00060_Mean,00060_Mean_cd,00095_Mean,00095_Mean_cd,00300_Mean,00300_Mean_cd,63680_Mean,63680_Mean_cd
2023-10-01 00:00:00+00:00,11.7,P,08380500,20.1,P,166.0,P,8.4,P,885.0,P
2023-10-02 00:00:00+00:00,13.7,P,08380500,14.2,P,189.0,P,7.9,P,787.0,P
2023-10-03 00:00:00+00:00,12.4,P,08380500,11.5,P,215.0,P,8.2,P,33.1,P
2023-10-04 00:00:00+00:00,11.2,P,08380500,10.4,P,225.0,P,8.5,P,15.4,P
2023-10-05 00:00:00+00:00,10.8,P,08380500,9.75,P,225.0,P,8.6,P,14.7,P
2023-10-06 00:00:00+00:00,11.2,P,08380500,8.75,P,231.0,P,8.5,P,8.1,P
2023-10-07 00:00:00+00:00,11.5,P,08380500,8.64,P,232.0,P,8.5,P,5.9,P
2023-10-08 00:00:00+00:00,11.2,P,08380500,8.31,P,234.0,P,8.5,P,4.5,P
2023-10-09 00:00:00+00:00,11.3,P,08380500,7.89,P,237.0,P,8.4,P,4.1,P
2023-10-10 00:00:00+00:00,10.3,P,08380500,7.73,P,237.0,P,8.5,P,4.8,P
2023-10-11 00:00:00+00:00,10.2,P,08380500,7.24,P,240.0,P,8.4,P,4.2,P
2023-10-12 00:00:00+00:00,,,08380500,6.72,P,,,,,,
2023-10-13 00:00:00+00:00,7.4,P,08380500,6.9,P,246.0,P,9.5,P,2.7,P
2023-10-14 00:00:00+00:00,6.9,P,08380500,7.29,P,244.0,P,9.6,P,1.8,P
2023-10-15 00:00:00+00:00,7.1,P,08380500,6.49,P,245.0,P,9.6,P,2.1,P
2023-10-16 00:00:00+00:00,7.8,P,08380500,6.1,P,250.0,P,9.4,P,1.5,P
2023-10-17 00:00:00+00:00,8.6,P,08380500,5.95,P,251.0,P,9.2,P,1.4,P
2023-10-18 00:00:00+00:00,8.9,P,08380500,5.7,P,256.0,P,9.1,P,1.6,P
2023-10-19 00:00:00+00:00,9.1,P,08380500,5.34,P,258.0,P,9.1,P,1.4,P
2023-10-20 00:00:00+00:00,9.2,P,08380500,5.05,P,263.0,P,9.1,P,1.5,P
2023-10-21 00:00:00+00:00,9.1,P,08380500,5.03,P,265.0,P,9.0,P,1.4,P
2023-10-22 00:00:00+00:00,8.7,P,08380500,4.94,P,268.0,P,9.1,P,1.4,P
2023-10-23 00:00:00+00:00,9.0,P,08380500,5.35,P,269.0,P,9.0,P,1.5,P
2023-10-24 00:00:00+00:00,10.1,P,08380500,5.84,P,265.0,P,8.8,P,1.4,P
2023-10-25 00:00:00+00:00,9.8,P,08380500,6.08,P,264.0,P,8.8,P,1.4,P
2023-10-26 00:00:00+00:00,8.2,P,08380500,6.37,P,261.0,P,9.2,P,1.5,P
2023-10-27 00:00:00+00:00,7.7,P,08380500,6.06,P,265.0,P,9.4,P,1.1,P
2023-10-28 00:00:00+00:00,7.2,P,08380500,6.22,P,265.0,P,9.5,P,1.0,P
2023-10-29 00:00:00+00:00,5.9,P,08380500,6.37,P,264.0,P,9.8,P,1.0,P
2023-10-30 00:00:00+00:00,3.5,P,08380500,6.66,P,261.0,P,10.5,P,1.0,P
2023-10-31 00:00:00+00:00,2.5,P,08380500,6.12,P,264.0,P,10.8,P,0.9,P
2023-11-01 00:00:00+00:00,2.7,P,08380500,6.16,P,265.0,P,10.7,P,1.2,P
2023-11-02 00:00:00+00:00,3.9,P,08380500,6.32,P,262.0,P,10.4,P,1.1,P
2023-11-03 00:00:00+00:00,5.1,P,08380500,6.24,P,262.0,P,10.1,P,1.0,P
2023-11-04 00:00:00+00:00,5.5,P,08380500,6.42,P,258.0,P,10.0,P,1.0,P
2023-11-05 00:00:00+00:00,5.5,P,08380500,6.16,P,259.0,P,9.9,P,0.9,P
2023-11-06 00:00:00+00:00,7.1,P,08380500,5.9,P,260.0,P,9.5,P,0.8,P
2023-11-07 00:00:00+00:00,,,08380500,5.66,P,,,,,,
2023-11-08 00:00:00+00:00,6.7,P,08380500,5.28,P,267.0,P,9.6,P,1.5,P
2023-11-09 00:00:00+00:00,5.7,P,08380500,5.61,P,268.0,P,9.9,P,1.7,P
2023-11-10 00:00:00+00:00,5.2,P,08380500,6.4,P,259.0,P,10.1,P,1.8,P
2023-11-11 00:00:00+00:00,4.1,P,08380500,6.21,P,256.0,P,10.3,P,1.7,P
2023-11-12 00:00:00+00:00,2.7,P,08380500,5.47,P,263.0,P,10.8,P,1.6,P
2023-11-13 00:00:00+00:00,2.4,P,08380500,5.6,P,264.0,P,10.9,P,1.7,P
2023-11-14 00:00:00+00:00,2.2,P,08380500,5.81,P,263.0,P,10.9,P,1.9,P
2023-11-15 00:00:00+00:00,2.3,P,08380500,5.65,P,261.0,P,10.9,P,1.8,P
2023-11-16 00:00:00+00:00,4.6,P,08380500,6.32,P,257.0,P,10.2,P,1.8,P
2023-11-17 00:00:00+00:00,5.5,P,08380500,6.01,P,256.0,P,9.9,P,1.7,P
2023-11-18 00:00:00+00:00,4.8,P,08380500,5.77,P,258.0,P,10.1,P,1.6,P
2023-11-19 00:00:00+00:00,4.0,P,08380500,6.43,P,255.0,P,10.2,P,1.7,P
2023-11-20 00:00:00+00:00,4.3,P,08380500,6.65,P,250.0,P,10.3,P,1.6,P
2023-11-21 00:00:00+00:00,2.1,P,08380500,5.73,P,256.0,P,10.9,P,1.7,P
2023-11-22 00:00:00+00:00,1.4,P,08380500,4.46,P,276.0,P,11.0,P,8.8,P
2023-11-23 00:00:00+00:00,1.7,P,08380500,5.64,P,268.0,P,10.9,P,2.7,P
2023-11-24 00:00:00+00:00,1.5,P,08380500,6.2,P,261.0,P,11.0,P,2.0,P
2023-11-25 00:00:00+00:00,0.3,P,08380500,5.71,P,267.0,P,11.4,P,2.3,P
2023-11-26 00:00:00+00:00,-0.0,P,08380500,-999999.0,"P, Ice",289.0,P,11.6,P,2.8,P
2023-11-27 00:00:00+00:00,-0.0,P,08380500,-999999.0,"P, Ice",311.0,P,11.6,P,5.1,P
2023-11-28 00:00:00+00:00,-0.0,P,08380500,-999999.0,"P, Ice",296.0,P,11.6,P,4.2,P
2023-11-29 00:00:00+00:00,-0.0,P,08380500,-999999.0,"P, Ice",277.0,P,11.5,P,3.7,P
2023-11-30 00:00:00+00:00,,,08380500,-999999.0,"P, Ice",,,,,,
2023-12-01 00:00:00+00:00,-0.0,P,08380500,-999999.0,"P, Ice",263.0,P,11.5,P,4.8,P
2023-12-02 00:00:00+00:00,-0.0,P,08380500,-999999.0,"P, Ice",258.0,P,11.5,P,4.1,P
2023-12-03 00:00:00+00:00,-0.0,P,08380500,-999999.0,"P, Ice",268.0,P,11.5,P,4.2,P
2023-12-04 00:00:00+00:00,-0.0,P,08380500,-999999.0,"P, Ice",254.0,P,11.6,P,5.9,P
2023-12-05 00:00:00+00:00,0.2,P,08380500,-999999.0,"P, Ice",255.0,P,11.6,P,6.2,P
2023-12-06 00:00:00+00:00,0.6,P,08380500,-999999.0,"P, Ice",246.0,P,11.5,P,4.0,P
2023-12-07 00:00:00+00:00,1.7,P,08380500,-999999.0,"P, Ice",251.0,P,11.0,P,2.7,P
2023-12-08 00:00:00+00:00,,,08380500,-999999.0,"P, Ice",,,,,,
2023-12-09 00:00:00+00:00,,,08380500,-999999.0,"P, Ice",,,,,,
2023-12-10 00:00:00+00:00,,,08380500,-999999.0,"P, Ice",,,,,,
2023-12-11 00:00:00+00:00,,,08380500,-999999.0,"P, Ice",,,,,,
2023-12-12 00:00:00+00:00,,,08380500,-999999.0,"P, Ice",,,,,,
2023-12-13 00:00:00+00:00,,,08380500,-999999.0,"P, Ice",,,,,,
2023-12-14 00:00:00+00:00,,,08380500,-999999.0,"P, Ice",,,,,,
2023-12-15 00:00:00+00:00,,,08380500,-999999.0,"P, Ice",,,,,,
2023-12-16 00:00:00+00:00,,,08380500,-999999.0,"P, Ice",,,,,,
2023-12-17 00:00:00+00:00,,,08380500,-999999.0,"P, Ice",,,,,,
2023-12-18 00:00:00+00:00,,,08380500,-999999.0,"P, Ice",,,,,,
