datetime,00060_Mean,00060_Mean_cd,site_no,00065_base gage_Mean,00065_base gage_Mean_cd,"00065_auxiliary gage, [auxiliary gage_Mean","00065_auxiliary gage, [auxiliary gage_Mean_cd"
2007-10-01 00:00:00+00:00,15000.0,A,12396500,87.15,A,85.97,A
2007-10-02 00:00:00+00:00,17800.0,A,12396500,87.61,A,86.18,A
2007-10-03 00:00:00+00:00,18200.0,A,12396500,87.42,A,85.86,A
2007-10-04 00:00:00+00:00,18200.0,A,12396500,87.8,A,86.44,A
2007-10-05 00:00:00+00:00,18500.0,A,12396500,87.78,A,86.31,A
2007-10-06 00:00:00+00:00,21900.0,A,12396500,87.73,A,85.55,A
2007-10-07 00:00:00+00:00,23200.0,A,12396500,89.69,A,88.36,A
2007-10-08 00:00:00+00:00,23600.0,A,12396500,89.99,A,88.74,A
2007-10-09 00:00:00+00:00,22100.0,A,12396500,89.95,A,88.85,A
2007-10-10 00:00:00+00:00,17900.0,A,12396500,87.96,A,86.69,A
2007-10-11 00:00:00+00:00,18400.0,A,12396500,87.98,A,86.65,A
2007-10-12 00:00:00+00:00,18400.0,A,12396500,87.86,A,86.46,A
2007-10-13 00:00:00+00:00,17100.0,A,12396500,87.69,A,86.46,A
2007-10-14 00:00:00+00:00,15000.0,A,12396500,88.33,A,87.55,A
2007-10-15 00:00:00+00:00,16100.0,A,12396500,88.5,A,87.63,A
2007-10-16 00:00:00+00:00,19200.0,A,12396500,88.43,A,87.18,A
2007-10-17 00:00:00+00:00,19300.0,A,12396500,88.34,A,87.03,A
2007-10-18 00:00:00+00:00,19700.0,A,12396500,88.33,A,86.95,A
2007-10-19 00:00:00+00:00,19900.0,A,12396500,88.24,A,86.77,A
2007-10-20 00:00:00+00:00,19300.0,A,12396500,87.94,A,86.44,A
2007-10-21 00:00:00+00:00,19100.0,A,12396500,88.63,A,87.47,A
2007-10-22 00:00:00+00:00,19300.0,A,12396500,88.91,A,87.78,A
2007-10-23 00:00:00+00:00,19800.0,A,12396500,88.49,A,87.16,A
2007-10-24 00:00:00+00:00,19900.0,A,12396500,87.86,A,86.18,A
2007-10-25 00:00:00+00:00,18700.0,A,12396500,87.48,A,85.86,A
2007-10-26 00:00:00+00:00,17500.0,A,12396500,87.69,A,86.39,A
2007-10-27 00:00:00+00:00,16600.0,A,12396500,87.27,A,85.93,A
2007-10-28 00:00:00+00:00,17100.0,A,12396500,88.38,A,87.4,A
2007-10-29 00:00:00+00:00,17400.0,A,12396500,88.83,A,87.92,A
2007-10-30 00:00:00+00:00,18500.0,A,12396500,88.76,A,87.7,A
2007-10-31 00:00:00+00:00,19000.0,A,12396500,88.6,A,87.43,A
2007-11-01 00:00:00+00:00,19400.0,A,12396500,89.41,A,88.47,A
2007-11-02 00:00:00+00:00,17700.0,A,12396500,88.95,A,88.04,A
2007-11-03 00:00:00+00:00,14300.0,A,12396500,87.24,A,86.19,A
2007-11-04 00:00:00+00:00,14200.0,A,12396500,87.31,A,86.32,A
2007-11-05 00:00:00+00:00,14800.0,A,12396500,87.89,A,87.04,A
2007-11-06 00:00:00+00:00,14500.0,A,12396500,86.69,A,85.44,A
2007-11-07 00:00:00+00:00,14800.0,A,12396500,86.25,A,84.7,A
2007-11-08 00:00:00+00:00,14500.0,A,12396500,85.99,A,84.25,A
2007-11-09 00:00:00+00:00,12500.0,A,12396500,84.45,A,81.63,A
2007-11-10 00:00:00+00:00,10200.0,A,12396500,83.62,A,80.8,A
2007-11-11 00:00:00+00:00,10600.0,A,12396500,84.11,A,82.0,A
2007-11-12 00:00:00+00:00,9930.0,A,12396500,85.54,A,84.64,A
2007-11-13 00:00:00+00:00,9780.0,A,12396500,87.12,A,86.62,A
2007-11-14 00:00:00+00:00,13100.0,A,12396500,86.83,A,85.92,A
