datetime,00010_2_Mean,00010_2_Mean_cd,site_no,00060_Mean,00060_Mean_cd
2002-10-01 00:00:00+00:00,8.4,A,13010065,268.0,A
2002-10-02 00:00:00+00:00,8.6,A,13010065,269.0,A
2002-10-03 00:00:00+00:00,9.5,A,13010065,271.0,A
2002-10-04 00:00:00+00:00,9.4,A,13010065,279.0,A
2002-10-05 00:00:00+00:00,9.3,A,13010065,328.0,A
2002-10-06 00:00:00+00:00,9.8,A,13010065,319.0,A
2002-10-07 00:00:00+00:00,10.4,A,13010065,301.0,A
2002-10-08 00:00:00+00:00,10.4,A,13010065,292.0,A
2002-10-09 00:00:00+00:00,10.1,A,13010065,283.0,A
2002-10-10 00:00:00+00:00,9.5,A,13010065,273.0,A
2002-10-11 00:00:00+00:00,9.7,A,13010065,281.0,A
2002-10-12 00:00:00+00:00,8.0,A,13010065,278.0,A
2002-10-13 00:00:00+00:00,7.8,A,13010065,267.0,A
2002-10-14 00:00:00+00:00,8.1,A,13010065,265.0,A
2002-10-15 00:00:00+00:00,8.3,A,13010065,261.0,A
2002-10-16 00:00:00+00:00,8.4,A,13010065,260.0,A
2002-10-17 00:00:00+00:00,8.5,A,13010065,257.0,A
2002-10-18 00:00:00+00:00,8.5,A,13010065,253.0,A
2002-10-19 00:00:00+00:00,8.2,A,13010065,249.0,A
2002-10-20 00:00:00+00:00,8.2,A,13010065,248.0,A
2002-10-21 00:00:00+00:00,8.8,A,13010065,249.0,A
2002-10-22 00:00:00+00:00,7.9,A,13010065,258.0,A
2002-10-23 00:00:00+00:00,6.9,A,13010065,272.0,A
2002-10-24 00:00:00+00:00,7.6,A,13010065,281.0,A
2002-10-25 00:00:00+00:00,7.1,A,13010065,268.0,A
2002-10-26 00:00:00+00:00,6.2,A,13010065,254.0,A
2002-10-27 00:00:00+00:00,6.1,A,13010065,260.0,A
2002-10-28 00:00:00+00:00,5.8,A,13010065,264.0,A
2002-10-29 00:00:00+00:00,4.9,A,13010065,252.0,A
2002-10-30 00:00:00+00:00,4.1,A,13010065,254.0,A
2002-10-31 00:00:00+00:00,3.5,A,13010065,243.0,A
2002-11-01 00:00:00+00:00,3.2,A,13010065,238.0,A
2002-11-02 00:00:00+00:00,3.2,A,13010065,236.0,A
2002-11-03 00:00:00+00:00,2.6,A,13010065,229.0,A
2002-11-04 00:00:00+00:00,2.8,A,13010065,234.0,A
2002-11-05 00:00:00+00:00,3.1,A,13010065,234.0,A
2002-11-06 00:00:00+00:00,3.9,A,13010065,240.0,A
2002-11-07 00:00:00+00:00,4.0,A,13010065,235.0,A
2002-11-08 00:00:00+00:00,4.4,A,13010065,246.0,A
2002-11-09 00:00:00+00:00,3.5,A,13010065,269.0,A
2002-11-10 00:00:00+00:00,3.8,A,13010065,278.0,A
2002-11-11 00:00:00+00:00,3.4,A,13010065,279.0,A
2002-11-12 00:00:00+00:00,4.8,A,13010065,285.0,A
2002-11-13 00:00:00+00:00,5.0,A,13010065,284.0,A
2002-11-14 00:00:00+00:00,4.5,A,13010065,280.0,A
2002-11-15 00:00:00+00:00,3.9,A,13010065,275.0,A
2002-11-16 00:00:00+00:00,3.4,A,13010065,260.0,A
2002-11-17 00:00:00+00:00,3.8,A,13010065,267.0,A
2002-11-18 00:00:00+00:00,3.2,A,13010065,258.0,A
2002-11-19 00:00:00+00:00,,,13010065,266.0,A
2002-11-20 00:00:00+00:00,,,13010065,266.0,A
2002-11-21 00:00:00+00:00,,,13010065,270.0,A
2002-11-22 00:00:00+00:00,,,13010065,266.0,A
2002-11-23 00:00:00+00:00,,,13010065,288.0,A
2002-11-24 00:00:00+00:00,,,13010065,286.0,A
2002-11-25 00:00:00+00:00,,,13010065,256.0,A
2002-11-26 00:00:00+00:00,,,13010065,261.0,A
2002-11-27 00:00:00+00:00,,,13010065,273.0,A
2002-11-28 00:00:00+00:00,,,13010065,283.0,A
2002-11-29 00:00:00+00:00,,,13010065,282.0,A
2002-11-30 00:00:00+00:00,,,13010065,274.0,A
2002-12-01 00:00:00+00:00,,,13010065,267.0,A
2002-12-02 00:00:00+00:00,,,13010065,279.0,A
2002-12-03 00:00:00+00:00,,,13010065,269.0,A
2002-12-04 00:00:00+00:00,,,13010065,272.0,A
2002-12-05 00:00:00+00:00,,,13010065,268.0,A
2002-12-06 00:00:00+00:00,,,13010065,266.0,A
2002-12-07 00:00:00+00:00,,,13010065,248.0,A
2002-12-08 00:00:00+00:00,,,13010065,240.0,A
2002-12-09 00:00:00+00:00,,,13010065,237.0,A
2002-12-10 00:00:00+00:00,,,13010065,240.0,A
2002-12-11 00:00:00+00:00,,,13010065,262.0,A
2002-12-12 00:00:00+00:00,,,13010065,267.0,A
2002-12-13 00:00:00+00:00,,,13010065,269.0,A
2002-12-14 00:00:00+00:00,,,13010065,275.0,A
2002-12-15 00:00:00+00:00,,,13010065,288.0,A
2002-12-16 00:00:00+00:00,,,13010065,291.0,A
2002-12-17 00:00:00+00:00,,,13010065,306.0,A
2002-12-18 00:00:00+00:00,,,13010065,298.0,A
2002-12-19 00:00:00+00:00,,,13010065,293.0,A
2002-12-20 00:00:00+00:00,,,13010065,290.0,A
2002-12-21 00:00:00+00:00,,,13010065,298.0,A
2002-12-22 00:00:00+00:00,,,13010065,299.0,A
2002-12-23 00:00:00+00:00,,,13010065,270.0,"A, e"
2002-12-24 00:00:00+00:00,,,13010065,260.0,"A, e"
2002-12-25 00:00:00+00:00,,,13010065,250.0,"A, e"
2002-12-26 00:00:00+00:00,,,13010065,270.0,"A, e"
2002-12-27 00:00:00+00:00,,,13010065,290.0,A
2002-12-28 00:00:00+00:00,,,13010065,307.0,A
2002-12-29 00:00:00+00:00,,,13010065,325.0,A
2002-12-30 00:00:00+00:00,,,13010065,334.0,A
2002-12-31 00:00:00+00:00,,,13010065,348.0,A
2003-01-01 00:00:00+00:00,,,13010065,344.0,A
2003-01-02 00:00:00+00:00,,,13010065,338.0,A
2003-01-03 00:00:00+00:00,,,13010065,338.0,A
2003-01-04 00:00:00+00:00,,,13010065,336.0,A
2003-01-05 00:00:00+00:00,,,13010065,338.0,A
2003-01-06 00:00:00+00:00,,,13010065,320.0,"A, e"
2003-01-07 00:00:00+00:00,,,13010065,310.0,"A, e"
2003-01-08 00:00:00+00:00,,,13010065,300.0,"A, e"
2003-01-09 00:00:00+00:00,,,13010065,290.0,"A, e"
2003-01-10 00:00:00+00:00,,,13010065,280.0,"A, e"
2003-01-11 00:00:00+00:00,,,13010065,300.0,"A, e"
2003-01-12 00:00:00+00:00,,,13010065,310.0,A
2003-01-13 00:00:00+00:00,,,13010065,314.0,A
2003-01-14 00:00:00+00:00,,,13010065,321.0,A
2003-01-15 00:00:00+00:00,,,13010065,322.0,A
2003-01-16 00:00:00+00:00,,,13010065,310.0,"A, e"
2003-01-17 00:00:00+00:00,,,13010065,300.0,"A, e"
2003-01-18 00:00:00+00:00,,,13010065,290.0,"A, e"
2003-01-19 00:00:00+00:00,,,13010065,300.0,"A, e"
2003-01-20 00:00:00+00:00,,,13010065,300.0,"A, e"
2003-01-21 00:00:00+00:00,,,13010065,305.0,A
2003-01-22 00:00:00+00:00,,,13010065,311.0,A
