sids,uid,state,ll,name,elev
"['056315 2', 'USC00056315 6']",3747,CO,"[-108.95, 38.36667]",PARADOX 1 E,5282.0
"['051586 2', 'USC00051586 6']",3748,CO,"[-102.53333, 38.43333]",CHIVINGTON,3904.0
"['058157 2', 'USC00058157 6', 'TACC2 7']",3749,CO,"[-104.0566, 38.34206]",TACONY 13 SE,4881.0
['93001 1'],3750,CO,"[-105.11667, 38.43333]",CANON CITY,
"['051298 2', 'CANC2 7']",3751,CO,"[-105.25, 38.43333]",CANON CITY 1 W,5372.0
"['055394 2', 'USC00055394 6']",3752,CO,"[-106.25, 38.4]",MARSHALL PASS,10856.0
"['057460 2', 'USC00057460 6', 'SGTC2 7']",3753,CO,"[-106.42398, 38.40372]",SARGENTS,8471.0
"['057461 2', 'USC00057461 6']",3754,CO,"[-106.5, 38.4]",SARGENTS 6W,8136.0
"['051713 2', 'USC00051713 6', 'CCRC2 7']",3755,CO,"[-106.76156, 38.44313]",COCHETOPA CREEK,8006.0
"['050895 2', 'USC00050895 6', 'BRNC2 7']",3757,CO,"[-102.43611, 38.45972]",BRANDON,3925.0
"['053828 2', 'USC00053828 6', 'HSWC2 7']",3758,CO,"[-103.1605, 38.4466]",HASWELL,4522.0
"['056410 2', 'USC00056410 6']",3759,CO,"[-105.06667, 38.45]",PENROSE,5413.0
"['057455 2', 'USC00057455 6']",3760,CO,"[-107.18333, 38.48333]",SAPINERO 8 E,7726.0
"['050797 2', 'USC00050797 6', 'BMKC2 7']",3761,CO,"[-107.1677, 38.4666]",BLUE MESA LAKE,7568.0
"['050794 2', 'USC00050794 6', 'BMDC2 7']",3762,CO,"[-107.33278, 38.45667]",BLUE MESA DAM,7530.0
['057456 2'],3763,CO,"[-107.46667, 38.46667]",SAPINERO 9 W,9308.0
"['051609 2', 'USC00051609 6', 'CIMC2 7']",3764,CO,"[-107.557, 38.4432]",CIMARRON,6890.0
"['KQZE 3', '69501 4']",3765,CO,"[-104.83333, 38.5]",FORT CARSON RANGE GWC,
['055695 2'],3766,CO,"[-106.33333, 38.5]",MONARCH PASS,11339.0
"['055717 2', 'USC00055717 6']",3767,CO,"[-107.88333, 38.48333]",MONTROSE 1,5786.0
"['93090 1', '6V8 3']",3768,CO,"[-107.85, 38.5]",MONTROSE,5802.0
"['057370 2', 'USC00057370 6', 'SDAC2 7']",3770,CO,"[-106.0158, 38.5328]",SALIDA,7160.0
"['93012 1', 'S29 3', 'OV2 3']",3771,CO,"[-106.01667, 38.51667]",SALIDA,
"['057371 2', 'USC00057371 6']",3772,CO,"[-106.05, 38.53333]",SALIDA 3 W,7488.0
"['052997 2', 'USC00052997 6']",3774,CO,"[-103.68333, 38.55]",FORDER 8 S,4783.0
['057375 2'],3775,CO,"[-106.0, 38.55]",SALIDA HIGHWAY BRIDGE,7024.0
['057372 2'],3776,CO,"[-106.0, 38.55]",SALIDA AVN,7106.0
"['93085 1', '2V9 3']",3777,CO,"[-106.91667, 38.6]",GUNNISON AP,7803.0
"['93007 1', 'GUC 3', 'KGUC 5', 'USW00093007 32']",3778,CO,"[-106.93333, 38.53333]",GUNNISON COUNTY AP,7666.0
"['055564 2', 'USC00055564 6']",3779,CO,"[-104.66667, 38.61667]",MIDWAY 4 N,5354.0
"['056513 2', 'USC00056513 6']",3780,CO,"[-106.53333, 38.6]",PITKIN,9199.0
"['056081 2', 'USC00056081 6']",3781,CO,"[-107.98333, 38.61667]",OLATHE,5364.0
"['053063 2', 'USC00053063 6', 'FTNC2 7']",3782,CO,"[-104.70139, 38.67778]",FOUNTAIN,5560.0
"['053656 2', 'USC00053656 6', 'GUFC2 7']",3783,CO,"[-105.3922, 38.6754]",GUFFEY 10 SE,8595.0
"['94015 1', '053002 2', 'FCS 3', '72468 4', 'KFCS 5', 'USW00094015 6', 'FCNC2 7', 'FCS 7', 'USW00094015 32']",3784,CO,"[-104.75667, 38.67833]",FORT CARSON BUTTS AAF,5838.0
"['053246 2', 'USC00053246 6', 'GTWC2 7']",3785,CO,"[-108.9609, 38.68778]",GATEWAY 1ENE,4671.0
"['058649 2', 'USC00058649 6']",3786,CO,"[-105.15, 38.71667]",VICTOR,9708.0
"['057345 2', 'USC00057345 6']",3787,CO,"[-106.36667, 38.7]",ST ELMO,10016.0
"['054603 2', 'USC00054603 6', 'KCRC2 7']",3788,CO,"[-102.79962, 38.76261]",KIT CARSON,4302.0
"['053068 2', 'USC00053068 6']",3789,CO,"[-104.61667, 38.78333]",FOUNTAIN 9 NE,5960.0
"['051973 2', 'USC00051973 6', 'CPLC2 7']",3790,CO,"[-105.17972, 38.74972]",CRIPPLE CREEK,9550.0
"['053654 2', 'USC00053654 6']",3791,CO,"[-105.53333, 38.75]",GUFFEY,8606.0
['051890 2'],3792,CO,"[-107.98333, 38.78333]",CORY,5105.0
['052194 2'],3793,CO,"[-108.05, 38.75]",DELTA BRIDGE,4925.0
"['052192 2', 'USC00052192 6', 'DELC2 7']",3794,CO,"[-108.0783, 38.7531]",DELTA,4930.0
['058841 2'],3795,CO,"[-108.68333, 38.78333]",WATERFALL RANCH,7254.0
"['054444 2', 'USC00054444 6', 'KRVC2 7']",3796,CO,"[-103.5427, 38.7411]",KARVAL,5075.0
"['054686 2', 'USC00054686 6']",3797,CO,"[-103.83333, 38.83333]",KUTCH 6 SSE,5364.0
['052667 2'],3798,CO,"[-104.33333, 38.83333]",ELLICOTT,6024.0
"['23029 1', 'PEF 3']",3799,CO,"[-104.7, 38.81667]",COLORADO SPRINGS PETERSON AFB,
"['93037 1', '051778 2', 'COS 3', '72466 4', 'KCOS 5', 'USW00093037 6', 'COS 7', 'USW00093037 32']",3800,CO,"[-104.68873, 38.80949]",COLORADO SPRINGS MUNICIPAL AP,6182.0
"['054750 2', 'USC00054750 6', 'MSPC2 7']",3801,CO,"[-104.98333, 38.81667]",LAKE MORAINE,10265.0
"['053655 2', 'USC00053655 6']",3802,CO,"[-105.53333, 38.81667]",GUFFEY 5 N,9006.0
['051078 2'],3803,CO,"[-106.16667, 38.83333]",BUENA VISTA 2 WSW,8107.0
"['03006 1', '058184 2', 'USC00058184 6', 'TRBC2 7', 'CRBC2 7']",3804,CO,"[-106.6086, 38.8183]",TAYLOR PARK,9179.0
['050820 2'],3805,CO,"[-107.63333, 38.81667]",BONE MESA,
['054125 2'],3806,CO,"[-107.7, 38.8]",HOTCHKISS,5404.0
['057183 2'],3807,CO,"[-107.81667, 38.8]",ROGERS MESA,5288.0
"['050304 2', 'USC00050304 6', 'APHC2 7']",3810,CO,"[-102.1764, 38.8528]",ARAPAHOE,4020.0
"['050242 2', 'USC00050242 6']",3811,CO,"[-103.65, 38.88333]",AMY,5243.0
"['057287 2', 'USC00057287 6', 'RUSC2 7']",3812,CO,"[-104.094, 38.8611]",RUSH 1N,6054.0
"['059285 2', 'YODC2 7']",3813,CO,"[-104.2426, 38.859]",YODER 2 NW,6266.0
"['050712 2', 'USC00050712 6']",3814,CO,"[-104.31667, 38.86667]",BIG SPRINGS RANCH,6043.0
['051776 2'],3815,CO,"[-104.83333, 38.85]",COLORADO SPRINGS,6106.0
['055360 2'],3817,CO,"[-104.91667, 38.86667]",MANITOU SPRINGS CITY HALL,6414.0
"['057309 2', 'USC00057309 6', 'RUXC2 7']",3818,CO,"[-104.9742, 38.8416]",RUXTON PARK,9060.0
['053125 2'],3819,CO,"[-104.95, 38.85]",FREMONT EXPERIMENTAL STN,8855.0
"['055352 2', 'USC00055352 6', 'MSGC2 7']",3820,CO,"[-104.933, 38.8557]",MANITOU SPRINGS,6658.0
"['052965 2', '051978 2', 'USC00052965 6', 'USC00051978 6', 'FFBC2 7']",3821,CO,"[-105.28507, 38.91279]",FLORISSANT FOSSIL BEDS,8402.0
"['051071 2', 'USC00051071 6', 'BNVC2 7']",3822,CO,"[-106.1276, 38.8246]",BUENA VISTA 2S,7954.0
"['051959 2', 'USC00051959 6', 'CBUC2 7']",3823,CO,"[-106.9772, 38.8738]",CRESTED BUTTE,8867.0
"['050343 2', 'USC00050343 6']",3824,CO,"[-103.08333, 38.91667]",AROYA 6 NE,4793.0
['055108 2'],3825,CO,"[-103.48333, 38.93333]",LONG BRANCH,5253.0
"['054684 2', 'USC00054684 6']",3826,CO,"[-103.86667, 38.91667]",KUTCH,5653.0
['93003 1'],3827,CO,"[-105.15, 38.93333]",DIVIDE,
"['054742 2', 'USC00054742 6', 'LGRC2 7']",3828,CO,"[-105.4705, 38.9075]",LAKE GEORGE 8 SW,8550.0
['051077 2'],3829,CO,"[-106.13333, 38.91667]",BUENA VISTA 5 NE,9094.0
"['057758 2', 'SOMC2 7']",3830,CO,"[-107.43361, 38.92583]",SOMERSET 2 E,6075.0
['057762 2'],3831,CO,"[-107.46667, 38.93333]",SOMERSET BRIDGE,6004.0
"['059045 2', 'USC00059045 6']",3832,CO,"[-107.51667, 38.91667]",WILCOX RANCH,5901.0
"['051440 2', 'USC00051440 6', 'CDDC2 7']",3833,CO,"[-107.93333, 38.9]",CEDAREDGE,6244.0
"['055040 2', 'USC00055040 6']",3834,CO,"[-108.85, 38.93333]",LITTLE DOLORES,6706.0
"['050884 2', 'USC00050884 6']",3835,CO,"[-103.28333, 38.91667]",BOYERO 1 WSW,4741.0
"['93065 1', 'AFF 3', '74531 4', 'KAFF 5', 'USW00093065 6', 'USW00093065 32']",3836,CO,"[-104.81667, 38.96667]",COLORADO SPRINGS USAF ACADEMY,6572.0
"['050258 2', 'USC00050258 6']",3837,CO,"[-105.95, 38.96667]",ANTERO JUNCTION 3 NNE,9035.0
['055976 2'],3838,CO,"[-106.45, 38.98333]",NORTH FORK CLEAR CREEK,10407.0
"['053490 2', 'GJNC2 7']",3839,CO,"[-108.45, 38.98333]",GRAND JUNCTION 8 SE,4628.0
"['055020 2', '056438 2', 'USC00055020 6', 'USC00056438 6', 'LMOC2 7']",3840,CO,"[-103.7695, 38.9496]",LIMON ATWATER RANCH,5572.0
['93014 1'],3841,CO,"[-104.28333, 39.03333]",CALHAN,
"['050437 2', 'USC00050437 6']",3842,CO,"[-104.6, 39.01667]",AYER RANCH,7234.0
"['052501 2', 'USC00052501 6']",3843,CO,"[-104.66667, 39.03333]",EASTONVILLE 6 WSW,7605.0
"['053811 2', 'USC00053811 6']",3844,CO,"[-105.8, 39.03333]",HARTSEL,8860.0
"['050263 2', 'USC00050263 6', 'ANTC2 7']",3845,CO,"[-105.89145, 38.99305]",ANTERO RESERVOIR,8939.0
['057797 2'],3846,CO,"[-106.55, 39.03333]",SOUTH FORK LAKE,10709.0
"['053310 2', 'USC00053310 6']",3847,CO,"[-108.75, 39.0]",GLADE PARK STORE,7005.0
['051220 2'],3848,CO,"[-104.33333, 39.05]",CALHAN,6508.0
"['052494 2', 'USC00052494 6', 'ESTC2 7']",3849,CO,"[-104.5997, 39.1091]",EASTONVILLE 2 NNW,7210.0
"['052496 2', 'USC00052496 6']",3850,CO,"[-104.55, 39.08333]",EASTONVILLE 2 NNE,7274.0
['93021 1'],3851,CO,"[-104.78333, 39.08333]",MONUMENT,
"['055730 2', 'USC00055730 6']",3852,CO,"[-104.93333, 39.08333]",MONUMENT 2 WSW,7346.0
"['058496 2', 'USC00058496 6']",3853,CO,"[-106.3, 39.08333]",TWIN LAKES EVAPORATION,9177.0
"['058501 2', 'USC00058501 6', 'TWNC2 7']",3854,CO,"[-106.35064, 39.09419]",TWIN LAKES RESERVOIR,9236.0
"['054270 2', 'USC00054270 6']",3855,CO,"[-106.61667, 39.08333]",INDEPENDENCE PASS 5 SW,10500.0
"['055520 2', 'USC00055520 6']",3856,CO,"[-108.08333, 39.05]",MESA LAKES RESORT,9806.0
['056268 2'],3857,CO,"[-108.23333, 39.08333]",PALISADE 6 SE,8307.0
['051654 2'],3858,CO,"[-108.45, 39.08333]",CLIFTON,4692.0
"['053489 2', 'USC00053489 6', 'GRJC2 7']",3859,CO,"[-108.4663, 39.0422]",GRAND JUNCTION 6ESE,4760.0
['23032 1'],3860,CO,"[-108.56667, 39.06667]",GRAND JUNCTION,
"['053484 2', 'GJTC2 7']",3861,CO,"[-108.56556, 39.05444]",GRAND JUNCTION HWY BR,4549.0
"['93031 1', '053485 2', 'USW00023066 6', 'USW00093031 32']",3862,CO,"[-108.56667, 39.06667]",GRAND JUNCTION - COOP,
"['055041 2', 'USC00055041 6']",3863,CO,"[-108.85, 39.05]",LITTLE DOLORES 5 NE,6385.0
"['054172 2', 'USC00054172 6', 'HGOC2 7']",3864,CO,"[-103.4897, 39.1438]",HUGO 1 NW,5025.0
['052600 2'],3865,CO,"[-104.53333, 39.13333]",ELBERT 6 SSE,7215.0
"['052603 2', 'USC00052603 6']",3866,CO,"[-104.61667, 39.11667]",ELBERT 8 SW,7244.0
['052497 2'],3867,CO,"[-104.6, 39.1]",EASTONVILLE 3 NW,7005.0
"['053579 2', 'USC00053579 6', 'GNDC2 7']",3868,CO,"[-104.7286, 39.1044]",GREENLAND 9 SE,7518.0
"['056280 2', 'USC00056280 6', 'PLKC2 7']",3869,CO,"[-104.91198, 39.11674]",PALMER LAKE,7161.0
"['059210 2', 'USC00059210 6', 'WODC2 7']",3870,CO,"[-105.0942, 39.1005]",WOODLAND PARK 8 NNW,7760.0
"['058939 2', 'USC00058939 6']",3871,CO,"[-105.11667, 39.13333]",WESTCREEK,7805.0
['055790 2'],3872,CO,"[-106.55, 39.11667]",MOUNTAIN BOY 1,11608.0
['054737 2'],3873,CO,"[-106.55, 39.1]",LAKE CREEK BASE,10607.0
['054691 2'],3874,CO,"[-106.53333, 39.11667]",LACKAWANNA,10909.0
"['058963 2', 'USC00058963 6']",3875,CO,"[-107.51667, 39.1]",WEST MUDDY RANGER STN,8307.0
"['050825 2', 'USC00050825 6', 'CLBC2 7']",3876,CO,"[-107.8988, 39.1025]",BONHAM RESERVOIR,9852.0
"['056266 2', 'USC00056266 6', 'PLSC2 7']",3877,CO,"[-108.3505, 39.1136]",PALISADE,4751.0
"['051772 2', 'USC00051772 6', 'CNMC2 7']",3878,CO,"[-108.7338, 39.1013]",COLORADO NATIONAL MONUMENT,5781.0
['053148 2'],3879,CO,"[-108.73333, 39.13333]",FRUITA 1 SE,4491.0
"['057519 2', 'USC00057519 6', 'SEBC2 7']",3880,CO,"[-102.86765, 39.29505]",SEIBERT,4706.0
"['057664 2', 'USC00057664 6', 'SIMC2 7']",3881,CO,"[-104.08785, 39.13983]",SIMLA,5984.0
"['052598 2', 'USC00052598 6']",3882,CO,"[-104.56667, 39.16667]",ELBERT 4 SSW,7224.0
"['052601 2', 'USC00052601 6']",3883,CO,"[-104.6, 39.16667]",ELBERT 5 SW,6936.0
"['053570 2', 'USC00053570 6']",3884,CO,"[-104.85, 39.18333]",GREENLAND,6883.0
"['050370 2', 'USC00050370 6']",3885,CO,"[-106.83333, 39.18333]",ASPEN,7928.0
"['056966 2', 'USC00056966 6']",3886,CO,"[-107.23333, 39.18333]",REDSTONE,7205.0
"['055015 2', 'USC00055015 6']",3887,CO,"[-103.76667, 39.15]",LIMON 10 SSW,5564.0
"['93018 1', '052593 2', 'USC00052593 6']",3888,CO,"[-104.55, 39.21667]",ELBERT,6745.0
"['052597 2', 'USC00052597 6']",3889,CO,"[-104.5, 39.2]",ELBERT 3 SE,6755.0
['93020 1'],3890,CO,"[-104.8, 39.23333]",LARKSPUR,
['054822 2'],3891,CO,"[-104.88333, 39.23333]",LARKSPUR,
['058178 2'],3892,CO,"[-105.61667, 39.23333]",TARRYALL RESERVOIR,8885.0
"['052814 2', 'USC00052814 6']",3893,CO,"[-106.0, 39.23333]",FAIRPLAY,10000.0
['052819 2'],3894,CO,"[-106.0, 39.21667]",FAIRPLAY 2,9957.0
"['056970 2', 'USC00056970 6', 'RSTC2 7']",3895,CO,"[-107.3, 39.2]",REDSTONE 4 W,8065.0
"['051228 2', 'CAMC2 7']",3896,CO,"[-108.26667, 39.23333]",CAMEO 7 NE,4814.0
"['93073 1', '050373 2', 'ASE 3', 'KASE 5', 'USW00093073 6', 'ASE 7', 'USW00093073 32']",3897,CO,"[-106.87052, 39.22994]",ASPEN PITKIN COUNTY AP SARDY FIELD,7677.0
"['051131 2', 'USC00051131 6']",3898,CO,"[-102.15, 39.25]",BURLINGTON 8 SE,4242.0
"['052932 2', 'USC00052932 6', 'FLGC2 7']",3899,CO,"[-103.06207, 39.28135]",FLAGLER 1S,4921.0
"['050348 2', 'USC00050348 6']",3900,CO,"[-103.26667, 39.28333]",ARRIBA,5241.0
"['053258 2', 'USC00053258 6', 'GENC2 7']",3901,CO,"[-103.4945, 39.2771]",GENOA,5593.0
['054587 2'],3902,CO,"[-104.46667, 39.28333]",KIOWA 5 S,6624.0
"['054584 2', 'USC00054584 6']",3903,CO,"[-104.43333, 39.28333]",KIOWA 5 SE,6355.0
"['052595 2', 'USC00052595 6']",3904,CO,"[-104.58333, 39.25]",ELBERT 3 NW,6844.0
"['053584 2', 'USC00053584 6', 'GREC2 7']",3905,CO,"[-104.7383, 39.2166]",GREENLAND 6 NE,6900.0
"['056430 2', 'USC00056430 6']",3906,CO,"[-104.96667, 39.26667]",PERRY PARK,6329.0
['052259 2'],3907,CO,"[-105.08333, 39.28333]",DEVILS HEAD,8484.0
"['052140 2', 'DKRC2 7']",3908,CO,"[-105.23333, 39.25]",DECKERS,6499.0
"['058064 2', 'USC00058064 6', 'SGLC2 7']",3909,CO,"[-106.3713, 39.2495]",SUGARLOAF RESERVOIR,9738.0
['054886 2'],3910,CO,"[-106.46667, 39.28333]",LEADVILLE 10 WNW,11007.0
"['051745 2', 'USC00051745 6']",3911,CO,"[-107.93333, 39.25]",COLLBRAN 3 ENE,6463.0
"['93086 1', '3V9 3']",3912,CO,"[-106.86667, 39.28333]",ASPEN WOODY CREEK,7448.0
"['051121 2', 'USC00051121 6', 'BRLC2 7']",3913,CO,"[-102.26085, 39.3062]",BURLINGTON,4162.0
"['050686 2', 'USC00050686 6']",3914,CO,"[-102.43333, 39.3]",BETHUNE,4203.0
"['93053 1', '058008 2', 'USC00058008 6', 'STTC2 7']",3915,CO,"[-102.6002, 39.3047]",STRATTON,4399.0
"['058722 2', 'USC00058722 6']",3916,CO,"[-102.73333, 39.3]",VONA,4505.0
"['050862 2', 'USC00050862 6']",3917,CO,"[-103.35, 39.31667]",BOVINA 3 NNE,5280.0
"['054585 2', 'USC00054585 6']",3918,CO,"[-104.51667, 39.3]",KIOWA 4 SW,6555.0
"['058212 2', 'USC00058212 6']",3919,CO,"[-106.33333, 39.33333]",TENNESSEE PASS,10256.0
"['052121 2', 'USC00052121 6']",3920,CO,"[-108.21667, 39.33333]",DE BEQUE,4954.0
['054581 2'],3921,CO,"[-104.46667, 39.35]",KIOWA,6355.0
['054580 2'],3922,CO,"[-104.46667, 39.35]",KIOWA,6404.0
"['051401 2', 'USC00051401 6', 'CSRC2 7']",3923,CO,"[-104.86412, 39.38675]",CASTLE ROCK,6154.0
['051408 2'],3924,CO,"[-104.86667, 39.36667]",CASTLE ROCK 2,6214.0
"['057510 2', 'USC00057510 6', 'SEDC2 7']",3925,CO,"[-104.94537, 39.38559]",SEDALIA 4 SSE,6007.0
['057508 2'],3926,CO,"[-105.0, 39.36667]",SEDALIA,6175.0
"['055513 2', 'USC00055513 6']",3927,CO,"[-106.68333, 39.36667]",MEREDITH 4NE,8507.0
"['055507 2', 'USC00055507 6', 'MDHC2 7', 'MRDC2 7']",3928,CO,"[-106.7422, 39.3619]",MEREDITH,7825.0
['055511 2'],3929,CO,"[-106.75, 39.36667]",MEREDITH EVAPORATION,7805.0
"['050514 2', 'USC00050514 6']",3930,CO,"[-107.03333, 39.36667]",BASALT,6624.0
"['051660 2', 'USC00051660 6', 'CLXC2 7']",3931,CO,"[-106.1898, 39.3671]",CLIMAX,11344.0
"['057816 2', 'USC00057816 6', 'SPTC2 7']",3932,CO,"[-105.18333, 39.4]",SOUTH PLATTE,6197.0
"['050454 2', 'USC00050454 6', 'BLYC2 7']",3933,CO,"[-105.4765, 39.4052]",BAILEY,7752.0
['054493 2'],3934,CO,"[-105.75, 39.41667]",KENOSHA PASS,10108.0
['93036 1'],3935,CO,"[-106.15, 39.43333]",CAMP HALE AAF,
"['051126 2', 'USC00051126 6']",3936,CO,"[-102.16667, 39.48333]",BURLINGTON 12 NNE,4232.0
"['050092 2', 'USC00050092 6']",3937,CO,"[-103.93333, 39.45]",AGATE 3 SW,5482.0
"['052633 2', 'USC00052633 6']",3938,CO,"[-105.36667, 39.48333]",ELK CREEK,8435.0
"['053530 2', 'USC00053530 6', 'GRTC2 7']",3939,CO,"[-105.6785, 39.4607]",GRANT,8675.0
"['050909 2', 'USC00050909 6', 'BRGC2 7']",3940,CO,"[-106.04314, 39.48637]",BRECKENRIDGE,9598.0
"['053508 2', 'USC00053508 6']",3941,CO,"[-108.05, 39.45]",GRAND VALLEY,5092.0
"['056311 2', 'USC00056311 6', 'PACC2 7']",3942,CO,"[-108.05, 39.45]",PARACHUTE,5090.0
"['056326 2', 'USC00056326 6', 'PKRC2 7']",3943,CO,"[-104.65667, 39.52889]",PARKER 6 E,6310.0
"['054452 2', 'USC00054452 6', 'KSLC2 7']",3944,CO,"[-105.0952, 39.49]",KASSLER,5587.0
['051826 2'],3945,CO,"[-105.26667, 39.53333]",CONIFER 3 NE,7776.0
['058577 2'],3946,CO,"[-106.2, 39.51667]",VAIL PASS 1 E,10436.0
"['056917 2', 'USC00056917 6']",3947,CO,"[-106.36667, 39.51667]",REDCLIFF,8615.0
"['050214 2', 'USC00050214 6', 'ATBC2 7']",3948,CO,"[-108.3809, 39.4992]",ALTENBERN,5637.0
['052125 2'],3949,CO,"[-108.38333, 39.5]",DE BEQUE 15 NW,
['051855 2'],3950,CO,"[-102.9, 39.58333]",COPE,4403.0
"['057557 2', 'USC00057557 6', 'SHAC2 7']",3951,CO,"[-103.35, 39.55]",SHAW 2 E,5180.0
"['93067 1', 'APA 3', 'KAPA 5', 'USW00093067 6', 'USW00093067 32']",3952,CO,"[-104.84843, 39.5599]",DENVER CENTENNIAL AP,5870.0
"['054293 2', 'USC00054293 6', 'ITRC2 7']",3953,CO,"[-105.2193, 39.5728]",INTER CANYON,7180.0
"['057618 2', 'USC00057618 6', 'GWDC2 7']",3954,CO,"[-107.2267, 39.5703]",SHOSHONE,5992.0
"['053357 2', 'GWSC2 7']",3955,CO,"[-107.33333, 39.55]",GLENWOOD SPRINGS,5721.0
"['056073 2', 'USC00056073 6']",3956,CO,"[-107.93333, 39.55]",OIL SHALE MINE,8205.0
"['050834 2', 'USC00050834 6', 'BNYC2 7']",3957,CO,"[-102.1193, 39.6567]",BONNY DAM 2NE,3717.0
"['054592 2', 'USC00054592 6']",3958,CO,"[-102.58333, 39.61667]",KIRK,4003.0
"['058260 2', 'USC00058260 6']",3959,CO,"[-103.18333, 39.61667]",THURMAN 3 ENE,4554.0
"['93048 1', '052162 2', 'USC00052162 6', 'DRTC2 7']",3960,CO,"[-104.0775, 39.64194]",DEER TRAIL 3 NW,5100.0
"['055056 2', 'USC00055056 6', 'LTTC2 7']",3961,CO,"[-105.01667, 39.61667]",LITTLETON,5310.0
"['055402 2', 'USC00055402 6', 'LTLC2 7']",3962,CO,"[-105.0655, 39.6211]",MARSTON FILTER PLANT,5610.0
"['052790 2', 'USC00052790 6', 'EVGC2 7']",3963,CO,"[-105.31504, 39.63793]",EVERGREEN,7002.0
"['052795 2', 'USC00052795 6']",3964,CO,"[-105.35, 39.61667]",EVERGREEN 2 SW,7306.0
"['050405 2', 'USC00050405 6', 'AONC2 7']",3965,CO,"[-106.51667, 39.63333]",AVON,7492.0
"['054380 2', 'USC00054380 6', 'JOEC2 7']",3967,CO,"[-102.68043, 39.6552]",JOES,4275.0
"['051547 2', 'USC00051547 6', 'EGDC2 7']",3968,CO,"[-104.8319, 39.6261]",CHERRY CREEK DAM,5647.0
['055762 2'],3969,CO,"[-105.2, 39.65]",MORRISON,5780.0
"['055765 2', '055805 2', 'USC00055805 6', 'MRRC2 7']",3970,CO,"[-105.203, 39.6527]",MORRISON 1 SW,5840.0
"['057881 2', 'USC00057881 6']",3971,CO,"[-105.5, 39.68333]",SQUAW MOUNTAIN,11509.0
"['051186 2', 'USC00051186 6', 'GCRC2 7']",3972,CO,"[-105.7088, 39.6552]",CABIN CREEK,10020.0
['057956 2'],3973,CO,"[-105.8, 39.66667]",STEVENS GULCH,10246.0
['055208 2'],3974,CO,"[-105.83333, 39.66667]",LOVELAND BASIN,11407.0
['052456 2'],3975,CO,"[-106.83333, 39.65]",EAGLE HIGHWAY BRIDGE,6565.0
"['23063 1', '052454 2', 'EGE 3', 'KEGE 5', 'USW00023063 6', 'EGE 7', 'USW00023063 32']",3976,CO,"[-106.91667, 39.65]",EAGLE COUNTY AP,6497.0
"['053670 2', 'GPSC2 7']",3977,CO,"[-106.95306, 39.64944]",GYPSUM,6280.0
"['052338 2', 'EGLC2 7']",3978,CO,"[-107.07722, 39.64389]",DOTSERO 2 W,6130.0
"['054242 2', 'USC00054242 6', 'IDAC2 7']",3979,CO,"[-102.2939, 39.7033]",IDALIA,3965.0
"['051179 2', 'USC00051179 6', 'BYRC2 7']",3980,CO,"[-104.12742, 39.74062]",BYERS 5 ENE,5101.0
"['050620 2', 'USC00050620 6', 'BNNC2 7']",3981,CO,"[-104.41667, 39.75]",BENNETT,5483.0
"['23036 1', 'BKF 3', 'KBKF 5', 'USW00023036 6', 'USW00023036 32']",3982,CO,"[-104.75, 39.71667]",AURORA BUCKLEY FIELD ANGB,5663.0
"['93032 1', 'USW00093032 6', 'USW00093032 32']",3983,CO,"[-104.75, 39.7]",DENVER NAS,
"['23012 1', 'LRY 3', 'KLRY 5', 'USW00023012 6', 'USW00023012 32']",3984,CO,"[-104.9, 39.71667]",DENVER LOWRY AFB,
"['053386 2', '055777 2', 'GOLC2 7']",3985,CO,"[-105.22537, 39.70378]",GOLDEN 3 S,7143.0
"['053261 2', 'USC00053261 6', 'GEOC2 7']",3986,CO,"[-105.6996, 39.7052]",GEORGETOWN,8520.0
['93071 1'],3987,CO,"[-105.16667, 39.73333]",SERI ISOLATION RESEARCH LAB,
"['054856 2', 'USC00054856 6']",3988,CO,"[-103.6, 39.75]",LAST CHANCE,4793.0
"['23062 1', '052220 2', 'DNR 3', 'DEN 3', '72469 4', 'KDEN 5', 'USW00023062 6', 'DUAC2 7', 'DUA 7', 'DNR 7', 'DEN 7', 'USW00023062 32']",3989,CO,"[-104.86948, 39.76746]",DENVER-CENTRAL PARK,5284.0
"['93002 1', '052225 2', 'USW00093002 6', 'USW00093002 32']",3991,CO,"[-104.98333, 39.75]",DENVER WSO CITY,5325.0
['057002 2'],3992,CO,"[-105.03333, 39.78333]",REGIS COLLEGE,5305.0
['058994 2'],3993,CO,"[-105.11667, 39.78333]",WHEAT RIDGE,5394.0
"['052557 2', 'USC00052557 6']",3994,CO,"[-105.08333, 39.75]",EDGEWATER,5450.0
"['058995 2', 'USC00058995 6', 'WGEC2 7']",3995,CO,"[-105.117, 39.7749]",WHEAT RIDGE 2,5398.0
"['054762 2', 'USC00054762 6', 'LKWC2 7']",3996,CO,"[-105.1205, 39.7488]",LAKEWOOD,5640.0
['93070 1'],3997,CO,"[-105.16667, 39.75]",SERI SOUTH TABLE MOUNTAIN,
"['054234 2', 'USC00054234 6']",3998,CO,"[-105.51667, 39.75]",IDAHO SPRINGS,7555.0
"['054877 2', 'LAWC2 7', 'IDOC2 7']",3999,CO,"[-105.6264, 39.7661]",LAWSON,8100.0
"['054397 2', 'USC00054397 6']",4000,CO,"[-105.85, 39.76667]",JONES PASS 2 E,10328.0
"['053345 2', 'USC00053345 6']",4001,CO,"[-106.01667, 39.78333]",GLEN MAR,8694.0
