sids,uid,state,ll,name,elev
"['243709 2', 'USC00243709 6']",11664,MT,"[-113.18333, 45.05]",GRANT 6 NW,6204.0
['247031 2'],11665,MT,"[-105.05, 45.13333]",RIDGE 6 N,3914.0
"['240739 2', 'USC00240739 6', 'BIDM8 7']",11666,MT,"[-105.31856, 45.10074]",BIDDLE,3312.0
"['245870 2', 'USC00245870 6', 'MORM8 7']",11667,MT,"[-105.7516, 45.1758]",MOORHEAD 9 NE,3220.0
"['246287 2', 'USC00246287 6', 'OTTM8 7']",11668,MT,"[-106.25, 45.1]",OTTER 9 SSW,4060.0
"['242268 2', 'DKRM8 7']",11669,MT,"[-106.77083, 45.14139]",DECKER 8 NE,3050.0
"['249175 2', 'USC00249175 6', 'WYLM8 7']",11670,MT,"[-107.40611, 45.12167]",WYOLA 1 SW,3730.0
"['246759 2', 'USC00246759 6']",11671,MT,"[-108.23333, 45.1]",PRYOR 27 SE HILLSBORO,4003.0
"['246920 2', 'REDM8 7']",11672,MT,"[-109.3, 45.12361]",RED LODGE 6 SSW,6101.0
"['242054 2', 'USC00242054 6']",11673,MT,"[-110.81667, 45.13333]",CORWIN SPRINGS,5135.0
"['242061 2', '242057 2']",11674,MT,"[-110.8, 45.11667]",CORWIN SPRINGS RIVER TEL,5082.0
"['243369 2', '242699 2', 'USC00243369 6']",11675,MT,"[-111.23333, 45.11666]",GALLATIN GATEWAY 32,6404.0
['247269 2'],11676,MT,"[-108.41667, 45.18333]",SAGE CREEK RIVER STN 5 ESE,7654.0
"['246918 2', 'USC00246918 6', 'RELM8 7']",11677,MT,"[-109.2571, 45.1769]",RED LODGE,5646.0
"['240088 2', 'USC00240088 6', 'ALBM8 7']",11678,MT,"[-104.2647, 45.2088]",ALBION 1 N,3312.0
['246753 2'],11679,MT,"[-108.26667, 45.23333]",PRYOR 18 SE DRYHEAD R,3802.0
"['245961 2', 'USC00245961 6', 'MYSM8 7']",11680,MT,"[-109.7311, 45.2436]",MYSTIC LAKE,6544.0
"['243368 2', 'USC00243368 6']",11681,MT,"[-111.25, 45.23333]",GALLATIN GATEWAY 26 S,6155.0
"['240775 2', '243372 2', 'USC00240775 6', 'USC00243372 6', 'BGSM8 7', 'BTSM8 7']",11682,MT,"[-111.3252, 45.2774]",BIG SKY 2WNW,6590.0
"['241408 2', 'USC00241408 6', 'CMNM8 7']",11683,MT,"[-111.68333, 45.2]",CAMERON,5500.0
"['242409 2', 'USC00242409 6', 'DLLM8 7']",11684,MT,"[-112.639, 45.209]",DILLON U OF MONTANA WESTERN,5129.0
"['241040 2', 'USC00241040 6']",11685,MT,"[-105.01667, 45.26667]",BOYES,3333.0
"['240821 2', 'USC00240821 6']",11686,MT,"[-106.35, 45.28333]",BIRNEY 7 E,3002.0
['245159 2'],11687,MT,"[-111.3, 45.26667]",LONE MOUNTAIN,6194.0
"['240115 2', 'USC00240115 6', 'ALRM8 7']",11688,MT,"[-112.11667, 45.25]",ALDER RUBY DAM,5290.0
"['240255 2', 'USC00240255 6']",11689,MT,"[-112.86667, 45.28333]",ARGENTA,6004.0
['243129 2'],11690,MT,"[-106.13333, 45.3]",FORT HOWES RANGER STN,3202.0
"['240824 2', 'USC00240824 6']",11691,MT,"[-106.25, 45.33333]",BIRNEY 11 E,3904.0
"['240819 2', 'USC00240819 6', 'BIRM8 7']",11692,MT,"[-106.5125, 45.32472]",BIRNEY,3160.0
"['244701 2', 'USC00244701 6']",11693,MT,"[-106.98333, 45.31667]",KIRBY 1 S,3953.0
"['94001 1', '245106 2', 'LDGM 3', 'USC00245106 6', 'LDGM8 7', 'LDGM 7']",11694,MT,"[-107.3787, 45.379]",LODGE GRASS,3263.0
"['249240 2', 'USC00249240 6', 'BHRM8 7']",11695,MT,"[-107.9383, 45.3127]",YELLOWTAIL DAM,3305.0
['247324 2'],11696,MT,"[-107.93333, 45.31667]",ST XAVIER 15 SW,3104.0
"['241102 2', 'USC00241102 6', 'BDGM8 7']",11697,MT,"[-108.9091, 45.3261]",BRIDGER 2 N,3583.0
"['247182 2', 'USC00247182 6']",11698,MT,"[-109.55, 45.31667]",ROSCOE 4 SW,5564.0
"['248597 2', 'USC00248597 6', 'VACM8 7']",11699,MT,"[-111.94456, 45.29252]",VIRGINIA CITY,5833.0
"['240100 2', 'USC00240100 6']",11700,MT,"[-112.11667, 45.31667]",ALDER,5125.0
"['240325 2', 'USC00240325 6']",11701,MT,"[-106.26667, 45.35]",ASHLAND 17 S,3904.0
"['242661 2', 'USC00242661 6']",11702,MT,"[-108.71667, 45.38333]",EDGAR 9 SE,4003.0
"['247128 2', 'USC00247128 6', 'ROBM8 7']",11703,MT,"[-109.1697, 45.3752]",ROBERTS 1 W,4530.0
"['247178 2', 'USC00247178 6']",11704,MT,"[-109.5, 45.35]",ROSCOE,5003.0
"['246188 2', 'USC00246188 6']",11705,MT,"[-109.88333, 45.38333]",NYE,5033.0
"['246195 2', 'USC00246195 6']",11706,MT,"[-109.9, 45.38333]",NYE MOUAT MINE,6936.0
"['242778 2', 'USC00242778 6']",11707,MT,"[-110.71667, 45.36667]",EMIGRANT,5003.0
"['242793 2', 'USC00242793 6', 'ENSM8 7']",11708,MT,"[-111.7122, 45.3394]",ENNIS,4953.0
"['246608 2', 'USC00246608 6']",11709,MT,"[-113.11667, 45.36667]",POLARIS,6706.0
"['244447 2', 'USC00244447 6', 'JACM8 7']",11710,MT,"[-113.4089, 45.368]",JACKSON,6480.0
"['24085 1', '241127 2', '4BQ 3', 'USC00241127 6', '4BQ 7']",11711,MT,"[-105.4072, 45.4441]",BROADUS,3032.0
"['247740 2', 'USC00247740 6', 'SONM8 7']",11712,MT,"[-105.9137, 45.3242]",SONNETTE 7 SW,3914.0
"['247730 2', 'USC00247730 6']",11713,MT,"[-105.83333, 45.4]",SONNETTE,3802.0
"['241418 2', 'USC00241418 6']",11714,MT,"[-107.9, 45.41667]",CAMPBELL FARM CAMP 4,3652.0
