datetime,00010_Mean,00010_Mean_cd,site_no,00060_Mean,00060_Mean_cd,00300_Mean,00300_Mean_cd,80154_Mean,80154_Mean_cd,80155_Mean,80155_Mean_cd
2017-10-01 00:00:00+00:00,,,09326500,17.1,A,,,,,,
2017-10-02 00:00:00+00:00,,,09326500,17.9,A,,,,,,
2017-10-03 00:00:00+00:00,,,09326500,17.0,A,,,,,,
2017-10-04 00:00:00+00:00,,,09326500,17.9,A,,,,,,
2017-10-05 00:00:00+00:00,,,09326500,17.1,A,,,,,,
2017-10-06 00:00:00+00:00,,,09326500,16.7,A,,,,,,
2017-10-07 00:00:00+00:00,,,09326500,16.3,A,,,,,,
2017-10-08 00:00:00+00:00,,,09326500,16.1,A,,,,,,
2017-10-09 00:00:00+00:00,,,09326500,15.8,A,,,,,,
2017-10-10 00:00:00+00:00,,,09326500,15.3,A,,,,,,
2017-10-11 00:00:00+00:00,,,09326500,16.3,A,,,,,,
2017-10-12 00:00:00+00:00,,,09326500,16.6,A,,,,,,
2017-10-13 00:00:00+00:00,,,09326500,15.1,A,,,,,,
2017-10-14 00:00:00+00:00,,,09326500,15.0,A,,,,,,
2017-10-15 00:00:00+00:00,,,09326500,14.1,"A, e",,,,,,
2017-10-16 00:00:00+00:00,,,09326500,14.8,A,,,,,,
2017-10-17 00:00:00+00:00,,,09326500,15.1,A,,,,,,
2017-10-18 00:00:00+00:00,,,09326500,15.3,A,,,,,,
2017-10-19 00:00:00+00:00,,,09326500,15.0,A,,,,,,
2017-10-20 00:00:00+00:00,,,09326500,15.0,A,,,,,,
2017-10-21 00:00:00+00:00,,,09326500,13.7,A,,,,,,
2017-10-22 00:00:00+00:00,,,09326500,14.4,A,,,,,,
2017-10-23 00:00:00+00:00,,,09326500,15.2,A,,,,,,
2017-10-24 00:00:00+00:00,,,09326500,14.0,A,,,,,,
2017-10-25 00:00:00+00:00,,,09326500,13.6,A,,,,,,
2017-10-26 00:00:00+00:00,,,09326500,14.0,A,,,,,,
2017-10-27 00:00:00+00:00,,,09326500,13.6,A,,,,,,
2017-10-28 00:00:00+00:00,,,09326500,13.7,A,,,,,,
2017-10-29 00:00:00+00:00,,,09326500,13.4,A,,,,,,
2017-10-30 00:00:00+00:00,,,09326500,13.8,A,,,,,,
2017-10-31 00:00:00+00:00,,,09326500,13.8,A,,,,,,
2017-11-01 00:00:00+00:00,,,09326500,13.5,A,,,,,,
2017-11-02 00:00:00+00:00,,,09326500,13.7,A,,,,,,
2017-11-03 00:00:00+00:00,,,09326500,13.2,A,,,,,,
2017-11-04 00:00:00+00:00,,,09326500,14.5,A,,,,,,
2017-11-05 00:00:00+00:00,,,09326500,20.3,A,,,,,,
2017-11-06 00:00:00+00:00,,,09326500,15.7,A,,,,,,
2017-11-07 00:00:00+00:00,,,09326500,14.4,A,,,,,,
2017-11-08 00:00:00+00:00,,,09326500,10.4,"A, e",,,,,,
2017-11-09 00:00:00+00:00,,,09326500,13.2,"A, e",,,,,,
2017-11-10 00:00:00+00:00,,,09326500,14.5,A,,,,,,
2017-11-11 00:00:00+00:00,,,09326500,13.9,A,,,,,,
2017-11-12 00:00:00+00:00,,,09326500,11.4,A,,,,,,
2017-11-13 00:00:00+00:00,,,09326500,13.7,A,,,,,,
2017-11-14 00:00:00+00:00,,,09326500,13.0,A,,,,,,
2017-11-15 00:00:00+00:00,,,09326500,11.9,A,,,,,,
2017-11-16 00:00:00+00:00,,,09326500,13.0,A,,,,,,
2017-11-17 00:00:00+00:00,,,09326500,15.0,A,,,,,,
2017-11-18 00:00:00+00:00,,,09326500,7.75,"A, e",,,,,,
2017-11-19 00:00:00+00:00,,,09326500,8.52,"A, e",,,,,,
2017-11-20 00:00:00+00:00,,,09326500,10.1,"A, e",,,,,,
2017-11-21 00:00:00+00:00,,,09326500,10.7,"A, e",,,,,,
2017-11-22 00:00:00+00:00,,,09326500,13.1,"A, e",,,,,,
2017-11-23 00:00:00+00:00,,,09326500,12.6,"A, e",,,,,,
2017-11-24 00:00:00+00:00,,,09326500,12.9,"A, e",,,,,,
2017-11-25 00:00:00+00:00,,,09326500,12.1,"A, e",,,,,,
2017-11-26 00:00:00+00:00,,,09326500,11.6,"A, e",,,,,,
2017-11-27 00:00:00+00:00,,,09326500,11.9,"A, e",,,,,,
2017-11-28 00:00:00+00:00,,,09326500,8.76,"A, e",,,,,,
2017-11-29 00:00:00+00:00,,,09326500,6.23,"A, e",,,,,,
2017-11-30 00:00:00+00:00,,,09326500,6.27,"A, e",,,,,,
2017-12-01 00:00:00+00:00,,,09326500,5.55,"A, e",,,,,,
2017-12-02 00:00:00+00:00,,,09326500,6.02,"A, e",,,,,,
2017-12-03 00:00:00+00:00,,,09326500,5.62,"A, e",,,,,,
2017-12-04 00:00:00+00:00,,,09326500,5.1,"A, e",,,,,,
2017-12-05 00:00:00+00:00,,,09326500,4.88,"A, e",,,,,,
2017-12-06 00:00:00+00:00,,,09326500,5.13,"A, e",,,,,,
2017-12-07 00:00:00+00:00,,,09326500,5.33,"A, e",,,,,,
2017-12-08 00:00:00+00:00,,,09326500,5.55,"A, e",,,,,,
2017-12-09 00:00:00+00:00,,,09326500,5.82,"A, e",,,,,,
2017-12-10 00:00:00+00:00,,,09326500,6.62,"A, e",,,,,,
2017-12-11 00:00:00+00:00,,,09326500,7.86,"A, e",,,,,,
2017-12-12 00:00:00+00:00,,,09326500,8.06,"A, e",,,,,,
2017-12-13 00:00:00+00:00,,,09326500,8.24,"A, e",,,,,,
2017-12-14 00:00:00+00:00,,,09326500,6.87,"A, e",,,,,,
2017-12-15 00:00:00+00:00,,,09326500,5.9,"A, e",,,,,,
2017-12-16 00:00:00+00:00,,,09326500,6.88,"A, e",,,,,,
2017-12-17 00:00:00+00:00,,,09326500,7.58,"A, e",,,,,,
2017-12-18 00:00:00+00:00,,,09326500,7.88,"A, e",,,,,,
2017-12-19 00:00:00+00:00,,,09326500,7.92,"A, e",,,,,,
2017-12-20 00:00:00+00:00,,,09326500,6.61,"A, e",,,,,,
2017-12-21 00:00:00+00:00,,,09326500,4.94,"A, e",,,,,,
2017-12-22 00:00:00+00:00,,,09326500,3.92,"A, e",,,,,,
2017-12-23 00:00:00+00:00,,,09326500,3.63,"A, e",,,,,,
2017-12-24 00:00:00+00:00,,,09326500,4.43,"A, e",,,,,,
