datetime,00010_2_Mean,00010_2_Mean_cd,site_no,00060_Mean,00060_Mean_cd
1995-10-01 00:00:00+00:00,,,13010065,328.0,A
1995-10-02 00:00:00+00:00,,,13010065,316.0,A
1995-10-03 00:00:00+00:00,,,13010065,343.0,A
1995-10-04 00:00:00+00:00,,,13010065,437.0,A
1995-10-05 00:00:00+00:00,,,13010065,390.0,A
1995-10-06 00:00:00+00:00,,,13010065,375.0,A
1995-10-07 00:00:00+00:00,,,13010065,387.0,A
1995-10-08 00:00:00+00:00,,,13010065,385.0,A
1995-10-09 00:00:00+00:00,,,13010065,375.0,A
1995-10-10 00:00:00+00:00,,,13010065,374.0,A
1995-10-11 00:00:00+00:00,,,13010065,382.0,A
1995-10-12 00:00:00+00:00,,,13010065,419.0,A
1995-10-13 00:00:00+00:00,,,13010065,406.0,A
1995-10-14 00:00:00+00:00,,,13010065,386.0,A
1995-10-15 00:00:00+00:00,,,13010065,387.0,A
1995-10-16 00:00:00+00:00,,,13010065,381.0,A
1995-10-17 00:00:00+00:00,,,13010065,376.0,A
1995-10-18 00:00:00+00:00,,,13010065,438.0,A
1995-10-19 00:00:00+00:00,,,13010065,430.0,A
1995-10-20 00:00:00+00:00,,,13010065,383.0,A
1995-10-21 00:00:00+00:00,,,13010065,387.0,A
1995-10-22 00:00:00+00:00,,,13010065,389.0,A
1995-10-23 00:00:00+00:00,,,13010065,340.0,A
1995-10-24 00:00:00+00:00,,,13010065,353.0,A
1995-10-25 00:00:00+00:00,,,13010065,358.0,A
1995-10-26 00:00:00+00:00,,,13010065,372.0,A
1995-10-27 00:00:00+00:00,,,13010065,350.0,A
1995-10-28 00:00:00+00:00,,,13010065,345.0,A
1995-10-29 00:00:00+00:00,,,13010065,359.0,A
1995-10-30 00:00:00+00:00,,,13010065,353.0,A
1995-10-31 00:00:00+00:00,,,13010065,344.0,A
1995-11-01 00:00:00+00:00,,,13010065,327.0,A
1995-11-02 00:00:00+00:00,,,13010065,274.0,A
1995-11-03 00:00:00+00:00,,,13010065,292.0,A
1995-11-04 00:00:00+00:00,,,13010065,303.0,A
1995-11-05 00:00:00+00:00,,,13010065,313.0,A
1995-11-06 00:00:00+00:00,,,13010065,333.0,A
1995-11-07 00:00:00+00:00,,,13010065,344.0,A
1995-11-08 00:00:00+00:00,,,13010065,362.0,A
1995-11-09 00:00:00+00:00,,,13010065,441.0,A
1995-11-10 00:00:00+00:00,,,13010065,412.0,A
1995-11-11 00:00:00+00:00,,,13010065,406.0,A
1995-11-12 00:00:00+00:00,,,13010065,470.0,A
1995-11-13 00:00:00+00:00,,,13010065,480.0,A
1995-11-14 00:00:00+00:00,,,13010065,492.0,A
1995-11-15 00:00:00+00:00,,,13010065,475.0,A
1995-11-16 00:00:00+00:00,,,13010065,451.0,A
1995-11-17 00:00:00+00:00,,,13010065,432.0,A
1995-11-18 00:00:00+00:00,,,13010065,422.0,A
1995-11-19 00:00:00+00:00,,,13010065,429.0,A
1995-11-20 00:00:00+00:00,,,13010065,399.0,A
1995-11-21 00:00:00+00:00,,,13010065,382.0,A
1995-11-22 00:00:00+00:00,,,13010065,401.0,A
