datetime,00060_Mean,00060_Mean_cd,site_no,00060_adjusted for agency canal_Mean,00060_adjusted for agency canal_Mean_cd
2016-10-01 00:00:00+00:00,137.0,A,06294000,138.0,"A, e"
2016-10-02 00:00:00+00:00,131.0,A,06294000,132.0,"A, e"
2016-10-03 00:00:00+00:00,135.0,A,06294000,136.0,"A, e"
2016-10-04 00:00:00+00:00,199.0,A,06294000,200.0,"A, e"
2016-10-05 00:00:00+00:00,222.0,A,06294000,222.0,"A, e"
2016-10-06 00:00:00+00:00,242.0,A,06294000,243.0,"A, e"
2016-10-07 00:00:00+00:00,215.0,A,06294000,216.0,"A, e"
2016-10-08 00:00:00+00:00,186.0,A,06294000,187.0,"A, e"
2016-10-09 00:00:00+00:00,169.0,A,06294000,170.0,"A, e"
2016-10-10 00:00:00+00:00,157.0,A,06294000,158.0,"A, e"
2016-10-11 00:00:00+00:00,154.0,A,06294000,155.0,"A, e"
2016-10-12 00:00:00+00:00,150.0,A,06294000,151.0,"A, e"
2016-10-13 00:00:00+00:00,153.0,A,06294000,154.0,"A, e"
2016-10-14 00:00:00+00:00,157.0,A,06294000,157.0,"A, e"
2016-10-15 00:00:00+00:00,161.0,A,06294000,162.0,"A, e"
2016-10-16 00:00:00+00:00,159.0,A,06294000,160.0,"A, e"
2016-10-17 00:00:00+00:00,152.0,A,06294000,152.0,"A, e"
2016-10-18 00:00:00+00:00,144.0,A,06294000,145.0,A
2016-10-19 00:00:00+00:00,146.0,A,06294000,147.0,A
2016-10-20 00:00:00+00:00,145.0,A,06294000,146.0,A
2016-10-21 00:00:00+00:00,142.0,A,06294000,143.0,A
2016-10-22 00:00:00+00:00,140.0,A,06294000,141.0,A
2016-10-23 00:00:00+00:00,139.0,A,06294000,139.0,A
2016-10-24 00:00:00+00:00,139.0,A,06294000,139.0,A
2016-10-25 00:00:00+00:00,136.0,A,06294000,137.0,A
2016-10-26 00:00:00+00:00,135.0,A,06294000,136.0,A
2016-10-27 00:00:00+00:00,134.0,A,06294000,135.0,A
2016-10-28 00:00:00+00:00,133.0,A,06294000,134.0,A
2016-10-29 00:00:00+00:00,152.0,A,06294000,153.0,A
2016-10-30 00:00:00+00:00,155.0,A,06294000,156.0,A
2016-10-31 00:00:00+00:00,212.0,A,06294000,213.0,A
2016-11-01 00:00:00+00:00,206.0,A,06294000,206.0,A
2016-11-02 00:00:00+00:00,184.0,A,06294000,184.0,A
2016-11-03 00:00:00+00:00,175.0,A,06294000,175.0,A
2016-11-04 00:00:00+00:00,167.0,A,06294000,167.0,A
2016-11-05 00:00:00+00:00,161.0,A,06294000,161.0,A
2016-11-06 00:00:00+00:00,157.0,A,06294000,157.0,A
2016-11-07 00:00:00+00:00,153.0,A,06294000,153.0,A
2016-11-08 00:00:00+00:00,151.0,A,06294000,151.0,A
2016-11-09 00:00:00+00:00,149.0,A,06294000,149.0,A
2016-11-10 00:00:00+00:00,148.0,A,06294000,148.0,A
2016-11-11 00:00:00+00:00,147.0,A,06294000,147.0,A
2016-11-12 00:00:00+00:00,145.0,A,06294000,145.0,A
2016-11-13 00:00:00+00:00,144.0,A,06294000,144.0,A
2016-11-14 00:00:00+00:00,143.0,A,06294000,143.0,A
2016-11-15 00:00:00+00:00,144.0,A,06294000,144.0,A
2016-11-16 00:00:00+00:00,145.0,A,06294000,145.0,A
2016-11-17 00:00:00+00:00,150.0,A,06294000,150.0,A
2016-11-18 00:00:00+00:00,155.0,A,06294000,155.0,A
2016-11-19 00:00:00+00:00,163.0,A,06294000,163.0,A
2016-11-20 00:00:00+00:00,150.0,A,06294000,150.0,A
2016-11-21 00:00:00+00:00,141.0,A,06294000,141.0,A
2016-11-22 00:00:00+00:00,157.0,A,06294000,157.0,A
2016-11-23 00:00:00+00:00,168.0,A,06294000,168.0,A
2016-11-24 00:00:00+00:00,191.0,A,06294000,191.0,A
2016-11-25 00:00:00+00:00,186.0,A,06294000,186.0,A
2016-11-26 00:00:00+00:00,172.0,A,06294000,172.0,A
2016-11-27 00:00:00+00:00,160.0,A,06294000,160.0,A
2016-11-28 00:00:00+00:00,157.0,A,06294000,157.0,A
2016-11-29 00:00:00+00:00,154.0,A,06294000,154.0,A
2016-11-30 00:00:00+00:00,135.0,"A, e",06294000,135.0,"A, e"
2016-12-01 00:00:00+00:00,124.0,"A, e",06294000,124.0,"A, e"
2016-12-02 00:00:00+00:00,122.0,"A, e",06294000,122.0,"A, e"
2016-12-03 00:00:00+00:00,123.0,"A, e",06294000,123.0,"A, e"
2016-12-04 00:00:00+00:00,125.0,"A, e",06294000,125.0,"A, e"
2016-12-05 00:00:00+00:00,120.0,"A, e",06294000,120.0,"A, e"
2016-12-06 00:00:00+00:00,69.2,"A, e",06294000,69.2,"A, e"
2016-12-07 00:00:00+00:00,96.2,"A, e",06294000,96.2,"A, e"
2016-12-08 00:00:00+00:00,119.0,"A, e",06294000,119.0,"A, e"
2016-12-09 00:00:00+00:00,137.0,"A, e",06294000,137.0,"A, e"
2016-12-10 00:00:00+00:00,149.0,"A, e",06294000,149.0,"A, e"
2016-12-11 00:00:00+00:00,155.0,"A, e",06294000,155.0,"A, e"
2016-12-12 00:00:00+00:00,157.0,"A, e",06294000,157.0,"A, e"
2016-12-13 00:00:00+00:00,156.0,"A, e",06294000,156.0,"A, e"
2016-12-14 00:00:00+00:00,150.0,"A, e",06294000,150.0,"A, e"
2016-12-15 00:00:00+00:00,142.0,"A, e",06294000,142.0,"A, e"
2016-12-16 00:00:00+00:00,133.0,"A, e",06294000,133.0,"A, e"
2016-12-17 00:00:00+00:00,125.0,"A, e",06294000,125.0,"A, e"
2016-12-18 00:00:00+00:00,122.0,"A, e",06294000,122.0,"A, e"
2016-12-19 00:00:00+00:00,122.0,"A, e",06294000,122.0,"A, e"
2016-12-20 00:00:00+00:00,121.0,"A, e",06294000,121.0,"A, e"
2016-12-21 00:00:00+00:00,122.0,"A, e",06294000,122.0,"A, e"
2016-12-22 00:00:00+00:00,121.0,"A, e",06294000,121.0,"A, e"
2016-12-23 00:00:00+00:00,121.0,"A, e",06294000,121.0,"A, e"
2016-12-24 00:00:00+00:00,121.0,"A, e",06294000,121.0,"A, e"
2016-12-25 00:00:00+00:00,121.0,"A, e",06294000,121.0,"A, e"
2016-12-26 00:00:00+00:00,120.0,"A, e",06294000,120.0,"A, e"
2016-12-27 00:00:00+00:00,119.0,"A, e",06294000,119.0,"A, e"
2016-12-28 00:00:00+00:00,118.0,"A, e",06294000,118.0,"A, e"
2016-12-29 00:00:00+00:00,116.0,"A, e",06294000,116.0,"A, e"
2016-12-30 00:00:00+00:00,114.0,"A, e",06294000,114.0,"A, e"
2016-12-31 00:00:00+00:00,109.0,"A, e",06294000,109.0,"A, e"
2017-01-01 00:00:00+00:00,103.0,"A, e",06294000,103.0,"A, e"
2017-01-02 00:00:00+00:00,97.6,"A, e",06294000,97.6,"A, e"
2017-01-03 00:00:00+00:00,93.2,"A, e",06294000,93.2,"A, e"
2017-01-04 00:00:00+00:00,88.3,"A, e",06294000,88.3,"A, e"
2017-01-05 00:00:00+00:00,85.8,"A, e",06294000,85.8,"A, e"
2017-01-06 00:00:00+00:00,82.4,"A, e",06294000,82.4,"A, e"
2017-01-07 00:00:00+00:00,79.2,"A, e",06294000,79.2,"A, e"
2017-01-08 00:00:00+00:00,77.2,"A, e",06294000,77.2,"A, e"
2017-01-09 00:00:00+00:00,76.9,"A, e",06294000,76.9,"A, e"
2017-01-10 00:00:00+00:00,77.1,"A, e",06294000,77.1,"A, e"
2017-01-11 00:00:00+00:00,76.7,"A, e",06294000,76.7,"A, e"
2017-01-12 00:00:00+00:00,76.7,"A, e",06294000,76.7,"A, e"
2017-01-13 00:00:00+00:00,76.7,"A, e",06294000,76.7,"A, e"
2017-01-14 00:00:00+00:00,76.6,"A, e",06294000,76.6,"A, e"
2017-01-15 00:00:00+00:00,76.4,"A, e",06294000,76.4,"A, e"
2017-01-16 00:00:00+00:00,76.2,"A, e",06294000,76.2,"A, e"
2017-01-17 00:00:00+00:00,75.9,"A, e",06294000,75.9,"A, e"
2017-01-18 00:00:00+00:00,75.5,"A, e",06294000,75.5,"A, e"
2017-01-19 00:00:00+00:00,75.4,"A, e",06294000,75.4,"A, e"
2017-01-20 00:00:00+00:00,75.3,"A, e",06294000,75.3,"A, e"
2017-01-21 00:00:00+00:00,75.1,"A, e",06294000,75.1,"A, e"
2017-01-22 00:00:00+00:00,74.8,"A, e",06294000,74.8,"A, e"
2017-01-23 00:00:00+00:00,74.7,"A, e",06294000,74.7,"A, e"
2017-01-24 00:00:00+00:00,74.2,"A, e",06294000,74.2,"A, e"
2017-01-25 00:00:00+00:00,73.9,"A, e",06294000,73.9,"A, e"
2017-01-26 00:00:00+00:00,74.0,"A, e",06294000,74.0,"A, e"
