,nrcs_id,inu_pc_smn,inu_pc_smx,inu_pc_slt,inu_pc_umn,inu_pc_umx,inu_pc_ult,lka_pc_sse,lka_pc_use,dor_pc_pva,slp_dg_sav,slp_dg_uav,sgr_dk_sav,tmp_dc_uyr,ari_ix_sav,ari_ix_uav,cmi_ix_uyr,snw_pc_uyr,glc_pc_s01,glc_pc_s02,glc_pc_s03,glc_pc_s04,glc_pc_s05,glc_pc_s06,glc_pc_s07,glc_pc_s08,glc_pc_s09,glc_pc_s10,glc_pc_s11,glc_pc_s12,glc_pc_s13,glc_pc_s14,glc_pc_s15,glc_pc_s16,glc_pc_s17,glc_pc_s18,glc_pc_s19,glc_pc_s20,glc_pc_s21,glc_pc_s22,glc_pc_u01,glc_pc_u02,glc_pc_u03,glc_pc_u04,glc_pc_u05,glc_pc_u06,glc_pc_u07,glc_pc_u08,glc_pc_u09,glc_pc_u10,glc_pc_u11,glc_pc_u12,glc_pc_u13,glc_pc_u14,glc_pc_u15,glc_pc_u16,glc_pc_u17,glc_pc_u18,glc_pc_u19,glc_pc_u20,glc_pc_u21,glc_pc_u22,wet_pc_sg1,wet_pc_sg2,wet_pc_ug1,wet_pc_ug2,for_pc_sse,for_pc_use,crp_pc_sse,crp_pc_use,pst_pc_sse,pst_pc_use,ire_pc_sse,ire_pc_use,gla_pc_sse,gla_pc_use,prm_pc_sse,prm_pc_use,pac_pc_sse,pac_pc_use,cly_pc_sav,cly_pc_uav,slt_pc_sav,slt_pc_uav,snd_pc_sav,snd_pc_uav,soc_th_sav,soc_th_uav,swc_pc_syr,swc_pc_uyr,swc_pc_s01,swc_pc_s02,swc_pc_s03,swc_pc_s04,swc_pc_s05,swc_pc_s06,swc_pc_s07,swc_pc_s08,swc_pc_s09,swc_pc_s10,swc_pc_s11,swc_pc_s12,kar_pc_sse,kar_pc_use,ero_kh_sav,ero_kh_uav,ppd_pk_sav,ppd_pk_uav,urb_pc_sse,urb_pc_use,nli_ix_sav,nli_ix_uav,rdd_mk_sav,rdd_mk_uav,hft_ix_s93,hft_ix_u93,hft_ix_s09,hft_ix_u09,gwt_cm_sav,run_mm_syr,lkv_mc_usu,rev_mc_usu,ria_ha_ssu,ria_ha_usu,riv_tc_ssu,riv_tc_usu,pre_mm_uyr,pet_mm_syr,pet_mm_s01,pet_mm_s02,pet_mm_s03,pet_mm_s04,pet_mm_s05,pet_mm_s06,pet_mm_s07,pet_mm_s08,pet_mm_s09,pet_mm_s10,pet_mm_s11,pet_mm_s12,pet_mm_uyr,aet_mm_syr,aet_mm_s01,aet_mm_s02,aet_mm_s03,aet_mm_s04,aet_mm_s05,aet_mm_s06,aet_mm_s07,aet_mm_s08,aet_mm_s09,aet_mm_s10,aet_mm_s11,aet_mm_s12,aet_mm_uyr,pop_ct_ssu,pop_ct_usu,clz_cl_smj,cls_cl_smj,glc_cl_smj,pnv_cl_smj,wet_cl_smj,tbi_cl_smj,tec_cl_smj,fmh_cl_smj,fec_cl_smj,lit_cl_smj,SUB_AREA,UP_AREA,COAST,ORDER_,ENDO
10,09109209:CO:USGS,0,0,2,0,0,2,3,3,403,110,110,306,31,57,57,-44,34,0,0,0,77,0,0,0,0,0,0,0,11,8,1,0,3,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,11,8,1,0,3,0,0,0,0,0,0,5,4,5,4,77,77,5,5,40,40,5,5,0,0,3,4,15,15,13,13,35,35,52,52,44,44,50,50,59,63,65,64,58,47,39,36,36,38,43,50,4,4,2566,2569,4.6020002365112305,4.5980000495910645,0,0,166,200,97,97,34,34,40,40,513,144,1332,1172,4112.7919921875,4112.7900390625,43114.08984375,43114.01953125,493,956,16,24,47,76,118,152,167,144,102,64,30,17,956,402,8,13,27,44,61,64,59,48,34,23,11,7,402,95.45899963378906,95.45899963378906,7,37,4,4,11.0,5,353,4,130,3,20774.7,20774.7,0,3,0
11,09050700:CO:USGS,0,0,2,0,0,2,8,8,1047,120,120,291,11,67,67,-33,44,0,0,0,85,0,0,0,0,0,0,0,4,9,1,0,1,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,4,9,1,0,1,0,0,0,0,0,0,6,5,6,5,85,85,4,4,27,27,3,3,0,0,5,5,22,22,11,11,35,35,54,54,55,55,58,58,66,71,74,74,69,59,49,44,42,43,48,55,30,30,2272,2275,5.13700008392334,5.1529998779296875,0,0,422,400,94,94,45,45,53,53,467,132,1347,1251,1432.9139404296875,1432.9119873046875,11674.984375,11674.986328125,533,841,13,19,37,65,104,136,154,133,91,54,23,13,841,436,8,12,26,45,67,75,71,55,36,22,10,7,436,43.68199920654297,43.68199920654297,7,37,4,6,11.0,5,353,4,130,9,8833.4,8833.4,0,2,0
12,09080190:CO:USGS,0,0,0,0,0,0,1,1,236,168,168,398,9,67,67,-33,46,0,0,0,91,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,91,91,1,1,18,18,3,3,0,0,9,9,40,40,12,12,37,37,51,51,56,56,58,58,66,72,75,74,68,57,48,43,42,43,48,56,30,30,4149,4154,12.125,12.109000205993652,1,1,427,400,105,104,49,49,54,54,596,175,170,160,625.458984375,625.458984375,3517.344970703125,3517.344970703125,522,840,13,19,37,63,102,135,153,132,91,55,25,14,839,421,8,13,26,44,65,71,68,53,35,22,11,7,421,45.42399978637695,45.42399978637695,7,37,4,6,1.0,5,353,4,130,9,3754.4,3754.4,0,3,0
13,09211150:WY:USGS,0,0,2,0,0,2,5,5,178,47,47,106,25,33,33,-67,30,0,0,0,21,0,0,0,0,0,0,1,66,10,0,0,1,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,1,66,10,0,0,1,0,0,0,0,0,0,6,6,6,6,21,21,4,4,62,62,2,2,0,0,1,1,8,7,15,14,34,33,52,52,19,19,31,31,36,39,40,40,38,33,27,22,21,22,25,28,2,2,1290,1286,2.072000026702881,2.0850000381469727,0,0,255,300,62,61,37,37,38,38,550,134,797,449,4539.22705078125,4539.22802734375,34994.2265625,34994.2265625,285,925,11,18,39,72,116,149,178,153,99,57,22,11,925,251,3,6,14,26,41,46,44,32,19,12,5,2,250,53.694000244140625,53.694000244140625,8,45,12,12,11.0,13,438,4,130,3,25897.9,25898.2,0,1,0
14,10128500:UT:USGS,6,9,10,6,9,10,34,34,405,113,114,224,49,57,57,-43,32,0,0,0,75,0,0,0,0,0,0,0,10,7,0,0,4,0,0,0,2,0,1,0,0,0,75,0,0,0,0,0,0,0,10,7,0,0,4,0,0,0,2,0,1,4,1,4,1,75,75,6,6,26,26,5,5,0,0,0,0,9,9,21,21,41,41,38,37,29,29,52,52,62,70,74,74,68,55,41,32,29,32,40,50,13,13,1910,1910,43.417999267578125,43.345001220703125,3,3,1132,1100,498,497,80,80,89,89,435,182,404,399,1096.2960205078125,1096.2950439453125,8398.0634765625,8398.0673828125,548,982,17,24,46,76,119,152,181,157,105,62,27,16,982,457,10,16,33,55,78,80,70,47,30,20,10,8,457,245.62100219726562,245.62100219726562,8,45,4,5,1.0,5,368,4,127,3,5671.9,5671.9,0,2,1
15,,1,6,10,1,6,10,11,11,884,117,117,408,87,68,68,-33,26,0,0,0,75,0,0,0,0,0,0,1,13,7,1,0,3,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,1,13,7,1,0,3,0,0,0,0,0,0,11,9,11,9,75,75,10,10,13,13,9,9,0,0,1,1,40,40,14,14,30,30,57,56,35,35,54,54,71,83,87,84,72,55,39,27,23,24,34,52,0,0,5323,5315,27.5939998626709,27.73200035095215,1,1,439,400,241,242,38,38,39,39,478,310,1383,1296,1270.5389404296875,1270.5340576171875,11751.8837890625,11751.900390625,650,1084,32,40,61,87,124,152,175,156,113,75,40,29,1085,471,22,31,49,66,79,71,56,35,21,15,12,14,471,145.33799743652344,145.33900451660156,12,86,4,4,11.0,5,366,5,125,9,5265.3,5265.3,0,3,0
16,,2,7,18,2,7,18,6,6,1158,112,112,386,108,69,69,-32,18,0,0,0,74,0,0,0,0,0,0,0,12,7,1,0,6,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,12,7,1,0,6,0,0,0,0,0,0,1,0,1,0,74,74,10,10,18,18,12,12,0,0,0,0,39,39,15,15,32,31,53,53,33,33,53,53,75,85,86,83,70,51,34,23,18,20,33,55,0,0,3377,3374,13.071999549865723,13.104000091552734,1,1,336,300,212,212,55,55,58,58,467,348,1502,1492,1013.1630249023438,1013.1619873046875,10118.37890625,10118.3876953125,742,1192,33,44,69,97,138,167,192,171,124,82,43,30,1192,507,25,35,57,76,88,75,56,33,20,14,13,16,507,47.183998107910156,47.183998107910156,12,84,4,4,11.0,5,366,5,125,9,3604.0,3604.2,0,3,0
17,,2,7,10,2,7,10,11,12,607,102,102,309,115,96,96,-7,19,0,0,0,83,0,0,0,0,0,0,0,5,3,1,0,2,0,0,0,0,0,6,0,0,0,83,0,0,0,0,0,0,0,5,3,1,0,2,0,0,0,0,0,6,2,1,2,1,83,83,3,3,6,6,3,3,0,0,0,0,6,6,16,16,33,32,52,52,40,40,61,61,89,94,95,92,79,58,38,25,20,24,46,74,0,0,1836,1834,189.60899353027344,190.1739959716797,12,12,1421,1400,1445,1448,101,101,103,103,453,507,2033,1982,1922.010009765625,1922.009033203125,19153.2890625,19153.302734375,1086,1183,32,42,67,96,138,167,193,172,125,80,41,29,1183,594,28,39,63,87,103,88,65,39,23,19,18,22,594,1130.5899658203125,1130.5899658203125,11,78,4,4,11.0,5,366,5,125,3,5980.6,5980.6,0,2,0
18,12409000:WA:USGS,2,2,2,2,3,4,12,21,654,123,170,320,28,62,96,-9,43,0,0,0,77,0,4,0,0,0,0,1,14,1,0,0,0,0,0,0,2,0,0,0,0,0,65,0,6,0,0,1,0,1,9,2,10,1,1,0,0,0,3,2,0,3,1,4,2,81,70,2,2,8,6,1,1,0,1,0,4,6,13,10,12,39,39,51,48,67,65,57,71,70,77,80,76,68,58,46,37,34,36,43,56,17,24,659,2118,2.8540000915527344,3.8429999351501465,0,0,202,200,68,55,29,27,29,26,622,165,162361,60318,9611.830078125,78134.3046875,529810.1875,2179605.75,680,827,8,16,38,71,112,137,164,138,84,39,13,7,760,418,5,12,29,53,73,76,71,49,28,13,5,3,477,48.67900085449219,621.2470092773438,8,37,4,6,11.0,5,361,6,120,9,18231.0,173021.2,0,2,0
19,12451000:WA:USGS,3,3,6,2,3,4,30,21,648,204,158,646,34,106,88,-15,41,0,0,0,70,0,0,0,0,0,0,0,17,3,8,0,1,0,0,0,0,1,0,0,0,0,66,0,5,0,0,0,0,1,11,3,8,1,1,0,0,0,2,2,0,4,0,4,2,70,71,7,4,7,8,2,1,1,1,1,3,33,12,10,12,41,39,49,48,68,65,64,67,82,86,87,84,75,62,49,38,35,40,56,72,11,20,6812,1947,4.8979997634887695,7.77400016784668,0,0,366,300,90,82,33,33,33,32,800,564,214098,68935,4945.4619140625,102905.484375,310069.25,3235354.5,646,802,9,17,38,67,106,131,156,133,83,42,14,8,782,420,7,14,31,52,73,74,68,46,27,15,7,5,459,16.88599967956543,1671.251953125,8,54,4,6,1.0,5,358,6,120,9,4457.9,228648.3,0,2,0
