datetime,00060_Mean,00060_Mean_cd,site_no,00065_Mean,00065_Mean_cd,30208_m^3/s_Mean,30208_m^3/s_Mean_cd,99065_meters_Mean,99065_meters_Mean_cd
2018-10-01 00:00:00+00:00,40.2,A,12306500,3.34,A,,,,
2018-10-02 00:00:00+00:00,48.1,A,12306500,3.38,A,,,,
2018-10-03 00:00:00+00:00,61.1,A,12306500,3.44,A,,,,
2018-10-04 00:00:00+00:00,56.7,A,12306500,3.42,A,,,,
2018-10-05 00:00:00+00:00,53.3,A,12306500,3.4,A,,,,
2018-10-06 00:00:00+00:00,52.5,A,12306500,3.4,A,,,,
2018-10-07 00:00:00+00:00,52.5,A,12306500,3.4,A,,,,
2018-10-08 00:00:00+00:00,50.5,A,12306500,3.39,A,,,,
2018-10-09 00:00:00+00:00,49.4,A,12306500,3.39,A,,,,
2018-10-10 00:00:00+00:00,48.2,A,12306500,3.38,A,,,,
2018-10-11 00:00:00+00:00,48.2,A,12306500,3.38,A,,,,
2018-10-12 00:00:00+00:00,48.1,A,12306500,3.38,A,,,,
2018-10-13 00:00:00+00:00,46.5,A,12306500,3.37,A,,,,
2018-10-14 00:00:00+00:00,46.2,A,12306500,3.37,A,,,,
2018-10-15 00:00:00+00:00,46.2,A,12306500,3.37,A,,,,
2018-10-16 00:00:00+00:00,46.2,A,12306500,3.37,A,,,,
2018-10-17 00:00:00+00:00,46.2,A,12306500,3.37,A,,,,
2018-10-18 00:00:00+00:00,46.2,A,12306500,3.37,A,,,,
2018-10-19 00:00:00+00:00,46.2,A,12306500,3.37,A,,,,
2018-10-20 00:00:00+00:00,46.2,A,12306500,3.37,A,,,,
2018-10-21 00:00:00+00:00,46.2,A,12306500,3.37,A,,,,
2018-10-22 00:00:00+00:00,46.2,A,12306500,3.37,A,,,,
2018-10-23 00:00:00+00:00,46.2,A,12306500,3.37,A,,,,
2018-10-24 00:00:00+00:00,46.2,A,12306500,3.37,A,,,,
2018-10-25 00:00:00+00:00,46.5,A,12306500,3.37,A,,,,
2018-10-26 00:00:00+00:00,50.4,A,12306500,3.39,A,,,,
2018-10-27 00:00:00+00:00,57.7,A,12306500,3.42,A,,,,
2018-10-28 00:00:00+00:00,66.9,A,12306500,3.46,A,,,,
2018-10-29 00:00:00+00:00,82.7,A,12306500,3.52,A,,,,
2018-10-30 00:00:00+00:00,73.4,A,12306500,3.49,A,,,,
2018-10-31 00:00:00+00:00,68.4,A,12306500,3.47,A,,,,
2018-11-01 00:00:00+00:00,67.2,A,12306500,3.46,A,,,,
2018-11-02 00:00:00+00:00,93.8,A,12306500,3.56,A,,,,
2018-11-03 00:00:00+00:00,125.0,A,12306500,3.66,A,,,,
2018-11-04 00:00:00+00:00,112.0,A,12306500,3.62,A,,,,
2018-11-05 00:00:00+00:00,113.0,A,12306500,3.63,A,,,,
2018-11-06 00:00:00+00:00,98.2,A,12306500,3.58,A,,,,
2018-11-07 00:00:00+00:00,94.4,A,12306500,3.57,A,,,,
2018-11-08 00:00:00+00:00,89.1,A,12306500,3.55,A,,,,
2018-11-09 00:00:00+00:00,84.6,A,12306500,3.53,A,,,,
2018-11-10 00:00:00+00:00,88.0,A,12306500,3.54,A,,,,
2018-11-11 00:00:00+00:00,84.7,A,12306500,3.53,A,,,,
2018-11-12 00:00:00+00:00,77.4,A,12306500,3.5,A,,,,
2018-11-13 00:00:00+00:00,77.4,A,12306500,3.5,A,,,,
2018-11-14 00:00:00+00:00,77.6,A,12306500,3.51,A,,,,
2018-11-15 00:00:00+00:00,81.4,A,12306500,3.52,A,,,,
