datetime,00010_Mean,00010_Mean_cd,site_no,00025_Mean,00025_Mean_cd,00047_Mean,00047_Mean_cd,00060_Mean,00060_Mean_cd,00095_Mean,00095_Mean_cd,00300_Mean,00300_Mean_cd,32295_Mean,32295_Mean_cd,32316_Mean,32316_Mean_cd,32319_Mean,32319_Mean_cd
2020-10-01 00:00:00+00:00,13.0,A,14159500,732.0,A,,,602.0,A,46.0,"A, [4]",10.7,"A, [4]",,,,,,
2020-10-02 00:00:00+00:00,12.9,A,14159500,732.0,A,788.0,A,617.0,A,46.0,A,10.8,A,,,,,,
2020-10-03 00:00:00+00:00,12.8,A,14159500,730.0,A,786.0,A,617.0,A,46.0,A,10.8,A,,,,,,
2020-10-04 00:00:00+00:00,12.6,A,14159500,731.0,A,786.0,A,617.0,A,46.0,A,10.8,A,,,,,,
2020-10-05 00:00:00+00:00,12.5,A,14159500,732.0,A,766.0,A,495.0,"A, e",46.0,A,10.6,A,,,,,,
2020-10-06 00:00:00+00:00,12.8,A,14159500,729.0,A,737.0,A,404.0,"A, e",46.0,A,10.1,A,,,,,,
2020-10-07 00:00:00+00:00,12.5,A,14159500,726.0,A,735.0,A,473.0,A,46.0,A,10.1,A,,,,,,
2020-10-08 00:00:00+00:00,10.6,A,14159500,726.0,A,734.0,A,477.0,A,44.0,A,10.5,A,,,,,,
2020-10-09 00:00:00+00:00,9.1,A,14159500,725.0,A,740.0,A,543.0,A,43.0,A,10.9,A,,,,,,
2020-10-10 00:00:00+00:00,9.7,A,14159500,725.0,A,745.0,A,612.0,A,43.0,A,10.8,A,,,,,,
2020-10-11 00:00:00+00:00,9.8,A,14159500,731.0,A,747.0,A,615.0,A,44.0,A,10.8,A,,,,,,
2020-10-12 00:00:00+00:00,9.9,A,14159500,732.0,A,749.0,A,607.0,A,44.0,A,10.9,A,,,,,,
2020-10-13 00:00:00+00:00,9.8,A,14159500,732.0,A,746.0,A,617.0,A,44.0,A,10.8,A,,,,,,
2020-10-14 00:00:00+00:00,9.8,A,14159500,739.0,A,752.0,A,618.0,A,44.0,A,11.0,A,,,,,,
2020-10-15 00:00:00+00:00,9.8,A,14159500,740.0,A,743.0,A,686.0,A,,,10.7,"A, [4]",,,,,,
2020-10-16 00:00:00+00:00,9.4,A,14159500,735.0,A,731.0,A,787.0,A,43.0,A,10.3,A,,,,,,
2020-10-17 00:00:00+00:00,9.3,A,14159500,733.0,A,732.0,A,787.0,A,43.0,A,10.3,A,,,,,,
2020-10-18 00:00:00+00:00,9.3,A,14159500,733.0,A,732.0,A,784.0,A,44.0,A,10.3,A,,,,,,
2020-10-19 00:00:00+00:00,9.3,A,14159500,733.0,A,733.0,A,780.0,A,44.0,A,10.3,A,,,,,,
2020-10-20 00:00:00+00:00,9.3,A,14159500,732.0,A,731.0,A,822.0,A,44.0,A,10.3,A,,,,,,
2020-10-21 00:00:00+00:00,9.1,A,14159500,732.0,A,732.0,A,837.0,A,43.0,A,10.3,A,,,,,,
2020-10-22 00:00:00+00:00,8.9,A,14159500,735.0,A,731.0,A,835.0,A,44.0,A,10.3,A,,,,,,
2020-10-23 00:00:00+00:00,8.9,A,14159500,731.0,A,727.0,A,833.0,A,44.0,A,10.3,A,,,,,,
2020-10-24 00:00:00+00:00,8.6,A,14159500,730.0,A,728.0,A,832.0,A,43.0,A,10.3,A,,,,,,
2020-10-25 00:00:00+00:00,7.9,A,14159500,737.0,A,730.0,A,831.0,A,42.0,A,10.3,A,,,,,,
2020-10-26 00:00:00+00:00,7.9,A,14159500,738.0,A,726.0,A,828.0,A,44.0,A,10.4,A,,,,,,
2020-10-27 00:00:00+00:00,7.8,A,14159500,736.0,A,725.0,A,827.0,A,43.0,A,10.4,A,,,,,,
2020-10-28 00:00:00+00:00,7.8,A,14159500,733.0,A,725.0,A,829.0,A,43.0,A,10.3,A,,,,,,
2020-10-29 00:00:00+00:00,7.8,A,14159500,732.0,A,724.0,A,830.0,A,43.0,A,10.3,A,,,,,,
2020-10-30 00:00:00+00:00,7.6,A,14159500,732.0,A,723.0,A,828.0,A,42.0,A,10.3,A,,,,,,
2020-10-31 00:00:00+00:00,7.7,A,14159500,735.0,A,724.0,A,828.0,A,41.0,A,10.2,A,,,,,,
2020-11-01 00:00:00+00:00,7.4,A,14159500,733.0,A,721.0,A,825.0,A,43.0,A,10.2,A,,,,,,
2020-11-02 00:00:00+00:00,7.3,A,14159500,732.0,A,721.0,A,820.0,A,42.0,A,10.2,A,,,,,,
2020-11-03 00:00:00+00:00,7.4,A,14159500,730.0,A,721.0,A,818.0,A,42.0,A,10.1,A,,,,,,
2020-11-04 00:00:00+00:00,7.6,A,14159500,733.0,A,723.0,A,817.0,A,43.0,A,10.2,A,,,,,,
2020-11-05 00:00:00+00:00,7.6,A,14159500,730.0,A,730.0,A,823.0,A,44.0,A,10.4,A,,,,,,
2020-11-06 00:00:00+00:00,7.8,A,14159500,723.0,A,720.0,A,820.0,A,45.0,A,10.2,A,,,,,,
2020-11-07 00:00:00+00:00,8.0,A,14159500,722.0,A,719.0,A,830.0,A,46.0,A,10.3,A,,,,,,
2020-11-08 00:00:00+00:00,7.8,A,14159500,727.0,A,718.0,A,829.0,A,46.0,A,10.3,A,,,,,,
2020-11-09 00:00:00+00:00,7.9,A,14159500,734.0,A,721.0,A,827.0,A,46.0,A,10.4,A,,,,,,
2020-11-10 00:00:00+00:00,8.1,A,14159500,731.0,A,719.0,A,829.0,A,47.0,A,10.5,A,,,,,,
2020-11-11 00:00:00+00:00,7.9,A,14159500,732.0,A,718.0,A,828.0,A,47.0,A,10.5,A,,,,,,
2020-11-12 00:00:00+00:00,7.9,A,14159500,729.0,A,717.0,A,834.0,A,47.0,A,10.6,A,,,,,,
2020-11-13 00:00:00+00:00,7.7,A,14159500,722.0,A,714.0,A,845.0,A,47.0,A,10.5,A,,,,,,
2020-11-14 00:00:00+00:00,7.6,A,14159500,730.0,A,717.0,A,853.0,A,47.0,A,10.6,A,,,,,,
2020-11-15 00:00:00+00:00,7.5,A,14159500,731.0,A,720.0,A,875.0,A,47.0,A,10.6,A,,,,,,
2020-11-16 00:00:00+00:00,7.5,A,14159500,727.0,A,719.0,A,866.0,A,47.0,A,10.7,A,,,,,,
2020-11-17 00:00:00+00:00,7.7,A,14159500,719.0,A,716.0,A,975.0,A,47.0,A,10.7,A,,,,,,
2020-11-18 00:00:00+00:00,7.6,A,14159500,724.0,A,718.0,A,1120.0,A,46.0,A,10.8,A,,,,,,
