datetime,00010_Mean,00010_Mean_cd,site_no,00060_Mean,00060_Mean_cd,00095_Mean,00095_Mean_cd,00300_Mean,00300_Mean_cd,63680_Mean,63680_Mean_cd
2020-10-01 00:00:00+00:00,,,09315000,1820.0,A,,,,,,
2020-10-02 00:00:00+00:00,,,09315000,1840.0,A,,,,,,
2020-10-03 00:00:00+00:00,,,09315000,1880.0,A,,,,,,
2020-10-04 00:00:00+00:00,,,09315000,1890.0,A,,,,,,
2020-10-05 00:00:00+00:00,,,09315000,1920.0,A,,,,,,
2020-10-06 00:00:00+00:00,,,09315000,1940.0,A,,,,,,
2020-10-07 00:00:00+00:00,,,09315000,1910.0,A,,,,,,
2020-10-08 00:00:00+00:00,,,09315000,1880.0,A,,,,,,
2020-10-09 00:00:00+00:00,,,09315000,1840.0,A,,,,,,
2020-10-10 00:00:00+00:00,,,09315000,1800.0,A,,,,,,
2020-10-11 00:00:00+00:00,,,09315000,1740.0,A,,,,,,
2020-10-12 00:00:00+00:00,,,09315000,1720.0,A,,,,,,
2020-10-13 00:00:00+00:00,,,09315000,1660.0,A,,,,,,
2020-10-14 00:00:00+00:00,,,09315000,1660.0,A,,,,,,
2020-10-15 00:00:00+00:00,,,09315000,1660.0,A,,,,,,
2020-10-16 00:00:00+00:00,,,09315000,1650.0,A,,,,,,
2020-10-17 00:00:00+00:00,,,09315000,1620.0,A,,,,,,
2020-10-18 00:00:00+00:00,,,09315000,1570.0,A,,,,,,
2020-10-19 00:00:00+00:00,,,09315000,1540.0,A,,,,,,
2020-10-20 00:00:00+00:00,,,09315000,1570.0,A,,,,,,
2020-10-21 00:00:00+00:00,,,09315000,1520.0,A,,,,,,
2020-10-22 00:00:00+00:00,,,09315000,1530.0,A,,,,,,
2020-10-23 00:00:00+00:00,,,09315000,1530.0,A,,,,,,
2020-10-24 00:00:00+00:00,,,09315000,1510.0,A,,,,,,
2020-10-25 00:00:00+00:00,,,09315000,1530.0,A,,,,,,
2020-10-26 00:00:00+00:00,,,09315000,1570.0,A,,,,,,
2020-10-27 00:00:00+00:00,,,09315000,1580.0,A,,,,,,
2020-10-28 00:00:00+00:00,,,09315000,1560.0,A,,,,,,
2020-10-29 00:00:00+00:00,,,09315000,1600.0,A,,,,,,
2020-10-30 00:00:00+00:00,,,09315000,1630.0,A,,,,,,
2020-10-31 00:00:00+00:00,,,09315000,1590.0,A,,,,,,
2020-11-01 00:00:00+00:00,,,09315000,1500.0,A,,,,,,
2020-11-02 00:00:00+00:00,,,09315000,1650.0,A,,,,,,
2020-11-03 00:00:00+00:00,,,09315000,1730.0,A,,,,,,
2020-11-04 00:00:00+00:00,,,09315000,1740.0,A,,,,,,
2020-11-05 00:00:00+00:00,,,09315000,1780.0,A,,,,,,
2020-11-06 00:00:00+00:00,,,09315000,1850.0,A,,,,,,
2020-11-07 00:00:00+00:00,,,09315000,1830.0,A,,,,,,
2020-11-08 00:00:00+00:00,,,09315000,1860.0,A,,,,,,
2020-11-09 00:00:00+00:00,,,09315000,1850.0,A,,,,,,
2020-11-10 00:00:00+00:00,,,09315000,1900.0,A,,,,,,
2020-11-11 00:00:00+00:00,,,09315000,2000.0,A,,,,,,
2020-11-12 00:00:00+00:00,,,09315000,2080.0,A,,,,,,
2020-11-13 00:00:00+00:00,,,09315000,2080.0,A,,,,,,
2020-11-14 00:00:00+00:00,,,09315000,2010.0,A,,,,,,
2020-11-15 00:00:00+00:00,,,09315000,1910.0,A,,,,,,
