datetime,00010_Mean,00010_Mean_cd,site_no,00060_Mean,00060_Mean_cd,00095_Mean,00095_Mean_cd,00300_Mean,00300_Mean_cd,32295_Mean,32295_Mean_cd,32316_Mean,32316_Mean_cd,32319_Mean,32319_Mean_cd
2021-10-01 00:00:00+00:00,11.2,A,14162500,2090.0,A,59.0,A,10.7,A,5.67,P,0.68,P,0.11,P
2021-10-02 00:00:00+00:00,10.5,A,14162500,2050.0,A,59.0,A,10.9,A,5.26,P,0.69,P,0.13,P
2021-10-03 00:00:00+00:00,10.5,A,14162500,2020.0,A,,,,,,,,,,
2021-10-04 00:00:00+00:00,10.2,A,14162500,1990.0,A,,,,,,,,,,
2021-10-05 00:00:00+00:00,10.1,A,14162500,1990.0,A,,,,,,,,,,
2021-10-06 00:00:00+00:00,10.3,A,14162500,2030.0,A,,,,,,,,,,
2021-10-07 00:00:00+00:00,9.5,A,14162500,2000.0,A,60.0,A,11.2,A,5.01,P,0.86,P,0.18,P
2021-10-08 00:00:00+00:00,9.9,A,14162500,2010.0,A,60.0,A,11.1,A,4.92,P,0.93,P,0.22,P
2021-10-09 00:00:00+00:00,9.6,A,14162500,1980.0,A,60.0,A,11.2,A,4.77,P,0.92,P,0.21,P
2021-10-10 00:00:00+00:00,9.9,A,14162500,2000.0,A,60.0,A,11.1,A,4.95,P,0.99,P,0.24,P
2021-10-11 00:00:00+00:00,9.5,A,14162500,2030.0,A,60.0,A,11.2,A,5.14,P,0.95,P,0.24,P
2021-10-12 00:00:00+00:00,8.8,A,14162500,2010.0,A,60.0,A,11.4,A,4.82,P,0.92,P,0.25,P
2021-10-13 00:00:00+00:00,9.4,A,14162500,2000.0,A,60.0,A,11.2,A,4.99,P,0.94,P,0.24,P
2021-10-14 00:00:00+00:00,9.6,A,14162500,2030.0,A,60.0,A,11.2,A,4.9,P,0.89,P,0.22,P
2021-10-15 00:00:00+00:00,9.6,A,14162500,2000.0,A,60.0,A,11.1,A,4.62,P,0.82,P,0.23,P
2021-10-16 00:00:00+00:00,9.6,A,14162500,2100.0,A,60.0,A,11.1,A,4.46,P,0.74,P,0.21,P
2021-10-17 00:00:00+00:00,9.5,A,14162500,2250.0,A,60.0,A,11.0,A,4.64,P,0.75,P,0.19,P
2021-10-18 00:00:00+00:00,9.9,A,14162500,2330.0,A,59.0,A,11.0,A,5.36,P,0.81,P,0.2,P
2021-10-19 00:00:00+00:00,9.6,A,14162500,2250.0,A,60.0,A,11.1,A,4.81,P,0.73,P,0.2,P
2021-10-20 00:00:00+00:00,9.9,A,14162500,2270.0,A,,,10.9,"A, [4]",5.33,"P, [4]",0.84,"P, [4]",0.21,"P, [4]"
2021-10-21 00:00:00+00:00,9.8,A,14162500,2280.0,A,60.0,A,11.0,A,6.17,P,0.91,P,0.2,P
2021-10-22 00:00:00+00:00,10.1,A,14162500,2990.0,A,58.0,A,10.8,A,13.09,P,1.75,P,0.24,P
2021-10-23 00:00:00+00:00,10.6,A,14162500,3490.0,A,56.0,A,10.7,A,10.95,P,1.71,P,0.21,P
2021-10-24 00:00:00+00:00,10.7,A,14162500,3640.0,A,55.0,A,10.5,A,10.74,P,1.51,P,0.18,P
2021-10-25 00:00:00+00:00,10.4,A,14162500,3500.0,A,55.0,A,10.7,A,11.37,P,1.32,P,0.17,P
2021-10-26 00:00:00+00:00,10.1,A,14162500,3290.0,A,56.0,A,10.9,A,11.74,P,1.35,P,0.18,P
2021-10-27 00:00:00+00:00,10.1,A,14162500,2990.0,A,57.0,A,11.1,A,12.34,P,1.14,P,0.16,P
2021-10-28 00:00:00+00:00,10.4,A,14162500,2960.0,A,57.0,A,11.0,A,12.3,P,1.0,P,0.14,P
2021-10-29 00:00:00+00:00,10.5,A,14162500,3270.0,A,56.0,A,10.8,A,14.95,P,1.32,P,0.14,P
2021-10-30 00:00:00+00:00,9.9,A,14162500,3270.0,A,56.0,A,11.0,A,15.17,P,1.16,P,0.14,P
2021-10-31 00:00:00+00:00,9.3,A,14162500,2940.0,A,57.0,A,11.2,A,11.89,P,1.12,P,0.18,P
2021-11-01 00:00:00+00:00,9.2,A,14162500,2900.0,A,56.0,A,11.1,A,10.97,P,1.21,P,0.18,P
2021-11-02 00:00:00+00:00,9.5,A,14162500,2990.0,A,57.0,A,11.2,A,11.15,P,1.11,P,0.15,P
2021-11-03 00:00:00+00:00,9.7,A,14162500,2960.0,A,57.0,A,11.1,A,10.22,P,1.06,P,0.13,P
2021-11-04 00:00:00+00:00,9.7,A,14162500,3550.0,A,56.0,A,10.9,A,12.01,P,1.43,P,0.12,P
2021-11-05 00:00:00+00:00,9.2,A,14162500,3970.0,A,55.0,A,11.1,A,14.32,P,1.51,P,0.13,P
2021-11-06 00:00:00+00:00,8.8,A,14162500,4140.0,A,54.0,A,11.2,A,14.08,P,1.32,P,0.14,P
2021-11-07 00:00:00+00:00,8.4,A,14162500,4040.0,A,54.0,A,11.5,A,13.8,P,1.47,P,0.23,P
2021-11-08 00:00:00+00:00,8.2,A,14162500,3520.0,A,55.0,A,11.4,A,11.76,P,1.28,P,0.22,P
2021-11-09 00:00:00+00:00,8.4,A,14162500,3630.0,A,54.0,A,11.3,A,12.6,P,1.37,P,0.18,P
2021-11-10 00:00:00+00:00,8.3,A,14162500,3840.0,A,53.0,A,11.5,A,13.86,P,1.46,P,0.2,P
2021-11-11 00:00:00+00:00,9.0,A,14162500,8350.0,A,48.0,A,11.1,A,26.33,P,4.89,P,0.44,P
2021-11-12 00:00:00+00:00,9.4,A,14162500,7170.0,A,47.0,A,11.1,A,21.21,P,1.84,P,0.2,P
2021-11-13 00:00:00+00:00,9.6,A,14162500,6360.0,A,47.0,A,11.0,A,19.17,P,1.41,P,0.16,P
2021-11-14 00:00:00+00:00,9.7,A,14162500,5510.0,A,48.0,A,11.0,A,16.58,P,1.39,P,0.17,P
2021-11-15 00:00:00+00:00,9.3,A,14162500,5200.0,A,48.0,A,11.0,A,14.93,P,1.72,P,0.2,P
2021-11-16 00:00:00+00:00,8.4,A,14162500,5110.0,A,49.0,A,11.4,A,15.26,P,1.32,P,0.21,P
2021-11-17 00:00:00+00:00,7.3,A,14162500,4860.0,A,50.0,A,11.7,A,14.11,P,1.19,"P, [4]",0.26,P
2021-11-18 00:00:00+00:00,7.5,A,14162500,4360.0,A,53.0,A,11.4,A,12.49,P,1.11,P,0.27,P
2021-11-19 00:00:00+00:00,8.0,A,14162500,4370.0,A,54.0,A,11.3,A,12.95,P,1.29,P,0.33,P
2021-11-20 00:00:00+00:00,7.5,A,14162500,4000.0,A,53.0,A,11.7,A,12.45,P,1.02,P,0.27,P
2021-11-21 00:00:00+00:00,6.6,A,14162500,3350.0,A,54.0,A,11.9,A,11.32,P,0.98,P,0.26,P
2021-11-22 00:00:00+00:00,6.3,A,14162500,3130.0,A,55.0,A,11.9,A,10.07,P,0.88,P,0.25,P
2021-11-23 00:00:00+00:00,6.8,A,14162500,3340.0,A,54.0,A,11.8,A,10.78,P,0.87,P,0.23,P
2021-11-24 00:00:00+00:00,6.5,A,14162500,3530.0,A,54.0,A,12.0,A,11.31,P,0.87,P,0.23,P
2021-11-25 00:00:00+00:00,6.3,A,14162500,3390.0,A,54.0,A,12.0,A,10.14,P,0.78,P,0.23,P
2021-11-26 00:00:00+00:00,6.9,A,14162500,3250.0,A,55.0,A,11.8,A,10.01,P,0.83,P,0.21,P
2021-11-27 00:00:00+00:00,7.4,A,14162500,3360.0,A,55.0,A,11.6,A,10.31,P,1.0,P,0.25,P
2021-11-28 00:00:00+00:00,7.9,A,14162500,3540.0,A,55.0,A,11.5,A,10.55,P,1.02,P,0.23,P
2021-11-29 00:00:00+00:00,7.7,A,14162500,3510.0,A,54.0,A,11.6,A,10.33,P,1.06,P,0.25,P
2021-11-30 00:00:00+00:00,7.5,A,14162500,3430.0,A,55.0,A,11.7,A,9.66,P,1.13,P,0.27,P
2021-12-01 00:00:00+00:00,7.6,A,14162500,3170.0,A,56.0,A,11.6,A,8.83,P,1.12,P,0.27,P
2021-12-02 00:00:00+00:00,7.9,A,14162500,3000.0,A,56.0,A,11.5,A,8.31,P,1.1,P,0.25,P
2021-12-03 00:00:00+00:00,7.5,A,14162500,2840.0,A,57.0,A,11.6,A,7.96,P,0.99,P,0.24,P
2021-12-04 00:00:00+00:00,6.8,A,14162500,2710.0,A,58.0,A,11.9,A,7.51,P,1.15,P,0.27,P
2021-12-05 00:00:00+00:00,7.4,A,14162500,2630.0,A,58.0,A,11.7,A,7.51,P,0.96,P,0.23,P
2021-12-06 00:00:00+00:00,7.1,A,14162500,2730.0,A,58.0,A,11.6,A,8.18,P,1.06,P,0.22,P
2021-12-07 00:00:00+00:00,7.7,A,14162500,2890.0,A,58.0,A,11.5,A,9.78,P,1.15,P,0.23,P
2021-12-08 00:00:00+00:00,7.7,A,14162500,2950.0,A,57.0,A,11.5,A,9.09,P,1.22,P,0.25,P
2021-12-09 00:00:00+00:00,6.7,A,14162500,3090.0,A,57.0,A,11.8,A,9.41,P,1.03,P,0.2,P
2021-12-10 00:00:00+00:00,6.2,A,14162500,3120.0,A,56.0,A,12.0,A,9.26,P,1.24,P,0.26,P
2021-12-11 00:00:00+00:00,6.2,A,14162500,3550.0,A,56.0,A,11.8,A,11.16,P,1.33,P,0.24,P
2021-12-12 00:00:00+00:00,6.7,A,14162500,5730.0,A,49.0,A,11.6,A,17.94,P,1.62,P,0.24,P
2021-12-13 00:00:00+00:00,6.3,A,14162500,5050.0,A,49.0,A,11.6,A,14.91,P,1.15,P,0.21,P
2021-12-14 00:00:00+00:00,6.0,A,14162500,4310.0,A,51.0,A,11.9,A,11.61,P,0.96,P,0.22,P
2021-12-15 00:00:00+00:00,5.6,A,14162500,3800.0,A,53.0,A,12.0,A,9.77,P,1.13,P,0.29,P
2021-12-16 00:00:00+00:00,5.8,A,14162500,3620.0,A,53.0,A,12.0,A,9.28,P,1.09,P,0.28,P
2021-12-17 00:00:00+00:00,6.0,A,14162500,3590.0,A,53.0,A,12.1,A,9.32,P,1.03,P,0.27,P
2021-12-18 00:00:00+00:00,6.1,A,14162500,3470.0,A,53.0,A,12.0,A,8.8,P,1.08,P,0.28,P
2021-12-19 00:00:00+00:00,6.7,A,14162500,5770.0,A,49.0,A,11.6,A,14.76,P,1.96,P,0.31,P
2021-12-20 00:00:00+00:00,6.9,A,14162500,8150.0,A,44.0,A,11.6,A,18.29,P,2.05,P,0.28,P
2021-12-21 00:00:00+00:00,6.6,A,14162500,7270.0,A,43.0,A,11.8,A,15.33,P,1.42,P,0.26,P
2021-12-22 00:00:00+00:00,6.7,A,14162500,6350.0,A,44.0,A,11.7,A,13.48,P,1.08,P,0.22,P
