stationId,durCode,SENSOR_NUM,sensorType,date,obsDate,value,dataFlag,units
SLM,D,2,RAIN,2016-11-1 00:00,2016-11-1 00:00,5.34, ,INCHES
SLM,D,2,RAIN,2016-11-2 00:00,2016-11-2 00:00,5.34, ,INCHES
SLM,D,2,RAIN,2016-11-3 00:00,2016-11-3 00:00,5.34, ,INCHES
SLM,D,2,RAIN,2016-11-4 00:00,2016-11-4 00:00,5.34, ,INCHES
SLM,D,2,RAIN,2016-11-5 00:00,2016-11-5 00:00,5.34, ,INCHES
SLM,D,2,RAIN,2016-11-6 00:00,2016-11-6 00:00,5.34, ,INCHES
SLM,D,2,RAIN,2016-11-7 00:00,2016-11-7 00:00,5.34, ,INCHES
SLM,D,2,RAIN,2016-11-8 00:00,2016-11-8 00:00,5.34, ,INCHES
SLM,D,2,RAIN,2016-11-9 00:00,2016-11-9 00:00,5.34, ,INCHES
SLM,D,2,RAIN,2016-11-10 00:00,2016-11-10 00:00,5.34, ,INCHES
SLM,D,2,RAIN,2016-11-11 00:00,2016-11-11 00:00,5.34, ,INCHES
SLM,D,2,RAIN,2016-11-12 00:00,2016-11-12 00:00,5.34, ,INCHES
SLM,D,2,RAIN,2016-11-13 00:00,2016-11-13 00:00,5.34, ,INCHES
SLM,D,2,RAIN,2016-11-14 00:00,2016-11-14 00:00,5.34, ,INCHES
SLM,D,2,RAIN,2016-11-15 00:00,2016-11-15 00:00,5.35, ,INCHES
SLM,D,2,RAIN,2016-11-16 00:00,2016-11-16 00:00,5.38, ,INCHES
SLM,D,2,RAIN,2016-11-17 00:00,2016-11-17 00:00,5.38, ,INCHES
SLM,D,2,RAIN,2016-11-18 00:00,2016-11-18 00:00,5.38, ,INCHES
SLM,D,2,RAIN,2016-11-19 00:00,2016-11-19 00:00,5.38, ,INCHES
SLM,D,2,RAIN,2016-11-20 00:00,2016-11-20 00:00,5.41, ,INCHES
SLM,D,2,RAIN,2016-11-21 00:00,2016-11-21 00:00,5.58, ,INCHES
SLM,D,2,RAIN,2016-11-22 00:00,2016-11-22 00:00,5.58, ,INCHES
SLM,D,2,RAIN,2016-11-23 00:00,2016-11-23 00:00,5.77, ,INCHES
SLM,D,2,RAIN,2016-11-24 00:00,2016-11-24 00:00,5.78, ,INCHES
SLM,D,2,RAIN,2016-11-25 00:00,2016-11-25 00:00,5.78, ,INCHES
SLM,D,2,RAIN,2016-11-26 00:00,2016-11-26 00:00,5.99, ,INCHES
SLM,D,2,RAIN,2016-11-27 00:00,2016-11-27 00:00,6.45, ,INCHES
SLM,D,2,RAIN,2016-11-28 00:00,2016-11-28 00:00,6.55, ,INCHES
SLM,D,2,RAIN,2016-11-29 00:00,2016-11-29 00:00,6.55, ,INCHES
SLM,D,2,RAIN,2016-11-30 00:00,2016-11-30 00:00,6.55, ,INCHES
SLM,D,2,RAIN,2016-12-1 00:00,2016-12-1 00:00,6.55, ,INCHES
SLM,D,2,RAIN,2016-12-2 00:00,2016-12-2 00:00,6.55, ,INCHES
SLM,D,2,RAIN,2016-12-3 00:00,2016-12-3 00:00,6.55, ,INCHES
SLM,D,2,RAIN,2016-12-4 00:00,2016-12-4 00:00,6.55, ,INCHES
SLM,D,2,RAIN,2016-12-5 00:00,2016-12-5 00:00,6.55, ,INCHES
SLM,D,2,RAIN,2016-12-6 00:00,2016-12-6 00:00,6.55, ,INCHES
SLM,D,2,RAIN,2016-12-7 00:00,2016-12-7 00:00,6.66, ,INCHES
SLM,D,2,RAIN,2016-12-8 00:00,2016-12-8 00:00,7.03, ,INCHES
SLM,D,2,RAIN,2016-12-9 00:00,2016-12-9 00:00,7.09, ,INCHES
