datetime,00010_Mean,00010_Mean_cd,site_no,00060_Mean,00060_Mean_cd,00095_Mean,00095_Mean_cd,00300_Mean,00300_Mean_cd
2018-10-01 00:00:00+00:00,12.6,A,14210000,779.0,A,70.0,A,9.8,A
2018-10-02 00:00:00+00:00,12.6,A,14210000,791.0,A,70.0,A,9.8,A
2018-10-03 00:00:00+00:00,12.5,A,14210000,777.0,A,70.0,A,9.8,A
2018-10-04 00:00:00+00:00,12.3,A,14210000,779.0,A,70.0,A,9.9,A
2018-10-05 00:00:00+00:00,12.0,A,14210000,806.0,A,70.0,A,9.9,A
2018-10-06 00:00:00+00:00,11.8,A,14210000,1070.0,A,70.0,A,10.0,A
2018-10-07 00:00:00+00:00,11.6,A,14210000,906.0,A,69.0,A,10.0,A
2018-10-08 00:00:00+00:00,11.3,A,14210000,949.0,A,69.0,A,10.1,A
2018-10-09 00:00:00+00:00,11.2,A,14210000,1280.0,A,69.0,A,10.4,A
2018-10-10 00:00:00+00:00,11.1,A,14210000,1000.0,A,69.0,A,10.3,A
2018-10-11 00:00:00+00:00,11.0,A,14210000,873.0,A,69.0,A,10.1,A
2018-10-12 00:00:00+00:00,11.0,A,14210000,817.0,A,69.0,A,10.0,A
2018-10-13 00:00:00+00:00,11.0,A,14210000,762.0,A,69.0,A,9.9,A
2018-10-14 00:00:00+00:00,11.0,A,14210000,739.0,A,68.0,A,9.9,A
2018-10-15 00:00:00+00:00,10.7,A,14210000,760.0,A,68.0,A,10.0,A
2018-10-16 00:00:00+00:00,10.6,A,14210000,753.0,A,68.0,A,10.1,A
2018-10-17 00:00:00+00:00,10.5,A,14210000,750.0,A,68.0,A,10.1,A
2018-10-18 00:00:00+00:00,10.4,A,14210000,759.0,A,68.0,A,10.1,A
2018-10-19 00:00:00+00:00,10.2,A,14210000,732.0,A,68.0,A,10.2,A
2018-10-20 00:00:00+00:00,10.1,A,14210000,757.0,A,68.0,A,10.2,A
2018-10-21 00:00:00+00:00,9.9,A,14210000,757.0,A,69.0,A,10.2,A
2018-10-22 00:00:00+00:00,9.7,A,14210000,760.0,A,69.0,A,10.3,A
2018-10-23 00:00:00+00:00,9.6,A,14210000,785.0,A,69.0,A,10.4,A
2018-10-24 00:00:00+00:00,9.6,A,14210000,810.0,A,69.0,A,10.4,A
2018-10-25 00:00:00+00:00,9.6,A,14210000,798.0,A,69.0,A,10.4,A
2018-10-26 00:00:00+00:00,9.7,A,14210000,851.0,A,69.0,A,10.4,A
2018-10-27 00:00:00+00:00,9.7,A,14210000,913.0,A,69.0,A,10.4,A
2018-10-28 00:00:00+00:00,9.9,A,14210000,1180.0,A,69.0,A,10.6,A
2018-10-29 00:00:00+00:00,9.8,A,14210000,1440.0,A,69.0,A,10.8,A
2018-10-30 00:00:00+00:00,9.7,A,14210000,1430.0,A,69.0,A,10.7,A
2018-10-31 00:00:00+00:00,9.8,A,14210000,1310.0,A,69.0,A,10.6,A
2018-11-01 00:00:00+00:00,9.9,A,14210000,2140.0,A,67.0,A,10.9,A
2018-11-02 00:00:00+00:00,,,14210000,1910.0,A,65.0,"A, [4]",10.8,"A, [4]"
2018-11-03 00:00:00+00:00,9.7,A,14210000,1690.0,A,64.0,A,10.5,A
2018-11-04 00:00:00+00:00,9.9,A,14210000,1770.0,A,61.0,A,10.4,A
2018-11-05 00:00:00+00:00,10.1,A,14210000,1910.0,A,59.0,A,10.6,A
2018-11-06 00:00:00+00:00,9.9,A,14210000,2190.0,A,56.0,A,10.8,A
2018-11-07 00:00:00+00:00,9.6,A,14210000,1850.0,A,55.0,A,10.8,A
2018-11-08 00:00:00+00:00,9.2,A,14210000,1570.0,A,53.0,A,10.8,A
2018-11-09 00:00:00+00:00,8.8,A,14210000,1360.0,A,53.0,A,11.0,A
2018-11-10 00:00:00+00:00,8.5,A,14210000,1260.0,A,53.0,A,11.0,A
2018-11-11 00:00:00+00:00,8.0,A,14210000,1180.0,A,54.0,A,11.0,A
2018-11-12 00:00:00+00:00,7.5,A,14210000,1120.0,A,55.0,A,11.1,A
2018-11-13 00:00:00+00:00,7.3,A,14210000,1090.0,A,55.0,A,11.2,A
2018-11-14 00:00:00+00:00,7.4,A,14210000,1060.0,A,55.0,A,11.2,A
2018-11-15 00:00:00+00:00,7.3,A,14210000,1060.0,A,56.0,A,11.2,A
2018-11-16 00:00:00+00:00,6.9,A,14210000,1030.0,A,58.0,A,11.4,A
2018-11-17 00:00:00+00:00,6.5,A,14210000,1010.0,A,59.0,A,11.4,A
2018-11-18 00:00:00+00:00,6.3,A,14210000,981.0,A,60.0,A,11.4,A
2018-11-19 00:00:00+00:00,6.3,A,14210000,987.0,A,60.0,A,11.4,A
2018-11-20 00:00:00+00:00,6.2,A,14210000,969.0,A,60.0,A,11.4,A
2018-11-21 00:00:00+00:00,6.2,A,14210000,960.0,A,61.0,A,11.3,A
2018-11-22 00:00:00+00:00,6.2,A,14210000,1070.0,A,62.0,A,11.4,A
2018-11-23 00:00:00+00:00,6.2,A,14210000,1870.0,A,63.0,A,11.7,A
2018-11-24 00:00:00+00:00,5.8,A,14210000,2270.0,A,64.0,A,11.8,A
