datetime,00060_Mean,00060_Mean_cd,site_no,00060_adjusted for agency canal_Mean,00060_adjusted for agency canal_Mean_cd
1990-10-01 00:00:00+00:00,51.0,A,06294000,51.0,A
1990-10-02 00:00:00+00:00,52.0,A,06294000,52.0,A
1990-10-03 00:00:00+00:00,52.0,A,06294000,52.0,A
1990-10-04 00:00:00+00:00,53.0,A,06294000,53.0,A
1990-10-05 00:00:00+00:00,57.0,A,06294000,57.0,A
1990-10-06 00:00:00+00:00,71.0,A,06294000,71.0,A
1990-10-07 00:00:00+00:00,78.0,A,06294000,78.0,A
1990-10-08 00:00:00+00:00,88.0,A,06294000,88.0,A
1990-10-09 00:00:00+00:00,96.0,A,06294000,96.0,A
1990-10-10 00:00:00+00:00,120.0,A,06294000,120.0,A
1990-10-11 00:00:00+00:00,114.0,A,06294000,114.0,A
1990-10-12 00:00:00+00:00,117.0,A,06294000,117.0,A
1990-10-13 00:00:00+00:00,125.0,A,06294000,125.0,A
1990-10-14 00:00:00+00:00,125.0,A,06294000,125.0,A
1990-10-15 00:00:00+00:00,121.0,A,06294000,121.0,A
1990-10-16 00:00:00+00:00,121.0,A,06294000,121.0,A
1990-10-17 00:00:00+00:00,127.0,A,06294000,127.0,A
1990-10-18 00:00:00+00:00,130.0,A,06294000,130.0,A
1990-10-19 00:00:00+00:00,135.0,A,06294000,135.0,A
1990-10-20 00:00:00+00:00,129.0,A,06294000,129.0,A
1990-10-21 00:00:00+00:00,130.0,A,06294000,130.0,A
1990-10-22 00:00:00+00:00,126.0,A,06294000,126.0,A
1990-10-23 00:00:00+00:00,121.0,A,06294000,121.0,A
1990-10-24 00:00:00+00:00,121.0,A,06294000,121.0,A
1990-10-25 00:00:00+00:00,120.0,A,06294000,120.0,A
1990-10-26 00:00:00+00:00,120.0,A,06294000,120.0,A
1990-10-27 00:00:00+00:00,121.0,A,06294000,121.0,A
1990-10-28 00:00:00+00:00,120.0,A,06294000,120.0,A
1990-10-29 00:00:00+00:00,119.0,A,06294000,119.0,A
1990-10-30 00:00:00+00:00,119.0,A,06294000,119.0,A
1990-10-31 00:00:00+00:00,120.0,A,06294000,120.0,A
1990-11-01 00:00:00+00:00,121.0,A,06294000,121.0,A
