datetime,00010_Mean,00010_Mean_cd,site_no,00060_Mean,00060_Mean_cd,63680_Mean,63680_Mean_cd,99409_2_Mean,99409_2_Mean_cd,99409_Mean,99409_Mean_cd
2015-10-01 00:00:00+00:00,,,06329500,5660.0,A,9.6,A,26.0,A,398.0,A
2015-10-02 00:00:00+00:00,,,06329500,5870.0,A,10.1,A,27.5,A,435.0,A
2015-10-03 00:00:00+00:00,,,06329500,5940.0,A,9.8,A,26.7,A,429.0,A
2015-10-04 00:00:00+00:00,,,06329500,6180.0,A,9.5,A,26.4,A,440.0,A
2015-10-05 00:00:00+00:00,,,06329500,6450.0,A,7.0,A,20.3,A,353.0,A
2015-10-06 00:00:00+00:00,,,06329500,6490.0,A,,,,,,
2015-10-07 00:00:00+00:00,,,06329500,6920.0,A,,,,,,
2015-10-08 00:00:00+00:00,,,06329500,7290.0,A,,,,,,
2015-10-09 00:00:00+00:00,,,06329500,7460.0,A,,,,,,
2015-10-10 00:00:00+00:00,,,06329500,7420.0,A,,,,,,
2015-10-11 00:00:00+00:00,,,06329500,7090.0,A,,,,,,
2015-10-12 00:00:00+00:00,,,06329500,6820.0,A,,,,,,
2015-10-13 00:00:00+00:00,,,06329500,6740.0,A,,,,,,
2015-10-14 00:00:00+00:00,,,06329500,6730.0,A,,,,,,
2015-10-15 00:00:00+00:00,,,06329500,6720.0,A,,,,,,
2015-10-16 00:00:00+00:00,,,06329500,6780.0,A,,,,,,
2015-10-17 00:00:00+00:00,,,06329500,6790.0,A,,,,,,
2015-10-18 00:00:00+00:00,,,06329500,6650.0,A,,,,,,
2015-10-19 00:00:00+00:00,,,06329500,6790.0,A,,,,,,
2015-10-20 00:00:00+00:00,,,06329500,6950.0,A,,,,,,
2015-10-21 00:00:00+00:00,,,06329500,7060.0,A,,,,,,
2015-10-22 00:00:00+00:00,,,06329500,7190.0,A,,,,,,
2015-10-23 00:00:00+00:00,,,06329500,7280.0,A,,,,,,
2015-10-24 00:00:00+00:00,,,06329500,7280.0,A,,,,,,
2015-10-25 00:00:00+00:00,,,06329500,7360.0,A,,,,,,
2015-10-26 00:00:00+00:00,,,06329500,7620.0,A,,,,,,
2015-10-27 00:00:00+00:00,,,06329500,7690.0,A,,,,,,
2015-10-28 00:00:00+00:00,,,06329500,7570.0,A,,,,,,
2015-10-29 00:00:00+00:00,,,06329500,7530.0,A,,,,,,
2015-10-30 00:00:00+00:00,,,06329500,7420.0,A,,,,,,
2015-10-31 00:00:00+00:00,,,06329500,7340.0,A,,,,,,
2015-11-01 00:00:00+00:00,,,06329500,7410.0,A,,,,,,
2015-11-02 00:00:00+00:00,,,06329500,7430.0,A,,,,,,
2015-11-03 00:00:00+00:00,,,06329500,7510.0,A,,,,,,
2015-11-04 00:00:00+00:00,,,06329500,7490.0,A,,,,,,
2015-11-05 00:00:00+00:00,,,06329500,7590.0,A,,,,,,
2015-11-06 00:00:00+00:00,,,06329500,7590.0,A,,,,,,
2015-11-07 00:00:00+00:00,,,06329500,7450.0,A,,,,,,
2015-11-08 00:00:00+00:00,,,06329500,7670.0,A,,,,,,
2015-11-09 00:00:00+00:00,,,06329500,7650.0,A,,,,,,
2015-11-10 00:00:00+00:00,,,06329500,7570.0,A,,,,,,
2015-11-11 00:00:00+00:00,,,06329500,7450.0,A,,,,,,
2015-11-12 00:00:00+00:00,,,06329500,7330.0,A,,,,,,
2015-11-13 00:00:00+00:00,,,06329500,7240.0,A,,,,,,
2015-11-14 00:00:00+00:00,,,06329500,7130.0,A,,,,,,
2015-11-15 00:00:00+00:00,,,06329500,7160.0,A,,,,,,
2015-11-16 00:00:00+00:00,,,06329500,7160.0,A,,,,,,
2015-11-17 00:00:00+00:00,,,06329500,7090.0,A,,,,,,
2015-11-18 00:00:00+00:00,,,06329500,7030.0,A,,,,,,
2015-11-19 00:00:00+00:00,,,06329500,7060.0,A,,,,,,
2015-11-20 00:00:00+00:00,,,06329500,7100.0,A,,,,,,
2015-11-21 00:00:00+00:00,,,06329500,7380.0,A,,,,,,
2015-11-22 00:00:00+00:00,,,06329500,7360.0,A,,,,,,
2015-11-23 00:00:00+00:00,,,06329500,6640.0,A,,,,,,
2015-11-24 00:00:00+00:00,,,06329500,6580.0,A,,,,,,
2015-11-25 00:00:00+00:00,,,06329500,6420.0,A,,,,,,
2015-11-26 00:00:00+00:00,,,06329500,6310.0,A,,,,,,
2015-11-27 00:00:00+00:00,,,06329500,6410.0,A,,,,,,
2015-11-28 00:00:00+00:00,,,06329500,3610.0,A,,,,,,
2015-11-29 00:00:00+00:00,,,06329500,4050.0,A,,,,,,
2015-11-30 00:00:00+00:00,,,06329500,4190.0,A,,,,,,
2015-12-01 00:00:00+00:00,,,06329500,3780.0,A,,,,,,
2015-12-02 00:00:00+00:00,,,06329500,3260.0,A,,,,,,
2015-12-03 00:00:00+00:00,,,06329500,3220.0,A,,,,,,
2015-12-04 00:00:00+00:00,,,06329500,4090.0,A,,,,,,
2015-12-05 00:00:00+00:00,,,06329500,6020.0,A,,,,,,
2015-12-06 00:00:00+00:00,,,06329500,6420.0,A,,,,,,
2015-12-07 00:00:00+00:00,,,06329500,6950.0,A,,,,,,
2015-12-08 00:00:00+00:00,,,06329500,7390.0,A,,,,,,
2015-12-09 00:00:00+00:00,,,06329500,8000.0,A,,,,,,
2015-12-10 00:00:00+00:00,,,06329500,7630.0,A,,,,,,
2015-12-11 00:00:00+00:00,,,06329500,7410.0,A,,,,,,
2015-12-12 00:00:00+00:00,,,06329500,7450.0,A,,,,,,
2015-12-13 00:00:00+00:00,,,06329500,7670.0,A,,,,,,
2015-12-14 00:00:00+00:00,,,06329500,7660.0,A,,,,,,
2015-12-15 00:00:00+00:00,,,06329500,7150.0,A,,,,,,
2015-12-16 00:00:00+00:00,,,06329500,6720.0,A,,,,,,
2015-12-17 00:00:00+00:00,,,06329500,6800.0,A,,,,,,
2015-12-18 00:00:00+00:00,,,06329500,5490.0,A,,,,,,
2015-12-19 00:00:00+00:00,,,06329500,4520.0,A,,,,,,
2015-12-20 00:00:00+00:00,,,06329500,4840.0,A,,,,,,
2015-12-21 00:00:00+00:00,,,06329500,4920.0,A,,,,,,
2015-12-22 00:00:00+00:00,,,06329500,5060.0,A,,,,,,
2015-12-23 00:00:00+00:00,,,06329500,5470.0,A,,,,,,
2015-12-24 00:00:00+00:00,,,06329500,5440.0,A,,,,,,
2015-12-25 00:00:00+00:00,,,06329500,6530.0,A,,,,,,
2015-12-26 00:00:00+00:00,,,06329500,5600.0,A,,,,,,
2015-12-27 00:00:00+00:00,,,06329500,4770.0,A,,,,,,
2015-12-28 00:00:00+00:00,,,06329500,4270.0,A,,,,,,
2015-12-29 00:00:00+00:00,,,06329500,4030.0,A,,,,,,
2015-12-30 00:00:00+00:00,,,06329500,3240.0,A,,,,,,
2015-12-31 00:00:00+00:00,,,06329500,3170.0,A,,,,,,
2016-01-01 00:00:00+00:00,,,06329500,3320.0,A,,,,,,
2016-01-02 00:00:00+00:00,,,06329500,3980.0,A,,,,,,
2016-01-03 00:00:00+00:00,,,06329500,3910.0,A,,,,,,
2016-01-04 00:00:00+00:00,,,06329500,3950.0,A,,,,,,
2016-01-05 00:00:00+00:00,,,06329500,4830.0,A,,,,,,
2016-01-06 00:00:00+00:00,,,06329500,5280.0,A,,,,,,
2016-01-07 00:00:00+00:00,,,06329500,5030.0,A,,,,,,
2016-01-08 00:00:00+00:00,,,06329500,4960.0,A,,,,,,
2016-01-09 00:00:00+00:00,,,06329500,4910.0,A,,,,,,
2016-01-10 00:00:00+00:00,,,06329500,5980.0,A,,,,,,
2016-01-11 00:00:00+00:00,,,06329500,6740.0,A,,,,,,
2016-01-12 00:00:00+00:00,,,06329500,6310.0,A,,,,,,
2016-01-13 00:00:00+00:00,,,06329500,5710.0,A,,,,,,
2016-01-14 00:00:00+00:00,,,06329500,5810.0,A,,,,,,
2016-01-15 00:00:00+00:00,,,06329500,6370.0,A,,,,,,
2016-01-16 00:00:00+00:00,,,06329500,6820.0,A,,,,,,
2016-01-17 00:00:00+00:00,,,06329500,7700.0,A,,,,,,
2016-01-18 00:00:00+00:00,,,06329500,7840.0,A,,,,,,
2016-01-19 00:00:00+00:00,,,06329500,7010.0,A,,,,,,
2016-01-20 00:00:00+00:00,,,06329500,6240.0,A,,,,,,
2016-01-21 00:00:00+00:00,,,06329500,5860.0,A,,,,,,
2016-01-22 00:00:00+00:00,,,06329500,6390.0,A,,,,,,
2016-01-23 00:00:00+00:00,,,06329500,6040.0,A,,,,,,
2016-01-24 00:00:00+00:00,,,06329500,6300.0,"A, e",,,,,,
2016-01-25 00:00:00+00:00,,,06329500,6300.0,"A, e",,,,,,
2016-01-26 00:00:00+00:00,,,06329500,6300.0,"A, e",,,,,,
2016-01-27 00:00:00+00:00,,,06329500,6300.0,"A, e",,,,,,
2016-01-28 00:00:00+00:00,,,06329500,6400.0,"A, e",,,,,,
2016-01-29 00:00:00+00:00,,,06329500,6400.0,"A, e",,,,,,
2016-01-30 00:00:00+00:00,,,06329500,6400.0,"A, e",,,,,,
