date,PREC_DAILY,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY,WTEQ_DAILY
2000-10-01,0.0,52.5,62.6,43.9,0.0
2000-10-02,0.0,47.8,58.6,38.8,0.0
2000-10-03,0.0,43.2,56.7,33.6,0.0
2000-10-04,0.0,41.4,54.3,29.7,0.0
2000-10-05,0.0,37.0,50.7,28.0,0.0
2000-10-06,0.0,39.6,58.8,26.4,0.0
2000-10-07,0.0,44.2,63.0,28.2,0.0
2000-10-08,0.0,45.9,63.7,31.3,0.0
2000-10-09,0.0,50.2,67.6,31.6,0.0
2000-10-10,0.3,43.5,60.4,32.9,0.0
2000-10-11,0.6,34.2,41.2,30.9,0.0
2000-10-12,0.8,32.7,38.1,27.5,0.2
2000-10-13,1.5,32.4,35.2,30.6,0.8
2000-10-14,1.6,35.2,44.4,31.6,0.5
2000-10-15,1.6,37.9,48.4,30.2,0.2
2000-10-16,1.6,39.2,53.4,26.8,0.0
2000-10-17,1.6,44.6,59.4,31.5,0.0
2000-10-18,1.6,49.6,62.8,34.0,0.0
2000-10-19,1.6,43.3,52.2,34.3,0.0
2000-10-20,1.6,46.6,58.8,32.0,0.0
2000-10-21,1.8,34.3,42.3,26.6,0.0
2000-10-22,1.8,33.6,46.2,25.9,0.0
2000-10-23,1.8,39.4,55.8,24.6,0.0
2000-10-24,1.9,40.1,43.3,34.9,0.0
2000-10-25,2.1,37.9,45.9,30.6,0.0
2000-10-26,2.1,41.9,50.7,30.2,0.0
2000-10-27,2.4,38.1,44.6,33.4,0.0
2000-10-28,2.4,38.7,44.8,34.9,0.0
2000-10-29,2.4,39.0,44.1,36.0,0.0
2000-10-30,3.0,35.2,43.0,31.1,0.0
2000-10-31,3.1,31.5,34.2,27.3,0.0
2000-11-01,3.1,25.7,31.3,19.4,0.0
2000-11-02,3.1,21.4,34.0,11.3,0.0
2000-11-03,3.1,24.4,39.2,14.7,0.0
2000-11-04,3.5,29.3,41.2,16.7,0.4
2000-11-05,3.7,24.1,28.9,18.9,0.6
2000-11-06,3.7,18.7,30.2,10.6,0.6
2000-11-07,3.7,16.0,30.9,8.8,0.6
2000-11-08,4.0,18.7,24.4,3.9,0.9
2000-11-09,4.0,19.0,26.4,11.8,0.9
2000-11-10,4.0,10.6,26.4,3.7,0.9
2000-11-11,4.0,12.4,26.2,5.0,0.9
2000-11-12,4.0,12.0,18.5,4.5,0.9
2000-11-13,4.0,12.9,24.8,4.8,0.9
2000-11-14,4.2,20.1,26.4,14.7,1.1
2000-11-15,4.2,15.3,21.7,10.9,1.1
2000-11-16,4.3,13.1,23.0,7.5,1.2
2000-11-17,4.3,12.2,23.2,6.4,1.2
2000-11-18,4.3,12.6,25.5,1.8,1.2
2000-11-19,4.3,17.8,31.5,10.0,1.2
2000-11-20,4.3,21.2,34.2,11.1,1.2
2000-11-21,4.3,26.2,45.3,13.5,1.2
2000-11-22,4.3,31.1,47.3,22.1,1.2
2000-11-23,4.4,24.8,40.8,17.2,1.3
2000-11-24,4.4,23.4,29.7,17.8,1.3
