,period_start,period_end,2m_dewpoint_temperature_K,surface_air_pressure_Pa,total_precipitation_m,evaporation_m,snowfall_mwe,snowmelt_mwe,runoff_m,snow_depth_mwe,potential_evaporation_m,2m_temperature_K,volumetric_soil_water_layer1_m3_per_m3,volumetric_soil_water_layer2_m3_per_m3,volumetric_soil_water_layer3_m3_per_m3,volumetric_soil_water_layer4_m3_per_m4,surface_net_solar_radiation_J_per_m2,surface_net_thermal_radiation_J_per_m2,wind_speed
0,1981-01-01,1981-01-31,265.77023,82764.43,0.0009513972,-4.2177704e-05,0.0008519074,3.982933e-05,0.0005888166,0.17107008,-0.0018711151,268.68716,0.3558221,0.36011922,0.3708899,0.37310922,3866083.5,-4182021.2,0.4262679
0,1981-01-01,1981-01-31,262.22986,76246.7,0.0014488578,-0.00012885993,0.0014411204,1.1800737e-05,0.000307566,0.1380185,-0.0033037374,266.4349,0.32238314,0.32341117,0.31849852,0.35378104,5320505.0,-5145406.5,0.52696836
0,1981-01-01,1981-01-31,259.7067,74143.28,0.00037471874,-0.00020344362,0.00034094776,0.00016602114,0.000104317594,0.0024792089,-0.0062153786,269.8701,0.2929893,0.27245817,0.24107689,0.28202605,9416532.0,-7575327.5,0.92498785
0,1981-01-01,1981-01-31,263.3401,78606.95,0.00042961878,-0.00034824476,0.00040268508,0.00010346211,3.146412e-05,0.0017521662,-0.0013763056,270.62225,0.17667785,0.22971675,0.2483781,0.2616941,6968667.5,-6781238.5,2.2132697
0,1981-01-01,1981-01-31,263.40524,79520.875,0.0006160663,-0.00014554975,0.0006062384,0.0002492582,0.00018700497,0.03839293,-0.0027597176,268.82562,0.34332797,0.3314239,0.30186352,0.32546067,4923248.5,-5217417.0,0.7646672
0,1981-01-01,1981-01-31,260.31332,70455.836,0.0010468973,-0.00020814736,0.001026146,0.00030152997,0.00040822927,0.016968528,-0.006210801,266.8555,0.3705398,0.35766643,0.34328923,0.36219996,9057174.0,-6794404.5,0.5576705
0,1981-01-01,1981-01-31,262.13287,76623.445,0.00091212883,-0.00022385413,0.00085789716,0.00026912484,0.00011684886,0.012537762,-0.0049089813,268.9314,0.32868555,0.31105602,0.25803053,0.32324114,7116533.0,-6086154.0,0.6072739
0,1981-01-01,1981-01-31,262.6914,83430.82,0.0008552529,-7.5543417e-06,0.0007880375,1.1899234e-05,0.0003606257,0.177021,-0.0011628901,266.25577,0.32334977,0.3259558,0.32089216,0.34167236,3245446.5,-3768504.8,0.47470462
0,1981-01-01,1981-01-31,265.1634,82057.83,0.0019361444,-0.0001600117,0.0016840232,0.00026362023,0.00019645882,0.095548004,-0.002402267,268.91968,0.35015237,0.34952033,0.3267433,0.3408697,4663043.5,-4776287.0,0.9980856
0,1981-01-01,1981-01-31,271.6907,90894.5,0.0022695228,-0.00046226117,0.0011781312,0.0005576801,0.0045521553,0.016576651,-0.0040495414,274.34198,0.37897214,0.3801417,0.35703397,0.4201789,3873214.8,-3765699.5,1.371331
0,1981-01-01,1981-01-31,256.96436,68214.23,0.0007058902,-0.0001693115,0.00070174225,0.000304287,0.0003460521,0.0056273416,-0.007415152,264.5913,0.39264098,0.34755653,0.30033565,0.35759553,9091055.0,-7010912.5,0.70201254
0,1981-01-01,1981-01-31,256.94028,68543.02,0.0006348261,-0.00016407174,0.0006270861,0.0002835731,0.00042391027,0.0056157047,-0.007037812,264.42038,0.39568862,0.35517856,0.3119176,0.3632878,8749861.0,-7030978.5,0.91403127
0,1981-01-01,1981-01-31,257.1185,69094.836,0.0009678136,-0.00020566286,0.00095626543,0.0003593252,0.0003222374,0.007029757,-0.0069097592,264.08768,0.3908107,0.35385224,0.31146112,0.35637465,8449639.0,-6420981.5,0.54076695
0,1981-01-01,1981-01-31,262.02576,75751.4,0.0008579814,-0.00017063115,0.0008528114,0.0001811731,0.00018690301,0.06625747,-0.0021165079,267.05014,0.3217224,0.31180948,0.2888838,0.32568327,5171891.5,-5331617.5,0.8270963
0,1981-01-01,1981-01-31,261.7169,72131.05,0.0014842674,-0.00031568986,0.0014764669,3.6056153e-05,0.0002370736,0.06172518,-0.00495498,265.91147,0.31708208,0.31299692,0.29597577,0.34857482,6105282.0,-5070895.0,0.6887264
0,1981-01-01,1981-01-31,272.46213,86604.45,0.0073633553,-0.000799479,0.003996619,0.00070026505,0.00071312644,0.018651176,-0.0074004102,276.7985,0.43934074,0.43895167,0.4306827,0.41980588,7080329.0,-5110603.5,0.9574654
0,1981-01-01,1981-01-31,266.52448,77588.766,0.007109596,-0.00041739945,0.006615505,0.0007046721,0.00018277622,0.056088418,-0.00506261,271.66992,0.4464864,0.4397517,0.40554667,0.44218743,6630591.0,-4992810.5,0.4887115
0,1981-01-01,1981-01-31,268.35132,80272.3,0.0063344366,-0.00043513466,0.004594695,0.00066221354,0.00032372493,0.038201537,-0.0050894897,273.20224,0.3966056,0.38533345,0.35520905,0.40723938,6968582.0,-5211402.0,0.6814535
0,1981-01-01,1981-01-31,269.39203,91510.695,0.00079975306,-0.00013086679,0.00030527145,0.0004622301,0.00032962795,0.019766705,-0.0022417605,272.47726,0.37812987,0.3805744,0.38949353,0.35400543,3625536.0,-3710222.5,0.63540685
0,1981-01-01,1981-01-31,267.83618,85733.75,0.0019938669,-7.771878e-05,0.0013628053,0.00028426695,0.0012505697,0.43995917,-0.0013227435,270.10526,0.3702457,0.37535828,0.392586,0.38987064,3278124.2,-3648988.8,0.59803736
0,1981-01-01,1981-01-31,272.17584,89090.33,0.002904735,-0.00037991948,0.0016737371,0.00019670754,0.003661551,0.0075253774,-0.0033392052,274.19028,0.3762657,0.3769744,0.35936472,0.41630024,5000142.0,-4004136.2,0.73859066
0,1981-01-01,1981-01-31,267.1939,81086.97,0.0013368056,-0.00043862325,0.0010032817,0.00018331058,6.785864e-05,0.0023308469,-0.0034639714,274.62177,0.22641395,0.23165599,0.21934749,0.3086671,8578365.0,-6558629.5,0.68203723
0,1981-01-01,1981-01-31,267.93906,86662.62,0.0014334061,-8.494451e-05,0.00083955174,0.00040718704,0.0019367706,0.34627208,-0.0013160232,270.29373,0.3707383,0.37549672,0.39071465,0.40100503,3278013.5,-3812032.0,0.8174462
0,1981-01-01,1981-01-31,262.8102,79009.14,0.0006523951,-0.00025881617,0.00063436624,0.0001696839,8.498562e-05,0.023252822,-0.0019924813,270.0413,0.24977493,0.2634763,0.24794126,0.26688132,6158505.5,-6126905.0,1.1708548
0,1981-01-01,1981-01-31,260.25366,72251.375,0.0004213674,-0.00015222651,0.00040630135,0.00011856358,0.0005073407,0.0021143793,-0.012855614,271.29617,0.33069605,0.32935777,0.32143742,0.370152,10779333.0,-6958132.0,0.6318234
0,1981-01-01,1981-01-31,269.0267,84227.31,0.0009402699,-0.00037149613,0.0006862645,0.00021161043,4.0426585e-05,0.0026979935,-0.0007644185,272.6721,0.28279206,0.28234103,0.25332865,0.28231478,5890906.0,-5183068.5,1.0438006
0,1981-02-01,1981-02-28,264.25287,82473.664,0.0029712182,-0.00015405541,0.0024845432,0.00010594291,0.000595374,0.22560017,-0.0035746892,267.18903,0.34676486,0.34853008,0.35879284,0.37288895,5444924.0,-3995320.5,0.70175916
0,1981-02-01,1981-02-28,262.11798,76024.11,0.0020703117,-0.0002089506,0.0019987158,2.8208051e-05,0.0002833039,0.19568077,-0.0048980913,265.85303,0.31548536,0.31604287,0.3158245,0.35164705,6965494.5,-4680144.0,0.8959321
0,1981-02-01,1981-02-28,258.56262,73935.23,0.0005826076,-0.00042228744,0.00055868924,0.00039950822,0.00014697557,0.0061277226,-0.0077883583,268.70938,0.2961105,0.27288216,0.24375768,0.28061944,11600697.0,-7586600.0,1.4563301
0,1981-02-01,1981-02-28,261.4326,78354.78,0.00041767582,-0.0006422536,0.00038836873,0.00041443427,4.4003387e-05,0.009407088,-0.0018035774,268.0605,0.17938855,0.22542809,0.24807389,0.2611955,7446943.5,-6389958.5,3.717334
0,1981-02-01,1981-02-28,261.9054,79274.1,0.001601006,-0.00025139624,0.0014040093,0.00045315424,0.00019593754,0.059477415,-0.003333659,266.2076,0.35019973,0.33308643,0.30882958,0.3243972,5663461.0,-4603571.0,1.1192842
0,1981-02-01,1981-02-28,259.20657,70332.2,0.0011924824,-0.0004644326,0.0011585759,0.0007902155,0.000517588,0.03279002,-0.007782475,266.0966,0.38842082,0.3573857,0.34389788,0.36097848,10771214.0,-6483326.5,0.72289467
0,1981-02-01,1981-02-28,261.11487,76456.16,0.0011889428,-0.00044110956,0.0010755897,0.000522156,0.00011072013,0.034626916,-0.005485844,267.0461,0.33290684,0.31075805,0.26980823,0.32110807,7639561.0,-5385981.5,0.99361044
