datetime,00060_Mean,00060_Mean_cd,site_no,00060_adjusted for agency canal_Mean,00060_adjusted for agency canal_Mean_cd
2012-10-01 00:00:00+00:00,68.0,A,06294000,68.0,A
2012-10-02 00:00:00+00:00,70.0,A,06294000,70.0,A
2012-10-03 00:00:00+00:00,70.0,A,06294000,70.0,A
2012-10-04 00:00:00+00:00,94.0,A,06294000,94.0,A
2012-10-05 00:00:00+00:00,123.0,A,06294000,123.0,A
2012-10-06 00:00:00+00:00,115.0,A,06294000,115.0,A
2012-10-07 00:00:00+00:00,109.0,A,06294000,109.0,A
2012-10-08 00:00:00+00:00,111.0,A,06294000,111.0,A
2012-10-09 00:00:00+00:00,116.0,A,06294000,116.0,A
2012-10-10 00:00:00+00:00,119.0,A,06294000,119.0,A
2012-10-11 00:00:00+00:00,121.0,A,06294000,121.0,A
2012-10-12 00:00:00+00:00,126.0,A,06294000,126.0,A
2012-10-13 00:00:00+00:00,124.0,A,06294000,124.0,A
2012-10-14 00:00:00+00:00,123.0,A,06294000,123.0,A
2012-10-15 00:00:00+00:00,123.0,A,06294000,123.0,A
2012-10-16 00:00:00+00:00,121.0,A,06294000,121.0,A
2012-10-17 00:00:00+00:00,123.0,A,06294000,123.0,A
2012-10-18 00:00:00+00:00,125.0,A,06294000,125.0,A
2012-10-19 00:00:00+00:00,136.0,A,06294000,136.0,A
2012-10-20 00:00:00+00:00,129.0,A,06294000,129.0,A
2012-10-21 00:00:00+00:00,128.0,A,06294000,128.0,A
2012-10-22 00:00:00+00:00,130.0,A,06294000,130.0,A
2012-10-23 00:00:00+00:00,135.0,A,06294000,135.0,A
2012-10-24 00:00:00+00:00,135.0,A,06294000,135.0,A
2012-10-25 00:00:00+00:00,138.0,A,06294000,138.0,A
2012-10-26 00:00:00+00:00,141.0,A,06294000,141.0,A
2012-10-27 00:00:00+00:00,135.0,A,06294000,135.0,A
2012-10-28 00:00:00+00:00,131.0,A,06294000,131.0,A
2012-10-29 00:00:00+00:00,133.0,A,06294000,133.0,A
2012-10-30 00:00:00+00:00,136.0,A,06294000,136.0,A
2012-10-31 00:00:00+00:00,137.0,A,06294000,137.0,A
2012-11-01 00:00:00+00:00,134.0,A,06294000,134.0,A
2012-11-02 00:00:00+00:00,134.0,A,06294000,134.0,A
2012-11-03 00:00:00+00:00,129.0,A,06294000,129.0,A
2012-11-04 00:00:00+00:00,132.0,A,06294000,132.0,A
2012-11-05 00:00:00+00:00,133.0,A,06294000,133.0,A
2012-11-06 00:00:00+00:00,133.0,A,06294000,133.0,A
2012-11-07 00:00:00+00:00,133.0,A,06294000,133.0,A
2012-11-08 00:00:00+00:00,128.0,A,06294000,128.0,A
2012-11-09 00:00:00+00:00,131.0,A,06294000,131.0,A
2012-11-10 00:00:00+00:00,138.0,A,06294000,138.0,A
2012-11-11 00:00:00+00:00,142.0,A,06294000,142.0,A
2012-11-12 00:00:00+00:00,117.0,A,06294000,117.0,A
2012-11-13 00:00:00+00:00,114.0,A,06294000,114.0,A
2012-11-14 00:00:00+00:00,139.0,A,06294000,139.0,A
2012-11-15 00:00:00+00:00,151.0,A,06294000,151.0,A
2012-11-16 00:00:00+00:00,144.0,A,06294000,144.0,A
2012-11-17 00:00:00+00:00,145.0,A,06294000,145.0,A
2012-11-18 00:00:00+00:00,145.0,A,06294000,145.0,A
2012-11-19 00:00:00+00:00,142.0,A,06294000,142.0,A
2012-11-20 00:00:00+00:00,142.0,A,06294000,142.0,A
2012-11-21 00:00:00+00:00,140.0,A,06294000,140.0,A
2012-11-22 00:00:00+00:00,140.0,A,06294000,140.0,A
2012-11-23 00:00:00+00:00,139.0,A,06294000,139.0,A
2012-11-24 00:00:00+00:00,139.0,A,06294000,139.0,A
2012-11-25 00:00:00+00:00,136.0,A,06294000,136.0,A
2012-11-26 00:00:00+00:00,140.0,A,06294000,140.0,A
