datetime,00060_Mean,00060_Mean_cd,site_no,30208_m^3/s_Mean,30208_m^3/s_Mean_cd,99065_meters_Mean,99065_meters_Mean_cd
2019-10-01 00:00:00+00:00,27.4,A,12321500,0.777,A,2.931,A
2019-10-02 00:00:00+00:00,27.8,A,12321500,0.788,A,2.933,A
2019-10-03 00:00:00+00:00,29.4,A,12321500,0.833,A,2.94,A
2019-10-04 00:00:00+00:00,31.3,A,12321500,0.886,A,2.948,A
2019-10-05 00:00:00+00:00,35.8,A,12321500,1.01,A,2.966,A
2019-10-06 00:00:00+00:00,44.3,A,12321500,1.25,A,2.997,A
2019-10-07 00:00:00+00:00,37.9,A,12321500,1.07,A,2.975,A
2019-10-08 00:00:00+00:00,191.0,A,12321500,5.4,A,3.248,A
2019-10-09 00:00:00+00:00,96.9,A,12321500,2.74,A,3.123,A
2019-10-10 00:00:00+00:00,61.0,A,12321500,1.73,A,3.043,A
2019-10-11 00:00:00+00:00,54.4,A,12321500,1.54,A,3.027,A
2019-10-12 00:00:00+00:00,49.2,A,12321500,1.39,A,3.011,A
2019-10-13 00:00:00+00:00,47.7,A,12321500,1.35,A,3.008,A
2019-10-14 00:00:00+00:00,45.8,A,12321500,1.3,A,3.002,A
2019-10-15 00:00:00+00:00,42.5,A,12321500,1.2,A,2.991,A
2019-10-16 00:00:00+00:00,42.5,A,12321500,1.2,A,2.991,A
2019-10-17 00:00:00+00:00,98.0,A,12321500,2.78,A,3.116,A
2019-10-18 00:00:00+00:00,143.0,A,12321500,4.05,A,3.198,A
2019-10-19 00:00:00+00:00,111.0,A,12321500,3.15,A,3.149,A
2019-10-20 00:00:00+00:00,90.5,A,12321500,2.56,A,3.112,A
2019-10-21 00:00:00+00:00,82.4,A,12321500,2.33,A,3.096,A
2019-10-22 00:00:00+00:00,93.9,A,12321500,2.66,A,3.117,A
2019-10-23 00:00:00+00:00,106.0,A,12321500,2.99,A,3.139,A
2019-10-24 00:00:00+00:00,85.8,A,12321500,2.43,A,3.103,A
2019-10-25 00:00:00+00:00,81.8,A,12321500,2.32,A,3.095,A
2019-10-26 00:00:00+00:00,89.1,A,12321500,2.52,A,3.109,A
2019-10-27 00:00:00+00:00,74.6,A,12321500,2.11,A,3.078,A
2019-10-28 00:00:00+00:00,69.7,A,12321500,1.97,A,3.068,A
2019-10-29 00:00:00+00:00,39.3,A,12321500,1.11,A,2.966,A
2019-10-30 00:00:00+00:00,52.6,A,12321500,1.49,A,3.021,A
2019-10-31 00:00:00+00:00,73.4,A,12321500,2.08,A,3.076,A
2019-11-01 00:00:00+00:00,59.1,A,12321500,1.67,A,3.041,A
2019-11-02 00:00:00+00:00,70.1,A,12321500,1.98,A,3.068,A
2019-11-03 00:00:00+00:00,69.1,A,12321500,1.96,A,3.066,A
2019-11-04 00:00:00+00:00,65.2,A,12321500,1.85,A,3.057,A
2019-11-05 00:00:00+00:00,58.4,A,12321500,1.65,A,3.039,A
2019-11-06 00:00:00+00:00,54.6,A,12321500,1.55,A,3.029,A
2019-11-07 00:00:00+00:00,47.0,A,12321500,1.33,A,3.006,A
2019-11-08 00:00:00+00:00,50.8,A,12321500,1.44,A,3.018,A
2019-11-09 00:00:00+00:00,51.7,A,12321500,1.47,A,3.02,A
2019-11-10 00:00:00+00:00,50.5,A,12321500,1.43,A,3.017,A
2019-11-11 00:00:00+00:00,42.5,A,12321500,1.2,A,2.99,A
2019-11-12 00:00:00+00:00,47.2,A,12321500,1.34,A,3.006,A
2019-11-13 00:00:00+00:00,46.1,A,12321500,1.3,A,3.003,A
2019-11-14 00:00:00+00:00,44.5,A,12321500,1.26,A,2.998,A
2019-11-15 00:00:00+00:00,43.9,A,12321500,1.24,A,2.996,A
2019-11-16 00:00:00+00:00,43.3,A,12321500,1.23,A,2.994,A
2019-11-17 00:00:00+00:00,58.9,A,12321500,1.67,A,3.036,A
2019-11-18 00:00:00+00:00,85.0,A,12321500,2.41,A,3.101,A
2019-11-19 00:00:00+00:00,76.3,A,12321500,2.16,A,3.083,A
2019-11-20 00:00:00+00:00,71.2,A,12321500,2.02,A,3.071,A
2019-11-21 00:00:00+00:00,53.1,A,12321500,1.5,A,3.023,A
2019-11-22 00:00:00+00:00,42.9,A,12321500,1.22,A,2.991,A
2019-11-23 00:00:00+00:00,54.5,A,12321500,1.54,A,3.028,A
2019-11-24 00:00:00+00:00,60.0,A,12321500,1.7,A,3.044,A
2019-11-25 00:00:00+00:00,47.0,A,12321500,1.33,A,3.005,A
2019-11-26 00:00:00+00:00,27.6,"A, e",12321500,0.781,"A, e",2.942,A
2019-11-27 00:00:00+00:00,33.1,"A, e",12321500,0.938,"A, e",3.004,A
2019-11-28 00:00:00+00:00,26.6,"A, e",12321500,0.753,"A, e",3.009,A
2019-11-29 00:00:00+00:00,24.2,"A, e",12321500,0.684,"A, e",3.117,A
2019-11-30 00:00:00+00:00,26.1,"A, e",12321500,0.739,"A, e",3.248,A
2019-12-01 00:00:00+00:00,37.3,"A, e",12321500,1.06,"A, e",3.292,A
2019-12-02 00:00:00+00:00,50.8,"A, e",12321500,1.44,"A, e",3.348,A
2019-12-03 00:00:00+00:00,51.1,"A, e",12321500,1.45,"A, e",3.342,A
2019-12-04 00:00:00+00:00,48.2,"A, e",12321500,1.36,"A, e",3.249,A
2019-12-05 00:00:00+00:00,45.1,"A, e",12321500,1.28,"A, e",3.103,A
2019-12-06 00:00:00+00:00,44.8,"A, e",12321500,1.27,"A, e",2.999,A
2019-12-07 00:00:00+00:00,44.7,A,12321500,1.27,A,2.998,A
2019-12-08 00:00:00+00:00,42.5,A,12321500,1.2,A,2.991,A
2019-12-09 00:00:00+00:00,36.9,A,12321500,1.05,A,2.971,A
2019-12-10 00:00:00+00:00,37.2,A,12321500,1.05,A,2.972,A
2019-12-11 00:00:00+00:00,38.0,A,12321500,1.08,A,2.975,A
2019-12-12 00:00:00+00:00,37.7,A,12321500,1.07,A,2.974,A
2019-12-13 00:00:00+00:00,37.6,A,12321500,1.06,A,2.973,A
2019-12-14 00:00:00+00:00,36.1,A,12321500,1.02,A,2.968,A
2019-12-15 00:00:00+00:00,33.3,"A, e",12321500,0.942,"A, e",2.963,A
2019-12-16 00:00:00+00:00,32.9,"A, e",12321500,0.932,"A, e",2.993,A
2019-12-17 00:00:00+00:00,33.4,"A, e",12321500,0.947,"A, e",2.976,A
2019-12-18 00:00:00+00:00,33.7,A,12321500,0.954,A,2.958,A
2019-12-19 00:00:00+00:00,32.7,A,12321500,0.927,A,2.954,A
2019-12-20 00:00:00+00:00,51.7,A,12321500,1.46,A,3.016,A
2019-12-21 00:00:00+00:00,248.0,"A, e",12321500,7.02,"A, e",3.347,A
2019-12-22 00:00:00+00:00,415.0,A,12321500,11.7,A,3.483,A
2019-12-23 00:00:00+00:00,229.0,A,12321500,6.5,A,3.311,A
2019-12-24 00:00:00+00:00,171.0,A,12321500,4.84,A,3.238,A
2019-12-25 00:00:00+00:00,140.0,A,12321500,3.95,A,3.194,A
2019-12-26 00:00:00+00:00,106.0,A,12321500,2.99,A,3.14,A
2019-12-27 00:00:00+00:00,111.0,A,12321500,3.13,A,3.148,A
2019-12-28 00:00:00+00:00,97.2,A,12321500,2.75,A,3.125,A
2019-12-29 00:00:00+00:00,94.5,A,12321500,2.68,A,3.12,A
2019-12-30 00:00:00+00:00,79.3,A,12321500,2.25,A,3.089,A
2019-12-31 00:00:00+00:00,88.2,A,12321500,2.5,A,3.108,A
2020-01-01 00:00:00+00:00,91.0,A,12321500,2.58,A,3.113,A
2020-01-02 00:00:00+00:00,87.2,A,12321500,2.47,A,3.106,A
2020-01-03 00:00:00+00:00,80.4,A,12321500,2.28,A,3.092,A
2020-01-04 00:00:00+00:00,78.7,A,12321500,2.23,A,3.088,A
2020-01-05 00:00:00+00:00,74.1,A,12321500,2.1,A,3.078,A
2020-01-06 00:00:00+00:00,71.8,A,12321500,2.03,A,3.073,A
2020-01-07 00:00:00+00:00,71.5,A,12321500,2.02,A,3.072,A
2020-01-08 00:00:00+00:00,75.2,A,12321500,2.13,A,3.08,A
2020-01-09 00:00:00+00:00,55.8,"A, e",12321500,1.58,"A, e",3.04,A
2020-01-10 00:00:00+00:00,45.7,"A, e",12321500,1.29,"A, e",3.06,A
2020-01-11 00:00:00+00:00,47.9,"A, e",12321500,1.36,"A, e",3.121,A
2020-01-12 00:00:00+00:00,48.3,"A, e",12321500,1.37,"A, e",3.123,A
2020-01-13 00:00:00+00:00,47.4,"A, e",12321500,1.34,"A, e",3.093,A
2020-01-14 00:00:00+00:00,46.2,"A, e",12321500,1.31,"A, e",3.087,A
2020-01-15 00:00:00+00:00,45.6,"A, e",12321500,1.29,"A, e",3.115,A
2020-01-16 00:00:00+00:00,46.5,"A, e",12321500,1.32,"A, e",3.172,A
2020-01-17 00:00:00+00:00,48.3,"A, e",12321500,1.37,"A, e",3.183,A
2020-01-18 00:00:00+00:00,48.5,"A, e",12321500,1.37,"A, e",3.211,A
2020-01-19 00:00:00+00:00,49.8,"A, e",12321500,1.41,"A, e",3.196,A
2020-01-20 00:00:00+00:00,53.2,"A, e",12321500,1.51,"A, e",3.087,A
2020-01-21 00:00:00+00:00,54.4,A,12321500,1.54,A,3.028,A
2020-01-22 00:00:00+00:00,54.0,A,12321500,1.53,A,3.027,A
2020-01-23 00:00:00+00:00,53.5,A,12321500,1.52,A,3.026,A
2020-01-24 00:00:00+00:00,57.4,A,12321500,1.63,A,3.037,A
2020-01-25 00:00:00+00:00,62.6,A,12321500,1.77,A,3.05,A
2020-01-26 00:00:00+00:00,60.4,A,12321500,1.71,A,3.045,A
2020-01-27 00:00:00+00:00,58.2,A,12321500,1.65,A,3.039,A
2020-01-28 00:00:00+00:00,57.2,A,12321500,1.62,A,3.036,A
2020-01-29 00:00:00+00:00,56.2,A,12321500,1.59,A,3.033,A
2020-01-30 00:00:00+00:00,54.9,A,12321500,1.55,A,3.03,A
2020-01-31 00:00:00+00:00,58.0,A,12321500,1.64,A,3.038,A
2020-02-01 00:00:00+00:00,171.0,A,12321500,4.85,A,3.234,A
