datetime,00010_Mean,00010_Mean_cd,site_no,00025_Mean,00025_Mean_cd,00047_Mean,00047_Mean_cd,00060_Mean,00060_Mean_cd,00095_Mean,00095_Mean_cd,00300_Mean,00300_Mean_cd
2019-10-01 00:00:00+00:00,10.2,A,14159500,731.0,A,732.0,A,471.0,A,48.0,A,10.0,A
2019-10-02 00:00:00+00:00,10.1,A,14159500,729.0,A,731.0,A,428.0,A,48.0,A,10.1,A
2019-10-03 00:00:00+00:00,10.3,A,14159500,730.0,A,732.0,A,426.0,A,49.0,A,10.0,A
2019-10-04 00:00:00+00:00,10.2,A,14159500,734.0,A,732.0,A,426.0,A,48.0,A,10.1,A
2019-10-05 00:00:00+00:00,10.4,A,14159500,737.0,A,732.0,A,426.0,A,49.0,A,10.1,A
2019-10-06 00:00:00+00:00,10.4,A,14159500,734.0,A,730.0,A,425.0,A,49.0,A,10.1,A
2019-10-07 00:00:00+00:00,10.3,A,14159500,730.0,A,729.0,A,383.0,A,50.0,A,10.1,A
2019-10-08 00:00:00+00:00,10.1,A,14159500,728.0,A,727.0,A,317.0,A,49.0,A,10.1,A
2019-10-09 00:00:00+00:00,10.1,A,14159500,735.0,A,728.0,A,312.0,A,50.0,A,10.1,A
2019-10-10 00:00:00+00:00,10.1,A,14159500,735.0,A,727.0,A,313.0,A,49.0,A,10.2,A
2019-10-11 00:00:00+00:00,10.0,A,14159500,730.0,A,726.0,A,316.0,A,50.0,A,10.2,A
2019-10-12 00:00:00+00:00,10.0,A,14159500,728.0,A,725.0,A,318.0,A,50.0,A,10.2,A
2019-10-13 00:00:00+00:00,9.9,A,14159500,727.0,A,726.0,A,318.0,A,51.0,A,10.2,A
2019-10-14 00:00:00+00:00,10.0,A,14159500,729.0,A,727.0,A,320.0,A,50.0,A,10.2,A
2019-10-15 00:00:00+00:00,9.9,A,14159500,729.0,A,726.0,A,320.0,A,50.0,A,10.2,A
2019-10-16 00:00:00+00:00,9.9,A,14159500,725.0,A,724.0,A,321.0,A,51.0,A,10.2,A
