datetime,00060_Mean,00060_Mean_cd,site_no,00065_Mean,00065_Mean_cd,30208_m^3/s_Mean,30208_m^3/s_Mean_cd,99065_meters_Mean,99065_meters_Mean_cd
2019-10-01 00:00:00+00:00,52.7,A,12306500,3.41,A,1.49,A,1.04,A
2019-10-02 00:00:00+00:00,50.3,A,12306500,3.4,A,1.42,A,1.037,A
2019-10-03 00:00:00+00:00,49.6,A,12306500,3.4,A,1.41,A,1.036,A
2019-10-04 00:00:00+00:00,49.3,A,12306500,3.4,A,1.4,A,1.035,A
2019-10-05 00:00:00+00:00,50.5,A,12306500,3.4,A,1.43,A,1.037,A
2019-10-06 00:00:00+00:00,52.1,A,12306500,3.41,A,1.48,A,1.039,A
2019-10-07 00:00:00+00:00,51.3,A,12306500,3.41,A,1.45,A,1.038,A
2019-10-08 00:00:00+00:00,135.0,A,12306500,3.68,A,3.82,A,1.121,A
2019-10-09 00:00:00+00:00,128.0,A,12306500,3.68,A,3.63,A,1.12,A
2019-10-10 00:00:00+00:00,87.1,A,12306500,3.55,A,2.47,A,1.081,A
2019-10-11 00:00:00+00:00,82.9,A,12306500,3.53,A,2.35,A,1.077,A
2019-10-12 00:00:00+00:00,79.0,A,12306500,3.52,A,2.24,A,1.072,A
2019-10-13 00:00:00+00:00,78.3,A,12306500,3.52,A,2.22,A,1.072,A
2019-10-14 00:00:00+00:00,76.4,A,12306500,3.51,A,2.16,A,1.069,A
2019-10-15 00:00:00+00:00,74.1,A,12306500,3.5,A,2.1,A,1.067,A
2019-10-16 00:00:00+00:00,74.1,A,12306500,3.5,A,2.1,A,1.067,A
2019-10-17 00:00:00+00:00,78.6,A,12306500,3.52,A,2.23,A,1.072,A
2019-10-18 00:00:00+00:00,101.0,A,12306500,3.59,A,2.86,A,1.096,A
2019-10-19 00:00:00+00:00,100.0,A,12306500,3.59,A,2.83,A,1.095,A
2019-10-20 00:00:00+00:00,97.2,A,12306500,3.58,A,2.75,A,1.092,A
2019-10-21 00:00:00+00:00,99.6,A,12306500,3.59,A,2.82,A,1.094,A
2019-10-22 00:00:00+00:00,102.0,A,12306500,3.6,A,2.9,A,1.097,A
2019-10-23 00:00:00+00:00,112.0,A,12306500,3.63,A,3.18,A,1.106,A
2019-10-24 00:00:00+00:00,109.0,A,12306500,3.62,A,3.09,A,1.103,A
2019-10-25 00:00:00+00:00,107.0,A,12306500,3.61,A,3.03,A,1.101,A
2019-10-26 00:00:00+00:00,114.0,A,12306500,3.64,A,3.24,A,1.109,A
2019-10-27 00:00:00+00:00,112.0,A,12306500,3.63,A,3.16,A,1.106,A
2019-10-28 00:00:00+00:00,111.0,"A, e",12306500,3.63,A,3.13,"A, e",1.105,A
2019-10-29 00:00:00+00:00,97.3,"A, e",12306500,3.67,A,2.76,"A, e",1.119,A
2019-10-30 00:00:00+00:00,106.0,"A, e",12306500,3.7,A,2.99,"A, e",1.127,A
2019-10-31 00:00:00+00:00,104.0,"A, e",12306500,3.67,A,2.94,"A, e",1.119,A
2019-11-01 00:00:00+00:00,96.7,"A, e",12306500,3.65,A,2.74,"A, e",1.111,A
2019-11-02 00:00:00+00:00,101.0,"A, e",12306500,3.61,A,2.86,"A, e",1.101,A
2019-11-03 00:00:00+00:00,99.9,A,12306500,3.59,A,2.83,A,1.094,A
2019-11-04 00:00:00+00:00,96.8,A,12306500,3.58,A,2.74,A,1.091,A
2019-11-05 00:00:00+00:00,95.1,A,12306500,3.57,A,2.69,A,1.09,A
2019-11-06 00:00:00+00:00,91.3,A,12306500,3.56,A,2.59,A,1.086,A
2019-11-07 00:00:00+00:00,87.1,A,12306500,3.55,A,2.47,A,1.081,A
2019-11-08 00:00:00+00:00,89.4,A,12306500,3.56,A,2.53,A,1.084,A
2019-11-09 00:00:00+00:00,88.2,A,12306500,3.55,A,2.5,A,1.082,A
2019-11-10 00:00:00+00:00,86.9,A,12306500,3.55,A,2.46,A,1.081,A
2019-11-11 00:00:00+00:00,80.5,A,12306500,3.52,A,2.28,A,1.074,A
2019-11-12 00:00:00+00:00,85.7,A,12306500,3.54,A,2.43,A,1.08,A
2019-11-13 00:00:00+00:00,88.2,A,12306500,3.55,A,2.5,A,1.082,A
