datetime,00060_Mean,00060_Mean_cd,site_no,00065_Mean,00065_Mean_cd,30208_m^3/s_Mean,30208_m^3/s_Mean_cd,99065_meters_Mean,99065_meters_Mean_cd
2020-10-01 00:00:00+00:00,49.7,A,12306500,3.33,A,1.41,A,1.015,A
2020-10-02 00:00:00+00:00,49.7,A,12306500,3.33,A,1.41,A,1.015,A
2020-10-03 00:00:00+00:00,49.7,A,12306500,3.33,A,1.41,A,1.015,A
2020-10-04 00:00:00+00:00,49.1,A,12306500,3.33,A,1.39,A,1.014,A
2020-10-05 00:00:00+00:00,47.3,A,12306500,3.32,A,1.34,A,1.011,A
2020-10-06 00:00:00+00:00,44.7,A,12306500,3.31,A,1.27,A,1.008,A
2020-10-07 00:00:00+00:00,43.6,A,12306500,3.3,A,1.23,A,1.006,A
2020-10-08 00:00:00+00:00,44.8,A,12306500,3.31,A,1.27,A,1.008,A
2020-10-09 00:00:00+00:00,47.5,A,12306500,3.32,A,1.35,A,1.012,A
2020-10-10 00:00:00+00:00,55.2,A,12306500,3.36,A,1.56,A,1.023,A
2020-10-11 00:00:00+00:00,89.5,A,12306500,3.5,A,2.53,A,1.067,A
2020-10-12 00:00:00+00:00,77.6,A,12306500,3.46,A,2.2,A,1.054,A
2020-10-13 00:00:00+00:00,77.6,A,12306500,3.46,A,2.2,A,1.054,A
2020-10-14 00:00:00+00:00,86.0,A,12306500,3.49,A,2.44,A,1.064,A
2020-10-15 00:00:00+00:00,76.8,A,12306500,3.45,A,2.17,A,1.053,A
2020-10-16 00:00:00+00:00,74.0,A,12306500,3.44,A,2.1,A,1.049,A
2020-10-17 00:00:00+00:00,88.7,A,12306500,3.5,A,2.51,A,1.067,A
2020-10-18 00:00:00+00:00,81.8,A,12306500,3.47,A,2.32,A,1.059,A
2020-10-19 00:00:00+00:00,77.1,A,12306500,3.46,A,2.18,A,1.053,A
2020-10-20 00:00:00+00:00,78.4,A,12306500,3.46,A,2.22,A,1.055,A
2020-10-21 00:00:00+00:00,80.3,A,12306500,3.47,A,2.27,A,1.057,A
2020-10-22 00:00:00+00:00,74.3,A,12306500,3.44,A,2.1,A,1.049,A
2020-10-23 00:00:00+00:00,71.8,A,12306500,3.43,A,2.03,A,1.046,A
2020-10-24 00:00:00+00:00,68.0,"A, e",12306500,3.42,A,1.92,"A, e",1.043,A
2020-10-25 00:00:00+00:00,61.1,"A, e",12306500,3.59,A,1.73,"A, e",1.093,A
2020-10-26 00:00:00+00:00,63.2,"A, e",12306500,3.43,A,1.79,"A, e",1.046,A
2020-10-27 00:00:00+00:00,66.7,A,12306500,3.41,A,1.89,A,1.04,A
2020-10-28 00:00:00+00:00,67.4,A,12306500,3.41,A,1.91,A,1.04,A
2020-10-29 00:00:00+00:00,64.4,A,12306500,3.4,A,1.82,A,1.036,A
2020-10-30 00:00:00+00:00,64.3,A,12306500,3.4,A,1.82,A,1.036,A
2020-10-31 00:00:00+00:00,64.7,A,12306500,3.4,A,1.83,A,1.037,A
