datetime,00060_Mean,00060_Mean_cd,site_no,30208_m^3/s_Mean,30208_m^3/s_Mean_cd,99065_meters_Mean,99065_meters_Mean_cd
2020-10-01 00:00:00+00:00,24.4,A,12321500,0.691,A,2.889,A
2020-10-02 00:00:00+00:00,24.1,A,12321500,0.681,A,2.887,A
2020-10-03 00:00:00+00:00,23.7,A,12321500,0.67,A,2.884,A
2020-10-04 00:00:00+00:00,23.2,A,12321500,0.658,A,2.882,A
2020-10-05 00:00:00+00:00,22.7,A,12321500,0.644,A,2.879,A
2020-10-06 00:00:00+00:00,22.2,A,12321500,0.63,A,2.875,A
2020-10-07 00:00:00+00:00,22.1,A,12321500,0.625,A,2.874,A
2020-10-08 00:00:00+00:00,22.4,A,12321500,0.635,A,2.876,A
2020-10-09 00:00:00+00:00,27.4,A,12321500,0.776,A,2.906,A
2020-10-10 00:00:00+00:00,61.7,A,12321500,1.75,A,3.0,A
2020-10-11 00:00:00+00:00,84.7,A,12321500,2.4,A,3.096,A
2020-10-12 00:00:00+00:00,52.5,A,12321500,1.49,A,3.015,A
2020-10-13 00:00:00+00:00,53.3,A,12321500,1.51,A,3.017,A
2020-10-14 00:00:00+00:00,59.9,A,12321500,1.7,A,3.038,A
2020-10-15 00:00:00+00:00,45.6,A,12321500,1.29,A,2.989,A
2020-10-16 00:00:00+00:00,49.6,A,12321500,1.4,A,2.997,A
2020-10-17 00:00:00+00:00,80.8,A,12321500,2.29,A,3.093,A
2020-10-18 00:00:00+00:00,55.7,A,12321500,1.58,A,3.025,A
2020-10-19 00:00:00+00:00,50.9,A,12321500,1.44,A,3.009,A
2020-10-20 00:00:00+00:00,57.6,A,12321500,1.63,A,3.031,A
2020-10-21 00:00:00+00:00,48.5,A,12321500,1.37,A,3.0,A
2020-10-22 00:00:00+00:00,42.2,A,12321500,1.2,A,2.976,A
2020-10-23 00:00:00+00:00,39.6,A,12321500,1.12,A,2.966,A
2020-10-24 00:00:00+00:00,33.5,A,12321500,0.948,A,2.937,A
2020-10-25 00:00:00+00:00,19.8,"A, e",12321500,0.561,"A, e",2.877,A
2020-10-26 00:00:00+00:00,21.5,"A, e",12321500,0.608,"A, e",2.97,A
2020-10-27 00:00:00+00:00,29.9,"A, e",12321500,0.846,"A, e",2.975,A
2020-10-28 00:00:00+00:00,37.3,"A, e",12321500,1.06,"A, e",2.958,A
2020-10-29 00:00:00+00:00,36.4,A,12321500,1.03,A,2.951,A
2020-10-30 00:00:00+00:00,37.2,A,12321500,1.05,A,2.955,A
2020-10-31 00:00:00+00:00,36.8,A,12321500,1.04,A,2.953,A
2020-11-01 00:00:00+00:00,33.0,A,12321500,0.935,A,2.935,A
2020-11-02 00:00:00+00:00,30.8,A,12321500,0.872,A,2.924,A
2020-11-03 00:00:00+00:00,34.2,A,12321500,0.968,A,2.94,A
2020-11-04 00:00:00+00:00,62.3,A,12321500,1.76,A,3.036,A
2020-11-05 00:00:00+00:00,121.0,A,12321500,3.43,A,3.181,A
2020-11-06 00:00:00+00:00,99.5,A,12321500,2.82,A,3.138,A
2020-11-07 00:00:00+00:00,72.7,A,12321500,2.06,A,3.075,A
2020-11-08 00:00:00+00:00,62.0,A,12321500,1.76,A,3.045,A
2020-11-09 00:00:00+00:00,52.5,A,12321500,1.49,A,3.014,A
2020-11-10 00:00:00+00:00,49.0,A,12321500,1.39,A,3.002,A
2020-11-11 00:00:00+00:00,46.4,A,12321500,1.31,A,2.992,A
2020-11-12 00:00:00+00:00,46.2,A,12321500,1.31,A,2.992,A
2020-11-13 00:00:00+00:00,44.1,A,12321500,1.25,A,2.984,A
2020-11-14 00:00:00+00:00,46.8,A,12321500,1.32,A,2.994,A
2020-11-15 00:00:00+00:00,47.1,A,12321500,1.33,A,2.995,A
2020-11-16 00:00:00+00:00,47.4,A,12321500,1.34,A,2.996,A
2020-11-17 00:00:00+00:00,51.2,A,12321500,1.45,A,3.009,A
2020-11-18 00:00:00+00:00,84.5,A,12321500,2.39,A,3.105,A
2020-11-19 00:00:00+00:00,72.8,A,12321500,2.06,A,3.075,A
