,Data provided for site 11266500,Unnamed: 1,Unnamed: 2,Unnamed: 3
0,ts_id,parameter,statistic,Description
1,9537,00010,00001,"Temperature, water, degrees Celsius"
2,327888,00010,00002,"Temperature, water, degrees Celsius"
3,327887,00060,00003,"Discharge, cubic feet per second"
4,,,,
5,Data-value qualification codes included in this output:,,,
6,A,Approved for publication -- Processing and review completed.,,
7,P,Provisional data subject to revision.,,
8,e,Value has been estimated.,,
