,Data provided for site 11446220,Unnamed: 1,Unnamed: 2,Unnamed: 3
0,ts_id,parameter,statistic,Description
1,10970,00010,00001,"Temperature, water, degrees Celsius"
2,10971,00010,00002,"Temperature, water, degrees Celsius"
3,326062,00010,00003,"Temperature, water, degrees Celsius"
4,,,,
5,Data-value qualification codes included in this output:,,,
6,A,Approved for publication -- Processing and review completed.,,
7,P,Provisional data subject to revision.,,
8,[4],Returned when there is no matching qualifier.,,
