,Data provided for site 09050700,Unnamed: 1,Unnamed: 2,Unnamed: 3
0,ts_id,parameter,statistic,Description
1,314447,00010,00001,"Temperature, water, degrees Celsius"
2,314449,00010,00002,"Temperature, water, degrees Celsius"
3,314448,00010,00003,"Temperature, water, degrees Celsius"
4,18527,00060,00003,"Discharge, cubic feet per second"
5,314451,00095,00001,"Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius"
6,314452,00095,00002,"Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius"
7,314453,00095,00003,"Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius"
8,,,,
9,Data-value qualification codes included in this output:,,,
10,A,Approved for publication -- Processing and review completed.,,
11,P,Provisional data subject to revision.,,
12,e,Value has been estimated.,,
