,Data provided for site 12409000,Unnamed: 1,Unnamed: 2,Unnamed: 3
0,ts_id,parameter,statistic,Description
1,149631,00060,00003,"Discharge, cubic feet per second"
2,149632,00065,00003,"Gage height, feet"
3,,,,
4,Data-value qualification codes included in this output:,,,
5,A,Approved for publication -- Processing and review completed.,,
6,P,Provisional data subject to revision.,,
7,e,Value has been estimated.,,
