,Data provided for site 12301933,Unnamed: 1,Unnamed: 2,Unnamed: 3
0,ts_id,parameter,statistic,Description
1,316192,00010,00001,"Temperature, water, degrees Celsius"
2,251967,00010,00002,"Temperature, water, degrees Celsius"
3,316191,00010,00003,"Temperature, water, degrees Celsius"
4,81801,00060,00003,"Discharge, cubic feet per second"
5,316189,00095,00001,"Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius"
6,316190,00095,00002,"Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius"
7,316188,00095,00003,"Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius"
8,316186,00300,00001,"Dissolved oxygen, water, unfiltered, milligrams per liter"
9,316183,00300,00002,"Dissolved oxygen, water, unfiltered, milligrams per liter"
10,316182,00300,00003,"Dissolved oxygen, water, unfiltered, milligrams per liter"
11,316196,00400,00001,"pH, water, unfiltered, field, standard units"
12,316198,00400,00002,"pH, water, unfiltered, field, standard units"
13,316197,00400,00008,"pH, water, unfiltered, field, standard units"
14,316195,63680,00001,"Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU)"
15,316194,63680,00002,"Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU)"
16,316193,63680,00003,"Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU)"
17,81799,80154,00003,"Suspended sediment concentration, milligrams per liter"
18,81800,80155,00003,"Suspended sediment discharge, short tons per day"
19,,,,
20,Data-value qualification codes included in this output:,,,
21,A,Approved for publication -- Processing and review completed.,,
22,P,Provisional data subject to revision.,,
23,[4],Returned when there is no matching qualifier.,,
24,e,Value has been estimated.,,
