,Data provided for site 11251000,Unnamed: 1,Unnamed: 2,Unnamed: 3
0,ts_id,parameter,statistic,Description
1,9428,00010,00001,"Temperature, water, degrees Celsius"
2,9429,00010,00002,"Temperature, water, degrees Celsius"
3,227391,00010,00003,"Temperature, water, degrees Celsius"
4,9430,00010,00008,"Temperature, water, degrees Celsius"
5,9427,00060,00003,"Discharge, cubic feet per second"
6,9431,00095,00001,"Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius"
7,9432,00095,00002,"Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius"
8,227393,00095,00003,"Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius"
9,9433,00095,00008,"Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius"
10,,,,
11,Data-value qualification codes included in this output:,,,
12,A,Approved for publication -- Processing and review completed.,,
13,P,Provisional data subject to revision.,,
14,[4],Returned when there is no matching qualifier.,,
15,e,Value has been estimated.,,
