datetime,00060_Mean,00060_Mean_cd,site_no,00065_base gage_Mean,00065_base gage_Mean_cd,"00065_auxiliary gage, [auxiliary gage_Mean","00065_auxiliary gage, [auxiliary gage_Mean_cd"
2012-10-01 00:00:00+00:00,14100.0,A,12396500,88.43,A,87.71,A
2012-10-02 00:00:00+00:00,16600.0,A,12396500,87.78,A,86.59,A
2012-10-03 00:00:00+00:00,20000.0,A,12396500,88.14,A,86.61,A
2012-10-04 00:00:00+00:00,20400.0,A,12396500,88.2,A,86.6,A
2012-10-05 00:00:00+00:00,23100.0,A,12396500,88.79,A,87.11,A
2012-10-06 00:00:00+00:00,23100.0,A,12396500,89.42,A,88.06,A
2012-10-07 00:00:00+00:00,22800.0,A,12396500,90.06,A,88.99,A
2012-10-08 00:00:00+00:00,21100.0,A,12396500,88.68,A,87.26,A
2012-10-09 00:00:00+00:00,20700.0,A,12396500,87.61,A,85.7,A
2012-10-10 00:00:00+00:00,20000.0,A,12396500,88.71,A,87.49,A
2012-10-11 00:00:00+00:00,19000.0,A,12396500,88.46,A,87.27,A
2012-10-12 00:00:00+00:00,18900.0,A,12396500,88.85,A,87.79,A
2012-10-13 00:00:00+00:00,18600.0,A,12396500,88.96,A,87.98,A
2012-10-14 00:00:00+00:00,18400.0,A,12396500,89.01,A,88.07,A
2012-10-15 00:00:00+00:00,18600.0,A,12396500,88.88,A,87.89,A
2012-10-16 00:00:00+00:00,18400.0,A,12396500,88.62,A,87.58,A
2012-10-17 00:00:00+00:00,18800.0,A,12396500,88.85,A,87.84,A
2012-10-18 00:00:00+00:00,19100.0,A,12396500,89.16,A,88.16,A
2012-10-19 00:00:00+00:00,23300.0,A,12396500,89.44,A,88.04,A
2012-10-20 00:00:00+00:00,25000.0,A,12396500,90.75,A,89.62,A
2012-10-21 00:00:00+00:00,25100.0,A,12396500,90.4,A,89.19,A
2012-10-22 00:00:00+00:00,24100.0,A,12396500,90.19,A,89.02,A
2012-10-23 00:00:00+00:00,22400.0,A,12396500,89.76,A,88.64,A
2012-10-24 00:00:00+00:00,22200.0,A,12396500,90.3,A,89.36,A
2012-10-25 00:00:00+00:00,22400.0,A,12396500,89.85,A,88.77,A
2012-10-26 00:00:00+00:00,22400.0,A,12396500,89.14,A,87.8,A
2012-10-27 00:00:00+00:00,21700.0,A,12396500,88.93,A,87.58,A
2012-10-28 00:00:00+00:00,21600.0,A,12396500,89.33,A,88.16,A
2012-10-29 00:00:00+00:00,21400.0,A,12396500,90.43,A,89.6,A
2012-10-30 00:00:00+00:00,22200.0,A,12396500,91.19,A,90.46,A
2012-10-31 00:00:00+00:00,22900.0,A,12396500,91.52,A,90.8,A
2012-11-01 00:00:00+00:00,22300.0,A,12396500,90.83,A,90.02,A
2012-11-02 00:00:00+00:00,24900.0,A,12396500,90.96,A,89.94,A
2012-11-03 00:00:00+00:00,26000.0,A,12396500,91.29,A,90.27,A
2012-11-04 00:00:00+00:00,26800.0,A,12396500,90.9,A,89.65,A
2012-11-05 00:00:00+00:00,26600.0,A,12396500,89.75,A,88.04,A
2012-11-06 00:00:00+00:00,25600.0,A,12396500,91.3,A,90.31,A
2012-11-07 00:00:00+00:00,25700.0,A,12396500,91.47,A,90.52,A
2012-11-08 00:00:00+00:00,25900.0,A,12396500,91.07,A,89.99,A
2012-11-09 00:00:00+00:00,22300.0,A,12396500,89.69,A,88.55,A
2012-11-10 00:00:00+00:00,19400.0,A,12396500,89.09,A,88.08,A
2012-11-11 00:00:00+00:00,18700.0,A,12396500,88.65,A,87.61,A
2012-11-12 00:00:00+00:00,20600.0,A,12396500,89.36,A,88.31,A
2012-11-13 00:00:00+00:00,19100.0,A,12396500,89.75,A,88.91,A
2012-11-14 00:00:00+00:00,17100.0,A,12396500,88.22,A,87.2,A
2012-11-15 00:00:00+00:00,19300.0,A,12396500,88.07,A,86.69,A
2012-11-16 00:00:00+00:00,19800.0,A,12396500,88.59,A,87.35,A
2012-11-17 00:00:00+00:00,18500.0,A,12396500,87.99,A,86.65,A
2012-11-18 00:00:00+00:00,17900.0,A,12396500,88.47,A,87.38,A
2012-11-19 00:00:00+00:00,18100.0,A,12396500,88.99,A,88.07,A
2012-11-20 00:00:00+00:00,21700.0,A,12396500,89.76,A,88.64,A
2012-11-21 00:00:00+00:00,30200.0,A,12396500,90.33,A,88.39,A
2012-11-22 00:00:00+00:00,32000.0,A,12396500,91.38,A,89.73,A
2012-11-23 00:00:00+00:00,24200.0,A,12396500,90.79,A,89.78,A
2012-11-24 00:00:00+00:00,18400.0,A,12396500,90.19,A,89.55,A
2012-11-25 00:00:00+00:00,16300.0,A,12396500,89.47,A,88.87,A
2012-11-26 00:00:00+00:00,17900.0,A,12396500,88.36,A,87.17,A
2012-11-27 00:00:00+00:00,19200.0,A,12396500,87.32,A,85.49,A
2012-11-28 00:00:00+00:00,22100.0,A,12396500,88.63,A,87.03,A
2012-11-29 00:00:00+00:00,24500.0,A,12396500,89.69,A,88.26,A
2012-11-30 00:00:00+00:00,24300.0,A,12396500,90.36,A,89.21,A
2012-12-01 00:00:00+00:00,21500.0,A,12396500,90.88,A,90.12,A
2012-12-02 00:00:00+00:00,21200.0,A,12396500,90.3,A,89.45,A
2012-12-03 00:00:00+00:00,22100.0,A,12396500,90.71,A,89.88,A
2012-12-04 00:00:00+00:00,24600.0,A,12396500,90.72,A,89.67,A
2012-12-05 00:00:00+00:00,27600.0,A,12396500,91.6,A,90.5,A
2012-12-06 00:00:00+00:00,30100.0,A,12396500,92.25,A,91.13,A
2012-12-07 00:00:00+00:00,32000.0,A,12396500,92.51,A,91.29,A
2012-12-08 00:00:00+00:00,32800.0,A,12396500,92.86,A,91.67,A
2012-12-09 00:00:00+00:00,31400.0,A,12396500,92.28,A,91.04,A
2012-12-10 00:00:00+00:00,30500.0,A,12396500,91.86,A,90.57,A
2012-12-11 00:00:00+00:00,30200.0,A,12396500,92.44,A,91.36,A
2012-12-12 00:00:00+00:00,25200.0,A,12396500,91.36,A,90.41,A
2012-12-13 00:00:00+00:00,23000.0,A,12396500,90.6,A,89.67,A
2012-12-14 00:00:00+00:00,22700.0,A,12396500,90.37,A,89.41,A
2012-12-15 00:00:00+00:00,22900.0,A,12396500,88.94,A,87.36,A
2012-12-16 00:00:00+00:00,22600.0,A,12396500,89.71,A,88.46,A
2012-12-17 00:00:00+00:00,24000.0,A,12396500,89.67,A,88.27,A
2012-12-18 00:00:00+00:00,26600.0,A,12396500,90.54,A,89.16,A
2012-12-19 00:00:00+00:00,27100.0,A,12396500,90.56,A,89.16,A
2012-12-20 00:00:00+00:00,25700.0,A,12396500,91.36,A,90.37,A
2012-12-21 00:00:00+00:00,23600.0,A,12396500,89.79,A,88.5,A
2012-12-22 00:00:00+00:00,23100.0,A,12396500,90.09,A,88.94,A
2012-12-23 00:00:00+00:00,21800.0,A,12396500,90.04,A,89.04,A
2012-12-24 00:00:00+00:00,22000.0,A,12396500,89.32,A,88.08,A
2012-12-25 00:00:00+00:00,21700.0,A,12396500,89.12,A,87.82,A
2012-12-26 00:00:00+00:00,22700.0,A,12396500,88.73,A,87.09,A
2012-12-27 00:00:00+00:00,22900.0,A,12396500,89.68,A,88.42,A
2012-12-28 00:00:00+00:00,23000.0,A,12396500,89.91,A,88.76,A
2012-12-29 00:00:00+00:00,21700.0,A,12396500,88.5,A,86.89,A
2012-12-30 00:00:00+00:00,19900.0,A,12396500,88.18,A,86.69,A
2012-12-31 00:00:00+00:00,19500.0,A,12396500,88.69,A,87.45,A
2013-01-01 00:00:00+00:00,18600.0,A,12396500,87.68,A,86.19,A
2013-01-02 00:00:00+00:00,17600.0,A,12396500,86.81,A,85.01,A
2013-01-03 00:00:00+00:00,16900.0,A,12396500,86.77,A,85.12,A
2013-01-04 00:00:00+00:00,15800.0,A,12396500,87.31,A,86.17,A
2013-01-05 00:00:00+00:00,16200.0,A,12396500,88.65,A,87.9,A
2013-01-06 00:00:00+00:00,16100.0,A,12396500,88.88,A,88.19,A
2013-01-07 00:00:00+00:00,16200.0,A,12396500,88.2,A,87.26,A
2013-01-08 00:00:00+00:00,16500.0,A,12396500,87.81,A,86.75,A
2013-01-09 00:00:00+00:00,17800.0,A,12396500,88.23,A,87.15,A
2013-01-10 00:00:00+00:00,18500.0,A,12396500,88.35,A,87.14,A
2013-01-11 00:00:00+00:00,18800.0,A,12396500,88.18,A,86.89,A
2013-01-12 00:00:00+00:00,18400.0,A,12396500,87.42,A,85.78,A
2013-01-13 00:00:00+00:00,18100.0,A,12396500,87.04,A,85.26,A
2013-01-14 00:00:00+00:00,17900.0,A,12396500,87.85,A,86.58,A
2013-01-15 00:00:00+00:00,17900.0,A,12396500,88.34,A,87.25,A
2013-01-16 00:00:00+00:00,17800.0,A,12396500,88.34,A,87.21,A
2013-01-17 00:00:00+00:00,15000.0,A,12396500,86.66,A,85.27,A
2013-01-18 00:00:00+00:00,14800.0,A,12396500,85.98,A,84.14,A
2013-01-19 00:00:00+00:00,14600.0,A,12396500,85.34,A,83.07,A
2013-01-20 00:00:00+00:00,14400.0,A,12396500,86.11,A,84.61,A
2013-01-21 00:00:00+00:00,15000.0,A,12396500,86.43,A,84.9,A
2013-01-22 00:00:00+00:00,15100.0,A,12396500,85.65,A,83.47,A
2013-01-23 00:00:00+00:00,18300.0,A,12396500,86.75,A,84.66,A
2013-01-24 00:00:00+00:00,20200.0,A,12396500,87.97,A,86.3,A
2013-01-25 00:00:00+00:00,20400.0,A,12396500,88.11,A,86.54,A
2013-01-26 00:00:00+00:00,19400.0,A,12396500,88.06,A,86.59,A
2013-01-27 00:00:00+00:00,19100.0,A,12396500,88.24,A,86.92,A
2013-01-28 00:00:00+00:00,19200.0,A,12396500,88.88,A,87.83,A
2013-01-29 00:00:00+00:00,21500.0,A,12396500,89.31,A,88.11,A
2013-01-30 00:00:00+00:00,22500.0,A,12396500,89.74,A,88.56,A
2013-01-31 00:00:00+00:00,22500.0,A,12396500,89.34,A,87.99,A
2013-02-01 00:00:00+00:00,22500.0,A,12396500,89.01,A,87.5,A
2013-02-02 00:00:00+00:00,20900.0,A,12396500,88.28,A,86.64,A
2013-02-03 00:00:00+00:00,18800.0,A,12396500,87.78,A,86.27,A
2013-02-04 00:00:00+00:00,18600.0,A,12396500,88.45,A,87.22,A
2013-02-05 00:00:00+00:00,17200.0,A,12396500,87.36,A,85.96,A
2013-02-06 00:00:00+00:00,17000.0,A,12396500,88.26,A,87.23,A
2013-02-07 00:00:00+00:00,17400.0,A,12396500,87.64,A,86.32,A
2013-02-08 00:00:00+00:00,17100.0,A,12396500,87.66,A,86.35,A
2013-02-09 00:00:00+00:00,16700.0,A,12396500,87.52,A,86.25,A
2013-02-10 00:00:00+00:00,15900.0,A,12396500,87.6,A,86.5,A
2013-02-11 00:00:00+00:00,15600.0,A,12396500,87.93,A,86.94,A
2013-02-12 00:00:00+00:00,15800.0,A,12396500,87.57,A,86.47,A
2013-02-13 00:00:00+00:00,15500.0,A,12396500,88.04,A,87.18,A
2013-02-14 00:00:00+00:00,15600.0,A,12396500,88.55,A,87.79,A
