datetime,00060_Mean,00060_Mean_cd,site_no,63680_Mean,63680_Mean_cd,99409_2_Mean,99409_2_Mean_cd,99409_Mean,99409_Mean_cd
2012-10-01 00:00:00+00:00,4040.0,A,06329500,13.1,A,31.3,A,342.0,A
2012-10-02 00:00:00+00:00,4170.0,A,06329500,11.9,A,29.0,A,327.0,A
2012-10-03 00:00:00+00:00,4590.0,A,06329500,14.5,A,35.5,A,440.0,A
2012-10-04 00:00:00+00:00,4830.0,A,06329500,149.0,A,268.0,A,3500.0,A
2012-10-05 00:00:00+00:00,4480.0,A,06329500,359.0,A,568.0,A,6870.0,A
2012-10-06 00:00:00+00:00,4420.0,A,06329500,169.0,A,297.0,A,3550.0,A
2012-10-07 00:00:00+00:00,4470.0,A,06329500,82.0,A,158.0,A,1910.0,A
2012-10-08 00:00:00+00:00,4780.0,A,06329500,36.7,A,80.3,A,1040.0,A
2012-10-09 00:00:00+00:00,5100.0,A,06329500,29.4,A,67.4,A,928.0,A
2012-10-10 00:00:00+00:00,5220.0,A,06329500,20.0,A,48.3,A,681.0,A
2012-10-11 00:00:00+00:00,5260.0,A,06329500,15.4,A,38.6,A,548.0,A
2012-10-12 00:00:00+00:00,5320.0,A,06329500,13.8,A,35.3,A,508.0,A
2012-10-13 00:00:00+00:00,5530.0,A,06329500,14.4,A,36.9,A,551.0,A
2012-10-14 00:00:00+00:00,5400.0,A,06329500,14.0,A,35.7,A,521.0,A
2012-10-15 00:00:00+00:00,5240.0,A,06329500,13.8,A,35.1,A,496.0,A
2012-10-16 00:00:00+00:00,5340.0,A,06329500,13.8,A,35.3,A,508.0,A
2012-10-17 00:00:00+00:00,5460.0,A,06329500,20.8,A,50.6,A,746.0,A
2012-10-18 00:00:00+00:00,5340.0,A,06329500,34.1,A,77.4,A,1120.0,A
2012-10-19 00:00:00+00:00,5220.0,A,06329500,30.7,A,70.0,A,987.0,A
2012-10-20 00:00:00+00:00,5270.0,A,06329500,32.4,A,73.5,A,1050.0,A
2012-10-21 00:00:00+00:00,5310.0,A,06329500,22.7,A,54.2,A,776.0,A
2012-10-22 00:00:00+00:00,5490.0,A,06329500,15.5,A,39.3,A,582.0,A
2012-10-23 00:00:00+00:00,5820.0,A,06329500,15.2,A,39.2,A,616.0,A
2012-10-24 00:00:00+00:00,5840.0,A,06329500,22.0,A,53.7,A,847.0,A
2012-10-25 00:00:00+00:00,5580.0,A,06329500,60.3,A,127.0,A,1910.0,A
2012-10-26 00:00:00+00:00,5580.0,A,06329500,64.8,A,136.0,A,2050.0,A
2012-10-27 00:00:00+00:00,5630.0,A,06329500,29.6,A,69.4,A,1050.0,A
2012-10-28 00:00:00+00:00,5680.0,A,06329500,18.1,A,45.3,A,695.0,A
2012-10-29 00:00:00+00:00,5680.0,A,06329500,15.2,A,38.9,A,597.0,A
2012-10-30 00:00:00+00:00,5700.0,A,06329500,13.9,A,35.9,A,554.0,A
2012-10-31 00:00:00+00:00,5620.0,A,06329500,14.3,A,36.0,A,546.0,A
2012-11-01 00:00:00+00:00,5550.0,A,06329500,,,,,,
2012-11-02 00:00:00+00:00,5630.0,A,06329500,,,,,,
2012-11-03 00:00:00+00:00,5640.0,A,06329500,,,,,,
2012-11-04 00:00:00+00:00,5680.0,A,06329500,,,,,,
2012-11-05 00:00:00+00:00,5870.0,A,06329500,,,,,,
2012-11-06 00:00:00+00:00,5880.0,A,06329500,,,,,,
2012-11-07 00:00:00+00:00,5790.0,A,06329500,,,,,,
2012-11-08 00:00:00+00:00,5740.0,A,06329500,,,,,,
2012-11-09 00:00:00+00:00,5710.0,A,06329500,,,,,,
2012-11-10 00:00:00+00:00,5650.0,"A, e",06329500,,,,,,
2012-11-11 00:00:00+00:00,5530.0,"A, e",06329500,,,,,,
2012-11-12 00:00:00+00:00,5400.0,"A, e",06329500,,,,,,
2012-11-13 00:00:00+00:00,5200.0,"A, e",06329500,,,,,,
2012-11-14 00:00:00+00:00,5270.0,"A, e",06329500,,,,,,
2012-11-15 00:00:00+00:00,5280.0,"A, e",06329500,,,,,,
2012-11-16 00:00:00+00:00,5240.0,"A, e",06329500,,,,,,
2012-11-17 00:00:00+00:00,5410.0,"A, e",06329500,,,,,,
2012-11-18 00:00:00+00:00,5700.0,A,06329500,,,,,,
2012-11-19 00:00:00+00:00,5910.0,A,06329500,,,,,,
2012-11-20 00:00:00+00:00,5980.0,A,06329500,,,,,,
2012-11-21 00:00:00+00:00,5990.0,A,06329500,,,,,,
2012-11-22 00:00:00+00:00,5970.0,A,06329500,,,,,,
2012-11-23 00:00:00+00:00,6140.0,A,06329500,,,,,,
2012-11-24 00:00:00+00:00,5960.0,A,06329500,,,,,,
2012-11-25 00:00:00+00:00,5910.0,A,06329500,,,,,,
2012-11-26 00:00:00+00:00,5870.0,"A, e",06329500,,,,,,
2012-11-27 00:00:00+00:00,5930.0,"A, e",06329500,,,,,,
2012-11-28 00:00:00+00:00,5870.0,"A, e",06329500,,,,,,
2012-11-29 00:00:00+00:00,5810.0,"A, e",06329500,,,,,,
2012-11-30 00:00:00+00:00,5830.0,"A, e",06329500,,,,,,
2012-12-01 00:00:00+00:00,5860.0,"A, e",06329500,,,,,,
2012-12-02 00:00:00+00:00,5720.0,"A, e",06329500,,,,,,
2012-12-03 00:00:00+00:00,5780.0,A,06329500,,,,,,
2012-12-04 00:00:00+00:00,5950.0,A,06329500,,,,,,
2012-12-05 00:00:00+00:00,5910.0,A,06329500,,,,,,
2012-12-06 00:00:00+00:00,5890.0,A,06329500,,,,,,
2012-12-07 00:00:00+00:00,5890.0,"A, e",06329500,,,,,,
2012-12-08 00:00:00+00:00,5830.0,"A, e",06329500,,,,,,
2012-12-09 00:00:00+00:00,4750.0,"A, e",06329500,,,,,,
2012-12-10 00:00:00+00:00,2970.0,"A, e",06329500,,,,,,
2012-12-11 00:00:00+00:00,4580.0,"A, e",06329500,,,,,,
2012-12-12 00:00:00+00:00,4190.0,"A, e",06329500,,,,,,
2012-12-13 00:00:00+00:00,4720.0,"A, e",06329500,,,,,,
2012-12-14 00:00:00+00:00,4610.0,"A, e",06329500,,,,,,
2012-12-15 00:00:00+00:00,4730.0,"A, e",06329500,,,,,,
2012-12-16 00:00:00+00:00,4600.0,"A, e",06329500,,,,,,
2012-12-17 00:00:00+00:00,4840.0,"A, e",06329500,,,,,,
2012-12-18 00:00:00+00:00,5310.0,"A, e",06329500,,,,,,
2012-12-19 00:00:00+00:00,4850.0,"A, e",06329500,,,,,,
2012-12-20 00:00:00+00:00,3960.0,"A, e",06329500,,,,,,
2012-12-21 00:00:00+00:00,4180.0,"A, e",06329500,,,,,,
2012-12-22 00:00:00+00:00,4030.0,"A, e",06329500,,,,,,
2012-12-23 00:00:00+00:00,3300.0,"A, e",06329500,,,,,,
2012-12-24 00:00:00+00:00,2380.0,"A, e",06329500,,,,,,
2012-12-25 00:00:00+00:00,1530.0,"A, e",06329500,,,,,,
2012-12-26 00:00:00+00:00,985.0,"A, e",06329500,,,,,,
2012-12-27 00:00:00+00:00,836.0,"A, e",06329500,,,,,,
2012-12-28 00:00:00+00:00,658.0,"A, e",06329500,,,,,,
2012-12-29 00:00:00+00:00,848.0,"A, e",06329500,,,,,,
2012-12-30 00:00:00+00:00,1240.0,"A, e",06329500,,,,,,
2012-12-31 00:00:00+00:00,1640.0,"A, e",06329500,,,,,,
2013-01-01 00:00:00+00:00,2040.0,"A, e",06329500,,,,,,
2013-01-02 00:00:00+00:00,2780.0,"A, e",06329500,,,,,,
2013-01-03 00:00:00+00:00,3470.0,"A, e",06329500,,,,,,
2013-01-04 00:00:00+00:00,4460.0,"A, e",06329500,,,,,,
2013-01-05 00:00:00+00:00,4720.0,"A, e",06329500,,,,,,
2013-01-06 00:00:00+00:00,4600.0,"A, e",06329500,,,,,,
2013-01-07 00:00:00+00:00,4600.0,"A, e",06329500,,,,,,
2013-01-08 00:00:00+00:00,4440.0,"A, e",06329500,,,,,,
2013-01-09 00:00:00+00:00,4440.0,"A, e",06329500,,,,,,
