datetime,00010_Mean,00010_Mean_cd,site_no,00060_Mean,00060_Mean_cd,00300_Mean,00300_Mean_cd,63680_Mean,63680_Mean_cd,80154_Mean,80154_Mean_cd,80155_Mean,80155_Mean_cd
2013-10-01 00:00:00+00:00,,,09326500,19.1,A,,,,,,,,
2013-10-02 00:00:00+00:00,,,09326500,18.9,A,,,,,,,,
2013-10-03 00:00:00+00:00,,,09326500,18.6,A,,,,,,,,
2013-10-04 00:00:00+00:00,,,09326500,18.8,A,,,,,,,,
2013-10-05 00:00:00+00:00,,,09326500,18.5,A,,,,,,,,
2013-10-06 00:00:00+00:00,,,09326500,18.9,A,,,,,,,,
2013-10-07 00:00:00+00:00,,,09326500,18.5,A,,,,,,,,
2013-10-08 00:00:00+00:00,,,09326500,18.2,A,,,,,,,,
2013-10-09 00:00:00+00:00,,,09326500,17.9,A,,,,,,,,
2013-10-10 00:00:00+00:00,,,09326500,18.6,A,,,,,,,,
2013-10-11 00:00:00+00:00,,,09326500,18.8,A,,,,,,,,
2013-10-12 00:00:00+00:00,,,09326500,18.3,A,,,,,,,,
2013-10-13 00:00:00+00:00,,,09326500,18.8,A,,,,,,,,
2013-10-14 00:00:00+00:00,,,09326500,19.1,A,,,,,,,,
2013-10-15 00:00:00+00:00,,,09326500,18.7,A,,,,,,,,
2013-10-16 00:00:00+00:00,,,09326500,18.1,A,,,,,,,,
2013-10-17 00:00:00+00:00,,,09326500,17.9,A,,,,,,,,
2013-10-18 00:00:00+00:00,,,09326500,17.9,A,,,,,,,,
2013-10-19 00:00:00+00:00,,,09326500,17.5,A,,,,,,,,
2013-10-20 00:00:00+00:00,,,09326500,17.9,A,,,,,,,,
2013-10-21 00:00:00+00:00,,,09326500,17.2,A,,,,,,,,
2013-10-22 00:00:00+00:00,,,09326500,17.1,A,,,,,,,,
2013-10-23 00:00:00+00:00,,,09326500,17.3,A,,,,,,,,
2013-10-24 00:00:00+00:00,,,09326500,17.2,A,,,,,,,,
2013-10-25 00:00:00+00:00,,,09326500,17.5,A,,,,,,,,
2013-10-26 00:00:00+00:00,,,09326500,17.1,A,,,,,,,,
2013-10-27 00:00:00+00:00,,,09326500,16.7,A,,,,,,,,
2013-10-28 00:00:00+00:00,,,09326500,17.1,A,,,,,,,,
2013-10-29 00:00:00+00:00,,,09326500,17.3,A,,,,,,,,
2013-10-30 00:00:00+00:00,,,09326500,18.4,A,,,,,,,,
2013-10-31 00:00:00+00:00,,,09326500,17.5,A,,,,,,,,
2013-11-01 00:00:00+00:00,,,09326500,17.7,A,,,,,,,,
2013-11-02 00:00:00+00:00,,,09326500,15.7,A,,,,,,,,
2013-11-03 00:00:00+00:00,,,09326500,18.3,A,,,,,,,,
2013-11-04 00:00:00+00:00,,,09326500,13.9,A,,,,,,,,
2013-11-05 00:00:00+00:00,,,09326500,15.6,A,,,,,,,,
2013-11-06 00:00:00+00:00,,,09326500,19.2,A,,,,,,,,
2013-11-07 00:00:00+00:00,,,09326500,18.5,A,,,,,,,,
2013-11-08 00:00:00+00:00,,,09326500,18.3,A,,,,,,,,
2013-11-09 00:00:00+00:00,,,09326500,17.3,A,,,,,,,,
2013-11-10 00:00:00+00:00,,,09326500,16.8,A,,,,,,,,
2013-11-11 00:00:00+00:00,,,09326500,16.5,A,,,,,,,,
2013-11-12 00:00:00+00:00,,,09326500,16.6,A,,,,,,,,
2013-11-13 00:00:00+00:00,,,09326500,17.0,A,,,,,,,,
2013-11-14 00:00:00+00:00,,,09326500,16.2,A,,,,,,,,
2013-11-15 00:00:00+00:00,,,09326500,16.1,A,,,,,,,,
2013-11-16 00:00:00+00:00,,,09326500,15.9,A,,,,,,,,
2013-11-17 00:00:00+00:00,,,09326500,17.2,A,,,,,,,,
2013-11-18 00:00:00+00:00,,,09326500,16.1,A,,,,,,,,
2013-11-19 00:00:00+00:00,,,09326500,16.9,A,,,,,,,,
2013-11-20 00:00:00+00:00,,,09326500,16.5,A,,,,,,,,
2013-11-21 00:00:00+00:00,,,09326500,17.3,A,,,,,,,,
2013-11-22 00:00:00+00:00,,,09326500,17.3,A,,,,,,,,
2013-11-23 00:00:00+00:00,,,09326500,17.4,A,,,,,,,,
2013-11-24 00:00:00+00:00,,,09326500,17.3,A,,,,,,,,
2013-11-25 00:00:00+00:00,,,09326500,16.2,A,,,,,,,,
2013-11-26 00:00:00+00:00,,,09326500,15.4,A,,,,,,,,
2013-11-27 00:00:00+00:00,,,09326500,18.5,A,,,,,,,,
2013-11-28 00:00:00+00:00,,,09326500,20.6,A,,,,,,,,
2013-11-29 00:00:00+00:00,,,09326500,14.8,A,,,,,,,,
2013-11-30 00:00:00+00:00,,,09326500,19.2,A,,,,,,,,
2013-12-01 00:00:00+00:00,,,09326500,18.0,A,,,,,,,,
2013-12-02 00:00:00+00:00,,,09326500,20.2,A,,,,,,,,
2013-12-03 00:00:00+00:00,,,09326500,17.9,A,,,,,,,,
2013-12-04 00:00:00+00:00,,,09326500,15.1,A,,,,,,,,
2013-12-05 00:00:00+00:00,,,09326500,14.0,"A, e",,,,,,,,
2013-12-06 00:00:00+00:00,,,09326500,13.0,"A, e",,,,,,,,
