datetime,00060_Mean,00060_Mean_cd,site_no,80154_historic_Mean,80154_historic_Mean_cd,80155_historic_Mean,80155_historic_Mean_cd
1998-10-01 00:00:00+00:00,10300.0,A,06329500,253.0,A,7040.0,A
1998-10-02 00:00:00+00:00,10000.0,A,06329500,261.0,A,7050.0,A
1998-10-03 00:00:00+00:00,9970.0,A,06329500,252.0,A,6780.0,A
1998-10-04 00:00:00+00:00,10100.0,A,06329500,250.0,A,6820.0,A
1998-10-05 00:00:00+00:00,11100.0,A,06329500,1150.0,A,34500.0,A
1998-10-06 00:00:00+00:00,12800.0,A,06329500,4570.0,A,158000.0,A
1998-10-07 00:00:00+00:00,11900.0,A,06329500,3430.0,A,110000.0,A
1998-10-08 00:00:00+00:00,11200.0,A,06329500,2200.0,A,66500.0,A
1998-10-09 00:00:00+00:00,10800.0,A,06329500,1200.0,A,35000.0,A
1998-10-10 00:00:00+00:00,10600.0,A,06329500,540.0,A,15500.0,A
1998-10-11 00:00:00+00:00,10800.0,A,06329500,520.0,A,15200.0,A
1998-10-12 00:00:00+00:00,11600.0,A,06329500,1040.0,A,32600.0,A
1998-10-13 00:00:00+00:00,11100.0,A,06329500,820.0,A,24600.0,A
1998-10-14 00:00:00+00:00,10800.0,A,06329500,630.0,A,18400.0,A
1998-10-15 00:00:00+00:00,10800.0,A,06329500,450.0,A,13100.0,A
1998-10-16 00:00:00+00:00,10900.0,A,06329500,350.0,A,10300.0,A
1998-10-17 00:00:00+00:00,10400.0,A,06329500,290.0,A,8140.0,A
1998-10-18 00:00:00+00:00,9950.0,A,06329500,235.0,A,6310.0,A
1998-10-19 00:00:00+00:00,9860.0,A,06329500,219.0,A,5830.0,A
1998-10-20 00:00:00+00:00,10100.0,A,06329500,266.0,A,7250.0,A
1998-10-21 00:00:00+00:00,9750.0,A,06329500,252.0,A,6630.0,A
1998-10-22 00:00:00+00:00,9420.0,A,06329500,238.0,A,6050.0,A
1998-10-23 00:00:00+00:00,9280.0,A,06329500,197.0,A,4940.0,A
1998-10-24 00:00:00+00:00,8470.0,A,06329500,125.0,A,2860.0,A
1998-10-25 00:00:00+00:00,8020.0,A,06329500,950.0,A,20600.0,A
1998-10-26 00:00:00+00:00,9320.0,A,06329500,2020.0,A,50800.0,A
1998-10-27 00:00:00+00:00,9210.0,A,06329500,940.0,A,23400.0,A
1998-10-28 00:00:00+00:00,8990.0,A,06329500,560.0,A,13600.0,A
1998-10-29 00:00:00+00:00,8860.0,A,06329500,580.0,A,13900.0,A
1998-10-30 00:00:00+00:00,9310.0,A,06329500,710.0,A,17800.0,A
1998-10-31 00:00:00+00:00,9550.0,A,06329500,780.0,A,20100.0,A
1998-11-01 00:00:00+00:00,9310.0,A,06329500,690.0,A,17300.0,A
1998-11-02 00:00:00+00:00,9170.0,A,06329500,425.0,A,10500.0,A
1998-11-03 00:00:00+00:00,9390.0,A,06329500,505.0,A,12800.0,A
1998-11-04 00:00:00+00:00,10000.0,A,06329500,360.0,A,9720.0,A
1998-11-05 00:00:00+00:00,10000.0,A,06329500,290.0,A,7830.0,A
1998-11-06 00:00:00+00:00,10000.0,A,06329500,700.0,A,18900.0,A
1998-11-07 00:00:00+00:00,10100.0,A,06329500,1420.0,A,38700.0,A
1998-11-08 00:00:00+00:00,9910.0,A,06329500,1100.0,A,29400.0,A
1998-11-09 00:00:00+00:00,9920.0,A,06329500,790.0,A,21200.0,A
1998-11-10 00:00:00+00:00,9860.0,A,06329500,550.0,A,14600.0,A
1998-11-11 00:00:00+00:00,9580.0,A,06329500,420.0,A,10900.0,A
1998-11-12 00:00:00+00:00,9270.0,A,06329500,335.0,A,8380.0,A
1998-11-13 00:00:00+00:00,9100.0,A,06329500,293.0,A,7200.0,A
1998-11-14 00:00:00+00:00,9140.0,A,06329500,290.0,A,7160.0,A
1998-11-15 00:00:00+00:00,9070.0,A,06329500,369.0,A,9040.0,A
1998-11-16 00:00:00+00:00,8870.0,A,06329500,365.0,A,8740.0,A
1998-11-17 00:00:00+00:00,9020.0,A,06329500,280.0,A,6820.0,A
1998-11-18 00:00:00+00:00,9150.0,A,06329500,196.0,A,4840.0,A
1998-11-19 00:00:00+00:00,9080.0,A,06329500,146.0,A,3580.0,A
1998-11-20 00:00:00+00:00,8840.0,A,06329500,120.0,A,2860.0,A
1998-11-21 00:00:00+00:00,8470.0,A,06329500,111.0,A,2540.0,A
1998-11-22 00:00:00+00:00,8370.0,A,06329500,105.0,A,2370.0,A
1998-11-23 00:00:00+00:00,8340.0,A,06329500,100.0,A,2250.0,A
1998-11-24 00:00:00+00:00,8310.0,A,06329500,96.0,A,2150.0,A
1998-11-25 00:00:00+00:00,8180.0,A,06329500,90.0,A,1990.0,A
1998-11-26 00:00:00+00:00,8110.0,A,06329500,79.0,A,1730.0,A
1998-11-27 00:00:00+00:00,8140.0,A,06329500,69.0,A,1520.0,A
1998-11-28 00:00:00+00:00,8180.0,A,06329500,59.0,A,1300.0,A
1998-11-29 00:00:00+00:00,8230.0,A,06329500,51.0,A,1130.0,A
1998-11-30 00:00:00+00:00,8250.0,A,06329500,45.0,A,1000.0,A
1998-12-01 00:00:00+00:00,8140.0,A,06329500,,,,
1998-12-02 00:00:00+00:00,8100.0,A,06329500,,,,
1998-12-03 00:00:00+00:00,8090.0,A,06329500,,,,
1998-12-04 00:00:00+00:00,8090.0,A,06329500,,,,
1998-12-05 00:00:00+00:00,8040.0,A,06329500,,,,
1998-12-06 00:00:00+00:00,7990.0,A,06329500,,,,
1998-12-07 00:00:00+00:00,7970.0,A,06329500,,,,
1998-12-08 00:00:00+00:00,8180.0,A,06329500,,,,
1998-12-09 00:00:00+00:00,8120.0,A,06329500,,,,
1998-12-10 00:00:00+00:00,8050.0,A,06329500,,,,
1998-12-11 00:00:00+00:00,7620.0,A,06329500,,,,
1998-12-12 00:00:00+00:00,7250.0,A,06329500,,,,
1998-12-13 00:00:00+00:00,7630.0,A,06329500,,,,
1998-12-14 00:00:00+00:00,7390.0,A,06329500,,,,
1998-12-15 00:00:00+00:00,7360.0,A,06329500,,,,
1998-12-16 00:00:00+00:00,7810.0,A,06329500,,,,
1998-12-17 00:00:00+00:00,7930.0,A,06329500,,,,
1998-12-18 00:00:00+00:00,8130.0,A,06329500,,,,
1998-12-19 00:00:00+00:00,6880.0,A,06329500,,,,
1998-12-20 00:00:00+00:00,4440.0,A,06329500,,,,
1998-12-21 00:00:00+00:00,3520.0,A,06329500,,,,
1998-12-22 00:00:00+00:00,3450.0,A,06329500,,,,
1998-12-23 00:00:00+00:00,3400.0,"A, e",06329500,,,,
1998-12-24 00:00:00+00:00,3300.0,"A, e",06329500,,,,
1998-12-25 00:00:00+00:00,4000.0,"A, e",06329500,,,,
1998-12-26 00:00:00+00:00,5000.0,"A, e",06329500,,,,
1998-12-27 00:00:00+00:00,6000.0,"A, e",06329500,,,,
1998-12-28 00:00:00+00:00,6500.0,"A, e",06329500,,,,
1998-12-29 00:00:00+00:00,7500.0,"A, e",06329500,,,,
1998-12-30 00:00:00+00:00,7800.0,"A, e",06329500,,,,
1998-12-31 00:00:00+00:00,7300.0,"A, e",06329500,,,,
1999-01-01 00:00:00+00:00,7300.0,"A, e",06329500,,,,
1999-01-02 00:00:00+00:00,7300.0,"A, e",06329500,,,,
1999-01-03 00:00:00+00:00,7100.0,"A, e",06329500,,,,
1999-01-04 00:00:00+00:00,7000.0,"A, e",06329500,,,,
1999-01-05 00:00:00+00:00,7300.0,"A, e",06329500,,,,
1999-01-06 00:00:00+00:00,7300.0,"A, e",06329500,,,,
1999-01-07 00:00:00+00:00,7200.0,"A, e",06329500,,,,
1999-01-08 00:00:00+00:00,6800.0,"A, e",06329500,,,,
1999-01-09 00:00:00+00:00,6800.0,"A, e",06329500,,,,
1999-01-10 00:00:00+00:00,7000.0,"A, e",06329500,,,,
1999-01-11 00:00:00+00:00,7500.0,"A, e",06329500,,,,
1999-01-12 00:00:00+00:00,8000.0,"A, e",06329500,,,,
1999-01-13 00:00:00+00:00,9000.0,"A, e",06329500,,,,
1999-01-14 00:00:00+00:00,9200.0,"A, e",06329500,,,,
1999-01-15 00:00:00+00:00,9000.0,"A, e",06329500,,,,
1999-01-16 00:00:00+00:00,9500.0,"A, e",06329500,,,,
1999-01-17 00:00:00+00:00,9800.0,"A, e",06329500,,,,
1999-01-18 00:00:00+00:00,9500.0,"A, e",06329500,,,,
1999-01-19 00:00:00+00:00,9300.0,"A, e",06329500,,,,
1999-01-20 00:00:00+00:00,9300.0,"A, e",06329500,,,,
