datetime,00010_Mean,00010_Mean_cd,site_no,00060_Mean,00060_Mean_cd,00300_Mean,00300_Mean_cd,63680_Mean,63680_Mean_cd,80154_Mean,80154_Mean_cd,80155_Mean,80155_Mean_cd
2014-10-01 00:00:00+00:00,,,09326500,32.1,A,,,,,,,,
2014-10-02 00:00:00+00:00,,,09326500,24.1,A,,,,,,,,
2014-10-03 00:00:00+00:00,,,09326500,22.7,A,,,,,,,,
2014-10-04 00:00:00+00:00,,,09326500,20.5,A,,,,,,,,
2014-10-05 00:00:00+00:00,,,09326500,19.1,A,,,,,,,,
2014-10-06 00:00:00+00:00,,,09326500,18.2,A,,,,,,,,
2014-10-07 00:00:00+00:00,,,09326500,17.6,A,,,,,,,,
2014-10-08 00:00:00+00:00,,,09326500,17.1,A,,,,,,,,
2014-10-09 00:00:00+00:00,,,09326500,17.4,A,,,,,,,,
2014-10-10 00:00:00+00:00,,,09326500,16.9,A,,,,,,,,
2014-10-11 00:00:00+00:00,,,09326500,16.8,A,,,,,,,,
2014-10-12 00:00:00+00:00,,,09326500,16.8,A,,,,,,,,
2014-10-13 00:00:00+00:00,,,09326500,16.7,A,,,,,,,,
2014-10-14 00:00:00+00:00,,,09326500,17.0,A,,,,,,,,
2014-10-15 00:00:00+00:00,,,09326500,17.0,A,,,,,,,,
2014-10-16 00:00:00+00:00,,,09326500,16.9,A,,,,,,,,
2014-10-17 00:00:00+00:00,,,09326500,16.6,A,,,,,,,,
2014-10-18 00:00:00+00:00,,,09326500,16.5,A,,,,,,,,
2014-10-19 00:00:00+00:00,,,09326500,16.6,A,,,,,,,,
2014-10-20 00:00:00+00:00,,,09326500,16.6,A,,,,,,,,
2014-10-21 00:00:00+00:00,,,09326500,16.6,A,,,,,,,,
2014-10-22 00:00:00+00:00,,,09326500,16.3,A,,,,,,,,
2014-10-23 00:00:00+00:00,,,09326500,16.1,A,,,,,,,,
2014-10-24 00:00:00+00:00,,,09326500,16.1,A,,,,,,,,
2014-10-25 00:00:00+00:00,,,09326500,16.0,A,,,,,,,,
2014-10-26 00:00:00+00:00,,,09326500,15.8,A,,,,,,,,
2014-10-27 00:00:00+00:00,,,09326500,14.0,"A, e",,,,,,,,
2014-10-28 00:00:00+00:00,,,09326500,12.0,"A, e",,,,,,,,
2014-10-29 00:00:00+00:00,,,09326500,12.0,"A, e",,,,,,,,
2014-10-30 00:00:00+00:00,,,09326500,12.0,"A, e",,,,,,,,
2014-10-31 00:00:00+00:00,,,09326500,13.0,"A, e",,,,,,,,
2014-11-01 00:00:00+00:00,,,09326500,13.0,"A, e",,,,,,,,
2014-11-02 00:00:00+00:00,,,09326500,13.0,"A, e",,,,,,,,
2014-11-03 00:00:00+00:00,,,09326500,12.0,"A, e",,,,,,,,
2014-11-04 00:00:00+00:00,,,09326500,10.0,"A, e",,,,,,,,
2014-11-05 00:00:00+00:00,,,09326500,11.0,"A, e",,,,,,,,
2014-11-06 00:00:00+00:00,,,09326500,11.0,"A, e",,,,,,,,
2014-11-07 00:00:00+00:00,,,09326500,10.0,"A, e",,,,,,,,
2014-11-08 00:00:00+00:00,,,09326500,10.0,"A, e",,,,,,,,
2014-11-09 00:00:00+00:00,,,09326500,9.0,"A, e",,,,,,,,
2014-11-10 00:00:00+00:00,,,09326500,8.0,"A, e",,,,,,,,
2014-11-11 00:00:00+00:00,,,09326500,8.0,"A, e",,,,,,,,
2014-11-12 00:00:00+00:00,,,09326500,8.0,"A, e",,,,,,,,
2014-11-13 00:00:00+00:00,,,09326500,7.0,"A, e",,,,,,,,
2014-11-14 00:00:00+00:00,,,09326500,7.0,"A, e",,,,,,,,
2014-11-15 00:00:00+00:00,,,09326500,7.0,"A, e",,,,,,,,
2014-11-16 00:00:00+00:00,,,09326500,7.0,"A, e",,,,,,,,
2014-11-17 00:00:00+00:00,,,09326500,6.0,"A, e",,,,,,,,
2014-11-18 00:00:00+00:00,,,09326500,6.0,"A, e",,,,,,,,
2014-11-19 00:00:00+00:00,,,09326500,7.0,"A, e",,,,,,,,
2014-11-20 00:00:00+00:00,,,09326500,7.0,"A, e",,,,,,,,
2014-11-21 00:00:00+00:00,,,09326500,7.0,"A, e",,,,,,,,
2014-11-22 00:00:00+00:00,,,09326500,8.0,"A, e",,,,,,,,
2014-11-23 00:00:00+00:00,,,09326500,8.0,"A, e",,,,,,,,
2014-11-24 00:00:00+00:00,,,09326500,8.0,"A, e",,,,,,,,
2014-11-25 00:00:00+00:00,,,09326500,9.0,"A, e",,,,,,,,
2014-11-26 00:00:00+00:00,,,09326500,10.0,"A, e",,,,,,,,
2014-11-27 00:00:00+00:00,,,09326500,11.0,"A, e",,,,,,,,
2014-11-28 00:00:00+00:00,,,09326500,11.0,"A, e",,,,,,,,
2014-11-29 00:00:00+00:00,,,09326500,11.0,"A, e",,,,,,,,
2014-11-30 00:00:00+00:00,,,09326500,12.0,"A, e",,,,,,,,
2014-12-01 00:00:00+00:00,,,09326500,12.0,"A, e",,,,,,,,
2014-12-02 00:00:00+00:00,,,09326500,12.0,"A, e",,,,,,,,
2014-12-03 00:00:00+00:00,,,09326500,11.0,"A, e",,,,,,,,
2014-12-04 00:00:00+00:00,,,09326500,11.0,"A, e",,,,,,,,
2014-12-05 00:00:00+00:00,,,09326500,11.0,"A, e",,,,,,,,
2014-12-06 00:00:00+00:00,,,09326500,11.0,"A, e",,,,,,,,
2014-12-07 00:00:00+00:00,,,09326500,11.0,"A, e",,,,,,,,
2014-12-08 00:00:00+00:00,,,09326500,11.0,"A, e",,,,,,,,
2014-12-09 00:00:00+00:00,,,09326500,11.0,"A, e",,,,,,,,
2014-12-10 00:00:00+00:00,,,09326500,10.0,"A, e",,,,,,,,
2014-12-11 00:00:00+00:00,,,09326500,10.0,"A, e",,,,,,,,
2014-12-12 00:00:00+00:00,,,09326500,10.0,"A, e",,,,,,,,
2014-12-13 00:00:00+00:00,,,09326500,10.0,"A, e",,,,,,,,
2014-12-14 00:00:00+00:00,,,09326500,10.0,"A, e",,,,,,,,
2014-12-15 00:00:00+00:00,,,09326500,9.0,"A, e",,,,,,,,
2014-12-16 00:00:00+00:00,,,09326500,9.0,"A, e",,,,,,,,
2014-12-17 00:00:00+00:00,,,09326500,9.0,"A, e",,,,,,,,
2014-12-18 00:00:00+00:00,,,09326500,9.0,"A, e",,,,,,,,
2014-12-19 00:00:00+00:00,,,09326500,9.0,"A, e",,,,,,,,
2014-12-20 00:00:00+00:00,,,09326500,10.0,"A, e",,,,,,,,
2014-12-21 00:00:00+00:00,,,09326500,10.0,"A, e",,,,,,,,
2014-12-22 00:00:00+00:00,,,09326500,10.0,"A, e",,,,,,,,
2014-12-23 00:00:00+00:00,,,09326500,9.0,"A, e",,,,,,,,
2014-12-24 00:00:00+00:00,,,09326500,9.0,"A, e",,,,,,,,
2014-12-25 00:00:00+00:00,,,09326500,9.0,"A, e",,,,,,,,
2014-12-26 00:00:00+00:00,,,09326500,9.0,"A, e",,,,,,,,
2014-12-27 00:00:00+00:00,,,09326500,8.0,"A, e",,,,,,,,
2014-12-28 00:00:00+00:00,,,09326500,8.0,"A, e",,,,,,,,
2014-12-29 00:00:00+00:00,,,09326500,8.0,"A, e",,,,,,,,
2014-12-30 00:00:00+00:00,,,09326500,8.0,"A, e",,,,,,,,
2014-12-31 00:00:00+00:00,,,09326500,8.0,"A, e",,,,,,,,
2015-01-01 00:00:00+00:00,,,09326500,9.0,"A, e",,,,,,,,
2015-01-02 00:00:00+00:00,,,09326500,10.0,"A, e",,,,,,,,
2015-01-03 00:00:00+00:00,,,09326500,12.0,"A, e",,,,,,,,
2015-01-04 00:00:00+00:00,,,09326500,12.0,"A, e",,,,,,,,
2015-01-05 00:00:00+00:00,,,09326500,13.0,"A, e",,,,,,,,
2015-01-06 00:00:00+00:00,,,09326500,13.0,"A, e",,,,,,,,
2015-01-07 00:00:00+00:00,,,09326500,14.0,"A, e",,,,,,,,
2015-01-08 00:00:00+00:00,,,09326500,14.0,"A, e",,,,,,,,
