datetime,00060_Mean,00060_Mean_cd,site_no,00065_base gage_Mean,00065_base gage_Mean_cd,"00065_auxiliary gage, [auxiliary gage_Mean","00065_auxiliary gage, [auxiliary gage_Mean_cd"
2014-10-01 00:00:00+00:00,18500.0,A,12396500,86.87,A,84.74,A
2014-10-02 00:00:00+00:00,23500.0,A,12396500,88.34,A,86.24,A
2014-10-03 00:00:00+00:00,24400.0,A,12396500,88.54,A,86.42,A
2014-10-04 00:00:00+00:00,23100.0,A,12396500,88.16,A,86.03,A
2014-10-05 00:00:00+00:00,23400.0,A,12396500,88.5,A,86.57,A
2014-10-06 00:00:00+00:00,25000.0,A,12396500,88.96,A,87.06,A
2014-10-07 00:00:00+00:00,26000.0,A,12396500,89.36,A,87.51,A
2014-10-08 00:00:00+00:00,27900.0,A,12396500,90.8,A,89.38,A
2014-10-09 00:00:00+00:00,28300.0,A,12396500,90.9,A,89.49,A
2014-10-10 00:00:00+00:00,28600.0,A,12396500,91.11,A,89.73,A
2014-10-11 00:00:00+00:00,26800.0,A,12396500,90.47,A,89.03,A
2014-10-12 00:00:00+00:00,26900.0,A,12396500,90.12,A,88.55,A
2014-10-13 00:00:00+00:00,27800.0,A,12396500,90.6,A,89.13,A
2014-10-14 00:00:00+00:00,27100.0,A,12396500,90.4,A,88.93,A
2014-10-15 00:00:00+00:00,28200.0,A,12396500,90.53,A,88.97,A
2014-10-16 00:00:00+00:00,27500.0,A,12396500,90.53,A,89.06,A
2014-10-17 00:00:00+00:00,28200.0,A,12396500,90.55,A,89.01,A
2014-10-18 00:00:00+00:00,28000.0,A,12396500,91.23,A,89.97,A
2014-10-19 00:00:00+00:00,28200.0,A,12396500,91.81,A,90.71,A
2014-10-20 00:00:00+00:00,27900.0,A,12396500,91.19,A,89.92,A
2014-10-21 00:00:00+00:00,28800.0,A,12396500,91.33,A,90.02,A
2014-10-22 00:00:00+00:00,28200.0,A,12396500,90.91,A,89.51,A
2014-10-23 00:00:00+00:00,29000.0,A,12396500,91.29,A,89.94,A
2014-10-24 00:00:00+00:00,30000.0,A,12396500,91.52,A,90.16,A
2014-10-25 00:00:00+00:00,31100.0,A,12396500,92.03,A,90.73,A
2014-10-26 00:00:00+00:00,31100.0,A,12396500,92.5,A,91.34,A
2014-10-27 00:00:00+00:00,29900.0,A,12396500,91.92,A,90.7,A
2014-10-28 00:00:00+00:00,29600.0,A,12396500,91.69,A,90.43,A
2014-10-29 00:00:00+00:00,29300.0,A,12396500,91.62,A,90.36,A
2014-10-30 00:00:00+00:00,28900.0,A,12396500,91.47,A,90.21,A
2014-10-31 00:00:00+00:00,27200.0,A,12396500,90.7,A,89.34,A
2014-11-01 00:00:00+00:00,24500.0,A,12396500,89.29,A,87.65,A
2014-11-02 00:00:00+00:00,22100.0,A,12396500,89.33,A,88.02,A
2014-11-03 00:00:00+00:00,20200.0,A,12396500,88.49,A,87.1,A
2014-11-04 00:00:00+00:00,22500.0,A,12396500,89.27,A,87.9,A
2014-11-05 00:00:00+00:00,25400.0,A,12396500,91.01,A,89.93,A
2014-11-06 00:00:00+00:00,24700.0,A,12396500,90.73,A,89.65,A
2014-11-07 00:00:00+00:00,20200.0,A,12396500,88.72,A,87.47,A
2014-11-08 00:00:00+00:00,17200.0,A,12396500,87.69,A,86.45,A
2014-11-09 00:00:00+00:00,13500.0,A,12396500,87.66,A,86.89,A
2014-11-10 00:00:00+00:00,13300.0,A,12396500,87.75,A,87.06,A
2014-11-11 00:00:00+00:00,13000.0,A,12396500,87.59,A,86.9,A
2014-11-12 00:00:00+00:00,14200.0,A,12396500,87.27,A,86.22,A
2014-11-13 00:00:00+00:00,15000.0,A,12396500,86.4,A,84.92,A
2014-11-14 00:00:00+00:00,14500.0,A,12396500,87.61,A,86.77,A
2014-11-15 00:00:00+00:00,14700.0,A,12396500,88.36,A,87.69,A
2014-11-16 00:00:00+00:00,14600.0,A,12396500,89.23,A,88.72,A
2014-11-17 00:00:00+00:00,14600.0,A,12396500,88.42,A,87.74,A
2014-11-18 00:00:00+00:00,14600.0,A,12396500,87.29,A,86.22,A
2014-11-19 00:00:00+00:00,14500.0,A,12396500,86.45,A,85.11,A
2014-11-20 00:00:00+00:00,14700.0,A,12396500,87.47,A,86.52,A
2014-11-21 00:00:00+00:00,14800.0,A,12396500,86.83,A,85.45,A
2014-11-22 00:00:00+00:00,14500.0,A,12396500,86.35,A,84.92,A
2014-11-23 00:00:00+00:00,12300.0,A,12396500,86.87,A,86.06,A
2014-11-24 00:00:00+00:00,13500.0,A,12396500,87.87,A,87.18,A
2014-11-25 00:00:00+00:00,16500.0,A,12396500,88.17,A,87.09,A
2014-11-26 00:00:00+00:00,18500.0,A,12396500,86.78,A,84.66,A
