datetime,00010_Mean,00010_Mean_cd,site_no,00060_Mean,00060_Mean_cd,80154_historic_Mean,80154_historic_Mean_cd,80155_historic_Mean,80155_historic_Mean_cd
1984-10-01 00:00:00+00:00,7.4,A,06329500,10500.0,A,152.0,A,4310.0,A
1984-10-02 00:00:00+00:00,7.3,A,06329500,10400.0,A,142.0,A,3990.0,A
1984-10-03 00:00:00+00:00,7.3,A,06329500,10200.0,A,119.0,A,3280.0,A
1984-10-04 00:00:00+00:00,6.9,A,06329500,10100.0,A,143.0,A,3900.0,A
1984-10-05 00:00:00+00:00,6.8,A,06329500,10400.0,A,207.0,A,5810.0,A
1984-10-06 00:00:00+00:00,6.6,A,06329500,10500.0,A,206.0,A,5840.0,A
1984-10-07 00:00:00+00:00,6.5,A,06329500,10400.0,A,176.0,A,4940.0,A
1984-10-08 00:00:00+00:00,6.5,A,06329500,10200.0,A,125.0,A,3440.0,A
1984-10-09 00:00:00+00:00,6.4,A,06329500,10200.0,A,109.0,A,3000.0,A
1984-10-10 00:00:00+00:00,6.1,A,06329500,10000.0,A,103.0,A,2780.0,A
1984-10-11 00:00:00+00:00,5.9,A,06329500,9980.0,A,93.0,A,2510.0,A
1984-10-12 00:00:00+00:00,5.7,A,06329500,9950.0,A,90.0,A,2420.0,A
1984-10-13 00:00:00+00:00,5.6,A,06329500,9800.0,A,100.0,A,2650.0,A
1984-10-14 00:00:00+00:00,5.3,A,06329500,9760.0,A,107.0,A,2820.0,A
1984-10-15 00:00:00+00:00,5.1,A,06329500,9760.0,A,107.0,A,2820.0,A
1984-10-16 00:00:00+00:00,5.0,A,06329500,9650.0,A,107.0,A,2790.0,A
1984-10-17 00:00:00+00:00,4.9,A,06329500,9690.0,A,106.0,A,2770.0,A
1984-10-18 00:00:00+00:00,4.8,A,06329500,9720.0,A,98.0,A,2570.0,A
1984-10-19 00:00:00+00:00,4.4,A,06329500,9320.0,A,88.0,A,2210.0,A
1984-10-20 00:00:00+00:00,4.3,A,06329500,8300.0,A,71.0,A,1590.0,A
1984-10-21 00:00:00+00:00,4.2,A,06329500,7660.0,A,56.0,A,1160.0,A
1984-10-22 00:00:00+00:00,4.2,A,06329500,9720.0,A,105.0,A,2760.0,A
1984-10-23 00:00:00+00:00,4.1,A,06329500,9950.0,A,113.0,A,3040.0,A
1984-10-24 00:00:00+00:00,3.9,A,06329500,9980.0,A,116.0,A,3130.0,A
1984-10-25 00:00:00+00:00,3.7,A,06329500,9920.0,A,113.0,A,3030.0,A
1984-10-26 00:00:00+00:00,3.6,A,06329500,9810.0,A,114.0,A,3020.0,A
1984-10-27 00:00:00+00:00,3.5,A,06329500,9820.0,A,119.0,A,3150.0,A
1984-10-28 00:00:00+00:00,3.5,A,06329500,9900.0,A,117.0,A,3130.0,A
1984-10-29 00:00:00+00:00,3.4,A,06329500,9910.0,A,110.0,A,2940.0,A
1984-10-30 00:00:00+00:00,3.3,A,06329500,9860.0,A,114.0,A,3040.0,A
1984-10-31 00:00:00+00:00,3.3,A,06329500,9890.0,A,125.0,A,3340.0,A
