datetime,00010_Mean,00010_Mean_cd,site_no,00025_Mean,00025_Mean_cd,00047_Mean,00047_Mean_cd,00060_Mean,00060_Mean_cd,00095_Mean,00095_Mean_cd,00300_Mean,00300_Mean_cd,32295_Mean,32295_Mean_cd,32315_exo wq monitor_Mean,32315_exo wq monitor_Mean_cd,32316_Mean,32316_Mean_cd,32319_Mean,32319_Mean_cd,32321_exo wq monitor_Mean,32321_exo wq monitor_Mean_cd
2023-10-01 00:00:00+00:00,11.5,P,14159500,730.0,P,738.0,P,592.0,P,43.0,A,10.2,P,5.3,P,,,1.22,P,0.33,P,,
2023-10-02 00:00:00+00:00,10.7,P,14159500,731.0,P,736.0,P,621.0,P,42.0,A,10.3,P,5.9,P,,,1.15,P,0.33,P,,
2023-10-03 00:00:00+00:00,10.1,P,14159500,733.0,P,739.0,P,621.0,P,40.0,A,10.4,P,6.9,P,,,1.07,P,0.29,P,,
2023-10-04 00:00:00+00:00,9.7,P,14159500,735.0,P,740.0,P,621.0,P,39.0,A,10.4,P,7.4,P,,,1.13,P,0.31,P,,
2023-10-05 00:00:00+00:00,9.5,P,14159500,733.0,P,738.0,P,622.0,P,39.0,A,10.4,P,7.4,P,,,1.25,P,0.31,P,,
2023-10-06 00:00:00+00:00,9.3,P,14159500,730.0,P,751.0,P,643.0,P,38.0,A,10.8,P,7.9,P,,,1.33,P,0.32,P,,
2023-10-07 00:00:00+00:00,8.9,P,14159500,727.0,P,737.0,P,618.0,P,36.0,A,10.5,P,8.4,P,,,1.5,P,0.36,P,,
2023-10-08 00:00:00+00:00,9.0,P,14159500,724.0,P,737.0,P,616.0,P,37.0,A,10.4,P,8.3,P,,,1.55,P,0.41,P,,
2023-10-09 00:00:00+00:00,9.0,P,14159500,722.0,P,734.0,P,616.0,P,37.0,A,10.4,P,8.3,P,,,1.63,P,0.4,P,,
2023-10-10 00:00:00+00:00,9.2,P,14159500,720.0,P,737.0,P,617.0,P,37.0,A,10.6,P,8.4,P,,,1.66,P,0.43,P,,
2023-10-11 00:00:00+00:00,9.4,P,14159500,724.0,P,738.0,P,625.0,P,38.0,A,10.6,P,8.3,P,,,1.67,P,0.39,P,,
2023-10-12 00:00:00+00:00,9.4,P,14159500,728.0,P,743.0,P,615.0,P,39.0,A,10.7,P,8.0,P,,,1.61,P,0.39,P,,
