year,month,mjoPENTAD,mjo20E,mjo70E,mjo80E,mjo100E,mjo120E,mjo140E,mjo160E,mjo120W,mjo40W,mjo10W,year,month,day,ninoNINO1+2,ninoANOM,ninoNINO3,ninoANOM.1,ninoNINO4,ninoANOM.2,ninoNINO3.4,ninoANOM.3,oniSEAS,oniTOTAL,oniANOM,pdo,pna,soi_x,soi_y
1978,1,19780108.0,-0.99,-0.27,0.82,1.39,1.34,1.10,0.57,-0.26,-1.18,-1.36,1978,1,8.0,,,,,,,,,DJF,27.15,0.69,0.58,0.61,-0.5,-0.3
1978,1,19780108.0,-0.99,-0.27,0.82,1.39,1.34,1.10,0.57,-0.26,-1.18,-1.36,1978,1,8.0,,,,,,,,,JFM,27.09,0.42,0.58,0.61,-0.5,-0.3
1978,1,19780108.0,-0.99,-0.27,0.82,1.39,1.34,1.10,0.57,-0.26,-1.18,-1.36,1978,1,8.0,,,,,,,,,FMA,27.08,0.06,0.58,0.61,-0.5,-0.3
1978,1,19780108.0,-0.99,-0.27,0.82,1.39,1.34,1.10,0.57,-0.26,-1.18,-1.36,1978,1,8.0,,,,,,,,,MAM,27.14,-0.18,0.58,0.61,-0.5,-0.3
1978,1,19780108.0,-0.99,-0.27,0.82,1.39,1.34,1.10,0.57,-0.26,-1.18,-1.36,1978,1,8.0,,,,,,,,,AMJ,27.11,-0.31,0.58,0.61,-0.5,-0.3
1978,1,19780108.0,-0.99,-0.27,0.82,1.39,1.34,1.10,0.57,-0.26,-1.18,-1.36,1978,1,8.0,,,,,,,,,MJJ,26.98,-0.29,0.58,0.61,-0.5,-0.3
1978,1,19780108.0,-0.99,-0.27,0.82,1.39,1.34,1.10,0.57,-0.26,-1.18,-1.36,1978,1,8.0,,,,,,,,,JJA,26.61,-0.36,0.58,0.61,-0.5,-0.3
1978,1,19780108.0,-0.99,-0.27,0.82,1.39,1.34,1.10,0.57,-0.26,-1.18,-1.36,1978,1,8.0,,,,,,,,,JAS,26.27,-0.42,0.58,0.61,-0.5,-0.3
1978,1,19780108.0,-0.99,-0.27,0.82,1.39,1.34,1.10,0.57,-0.26,-1.18,-1.36,1978,1,8.0,,,,,,,,,ASO,26.11,-0.42,0.58,0.61,-0.5,-0.3
1978,1,19780108.0,-0.99,-0.27,0.82,1.39,1.34,1.10,0.57,-0.26,-1.18,-1.36,1978,1,8.0,,,,,,,,,SON,26.19,-0.29,0.58,0.61,-0.5,-0.3
1978,1,19780108.0,-0.99,-0.27,0.82,1.39,1.34,1.10,0.57,-0.26,-1.18,-1.36,1978,1,8.0,,,,,,,,,OND,26.37,-0.08,0.58,0.61,-0.5,-0.3
1978,1,19780108.0,-0.99,-0.27,0.82,1.39,1.34,1.10,0.57,-0.26,-1.18,-1.36,1978,1,8.0,,,,,,,,,NDJ,26.43,0.0,0.58,0.61,-0.5,-0.3
1978,1,19780113.0,-1.10,-1.17,-0.65,0.33,0.60,1.03,1.18,0.96,0.14,-0.69,1978,1,13.0,,,,,,,,,DJF,27.15,0.69,0.58,0.61,-0.5,-0.3
1978,1,19780113.0,-1.10,-1.17,-0.65,0.33,0.60,1.03,1.18,0.96,0.14,-0.69,1978,1,13.0,,,,,,,,,JFM,27.09,0.42,0.58,0.61,-0.5,-0.3
1978,1,19780113.0,-1.10,-1.17,-0.65,0.33,0.60,1.03,1.18,0.96,0.14,-0.69,1978,1,13.0,,,,,,,,,FMA,27.08,0.06,0.58,0.61,-0.5,-0.3
1978,1,19780113.0,-1.10,-1.17,-0.65,0.33,0.60,1.03,1.18,0.96,0.14,-0.69,1978,1,13.0,,,,,,,,,MAM,27.14,-0.18,0.58,0.61,-0.5,-0.3
1978,1,19780113.0,-1.10,-1.17,-0.65,0.33,0.60,1.03,1.18,0.96,0.14,-0.69,1978,1,13.0,,,,,,,,,AMJ,27.11,-0.31,0.58,0.61,-0.5,-0.3
1978,1,19780113.0,-1.10,-1.17,-0.65,0.33,0.60,1.03,1.18,0.96,0.14,-0.69,1978,1,13.0,,,,,,,,,MJJ,26.98,-0.29,0.58,0.61,-0.5,-0.3
1978,1,19780113.0,-1.10,-1.17,-0.65,0.33,0.60,1.03,1.18,0.96,0.14,-0.69,1978,1,13.0,,,,,,,,,JJA,26.61,-0.36,0.58,0.61,-0.5,-0.3
1978,1,19780113.0,-1.10,-1.17,-0.65,0.33,0.60,1.03,1.18,0.96,0.14,-0.69,1978,1,13.0,,,,,,,,,JAS,26.27,-0.42,0.58,0.61,-0.5,-0.3
1978,1,19780113.0,-1.10,-1.17,-0.65,0.33,0.60,1.03,1.18,0.96,0.14,-0.69,1978,1,13.0,,,,,,,,,ASO,26.11,-0.42,0.58,0.61,-0.5,-0.3
1978,1,19780113.0,-1.10,-1.17,-0.65,0.33,0.60,1.03,1.18,0.96,0.14,-0.69,1978,1,13.0,,,,,,,,,SON,26.19,-0.29,0.58,0.61,-0.5,-0.3
1978,1,19780113.0,-1.10,-1.17,-0.65,0.33,0.60,1.03,1.18,0.96,0.14,-0.69,1978,1,13.0,,,,,,,,,OND,26.37,-0.08,0.58,0.61,-0.5,-0.3
1978,1,19780113.0,-1.10,-1.17,-0.65,0.33,0.60,1.03,1.18,0.96,0.14,-0.69,1978,1,13.0,,,,,,,,,NDJ,26.43,0.0,0.58,0.61,-0.5,-0.3
1978,1,19780118.0,1.68,0.88,-0.67,-1.78,-1.70,-1.73,-1.25,-0.20,1.25,1.88,1978,1,18.0,,,,,,,,,DJF,27.15,0.69,0.58,0.61,-0.5,-0.3
1978,1,19780118.0,1.68,0.88,-0.67,-1.78,-1.70,-1.73,-1.25,-0.20,1.25,1.88,1978,1,18.0,,,,,,,,,JFM,27.09,0.42,0.58,0.61,-0.5,-0.3
1978,1,19780118.0,1.68,0.88,-0.67,-1.78,-1.70,-1.73,-1.25,-0.20,1.25,1.88,1978,1,18.0,,,,,,,,,FMA,27.08,0.06,0.58,0.61,-0.5,-0.3
1978,1,19780118.0,1.68,0.88,-0.67,-1.78,-1.70,-1.73,-1.25,-0.20,1.25,1.88,1978,1,18.0,,,,,,,,,MAM,27.14,-0.18,0.58,0.61,-0.5,-0.3
1978,1,19780118.0,1.68,0.88,-0.67,-1.78,-1.70,-1.73,-1.25,-0.20,1.25,1.88,1978,1,18.0,,,,,,,,,AMJ,27.11,-0.31,0.58,0.61,-0.5,-0.3
1978,1,19780118.0,1.68,0.88,-0.67,-1.78,-1.70,-1.73,-1.25,-0.20,1.25,1.88,1978,1,18.0,,,,,,,,,MJJ,26.98,-0.29,0.58,0.61,-0.5,-0.3
1978,1,19780118.0,1.68,0.88,-0.67,-1.78,-1.70,-1.73,-1.25,-0.20,1.25,1.88,1978,1,18.0,,,,,,,,,JJA,26.61,-0.36,0.58,0.61,-0.5,-0.3
1978,1,19780118.0,1.68,0.88,-0.67,-1.78,-1.70,-1.73,-1.25,-0.20,1.25,1.88,1978,1,18.0,,,,,,,,,JAS,26.27,-0.42,0.58,0.61,-0.5,-0.3
1978,1,19780118.0,1.68,0.88,-0.67,-1.78,-1.70,-1.73,-1.25,-0.20,1.25,1.88,1978,1,18.0,,,,,,,,,ASO,26.11,-0.42,0.58,0.61,-0.5,-0.3
1978,1,19780118.0,1.68,0.88,-0.67,-1.78,-1.70,-1.73,-1.25,-0.20,1.25,1.88,1978,1,18.0,,,,,,,,,SON,26.19,-0.29,0.58,0.61,-0.5,-0.3
1978,1,19780118.0,1.68,0.88,-0.67,-1.78,-1.70,-1.73,-1.25,-0.20,1.25,1.88,1978,1,18.0,,,,,,,,,OND,26.37,-0.08,0.58,0.61,-0.5,-0.3
1978,1,19780118.0,1.68,0.88,-0.67,-1.78,-1.70,-1.73,-1.25,-0.20,1.25,1.88,1978,1,18.0,,,,,,,,,NDJ,26.43,0.0,0.58,0.61,-0.5,-0.3
1978,1,19780123.0,2.29,2.45,1.33,-0.69,-1.12,-2.12,-2.50,-2.07,-0.37,1.40,1978,1,23.0,,,,,,,,,DJF,27.15,0.69,0.58,0.61,-0.5,-0.3
1978,1,19780123.0,2.29,2.45,1.33,-0.69,-1.12,-2.12,-2.50,-2.07,-0.37,1.40,1978,1,23.0,,,,,,,,,JFM,27.09,0.42,0.58,0.61,-0.5,-0.3
1978,1,19780123.0,2.29,2.45,1.33,-0.69,-1.12,-2.12,-2.50,-2.07,-0.37,1.40,1978,1,23.0,,,,,,,,,FMA,27.08,0.06,0.58,0.61,-0.5,-0.3
1978,1,19780123.0,2.29,2.45,1.33,-0.69,-1.12,-2.12,-2.50,-2.07,-0.37,1.40,1978,1,23.0,,,,,,,,,MAM,27.14,-0.18,0.58,0.61,-0.5,-0.3
1978,1,19780123.0,2.29,2.45,1.33,-0.69,-1.12,-2.12,-2.50,-2.07,-0.37,1.40,1978,1,23.0,,,,,,,,,AMJ,27.11,-0.31,0.58,0.61,-0.5,-0.3
1978,1,19780123.0,2.29,2.45,1.33,-0.69,-1.12,-2.12,-2.50,-2.07,-0.37,1.40,1978,1,23.0,,,,,,,,,MJJ,26.98,-0.29,0.58,0.61,-0.5,-0.3
1978,1,19780123.0,2.29,2.45,1.33,-0.69,-1.12,-2.12,-2.50,-2.07,-0.37,1.40,1978,1,23.0,,,,,,,,,JJA,26.61,-0.36,0.58,0.61,-0.5,-0.3
1978,1,19780123.0,2.29,2.45,1.33,-0.69,-1.12,-2.12,-2.50,-2.07,-0.37,1.40,1978,1,23.0,,,,,,,,,JAS,26.27,-0.42,0.58,0.61,-0.5,-0.3
