datetime,00010_Mean,00010_Mean_cd,site_no,00060_Mean,00060_Mean_cd,00300_2_Mean,00300_2_Mean_cd
2004-10-01 00:00:00+00:00,13.2,A,14159500,264.0,A,9.4,A
2004-10-02 00:00:00+00:00,13.1,A,14159500,264.0,A,9.5,A
2004-10-03 00:00:00+00:00,13.0,A,14159500,264.0,A,9.6,A
2004-10-04 00:00:00+00:00,12.9,A,14159500,264.0,A,9.5,A
2004-10-05 00:00:00+00:00,12.9,A,14159500,264.0,A,9.5,A
2004-10-06 00:00:00+00:00,12.8,A,14159500,264.0,A,9.4,A
2004-10-07 00:00:00+00:00,12.9,A,14159500,264.0,A,9.4,A
2004-10-08 00:00:00+00:00,12.9,A,14159500,237.0,A,9.3,A
2004-10-09 00:00:00+00:00,12.7,A,14159500,227.0,A,9.4,A
2004-10-10 00:00:00+00:00,12.6,A,14159500,230.0,A,9.6,A
2004-10-11 00:00:00+00:00,12.4,A,14159500,231.0,A,9.6,A
2004-10-12 00:00:00+00:00,12.3,A,14159500,228.0,A,9.7,A
2004-10-13 00:00:00+00:00,12.2,A,14159500,227.0,A,9.7,A
2004-10-14 00:00:00+00:00,12.2,A,14159500,229.0,A,9.6,A
2004-10-15 00:00:00+00:00,12.1,A,14159500,230.0,A,9.8,A
2004-10-16 00:00:00+00:00,12.0,A,14159500,233.0,A,9.6,A
2004-10-17 00:00:00+00:00,11.9,A,14159500,250.0,A,9.5,A
2004-10-18 00:00:00+00:00,11.7,A,14159500,441.0,A,9.7,A
2004-10-19 00:00:00+00:00,11.3,A,14159500,560.0,A,9.8,A
2004-10-20 00:00:00+00:00,11.3,A,14159500,591.0,A,10.0,A
2004-10-21 00:00:00+00:00,11.3,A,14159500,534.0,A,10.0,A
2004-10-22 00:00:00+00:00,11.1,A,14159500,409.0,A,9.9,A
2004-10-23 00:00:00+00:00,10.9,A,14159500,470.0,A,10.0,A
2004-10-24 00:00:00+00:00,10.5,A,14159500,831.0,A,10.5,A
2004-10-25 00:00:00+00:00,10.1,A,14159500,825.0,A,10.5,A
2004-10-26 00:00:00+00:00,9.9,A,14159500,825.0,A,10.6,A
2004-10-27 00:00:00+00:00,9.9,A,14159500,654.0,A,10.6,A
2004-10-28 00:00:00+00:00,9.8,A,14159500,502.0,A,10.8,A
2004-10-29 00:00:00+00:00,9.8,A,14159500,350.0,A,10.9,A
2004-10-30 00:00:00+00:00,9.7,A,14159500,282.0,A,10.8,A
2004-10-31 00:00:00+00:00,9.4,A,14159500,285.0,A,11.0,A
2004-11-01 00:00:00+00:00,9.1,A,14159500,399.0,A,11.1,A
2004-11-02 00:00:00+00:00,9.0,A,14159500,482.0,A,11.1,A
2004-11-03 00:00:00+00:00,9.1,A,14159500,774.0,A,11.3,A
2004-11-04 00:00:00+00:00,8.9,A,14159500,904.0,A,11.4,A
2004-11-05 00:00:00+00:00,8.3,A,14159500,862.0,A,11.5,A
2004-11-06 00:00:00+00:00,8.1,A,14159500,631.0,A,11.5,A
2004-11-07 00:00:00+00:00,8.0,A,14159500,459.0,A,11.4,A
2004-11-08 00:00:00+00:00,8.0,A,14159500,465.0,A,11.3,A
