datetime,00010_Mean,00010_Mean_cd,site_no,00025_Mean,00025_Mean_cd,00047_tdg_Mean,00047_tdg_Mean_cd,00060_Mean,00060_Mean_cd
2017-10-01 00:00:00+00:00,16.7,A,14150000,751.0,A,763.0,A,1750.0,A
2017-10-02 00:00:00+00:00,16.8,A,14150000,749.0,A,754.0,A,1740.0,A
2017-10-03 00:00:00+00:00,16.8,A,14150000,749.0,A,750.0,A,1560.0,A
2017-10-04 00:00:00+00:00,16.8,A,14150000,749.0,A,745.0,A,1580.0,A
2017-10-05 00:00:00+00:00,16.6,A,14150000,750.0,A,744.0,A,1560.0,A
2017-10-06 00:00:00+00:00,16.5,A,14150000,749.0,A,744.0,A,1560.0,A
2017-10-07 00:00:00+00:00,16.4,A,14150000,749.0,A,742.0,A,1560.0,A
2017-10-08 00:00:00+00:00,16.4,A,14150000,752.0,A,743.0,A,1560.0,A
2017-10-09 00:00:00+00:00,16.2,A,14150000,749.0,A,742.0,A,1560.0,A
2017-10-10 00:00:00+00:00,16.0,A,14150000,746.0,A,737.0,A,1570.0,A
2017-10-11 00:00:00+00:00,15.8,A,14150000,749.0,A,739.0,A,1560.0,A
2017-10-12 00:00:00+00:00,15.4,A,14150000,751.0,A,736.0,A,1550.0,A
2017-10-13 00:00:00+00:00,15.2,A,14150000,753.0,A,739.0,A,1560.0,A
2017-10-14 00:00:00+00:00,14.9,A,14150000,757.0,A,742.0,A,1560.0,A
2017-10-15 00:00:00+00:00,14.8,A,14150000,752.0,A,739.0,A,1560.0,A
2017-10-16 00:00:00+00:00,14.8,A,14150000,751.0,A,740.0,A,1550.0,A
2017-10-17 00:00:00+00:00,14.8,A,14150000,750.0,A,739.0,A,1540.0,A
2017-10-18 00:00:00+00:00,14.9,A,14150000,745.0,A,739.0,A,1550.0,A
2017-10-19 00:00:00+00:00,14.7,A,14150000,739.0,A,730.0,A,1560.0,A
2017-10-20 00:00:00+00:00,14.5,A,14150000,745.0,A,734.0,A,1550.0,A
2017-10-21 00:00:00+00:00,14.2,A,14150000,746.0,A,733.0,A,1540.0,A
2017-10-22 00:00:00+00:00,14.2,A,14150000,754.0,A,739.0,A,1540.0,A
2017-10-23 00:00:00+00:00,14.2,A,14150000,759.0,A,745.0,A,1530.0,A
2017-10-24 00:00:00+00:00,14.1,A,14150000,754.0,A,742.0,A,1520.0,A
2017-10-25 00:00:00+00:00,14.1,A,14150000,750.0,A,741.0,A,1540.0,A
2017-10-26 00:00:00+00:00,14.0,A,14150000,748.0,A,741.0,A,1550.0,A
2017-10-27 00:00:00+00:00,13.9,A,14150000,748.0,A,741.0,A,1550.0,A
2017-10-28 00:00:00+00:00,13.8,A,14150000,746.0,A,741.0,A,1550.0,A
2017-10-29 00:00:00+00:00,13.7,A,14150000,746.0,A,737.0,A,1550.0,A
2017-10-30 00:00:00+00:00,13.6,A,14150000,746.0,A,739.0,A,1550.0,A
2017-10-31 00:00:00+00:00,13.2,A,14150000,747.0,A,737.0,A,1550.0,A
2017-11-01 00:00:00+00:00,13.1,A,14150000,745.0,A,737.0,A,1550.0,A
2017-11-02 00:00:00+00:00,13.0,A,14150000,743.0,A,733.0,A,1560.0,A
2017-11-03 00:00:00+00:00,12.8,A,14150000,745.0,A,735.0,A,2840.0,A
2017-11-04 00:00:00+00:00,12.4,A,14150000,747.0,A,736.0,A,2960.0,A
2017-11-05 00:00:00+00:00,12.1,A,14150000,745.0,A,733.0,A,2850.0,A
