datetime,00060_Mean,00060_Mean_cd,site_no,00065_Mean,00065_Mean_cd,30208_m^3/s_Mean,30208_m^3/s_Mean_cd,99065_meters_Mean,99065_meters_Mean_cd
2022-10-01 00:00:00+00:00,58.6,A,12306500,3.37,A,1.66,P,1.029,P
2022-10-02 00:00:00+00:00,56.6,A,12306500,3.36,A,1.6,P,1.025,P
2022-10-03 00:00:00+00:00,55.1,A,12306500,3.36,A,1.56,P,1.023,P
2022-10-04 00:00:00+00:00,54.1,A,12306500,3.35,A,1.53,P,1.021,P
2022-10-05 00:00:00+00:00,54.1,A,12306500,3.35,A,1.53,P,1.021,P
2022-10-06 00:00:00+00:00,54.1,A,12306500,3.35,A,1.53,P,1.021,P
2022-10-07 00:00:00+00:00,53.8,A,12306500,3.35,A,1.52,P,1.021,P
2022-10-08 00:00:00+00:00,53.2,A,12306500,3.34,A,1.51,P,1.02,P
2022-10-09 00:00:00+00:00,52.3,A,12306500,3.34,A,1.48,P,1.018,P
2022-10-10 00:00:00+00:00,52.3,A,12306500,3.34,A,1.48,P,1.018,P
2022-10-11 00:00:00+00:00,52.3,A,12306500,3.34,A,1.48,P,1.018,P
2022-10-12 00:00:00+00:00,50.1,A,12306500,3.33,A,1.42,P,1.014,P
2022-10-13 00:00:00+00:00,48.2,A,12306500,3.32,A,1.37,P,1.011,P
2022-10-14 00:00:00+00:00,47.2,A,12306500,3.31,A,1.34,P,1.009,P
2022-10-15 00:00:00+00:00,47.2,A,12306500,3.31,A,1.34,P,1.009,P
2022-10-16 00:00:00+00:00,47.2,A,12306500,3.31,A,1.34,P,1.009,P
2022-10-17 00:00:00+00:00,47.2,A,12306500,3.31,A,1.34,P,1.009,P
2022-10-18 00:00:00+00:00,47.2,A,12306500,3.31,A,1.34,P,1.009,P
2022-10-19 00:00:00+00:00,47.2,A,12306500,3.31,A,1.34,P,1.009,P
2022-10-20 00:00:00+00:00,47.2,A,12306500,3.31,A,1.34,P,1.009,P
2022-10-21 00:00:00+00:00,47.8,A,12306500,3.31,A,1.35,P,1.01,P
2022-10-22 00:00:00+00:00,51.5,A,12306500,3.34,A,1.46,P,1.017,P
2022-10-23 00:00:00+00:00,55.1,A,12306500,3.36,A,1.56,P,1.023,P
