datetime,00010_Mean,00010_Mean_cd,site_no,00060_Mean,00060_Mean_cd,00095_Mean,00095_Mean_cd,00300_Mean,00300_Mean_cd,63680_Mean,63680_Mean_cd
2022-10-01 00:00:00+00:00,18.1,A,09180500,3840.0,A,1210.0,A,8.1,A,285.0,A
2022-10-02 00:00:00+00:00,17.0,A,09180500,5340.0,A,1210.0,A,7.8,A,,
2022-10-03 00:00:00+00:00,16.0,A,09180500,7150.0,A,1130.0,A,7.1,A,,
2022-10-04 00:00:00+00:00,15.4,A,09180500,7410.0,A,1010.0,A,7.9,A,,
2022-10-05 00:00:00+00:00,15.8,A,09180500,5670.0,A,1090.0,A,8.4,A,,
2022-10-06 00:00:00+00:00,15.9,A,09180500,4570.0,A,1230.0,A,8.5,A,,
2022-10-07 00:00:00+00:00,16.1,A,09180500,4050.0,A,1200.0,A,8.6,A,,
2022-10-08 00:00:00+00:00,16.4,A,09180500,3830.0,A,1160.0,A,8.6,A,,
2022-10-09 00:00:00+00:00,16.4,A,09180500,3720.0,A,1160.0,A,8.6,A,,
2022-10-10 00:00:00+00:00,16.1,A,09180500,3600.0,A,1150.0,A,8.6,A,,
2022-10-11 00:00:00+00:00,15.8,A,09180500,3440.0,A,1170.0,A,8.7,A,,
2022-10-12 00:00:00+00:00,15.3,A,09180500,3410.0,A,1190.0,A,8.8,A,,
2022-10-13 00:00:00+00:00,14.9,A,09180500,3340.0,A,1190.0,A,9.0,A,,
2022-10-14 00:00:00+00:00,14.6,A,09180500,3220.0,A,1190.0,A,9.1,A,,
2022-10-15 00:00:00+00:00,14.3,A,09180500,3170.0,A,1210.0,A,9.2,A,,
2022-10-16 00:00:00+00:00,13.6,A,09180500,3030.0,A,1210.0,A,9.3,A,,
2022-10-17 00:00:00+00:00,13.5,A,09180500,3100.0,A,1220.0,A,9.4,A,,
2022-10-18 00:00:00+00:00,13.3,A,09180500,3230.0,A,1230.0,A,9.5,A,,
2022-10-19 00:00:00+00:00,13.2,A,09180500,3130.0,A,1230.0,P,9.7,P,,
2022-10-20 00:00:00+00:00,13.1,A,09180500,3150.0,A,1230.0,P,9.8,P,91.1,P
2022-10-21 00:00:00+00:00,12.8,A,09180500,3150.0,A,1200.0,P,9.8,P,90.2,P
2022-10-22 00:00:00+00:00,12.4,A,09180500,3080.0,A,1200.0,P,9.7,P,100.0,P
2022-10-23 00:00:00+00:00,11.2,A,09180500,4170.0,A,1230.0,P,9.5,P,,
2022-10-24 00:00:00+00:00,10.4,A,09180500,4830.0,A,1220.0,P,9.9,P,,
2022-10-25 00:00:00+00:00,9.3,A,09180500,4530.0,A,1120.0,P,10.3,P,2000.0,P
2022-10-26 00:00:00+00:00,9.0,A,09180500,4240.0,A,1140.0,P,10.5,P,1730.0,P
2022-10-27 00:00:00+00:00,8.7,A,09180500,4330.0,A,1120.0,P,10.6,P,724.0,P
2022-10-28 00:00:00+00:00,8.3,A,09180500,4420.0,A,1090.0,P,10.8,P,442.0,P
2022-10-29 00:00:00+00:00,7.7,A,09180500,4270.0,A,1090.0,P,11.0,P,951.0,P
2022-10-30 00:00:00+00:00,7.8,A,09180500,4060.0,A,1110.0,P,11.0,P,824.0,P
2022-10-31 00:00:00+00:00,8.1,A,09180500,3890.0,A,1120.0,P,10.8,P,389.0,P
2022-11-01 00:00:00+00:00,8.3,A,09180500,4010.0,A,1140.0,P,10.8,P,227.0,P
2022-11-02 00:00:00+00:00,8.6,A,09180500,3830.0,A,1150.0,P,10.6,P,192.0,P
2022-11-03 00:00:00+00:00,8.6,A,09180500,3560.0,A,1170.0,P,10.5,P,,
2022-11-04 00:00:00+00:00,8.1,A,09180500,3590.0,A,1180.0,P,10.7,P,1180.0,P
2022-11-05 00:00:00+00:00,7.5,A,09180500,3800.0,A,1260.0,P,11.0,P,361.0,P
2022-11-06 00:00:00+00:00,7.9,A,09180500,3550.0,A,1280.0,P,10.8,P,624.0,P
2022-11-07 00:00:00+00:00,8.4,A,09180500,3330.0,A,1310.0,P,10.6,P,718.0,P
2022-11-08 00:00:00+00:00,8.8,A,09180500,3200.0,A,1330.0,P,10.5,P,252.0,P
2022-11-09 00:00:00+00:00,8.2,A,09180500,3190.0,A,1310.0,P,10.5,P,276.0,P
2022-11-10 00:00:00+00:00,7.3,A,09180500,3070.0,A,1290.0,P,10.9,P,175.0,P
2022-11-11 00:00:00+00:00,6.6,A,09180500,3140.0,A,1300.0,P,11.3,P,125.0,P
2022-11-12 00:00:00+00:00,5.6,A,09180500,3160.0,A,1290.0,P,11.6,P,118.0,P
2022-11-13 00:00:00+00:00,4.9,A,09180500,3030.0,A,1290.0,P,11.9,P,106.0,P
2022-11-14 00:00:00+00:00,4.7,A,09180500,2940.0,A,1300.0,P,12.0,P,74.8,P
2022-11-15 00:00:00+00:00,4.4,A,09180500,2920.0,A,1310.0,P,12.2,P,35.2,P
2022-11-16 00:00:00+00:00,3.8,A,09180500,2980.0,A,1330.0,P,12.4,P,38.7,P
2022-11-17 00:00:00+00:00,3.3,A,09180500,2950.0,A,1350.0,P,12.7,P,27.3,P
2022-11-18 00:00:00+00:00,2.9,A,09180500,2780.0,A,1360.0,P,12.8,P,24.5,P
2022-11-19 00:00:00+00:00,2.4,A,09180500,2710.0,A,1350.0,P,13.0,P,18.5,P
2022-11-20 00:00:00+00:00,1.9,A,09180500,2730.0,A,1350.0,P,13.3,P,15.3,P
2022-11-21 00:00:00+00:00,1.4,A,09180500,2680.0,A,1370.0,P,13.5,P,14.1,P
2022-11-22 00:00:00+00:00,1.2,A,09180500,2540.0,A,1400.0,P,13.7,P,11.0,P
2022-11-23 00:00:00+00:00,0.9,A,09180500,2520.0,A,1440.0,P,13.8,P,8.9,P
2022-11-24 00:00:00+00:00,1.2,A,09180500,2580.0,A,1430.0,P,13.9,P,8.1,P
2022-11-25 00:00:00+00:00,1.6,A,09180500,2620.0,A,1450.0,P,13.9,P,6.8,P
