datetime,00010_Mean,00010_Mean_cd,site_no,00025_Mean,00025_Mean_cd,00047_Mean,00047_Mean_cd,00060_Mean,00060_Mean_cd,00095_Mean,00095_Mean_cd,00300_Mean,00300_Mean_cd,32295_Mean,32295_Mean_cd,32316_Mean,32316_Mean_cd,32319_Mean,32319_Mean_cd
2022-10-01 00:00:00+00:00,10.5,A,14159500,726.0,A,733.0,A,838.0,A,35.0,A,10.1,A,9.4,P,0.84,P,0.25,P
2022-10-02 00:00:00+00:00,10.6,A,14159500,727.0,A,734.0,A,896.0,A,35.0,A,10.0,A,9.1,"P, [4]",0.87,P,0.23,P
2022-10-03 00:00:00+00:00,10.2,A,14159500,729.0,A,735.0,A,891.0,A,34.0,A,10.1,A,9.9,"P, [4]",0.8,P,0.24,P
2022-10-04 00:00:00+00:00,9.8,A,14159500,729.0,A,735.0,A,887.0,A,34.0,A,10.1,A,10.2,"P, [4]",0.92,P,0.25,P
2022-10-05 00:00:00+00:00,9.5,A,14159500,731.0,A,735.0,A,881.0,A,33.0,A,10.1,A,10.6,"P, [4]",1.01,P,0.26,P
2022-10-06 00:00:00+00:00,9.5,A,14159500,730.0,A,735.0,A,881.0,A,34.0,A,10.1,A,10.4,"P, [4]",1.04,P,0.27,P
2022-10-07 00:00:00+00:00,9.9,A,14159500,732.0,A,775.0,A,907.0,A,35.0,A,11.1,A,9.9,P,1.03,P,0.26,P
2022-10-08 00:00:00+00:00,9.9,A,14159500,731.0,A,806.0,A,890.0,A,35.0,A,11.8,A,9.7,P,0.93,P,0.26,P
2022-10-09 00:00:00+00:00,10.1,A,14159500,731.0,A,805.0,A,880.0,A,36.0,A,11.8,A,9.3,P,0.95,P,0.23,P
2022-10-10 00:00:00+00:00,10.1,A,14159500,730.0,A,804.0,A,869.0,A,37.0,A,11.7,A,8.9,P,0.94,P,0.24,P
2022-10-11 00:00:00+00:00,10.2,A,14159500,731.0,A,805.0,A,886.0,A,38.0,A,11.7,A,8.6,P,0.91,P,0.23,P
2022-10-12 00:00:00+00:00,10.3,A,14159500,732.0,A,793.0,A,909.0,A,39.0,A,11.4,A,8.2,P,0.93,P,0.24,P
2022-10-13 00:00:00+00:00,10.5,A,14159500,731.0,A,803.0,A,892.0,A,40.0,A,11.6,A,7.6,P,1.0,P,0.23,P
2022-10-14 00:00:00+00:00,10.6,A,14159500,727.0,A,796.0,A,882.0,A,41.0,A,11.5,A,7.3,P,0.87,P,0.22,P
2022-10-15 00:00:00+00:00,10.7,A,14159500,726.0,A,796.0,A,871.0,A,41.0,A,11.5,A,7.1,P,0.87,P,0.21,P
2022-10-16 00:00:00+00:00,10.8,A,14159500,727.0,A,798.0,A,864.0,A,42.0,A,11.5,A,6.6,P,0.87,P,0.19,P
2022-10-17 00:00:00+00:00,11.0,A,14159500,731.0,A,799.0,A,854.0,A,43.0,A,11.5,A,6.3,P,0.87,P,0.19,P
2022-10-18 00:00:00+00:00,11.0,A,14159500,733.0,A,797.0,A,835.0,A,43.0,A,11.5,A,6.4,P,0.9,P,0.2,P
2022-10-19 00:00:00+00:00,11.1,A,14159500,733.0,A,795.0,A,823.0,A,44.0,"A, [4]",11.4,"A, [4]",5.7,P,0.9,P,0.19,P
2022-10-20 00:00:00+00:00,11.1,A,14159500,730.0,A,794.0,A,813.0,A,44.0,"A, [4]",11.3,"A, [4]",5.7,"P, [4]",0.99,"P, [4]",0.19,"P, [4]"
2022-10-21 00:00:00+00:00,11.3,A,14159500,725.0,A,789.0,A,804.0,A,45.0,A,11.2,A,5.6,P,1.11,P,0.18,P
2022-10-22 00:00:00+00:00,11.3,A,14159500,724.0,A,786.0,A,796.0,A,45.0,A,11.2,A,5.8,P,1.32,P,0.18,P
2022-10-23 00:00:00+00:00,11.2,A,14159500,732.0,A,791.0,A,787.0,A,44.0,A,11.2,A,5.5,P,1.28,P,0.21,P
2022-10-24 00:00:00+00:00,11.2,A,14159500,732.0,A,792.0,A,777.0,A,46.0,A,11.2,A,5.0,P,1.48,P,0.2,P
2022-10-25 00:00:00+00:00,11.5,A,14159500,732.0,A,801.0,A,875.0,A,46.0,A,11.3,A,4.7,P,1.75,P,0.18,P
2022-10-26 00:00:00+00:00,11.6,A,14159500,732.0,A,812.0,A,1120.0,A,46.0,A,11.5,A,4.6,P,1.71,P,0.18,P
2022-10-27 00:00:00+00:00,11.6,A,14159500,732.0,A,826.0,A,1520.0,A,47.0,A,11.6,A,3.7,P,1.52,P,0.2,P
2022-10-28 00:00:00+00:00,11.3,A,14159500,733.0,A,821.0,A,1350.0,A,47.0,A,11.7,A,4.1,P,1.54,P,0.19,P
2022-10-29 00:00:00+00:00,11.2,A,14159500,735.0,A,821.0,A,1290.0,A,47.0,A,11.7,A,4.4,P,1.73,P,0.23,P
2022-10-30 00:00:00+00:00,10.9,A,14159500,733.0,A,818.0,A,1240.0,A,47.0,A,11.7,A,4.8,P,1.79,P,0.27,P
2022-10-31 00:00:00+00:00,10.7,A,14159500,726.0,A,812.0,A,1240.0,A,47.0,A,11.7,A,5.3,P,1.71,P,0.3,P
2022-11-01 00:00:00+00:00,10.2,A,14159500,722.0,A,808.0,A,1250.0,A,47.0,A,11.7,A,6.0,P,2.26,P,0.26,P
