date,WTEQ_DAILY
1982-01-18,15.8
1982-01-19,15.8
1982-01-20,15.8
1982-01-21,16.6
1982-01-22,16.6
1982-01-23,16.6
1982-01-24,16.6
1982-01-25,16.8
1982-01-26,16.8
1982-01-27,17.1
1982-01-28,17.1
1982-01-29,17.1
1982-01-30,17.1
1982-01-31,17.1
1982-02-01,17.1
1982-02-02,16.8
1982-02-03,17.0
1982-02-04,17.0
1982-02-05,17.0
1982-02-06,17.0
1982-02-07,16.8
1982-02-08,17.0
1982-02-09,17.0
1982-02-10,16.8
1982-02-11,16.8
1982-02-12,17.8
1982-02-13,18.8
1982-02-14,18.6
1982-02-15,18.8
1982-02-16,18.6
1982-02-17,18.3
1982-02-18,18.8
1982-02-19,19.8
1982-02-20,19.3
1982-02-21,19.1
1982-02-22,19.0
1982-02-23,18.6
1982-02-24,18.6
1982-02-25,18.8
1982-02-26,18.5
1982-02-27,18.8
1982-02-28,19.6
1982-03-01,19.8
1982-03-02,20.3
1982-03-03,20.3
1982-03-04,20.8
1982-03-05,20.8
1982-03-06,20.8
1982-03-07,21.0
1982-03-08,21.1
1982-03-09,20.6
1982-03-10,21.3
1982-03-11,20.6
1982-03-12,20.8
1982-03-13,21.1
1982-03-14,21.5
1982-03-15,21.5
1982-03-16,21.5
1982-03-17,21.5
1982-03-18,20.6
1982-03-19,20.8
1982-03-20,21.1
1982-03-21,21.1
1982-03-22,21.1
1982-03-23,20.3
1982-03-24,20.3
1982-03-25,19.8
1982-03-26,19.5
1982-03-27,20.1
1982-03-28,20.0
1982-03-29,20.0
1982-03-30,19.3
1982-03-31,19.3
1982-04-01,19.6
1982-04-02,19.5
1982-04-03,19.6
1982-04-04,20.1
1982-04-05,20.6
1982-04-06,19.6
1982-04-07,20.6
1982-04-08,20.6
1982-04-09,20.6
1982-04-10,20.0
1982-04-11,18.5
1982-04-12,19.1
1982-04-13,19.1
1982-04-14,18.6
1982-04-15,18.6
1982-04-16,18.3
1982-04-17,17.8
1982-04-18,17.8
1982-04-19,17.6
1982-04-20,17.1
1982-04-21,16.3
1982-04-22,15.3
1982-04-23,14.6
1982-04-24,14.2
1982-04-25,13.4
1982-04-26,12.6
1982-04-27,12.0
1982-04-28,11.2
1982-04-29,10.9
1982-04-30,9.7
1982-05-01,8.9
1982-05-02,7.9
1982-05-03,7.5
1982-05-04,7.0
1982-05-05,5.4
1982-05-06,3.7
1982-05-07,2.8
1982-05-08,2.5
1982-05-09,1.7
1982-05-10,0.7
1982-05-11,0.1
1982-05-12,0.0
1982-05-13,0.0
1982-05-14,0.0
1982-05-15,0.0
1982-05-16,0.0
1982-05-17,0.0
1982-05-18,0.0
1982-05-19,0.0
1982-05-20,0.0
1982-05-21,0.0
1982-05-22,0.0
1982-05-23,0.0
1982-05-24,0.0
1982-05-25,0.0
1982-05-26,0.0
1982-05-27,0.0
1982-05-28,0.0
1982-05-29,0.0
1982-05-30,0.0
1982-05-31,0.0
1982-06-01,0.0
1982-06-02,0.0
1982-06-03,0.0
1982-06-04,0.0
1982-06-05,0.0
1982-06-06,0.0
1982-06-07,0.0
1982-06-08,0.0
1982-06-09,0.0
1982-06-10,0.0
1982-06-11,0.0
1982-06-12,0.0
1982-06-13,0.0
1982-06-14,0.0
1982-06-15,0.0
1982-06-16,0.0
1982-06-17,0.0
1982-06-18,0.0
1982-06-19,0.0
1982-06-20,0.0
1982-06-21,0.0
1982-06-22,0.0
1982-06-23,0.0
1982-06-24,0.0
1982-06-25,0.0
1982-06-26,0.0
1982-06-27,0.0
1982-06-28,0.0
1982-06-29,0.0
1982-06-30,0.0
1982-07-01,0.0
1982-07-02,0.0
1982-07-03,0.0
1982-07-04,0.0
1982-07-05,0.0
1982-07-06,0.0
1982-07-07,0.0
1982-07-08,0.0
1982-07-09,0.0
1982-07-10,0.0
1982-07-11,0.0
1982-07-12,0.0
1982-07-13,0.0
1982-07-14,0.0
1982-07-15,0.0
1982-07-16,0.0
1982-07-17,0.0
1982-07-18,0.0
1982-07-19,0.0
1982-07-20,0.0
1982-07-21,0.0
