date,PREC_DAILY
1981-10-01,0.0
1981-10-02,0.1
1981-10-03,0.1
1981-10-04,0.1
1981-10-05,0.1
1981-10-06,0.2
1981-10-07,0.7
1981-10-08,0.7
1981-10-09,0.8
1981-10-10,1.3
1981-10-11,1.5
1981-10-12,1.5
1981-10-13,1.5
1981-10-14,1.6
1981-10-15,1.6
1981-10-16,1.6
1981-10-17,1.6
1981-10-18,1.6
1981-10-19,1.7
1981-10-20,1.7
1981-10-21,1.7
1981-10-22,1.7
1981-10-23,1.7
1981-10-24,1.7
1981-10-25,1.7
1981-10-26,1.7
1981-10-27,1.7
1981-10-28,2.0
1981-10-29,2.1
1981-10-30,2.1
1981-10-31,2.1
1981-11-01,2.1
1981-11-02,2.1
1981-11-03,2.1
1981-11-04,2.1
1981-11-05,2.1
1981-11-06,2.1
1981-11-07,2.1
1981-11-08,2.1
1981-11-09,2.1
1981-11-10,2.1
1981-11-11,2.1
1981-11-12,3.2
1981-11-13,4.1
1981-11-14,4.2
1981-11-15,5.8
1981-11-16,6.1
1981-11-17,6.5
1981-11-18,6.5
1981-11-19,6.5
1981-11-20,6.7
1981-11-21,7.7
1981-11-22,7.8
1981-11-23,8.7
1981-11-24,8.8
1981-11-25,8.8
1981-11-26,8.8
1981-11-27,8.8
1981-11-28,8.8
1981-11-29,9.0
1981-11-30,9.0
1981-12-01,9.2
1981-12-02,9.5
1981-12-03,9.5
1981-12-04,9.5
1981-12-05,9.7
1981-12-06,9.9
1981-12-07,9.9
1981-12-08,9.9
1981-12-09,10.0
1981-12-10,10.0
1981-12-11,10.0
1981-12-12,10.2
1981-12-13,10.4
1981-12-14,11.1
1981-12-15,11.5
1981-12-16,11.5
1981-12-17,11.5
1981-12-18,11.9
1981-12-19,13.3
1981-12-20,13.3
1981-12-21,13.3
1981-12-22,13.3
1981-12-23,13.3
1981-12-24,13.6
1981-12-25,13.6
1981-12-26,14.0
1981-12-27,14.1
1981-12-28,14.3
1981-12-29,14.8
1981-12-30,14.8
1981-12-31,15.3
1982-01-01,15.3
1982-01-02,15.4
1982-01-03,16.3
1982-01-04,16.6
1982-01-05,16.6
1982-01-06,16.6
1982-01-07,16.6
1982-01-08,16.8
1982-01-09,16.8
1982-01-10,16.8
1982-01-11,16.8
1982-01-12,16.8
1982-01-13,16.8
1982-01-14,17.0
1982-01-15,17.0
1982-01-16,17.5
1982-01-17,17.6
1982-01-18,17.8
1982-01-19,18.0
1982-01-20,18.0
1982-01-21,18.0
1982-01-22,18.2
1982-01-23,18.4
1982-01-24,18.5
1982-01-25,18.8
1982-01-26,19.1
