date,WTEQ_DAILY
1981-10-01,0.0
1981-10-02,0.0
1981-10-03,0.0
1981-10-04,0.0
1981-10-05,0.0
1981-10-06,0.0
1981-10-07,0.0
1981-10-08,0.0
1981-10-09,0.0
1981-10-10,0.0
1981-10-11,0.0
1981-10-12,0.0
1981-10-13,0.0
1981-10-14,0.0
1981-10-15,0.0
1981-10-16,0.0
1981-10-17,0.0
1981-10-18,0.0
1981-10-19,0.0
1981-10-20,0.0
1981-10-21,0.0
1981-10-22,0.0
1981-10-23,0.0
1981-10-24,0.0
1981-10-25,0.0
1981-10-26,0.0
1981-10-27,0.0
1981-10-28,0.0
1981-10-29,0.0
1981-10-30,0.0
1981-10-31,0.0
1981-11-01,0.0
1981-11-02,0.0
1981-11-03,0.0
1981-11-04,0.0
1981-11-05,0.0
1981-11-06,0.0
1981-11-07,0.0
1981-11-08,0.0
1981-11-09,0.1
1981-11-10,0.1
1981-11-11,0.2
1981-11-12,0.3
1981-11-13,0.3
1981-11-14,0.6
1981-11-15,0.9
1981-11-16,0.9
1981-11-17,1.5
1981-11-18,1.5
1981-11-19,1.8
1981-11-20,2.1
1981-11-21,2.1
1981-11-22,2.1
1981-11-23,2.4
1981-11-24,2.4
1981-11-25,2.4
1981-11-26,2.4
1981-11-27,2.4
1981-11-28,2.4
1981-11-29,3.0
1981-11-30,4.2
1981-12-01,5.6
1981-12-02,5.6
1981-12-03,6.0
1981-12-04,6.3
1981-12-05,6.8
1981-12-06,7.1
1981-12-07,7.4
1981-12-08,7.5
1981-12-09,7.7
1981-12-10,8.6
1981-12-11,8.6
1981-12-12,8.9
1981-12-13,9.5
1981-12-14,10.1
1981-12-15,10.7
1981-12-16,10.8
1981-12-17,10.7
1981-12-18,11.3
1981-12-19,11.9
1981-12-20,11.9
1981-12-21,11.9
1981-12-22,11.9
1981-12-23,12.2
1981-12-24,12.8
1981-12-25,13.4
1981-12-26,13.7
1981-12-27,14.0
1981-12-28,14.3
1981-12-29,14.3
1981-12-30,14.3
1981-12-31,14.6
1982-01-01,14.9
1982-01-02,15.0
1982-01-03,15.1
1982-01-04,15.3
1982-01-05,15.7
1982-01-06,15.7
1982-01-07,15.9
1982-01-08,16.3
1982-01-09,16.5
1982-01-10,16.6
1982-01-11,16.8
1982-01-12,16.8
1982-01-13,17.1
1982-01-14,18.0
1982-01-15,18.5
1982-01-16,19.1
1982-01-17,20.0
