date,PREC_DAILY
1979-10-01,0.0
1979-10-02,0.0
1979-10-03,0.0
1979-10-04,0.0
1979-10-05,0.0
1979-10-06,0.0
1979-10-07,0.0
1979-10-08,0.0
1979-10-09,0.0
1979-10-10,0.0
1979-10-11,0.0
1979-10-12,0.0
1979-10-13,0.0
1979-10-14,0.0
1979-10-15,0.0
1979-10-16,0.0
1979-10-17,0.0
1979-10-18,1.3
1979-10-19,2.9
1979-10-20,3.3
1979-10-21,3.3
1979-10-22,3.3
1979-10-23,3.3
1979-10-24,3.9
1979-10-25,3.9
1979-10-26,3.9
1979-10-27,4.0
1979-10-28,4.0
1979-10-29,4.0
1979-10-30,4.0
1979-10-31,4.0
1979-11-01,4.0
1979-11-02,4.0
1979-11-03,4.6
1979-11-04,4.6
1979-11-05,4.6
1979-11-06,4.6
1979-11-07,4.6
1979-11-08,4.6
1979-11-09,4.6
1979-11-10,4.6
1979-11-11,4.6
1979-11-12,4.6
1979-11-13,4.6
1979-11-14,4.6
1979-11-15,4.6
1979-11-16,5.0
1979-11-17,5.3
1979-11-18,5.4
1979-11-19,5.4
1979-11-20,5.5
1979-11-21,5.5
1979-11-22,5.6
1979-11-23,5.6
1979-11-24,5.7
1979-11-25,6.7
1979-11-26,6.8
1979-11-27,6.8
1979-11-28,6.8
1979-11-29,6.9
1979-11-30,6.9
1979-12-01,6.9
1979-12-02,6.9
1979-12-03,6.9
1979-12-04,6.9
1979-12-05,6.9
1979-12-06,7.0
1979-12-07,7.0
1979-12-08,7.0
1979-12-09,7.0
1979-12-10,7.0
1979-12-11,7.0
1979-12-12,7.1
1979-12-13,7.1
1979-12-14,7.1
1979-12-15,7.2
1979-12-16,7.3
1979-12-17,7.3
1979-12-18,7.3
1979-12-19,7.3
1979-12-20,7.5
1979-12-21,8.2
1979-12-22,8.6
1979-12-23,9.5
1979-12-24,10.7
1979-12-25,11.1
1979-12-26,11.1
1979-12-27,11.1
1979-12-28,11.2
1979-12-29,11.2
1979-12-30,12.5
1979-12-31,12.5
1980-01-01,12.5
1980-01-02,12.5
1980-01-03,13.8
1980-01-04,13.8
1980-01-05,13.8
1980-01-06,13.8
1980-01-07,13.8
1980-01-08,13.9
1980-01-09,14.6
1980-01-10,15.3
1980-01-11,19.3
1980-01-12,23.1
1980-01-13,27.0
1980-01-14,27.4
1980-01-15,27.7
1980-01-16,28.1
1980-01-17,28.3
1980-01-18,28.3
1980-01-19,28.3
1980-01-20,28.3
1980-01-21,28.3
1980-01-22,28.3
1980-01-23,28.3
1980-01-24,28.3
1980-01-25,28.3
1980-01-26,28.3
1980-01-27,28.3
1980-01-28,28.5
1980-01-29,28.6
1980-01-30,28.6
1980-01-31,28.6
1980-02-01,28.6
1980-02-02,28.6
1980-02-03,28.6
1980-02-04,28.6
1980-02-05,28.6
1980-02-06,28.6
1980-02-07,28.6
1980-02-08,28.6
1980-02-09,28.6
1980-02-10,28.6
1980-02-11,28.6
1980-02-12,28.6
1980-02-13,28.6
1980-02-14,29.3
1980-02-15,29.9
1980-02-16,30.7
1980-02-17,32.8
1980-02-18,34.4
1980-02-19,35.5
1980-02-20,36.2
1980-02-21,37.3
1980-02-22,37.5
1980-02-23,37.5
1980-02-24,37.5
1980-02-25,37.5
1980-02-26,37.5
1980-02-27,37.6
1980-02-28,37.8
1980-02-29,37.8
1980-03-01,37.8
1980-03-02,38.0
1980-03-03,38.3
1980-03-04,38.6
