datetime,00010_Mean,00010_Mean_cd,site_no,00025_Mean,00025_Mean_cd,00047_Mean,00047_Mean_cd,00060_Mean,00060_Mean_cd,00095_Mean,00095_Mean_cd,00300_Mean,00300_Mean_cd,32295_Mean,32295_Mean_cd,32316_Mean,32316_Mean_cd,32319_Mean,32319_Mean_cd
2021-10-01 00:00:00+00:00,9.3,A,14159500,733.0,A,782.0,A,683.0,A,47.0,A,11.6,A,7.0,P,1.21,P,0.43,P
2021-10-02 00:00:00+00:00,9.1,A,14159500,732.0,A,779.0,A,680.0,A,47.0,A,11.6,A,6.9,P,1.25,P,0.44,P
2021-10-03 00:00:00+00:00,9.5,A,14159500,730.0,A,777.0,A,676.0,A,48.0,A,11.5,A,6.7,P,1.36,P,0.43,P
2021-10-04 00:00:00+00:00,9.7,A,14159500,726.0,A,773.0,A,672.0,A,49.0,A,11.4,A,6.6,P,1.38,P,0.42,P
2021-10-05 00:00:00+00:00,9.8,A,14159500,727.0,A,774.0,A,672.0,A,49.0,A,11.4,A,6.6,P,1.36,P,0.41,P
2021-10-06 00:00:00+00:00,10.1,A,14159500,731.0,A,777.0,A,689.0,A,49.0,A,11.4,A,6.4,P,1.28,P,0.4,P
2021-10-07 00:00:00+00:00,10.3,A,14159500,729.0,A,775.0,A,682.0,A,50.0,A,11.3,A,6.2,P,1.25,P,0.38,P
2021-10-08 00:00:00+00:00,10.3,A,14159500,729.0,A,775.0,A,686.0,A,50.0,A,11.3,A,6.2,P,1.21,P,0.39,P
2021-10-09 00:00:00+00:00,10.6,A,14159500,734.0,A,779.0,A,692.0,A,50.0,A,11.2,A,5.8,P,1.14,P,0.38,P
2021-10-10 00:00:00+00:00,10.6,A,14159500,733.0,A,779.0,A,684.0,A,50.0,A,11.2,A,5.9,P,1.17,P,0.38,P
2021-10-11 00:00:00+00:00,10.6,A,14159500,734.0,A,780.0,A,680.0,A,50.0,A,11.2,A,5.8,P,1.14,P,0.38,P
2021-10-12 00:00:00+00:00,10.7,A,14159500,732.0,A,779.0,A,683.0,A,50.0,A,11.2,A,5.3,P,0.91,P,0.37,P
2021-10-13 00:00:00+00:00,10.8,A,14159500,732.0,A,778.0,A,693.0,A,51.0,A,11.2,A,5.2,P,0.94,P,0.36,P
2021-10-14 00:00:00+00:00,10.6,A,14159500,735.0,A,780.0,A,684.0,A,51.0,A,11.2,A,5.2,P,0.88,P,0.37,P
2021-10-15 00:00:00+00:00,10.9,A,14159500,733.0,A,776.0,A,677.0,A,51.0,A,11.1,A,4.6,P,0.8,P,0.36,P
2021-10-16 00:00:00+00:00,11.1,A,14159500,729.0,A,783.0,A,791.0,A,51.0,A,11.2,A,4.4,P,0.71,P,0.36,P
2021-10-17 00:00:00+00:00,11.0,A,14159500,722.0,A,782.0,A,904.0,A,52.0,A,11.2,A,4.4,P,0.73,P,0.36,P
2021-10-18 00:00:00+00:00,10.7,A,14159500,727.0,A,786.0,A,918.0,A,52.0,A,11.3,A,4.6,P,0.74,P,0.38,P
2021-10-19 00:00:00+00:00,10.9,A,14159500,723.0,A,781.0,A,898.0,A,52.0,"A, [4]",11.2,"A, [4]",4.2,"P, [4]",0.66,"P, [4]",0.37,"P, [4]"
2021-10-20 00:00:00+00:00,10.6,A,14159500,726.0,A,785.0,A,905.0,A,52.0,A,11.3,A,4.3,P,0.67,P,0.4,P
2021-10-21 00:00:00+00:00,10.5,A,14159500,724.0,A,789.0,A,880.0,A,52.0,A,11.4,A,4.3,P,0.71,P,0.41,P
2021-10-22 00:00:00+00:00,10.2,A,14159500,725.0,A,790.0,A,854.0,A,53.0,A,11.4,A,4.9,P,0.72,P,0.42,P
2021-10-23 00:00:00+00:00,10.0,A,14159500,721.0,A,782.0,A,821.0,A,52.0,A,11.3,A,5.1,P,0.72,P,0.44,P
2021-10-24 00:00:00+00:00,10.0,A,14159500,711.0,A,768.0,A,748.0,A,53.0,A,11.1,A,5.0,P,0.85,P,0.46,P
