datetime,00060_Mean,00060_Mean_cd,site_no,30208_m^3/s_Mean,30208_m^3/s_Mean_cd,99065_meters_Mean,99065_meters_Mean_cd
2021-10-01 00:00:00+00:00,33.7,A,12321500,0.954,P,2.946,P
2021-10-02 00:00:00+00:00,28.0,A,12321500,0.793,P,2.921,P
2021-10-03 00:00:00+00:00,24.2,A,12321500,0.685,P,2.902,P
2021-10-04 00:00:00+00:00,22.2,A,12321500,0.63,P,2.892,P
2021-10-05 00:00:00+00:00,20.9,A,12321500,0.593,P,2.884,P
2021-10-06 00:00:00+00:00,20.6,A,12321500,0.584,P,2.882,P
2021-10-07 00:00:00+00:00,21.9,A,12321500,0.62,P,2.89,P
2021-10-08 00:00:00+00:00,21.6,A,12321500,0.611,P,2.888,P
2021-10-09 00:00:00+00:00,20.4,A,12321500,0.579,P,2.881,P
2021-10-10 00:00:00+00:00,22.8,A,12321500,0.645,P,2.894,P
2021-10-11 00:00:00+00:00,24.9,A,12321500,0.706,P,2.906,P
2021-10-12 00:00:00+00:00,21.0,A,12321500,0.594,P,2.884,P
2021-10-13 00:00:00+00:00,20.7,A,12321500,0.587,P,2.883,P
2021-10-14 00:00:00+00:00,20.3,A,12321500,0.574,P,2.88,P
2021-10-15 00:00:00+00:00,21.4,A,12321500,0.606,P,2.887,P
2021-10-16 00:00:00+00:00,29.6,A,12321500,0.837,P,2.928,P
2021-10-17 00:00:00+00:00,27.3,A,12321500,0.773,P,2.918,P
2021-10-18 00:00:00+00:00,24.3,A,12321500,0.688,P,2.903,P
2021-10-19 00:00:00+00:00,22.4,A,12321500,0.636,P,2.893,P
2021-10-20 00:00:00+00:00,21.9,A,12321500,0.62,P,2.89,P
2021-10-21 00:00:00+00:00,32.5,A,12321500,0.919,P,2.94,P
2021-10-22 00:00:00+00:00,29.3,A,12321500,0.83,P,2.927,P
2021-10-23 00:00:00+00:00,47.2,A,12321500,1.34,P,2.991,P
2021-10-24 00:00:00+00:00,46.8,A,12321500,1.33,P,2.993,P
2021-10-25 00:00:00+00:00,104.0,A,12321500,2.95,P,3.117,P
2021-10-26 00:00:00+00:00,80.8,A,12321500,2.29,P,3.08,P
2021-10-27 00:00:00+00:00,122.0,A,12321500,3.45,P,3.151,P
2021-10-28 00:00:00+00:00,100.0,A,12321500,2.83,P,3.101,P
2021-10-29 00:00:00+00:00,467.0,A,12321500,13.2,P,3.502,P
2021-10-30 00:00:00+00:00,188.0,A,12321500,5.33,P,3.247,P
2021-10-31 00:00:00+00:00,119.0,A,12321500,3.38,P,3.15,P
2021-11-01 00:00:00+00:00,84.2,A,12321500,2.38,P,3.086,P
2021-11-02 00:00:00+00:00,79.9,A,12321500,2.26,P,3.078,P
2021-11-03 00:00:00+00:00,70.4,A,12321500,1.99,P,3.057,P
2021-11-04 00:00:00+00:00,89.1,A,12321500,2.52,P,3.092,P
2021-11-05 00:00:00+00:00,316.0,A,12321500,8.95,P,3.384,P
2021-11-06 00:00:00+00:00,188.0,A,12321500,5.33,P,3.248,P
2021-11-07 00:00:00+00:00,146.0,A,12321500,4.15,P,3.191,P
2021-11-08 00:00:00+00:00,123.0,A,12321500,3.47,P,3.156,P
2021-11-09 00:00:00+00:00,107.0,A,12321500,3.02,P,3.13,P
2021-11-10 00:00:00+00:00,96.2,A,12321500,2.72,P,3.111,P
2021-11-11 00:00:00+00:00,85.8,A,12321500,2.43,P,3.091,P
2021-11-12 00:00:00+00:00,135.0,A,12321500,3.83,P,3.166,P
2021-11-13 00:00:00+00:00,225.0,A,12321500,6.36,P,3.293,P
2021-11-14 00:00:00+00:00,262.0,A,12321500,7.43,P,3.324,P
2021-11-15 00:00:00+00:00,765.0,A,12321500,21.7,P,3.702,P
2021-11-16 00:00:00+00:00,565.0,A,12321500,16.0,P,3.578,P
2021-11-17 00:00:00+00:00,344.0,A,12321500,9.75,P,3.415,P
2021-11-18 00:00:00+00:00,290.0,A,12321500,8.21,P,3.364,P
2021-11-19 00:00:00+00:00,258.0,A,12321500,7.3,P,3.331,P
2021-11-20 00:00:00+00:00,222.0,A,12321500,6.29,P,3.291,P
2021-11-21 00:00:00+00:00,200.0,A,12321500,5.67,P,3.265,P
2021-11-22 00:00:00+00:00,185.0,A,12321500,5.24,P,3.245,P
2021-11-23 00:00:00+00:00,175.0,A,12321500,4.96,P,3.232,P
2021-11-24 00:00:00+00:00,165.0,A,12321500,4.67,P,3.217,P
2021-11-25 00:00:00+00:00,167.0,A,12321500,4.74,P,3.22,P
2021-11-26 00:00:00+00:00,165.0,A,12321500,4.68,P,3.218,P
2021-11-27 00:00:00+00:00,158.0,A,12321500,4.46,P,3.207,P
2021-11-28 00:00:00+00:00,281.0,A,12321500,7.97,P,3.35,P
2021-11-29 00:00:00+00:00,365.0,A,12321500,10.3,P,3.432,P
2021-11-30 00:00:00+00:00,520.0,A,12321500,14.7,P,3.545,P
2021-12-01 00:00:00+00:00,1500.0,A,12321500,42.6,P,4.022,P
2021-12-02 00:00:00+00:00,975.0,A,12321500,27.6,P,3.813,P
2021-12-03 00:00:00+00:00,668.0,A,12321500,18.9,P,3.646,P
2021-12-04 00:00:00+00:00,532.0,A,12321500,15.1,P,3.56,P
2021-12-05 00:00:00+00:00,423.0,A,12321500,12.0,P,3.481,P
2021-12-06 00:00:00+00:00,369.0,A,12321500,10.4,P,3.437,P
2021-12-07 00:00:00+00:00,343.0,A,12321500,9.71,P,3.414,P
2021-12-08 00:00:00+00:00,327.0,A,12321500,9.26,P,3.399,P
2021-12-09 00:00:00+00:00,291.0,A,12321500,8.25,P,3.365,P
2021-12-10 00:00:00+00:00,257.0,A,12321500,7.28,P,3.33,P
2021-12-11 00:00:00+00:00,262.0,A,12321500,7.43,P,3.336,P
2021-12-12 00:00:00+00:00,248.0,A,12321500,7.02,P,3.32,P
2021-12-13 00:00:00+00:00,228.0,A,12321500,6.47,P,3.298,P
2021-12-14 00:00:00+00:00,218.0,A,12321500,6.18,P,3.286,P
2021-12-15 00:00:00+00:00,201.0,A,12321500,5.7,P,3.266,P
2021-12-16 00:00:00+00:00,188.0,A,12321500,5.31,P,3.248,P
2021-12-17 00:00:00+00:00,138.0,"A, e",12321500,3.91,"P, e",3.191,P
2021-12-18 00:00:00+00:00,130.0,"A, e",12321500,3.68,"P, e",3.23,P
2021-12-19 00:00:00+00:00,152.0,"A, e",12321500,4.3,"P, e",3.234,P
2021-12-20 00:00:00+00:00,137.0,"A, e",12321500,3.87,"P, e",3.201,P
2021-12-21 00:00:00+00:00,130.0,"A, e",12321500,3.69,"P, e",3.185,P
2021-12-22 00:00:00+00:00,140.0,"A, e",12321500,3.98,"P, e",3.207,P
2021-12-23 00:00:00+00:00,148.0,"A, e",12321500,4.19,"P, e",3.196,P
2021-12-24 00:00:00+00:00,141.0,A,12321500,3.99,P,3.184,P
2021-12-25 00:00:00+00:00,136.0,A,12321500,3.84,P,3.176,P
2021-12-26 00:00:00+00:00,129.0,"A, e",12321500,3.66,"P, e",3.166,P
2021-12-27 00:00:00+00:00,117.0,"A, e",12321500,3.32,"P, e",3.163,P
2021-12-28 00:00:00+00:00,108.0,"A, e",12321500,3.04,"P, e",3.198,P
2021-12-29 00:00:00+00:00,95.0,"A, e",12321500,2.69,"P, e",3.236,P
2021-12-30 00:00:00+00:00,101.0,"A, e",12321500,2.85,"P, e",3.354,P
2021-12-31 00:00:00+00:00,96.2,"A, e",12321500,2.72,"P, e",3.458,P
2022-01-01 00:00:00+00:00,81.3,"A, e",12321500,2.3,"P, e",3.617,P
2022-01-02 00:00:00+00:00,87.9,"A, e",12321500,2.49,"P, e",3.803,P
2022-01-03 00:00:00+00:00,90.1,"A, e",12321500,2.55,"P, e",3.858,P
2022-01-04 00:00:00+00:00,86.2,"A, e",12321500,2.44,"P, e",3.889,P
2022-01-05 00:00:00+00:00,82.0,"A, e",12321500,2.32,"P, e",3.907,P
2022-01-06 00:00:00+00:00,81.6,"A, e",12321500,2.31,"P, e",3.892,P
2022-01-07 00:00:00+00:00,85.0,"A, e",12321500,2.41,"P, e",3.918,P
2022-01-08 00:00:00+00:00,87.2,"A, e",12321500,2.47,"P, e",3.948,P
2022-01-09 00:00:00+00:00,86.8,"A, e",12321500,2.46,"P, e",3.927,P
2022-01-10 00:00:00+00:00,84.8,"A, e",12321500,2.4,"P, e",3.938,P
2022-01-11 00:00:00+00:00,83.8,"A, e",12321500,2.37,"P, e",3.654,P
2022-01-12 00:00:00+00:00,82.8,A,12321500,2.34,P,3.085,P
2022-01-13 00:00:00+00:00,85.1,A,12321500,2.41,P,3.089,P
2022-01-14 00:00:00+00:00,81.8,A,12321500,2.32,P,3.083,P
2022-01-15 00:00:00+00:00,80.0,A,12321500,2.26,P,3.079,P
2022-01-16 00:00:00+00:00,78.2,A,12321500,2.22,P,3.075,P
2022-01-17 00:00:00+00:00,77.0,A,12321500,2.18,P,3.072,P
2022-01-18 00:00:00+00:00,75.5,A,12321500,2.14,P,3.069,P
2022-01-19 00:00:00+00:00,72.5,A,12321500,2.05,P,3.062,P
