datetime,00060_Mean,00060_Mean_cd,site_no,80154_historic_Mean,80154_historic_Mean_cd,80155_historic_Mean,80155_historic_Mean_cd
2008-10-01 00:00:00+00:00,7640.0,A,06329500,45.0,A,928.0,A
2008-10-02 00:00:00+00:00,7530.0,A,06329500,50.0,A,1020.0,A
2008-10-03 00:00:00+00:00,7500.0,A,06329500,38.0,A,770.0,A
2008-10-04 00:00:00+00:00,7360.0,A,06329500,44.0,A,874.0,A
2008-10-05 00:00:00+00:00,7300.0,A,06329500,59.0,A,1160.0,A
2008-10-06 00:00:00+00:00,7260.0,A,06329500,55.0,A,1080.0,A
2008-10-07 00:00:00+00:00,7390.0,A,06329500,52.0,A,1040.0,A
2008-10-08 00:00:00+00:00,7440.0,A,06329500,50.0,A,1000.0,A
2008-10-09 00:00:00+00:00,7370.0,A,06329500,48.0,A,955.0,A
2008-10-10 00:00:00+00:00,7300.0,A,06329500,44.0,A,867.0,A
2008-10-11 00:00:00+00:00,7510.0,A,06329500,40.0,A,811.0,A
2008-10-12 00:00:00+00:00,8110.0,A,06329500,54.0,A,1180.0,A
2008-10-13 00:00:00+00:00,8760.0,A,06329500,200.0,A,4730.0,A
2008-10-14 00:00:00+00:00,9220.0,A,06329500,559.0,A,13900.0,A
2008-10-15 00:00:00+00:00,9780.0,A,06329500,998.0,A,26400.0,A
2008-10-16 00:00:00+00:00,9890.0,A,06329500,1330.0,A,35500.0,A
2008-10-17 00:00:00+00:00,9370.0,A,06329500,1250.0,A,31600.0,A
2008-10-18 00:00:00+00:00,9070.0,A,06329500,920.0,A,22500.0,A
2008-10-19 00:00:00+00:00,9280.0,A,06329500,585.0,A,14700.0,A
2008-10-20 00:00:00+00:00,9360.0,A,06329500,320.0,A,8090.0,A
2008-10-21 00:00:00+00:00,9260.0,A,06329500,235.0,A,5880.0,A
2008-10-22 00:00:00+00:00,9360.0,A,06329500,246.0,A,6220.0,A
2008-10-23 00:00:00+00:00,9380.0,A,06329500,260.0,A,6580.0,A
2008-10-24 00:00:00+00:00,9180.0,A,06329500,264.0,A,6540.0,A
2008-10-25 00:00:00+00:00,9040.0,A,06329500,250.0,A,6100.0,A
2008-10-26 00:00:00+00:00,8800.0,A,06329500,227.0,A,5390.0,A
2008-10-27 00:00:00+00:00,8540.0,A,06329500,188.0,A,4330.0,A
2008-10-28 00:00:00+00:00,8140.0,A,06329500,137.0,A,3010.0,A
2008-10-29 00:00:00+00:00,8060.0,A,06329500,94.0,A,2050.0,A
2008-10-30 00:00:00+00:00,8020.0,A,06329500,72.0,A,1560.0,A
2008-10-31 00:00:00+00:00,8010.0,A,06329500,62.0,A,1340.0,A
2008-11-01 00:00:00+00:00,7890.0,A,06329500,53.0,A,1130.0,A
2008-11-02 00:00:00+00:00,7720.0,A,06329500,49.0,A,1020.0,A
2008-11-03 00:00:00+00:00,7740.0,A,06329500,55.0,A,1150.0,A
2008-11-04 00:00:00+00:00,7640.0,A,06329500,70.0,A,1440.0,A
2008-11-05 00:00:00+00:00,7570.0,A,06329500,78.0,A,1590.0,A
2008-11-06 00:00:00+00:00,7560.0,A,06329500,74.0,A,1510.0,A
2008-11-07 00:00:00+00:00,7590.0,A,06329500,65.0,A,1330.0,A
2008-11-08 00:00:00+00:00,7720.0,A,06329500,55.0,A,1150.0,A
2008-11-09 00:00:00+00:00,7800.0,A,06329500,48.0,A,1010.0,A
2008-11-10 00:00:00+00:00,7800.0,A,06329500,44.0,A,927.0,A
2008-11-11 00:00:00+00:00,7770.0,A,06329500,42.0,A,881.0,A
2008-11-12 00:00:00+00:00,7770.0,A,06329500,44.0,A,923.0,A
2008-11-13 00:00:00+00:00,7900.0,A,06329500,47.0,A,1000.0,A
2008-11-14 00:00:00+00:00,8070.0,A,06329500,57.0,A,1240.0,A
2008-11-15 00:00:00+00:00,8260.0,A,06329500,111.0,A,2480.0,A
2008-11-16 00:00:00+00:00,8220.0,A,06329500,149.0,A,3310.0,A
2008-11-17 00:00:00+00:00,7930.0,A,06329500,134.0,A,2870.0,A
2008-11-18 00:00:00+00:00,7970.0,A,06329500,120.0,A,2580.0,A
2008-11-19 00:00:00+00:00,8110.0,A,06329500,104.0,A,2280.0,A
2008-11-20 00:00:00+00:00,7980.0,A,06329500,90.0,A,1940.0,A
2008-11-21 00:00:00+00:00,7870.0,A,06329500,77.0,A,1640.0,A
2008-11-22 00:00:00+00:00,7780.0,A,06329500,64.0,A,1340.0,A
2008-11-23 00:00:00+00:00,7660.0,A,06329500,51.0,A,1050.0,A
2008-11-24 00:00:00+00:00,7620.0,A,06329500,47.0,A,967.0,A
2008-11-25 00:00:00+00:00,7610.0,A,06329500,46.0,A,945.0,A
2008-11-26 00:00:00+00:00,7570.0,A,06329500,42.0,A,858.0,A
2008-11-27 00:00:00+00:00,7520.0,A,06329500,37.0,A,751.0,A
2008-11-28 00:00:00+00:00,7410.0,A,06329500,33.0,A,660.0,A
2008-11-29 00:00:00+00:00,7270.0,A,06329500,30.0,A,589.0,A
2008-11-30 00:00:00+00:00,7200.0,A,06329500,29.0,A,564.0,A
2008-12-01 00:00:00+00:00,7290.0,A,06329500,,,,
2008-12-02 00:00:00+00:00,7280.0,A,06329500,,,,
2008-12-03 00:00:00+00:00,7380.0,A,06329500,,,,
2008-12-04 00:00:00+00:00,7250.0,A,06329500,,,,
2008-12-05 00:00:00+00:00,7300.0,"A, e",06329500,,,,
2008-12-06 00:00:00+00:00,6900.0,"A, e",06329500,,,,
2008-12-07 00:00:00+00:00,7100.0,"A, e",06329500,,,,
2008-12-08 00:00:00+00:00,7000.0,"A, e",06329500,,,,
2008-12-09 00:00:00+00:00,6700.0,"A, e",06329500,,,,
2008-12-10 00:00:00+00:00,6800.0,"A, e",06329500,,,,
2008-12-11 00:00:00+00:00,6900.0,"A, e",06329500,,,,
2008-12-12 00:00:00+00:00,7000.0,"A, e",06329500,,,,
2008-12-13 00:00:00+00:00,7000.0,"A, e",06329500,,,,
2008-12-14 00:00:00+00:00,6900.0,"A, e",06329500,,,,
2008-12-15 00:00:00+00:00,6900.0,"A, e",06329500,,,,
2008-12-16 00:00:00+00:00,6500.0,"A, e",06329500,,,,
2008-12-17 00:00:00+00:00,5400.0,"A, e",06329500,,,,
2008-12-18 00:00:00+00:00,5400.0,"A, e",06329500,,,,
2008-12-19 00:00:00+00:00,3500.0,"A, e",06329500,,,,
2008-12-20 00:00:00+00:00,2700.0,"A, e",06329500,,,,
2008-12-21 00:00:00+00:00,3100.0,"A, e",06329500,,,,
2008-12-22 00:00:00+00:00,2700.0,"A, e",06329500,,,,
2008-12-23 00:00:00+00:00,3600.0,"A, e",06329500,,,,
2008-12-24 00:00:00+00:00,4500.0,"A, e",06329500,,,,
2008-12-25 00:00:00+00:00,5200.0,"A, e",06329500,,,,
2008-12-26 00:00:00+00:00,5300.0,"A, e",06329500,,,,
2008-12-27 00:00:00+00:00,5400.0,"A, e",06329500,,,,
2008-12-28 00:00:00+00:00,5400.0,"A, e",06329500,,,,
2008-12-29 00:00:00+00:00,5400.0,"A, e",06329500,,,,
2008-12-30 00:00:00+00:00,5600.0,"A, e",06329500,,,,
2008-12-31 00:00:00+00:00,5700.0,"A, e",06329500,,,,
2009-01-01 00:00:00+00:00,5800.0,"A, e",06329500,,,,
2009-01-02 00:00:00+00:00,5900.0,"A, e",06329500,,,,
2009-01-03 00:00:00+00:00,6100.0,"A, e",06329500,,,,
2009-01-04 00:00:00+00:00,6100.0,"A, e",06329500,,,,
2009-01-05 00:00:00+00:00,6200.0,"A, e",06329500,,,,
2009-01-06 00:00:00+00:00,6200.0,"A, e",06329500,,,,
2009-01-07 00:00:00+00:00,4900.0,"A, e",06329500,,,,
2009-01-08 00:00:00+00:00,5000.0,"A, e",06329500,,,,
2009-01-09 00:00:00+00:00,5300.0,"A, e",06329500,,,,
2009-01-10 00:00:00+00:00,5500.0,"A, e",06329500,,,,
2009-01-11 00:00:00+00:00,5400.0,"A, e",06329500,,,,
2009-01-12 00:00:00+00:00,5900.0,"A, e",06329500,,,,
2009-01-13 00:00:00+00:00,6400.0,"A, e",06329500,,,,
2009-01-14 00:00:00+00:00,6500.0,"A, e",06329500,,,,
2009-01-15 00:00:00+00:00,6500.0,"A, e",06329500,,,,
2009-01-16 00:00:00+00:00,6500.0,"A, e",06329500,,,,
2009-01-17 00:00:00+00:00,6000.0,"A, e",06329500,,,,
2009-01-18 00:00:00+00:00,6100.0,"A, e",06329500,,,,
2009-01-19 00:00:00+00:00,5900.0,"A, e",06329500,,,,
2009-01-20 00:00:00+00:00,5900.0,"A, e",06329500,,,,
2009-01-21 00:00:00+00:00,6000.0,"A, e",06329500,,,,
2009-01-22 00:00:00+00:00,5900.0,"A, e",06329500,,,,
2009-01-23 00:00:00+00:00,5900.0,"A, e",06329500,,,,
2009-01-24 00:00:00+00:00,5700.0,"A, e",06329500,,,,
2009-01-25 00:00:00+00:00,5700.0,"A, e",06329500,,,,
2009-01-26 00:00:00+00:00,5700.0,"A, e",06329500,,,,
2009-01-27 00:00:00+00:00,5700.0,"A, e",06329500,,,,
2009-01-28 00:00:00+00:00,5100.0,"A, e",06329500,,,,
2009-01-29 00:00:00+00:00,4700.0,"A, e",06329500,,,,
2009-01-30 00:00:00+00:00,4400.0,"A, e",06329500,,,,
2009-01-31 00:00:00+00:00,4400.0,"A, e",06329500,,,,
2009-02-01 00:00:00+00:00,4600.0,"A, e",06329500,,,,
2009-02-02 00:00:00+00:00,4700.0,"A, e",06329500,,,,
2009-02-03 00:00:00+00:00,5100.0,"A, e",06329500,,,,
2009-02-04 00:00:00+00:00,5600.0,"A, e",06329500,,,,
2009-02-05 00:00:00+00:00,5800.0,"A, e",06329500,,,,
2009-02-06 00:00:00+00:00,5600.0,"A, e",06329500,,,,
2009-02-07 00:00:00+00:00,5700.0,"A, e",06329500,,,,
2009-02-08 00:00:00+00:00,5800.0,"A, e",06329500,,,,
2009-02-09 00:00:00+00:00,5800.0,"A, e",06329500,,,,
2009-02-10 00:00:00+00:00,5900.0,"A, e",06329500,,,,
2009-02-11 00:00:00+00:00,5900.0,"A, e",06329500,,,,
2009-02-12 00:00:00+00:00,5800.0,"A, e",06329500,,,,
2009-02-13 00:00:00+00:00,5800.0,"A, e",06329500,,,,
2009-02-14 00:00:00+00:00,5700.0,"A, e",06329500,,,,
2009-02-15 00:00:00+00:00,5700.0,"A, e",06329500,,,,
2009-02-16 00:00:00+00:00,5600.0,"A, e",06329500,,,,
2009-02-17 00:00:00+00:00,5600.0,"A, e",06329500,,,,
2009-02-18 00:00:00+00:00,5600.0,"A, e",06329500,,,,
2009-02-19 00:00:00+00:00,5500.0,"A, e",06329500,,,,
2009-02-20 00:00:00+00:00,5500.0,"A, e",06329500,,,,
2009-02-21 00:00:00+00:00,5600.0,"A, e",06329500,,,,
2009-02-22 00:00:00+00:00,5600.0,"A, e",06329500,,,,
2009-02-23 00:00:00+00:00,5600.0,"A, e",06329500,,,,
2009-02-24 00:00:00+00:00,5500.0,"A, e",06329500,,,,
