datetime,00010_Mean,00010_Mean_cd,site_no,00060_Mean,00060_Mean_cd,63680_Mean,63680_Mean_cd,99409_2_Mean,99409_2_Mean_cd,99409_Mean,99409_Mean_cd
2023-10-01 00:00:00+00:00,17.7,P,06329500,9160.0,A,106.0,A,238.0,P,5890.0,P
2023-10-02 00:00:00+00:00,17.6,P,06329500,9100.0,P,79.4,A,185.0,P,4550.0,P
2023-10-03 00:00:00+00:00,16.8,P,06329500,9510.0,P,80.6,A,189.0,P,4860.0,P
2023-10-04 00:00:00+00:00,14.8,P,06329500,10500.0,P,533.0,A,934.0,P,26500.0,P
2023-10-05 00:00:00+00:00,12.8,P,06329500,9550.0,P,752.0,A,1300.0,P,33600.0,P
2023-10-06 00:00:00+00:00,11.0,P,06329500,9440.0,P,140.0,A,306.0,P,7790.0,P
2023-10-07 00:00:00+00:00,10.7,P,06329500,9350.0,P,143.0,A,310.0,P,7840.0,P
2023-10-08 00:00:00+00:00,11.6,P,06329500,9480.0,P,114.0,A,255.0,P,6540.0,P
2023-10-09 00:00:00+00:00,12.6,P,06329500,9510.0,P,65.1,A,157.0,P,4040.0,P
2023-10-10 00:00:00+00:00,13.3,P,06329500,9500.0,P,44.6,A,113.0,P,2900.0,P
2023-10-11 00:00:00+00:00,13.3,P,06329500,9480.0,P,34.3,A,90.0,P,2300.0,P
2023-10-12 00:00:00+00:00,12.4,P,06329500,9330.0,P,27.4,A,73.7,P,1860.0,P
2023-10-13 00:00:00+00:00,11.3,P,06329500,9330.0,P,23.1,A,63.6,P,1600.0,P
2023-10-14 00:00:00+00:00,10.8,P,06329500,9350.0,P,20.0,A,56.0,P,1410.0,P
2023-10-15 00:00:00+00:00,10.3,P,06329500,9680.0,P,17.7,A,50.9,P,1330.0,P
2023-10-16 00:00:00+00:00,10.8,P,06329500,11500.0,P,34.2,A,94.0,P,2910.0,P
2023-10-17 00:00:00+00:00,11.6,P,06329500,12200.0,P,51.0,A,136.0,P,4480.0,P
2023-10-18 00:00:00+00:00,11.6,P,06329500,12200.0,P,51.4,A,136.0,P,4500.0,P
2023-10-19 00:00:00+00:00,12.1,P,06329500,12700.0,P,231.0,A,504.0,P,17200.0,P
2023-10-20 00:00:00+00:00,12.4,P,06329500,12000.0,P,345.0,A,714.0,P,23200.0,P
2023-10-21 00:00:00+00:00,12.3,P,06329500,11700.0,P,604.0,A,1150.0,P,36500.0,P
2023-10-22 00:00:00+00:00,12.0,P,06329500,11700.0,P,743.0,A,1390.0,P,43900.0,P
2023-10-23 00:00:00+00:00,11.4,P,06329500,11600.0,P,625.0,A,1190.0,P,37400.0,P
2023-10-24 00:00:00+00:00,10.6,P,06329500,11600.0,P,459.0,A,909.0,P,28500.0,P
2023-10-25 00:00:00+00:00,7.3,P,06329500,11800.0,P,319.0,A,664.0,P,21200.0,P
2023-10-26 00:00:00+00:00,4.3,P,06329500,11800.0,P,213.0,A,466.0,P,14900.0,P
2023-10-27 00:00:00+00:00,2.8,P,06329500,11700.0,P,146.0,A,337.0,P,10600.0,P
2023-10-28 00:00:00+00:00,2.0,P,06329500,11800.0,P,116.0,A,275.0,P,8800.0,P
2023-10-29 00:00:00+00:00,1.4,P,06329500,12000.0,P,81.9,A,204.0,P,6590.0,P
2023-10-30 00:00:00+00:00,0.9,P,06329500,11900.0,P,58.6,A,152.0,P,4890.0,P
2023-10-31 00:00:00+00:00,,,06329500,11900.0,P,,,,,,
