datetime,00060_Mean,00060_Mean_cd,site_no,00065_Mean,00065_Mean_cd,30208_m^3/s_Mean,30208_m^3/s_Mean_cd,99065_meters_Mean,99065_meters_Mean_cd
2023-10-01 00:00:00+00:00,53.1,A,12306500,3.33,A,1.5,P,1.014,P
2023-10-02 00:00:00+00:00,52.3,A,12306500,3.32,A,1.48,P,1.013,P
2023-10-03 00:00:00+00:00,50.9,A,12306500,3.31,A,1.44,P,1.01,P
2023-10-04 00:00:00+00:00,48.9,A,12306500,3.3,A,1.38,P,1.006,P
2023-10-05 00:00:00+00:00,47.6,A,12306500,3.29,A,1.35,P,1.004,P
2023-10-06 00:00:00+00:00,46.2,A,12306500,3.29,A,1.31,P,1.001,P
2023-10-07 00:00:00+00:00,45.3,A,12306500,3.28,A,1.28,P,1.0,P
2023-10-08 00:00:00+00:00,45.3,A,12306500,3.28,A,1.28,P,1.0,P
2023-10-09 00:00:00+00:00,44.3,A,12306500,3.27,A,1.25,P,0.998,P
2023-10-10 00:00:00+00:00,44.6,A,12306500,3.28,A,1.26,P,0.998,P
2023-10-11 00:00:00+00:00,46.5,A,12306500,3.29,A,1.32,P,1.002,P
2023-10-12 00:00:00+00:00,45.3,P,12306500,3.28,P,1.28,P,1.0,P
2023-10-13 00:00:00+00:00,45.2,P,12306500,3.28,P,1.28,P,0.999,P
2023-10-14 00:00:00+00:00,43.6,P,12306500,3.27,P,1.23,P,0.996,P
2023-10-15 00:00:00+00:00,42.2,P,12306500,3.26,P,1.19,P,0.994,P
2023-10-16 00:00:00+00:00,42.5,P,12306500,3.26,P,1.2,P,0.994,P
2023-10-17 00:00:00+00:00,46.5,P,12306500,3.29,P,1.32,P,1.002,P
2023-10-18 00:00:00+00:00,57.4,P,12306500,3.35,P,1.63,P,1.021,P
2023-10-19 00:00:00+00:00,52.4,P,12306500,3.32,P,1.48,P,1.013,P
2023-10-20 00:00:00+00:00,48.4,P,12306500,3.3,P,1.37,P,1.006,P
2023-10-21 00:00:00+00:00,46.3,P,12306500,3.29,P,1.31,P,1.002,P
2023-10-22 00:00:00+00:00,46.4,P,12306500,3.29,P,1.31,P,1.002,P
2023-10-23 00:00:00+00:00,48.5,P,12306500,3.3,P,1.37,P,1.006,P
2023-10-24 00:00:00+00:00,52.1,P,12306500,3.32,P,1.47,P,1.012,P
2023-10-25 00:00:00+00:00,51.1,P,12306500,3.31,P,1.45,P,1.01,P
2023-10-26 00:00:00+00:00,48.0,P,12306500,3.3,P,1.36,P,1.005,P
2023-10-27 00:00:00+00:00,44.0,P,12306500,3.27,P,1.25,P,0.997,P
