datetime,00010_Mean,00010_Mean_cd,site_no,00060_Mean,00060_Mean_cd,00095_Mean,00095_Mean_cd,00300_Mean,00300_Mean_cd,32295_Mean,32295_Mean_cd,32315_eqs water quality_Mean,32315_eqs water quality_Mean_cd,32316_Mean,32316_Mean_cd,32319_Mean,32319_Mean_cd,32321_eqs water quality_Mean,32321_eqs water quality_Mean_cd
2023-10-01 00:00:00+00:00,11.9,P,14162500,2190.0,P,56.0,P,11.2,P,4.56,P,,,1.26,P,0.17,P,,
2023-10-02 00:00:00+00:00,11.2,P,14162500,2240.0,P,56.0,P,11.3,P,4.79,P,,,1.31,P,0.18,P,,
2023-10-03 00:00:00+00:00,12.1,P,14162500,2320.0,P,55.0,P,11.1,P,5.73,P,,,1.28,P,0.17,P,,
2023-10-04 00:00:00+00:00,12.5,P,14162500,2260.0,P,55.0,P,11.2,P,5.35,P,,,1.27,P,0.16,P,,
2023-10-05 00:00:00+00:00,12.8,P,14162500,2230.0,P,55.0,P,11.2,P,4.9,"P, [4]",,,1.34,P,0.16,P,,
2023-10-06 00:00:00+00:00,13.1,P,14162500,2220.0,P,55.0,P,11.0,P,4.88,P,,,1.29,P,0.16,P,,
2023-10-07 00:00:00+00:00,12.9,P,14162500,2210.0,P,54.0,P,11.0,P,5.07,P,,,1.3,P,0.16,P,,
2023-10-08 00:00:00+00:00,13.0,P,14162500,2190.0,P,54.0,P,10.9,P,5.01,P,,,1.26,P,0.16,P,,
2023-10-09 00:00:00+00:00,12.1,P,14162500,2190.0,P,54.0,P,11.0,P,5.27,P,,,1.32,P,0.18,P,,
2023-10-10 00:00:00+00:00,12.0,P,14162500,2310.0,P,53.0,P,11.0,P,6.44,P,,,1.36,P,0.18,P,,
2023-10-11 00:00:00+00:00,11.7,P,14162500,3000.0,P,53.0,P,11.0,P,12.94,P,,,2.03,P,0.23,P,,
2023-10-12 00:00:00+00:00,12.6,P,14162500,3080.0,P,53.0,P,11.0,P,17.4,P,,,1.74,P,0.2,P,,
2023-10-13 00:00:00+00:00,12.2,P,14162500,2860.0,P,53.0,P,11.1,P,10.31,P,,,1.51,P,0.2,P,,
2023-10-14 00:00:00+00:00,12.7,P,14162500,2920.0,P,52.0,P,11.0,P,8.54,P,,,1.48,P,0.19,P,,
2023-10-15 00:00:00+00:00,13.0,P,14162500,2860.0,P,52.0,P,11.0,P,7.34,P,,,1.37,P,0.18,P,,
2023-10-16 00:00:00+00:00,12.8,P,14162500,3010.0,P,52.0,P,10.9,P,7.52,P,,,1.51,P,0.19,P,,
2023-10-17 00:00:00+00:00,13.5,P,14162500,3190.0,P,52.0,"P, [4]",10.9,"P, [4]",7.92,"P, [4]",,,1.29,"P, [4]",0.26,"P, [4]",,
2023-10-18 00:00:00+00:00,12.9,P,14162500,3460.0,P,52.0,P,11.0,P,7.29,P,,,,,,,,
2023-10-19 00:00:00+00:00,13.2,P,14162500,3750.0,P,52.0,P,10.9,P,6.89,P,0.3,P,,,,,0.23,P
2023-10-20 00:00:00+00:00,13.1,P,14162500,3700.0,P,52.0,P,10.9,P,6.44,P,0.3,P,,,,,0.22,P
2023-10-21 00:00:00+00:00,13.0,P,14162500,3650.0,P,53.0,P,10.9,P,6.4,P,0.3,P,,,,,0.21,P
2023-10-22 00:00:00+00:00,13.3,P,14162500,3590.0,P,54.0,P,10.8,P,6.15,P,0.3,P,,,,,0.21,P
2023-10-23 00:00:00+00:00,13.3,P,14162500,3550.0,P,54.0,P,10.9,P,5.87,P,0.3,P,,,,,0.2,P
2023-10-24 00:00:00+00:00,12.7,P,14162500,3470.0,P,54.0,P,10.9,P,5.88,P,0.3,P,,,,,0.22,P
2023-10-25 00:00:00+00:00,12.2,P,14162500,3850.0,P,54.0,P,11.0,P,9.03,P,0.4,P,,,,,0.23,P
2023-10-26 00:00:00+00:00,12.1,P,14162500,3750.0,P,55.0,P,11.3,P,8.68,P,0.3,P,,,,,0.22,P
2023-10-27 00:00:00+00:00,11.9,P,14162500,3620.0,P,55.0,P,11.4,P,7.13,P,0.3,P,,,,,0.23,P
2023-10-28 00:00:00+00:00,11.4,P,14162500,3750.0,P,55.0,P,11.6,P,6.26,P,0.3,P,,,,,0.23,P
2023-10-29 00:00:00+00:00,11.3,P,14162500,3670.0,P,55.0,P,11.6,P,5.74,P,0.3,P,,,,,0.23,P
2023-10-30 00:00:00+00:00,11.1,P,14162500,3650.0,P,55.0,P,11.5,P,5.42,P,0.3,P,,,,,0.23,P
2023-10-31 00:00:00+00:00,11.1,P,14162500,3720.0,P,55.0,P,11.5,P,5.48,P,0.3,P,,,,,0.23,P
2023-11-01 00:00:00+00:00,11.4,P,14162500,3690.0,P,54.0,P,11.4,P,5.83,P,0.4,P,,,,,0.23,P
2023-11-02 00:00:00+00:00,11.4,P,14162500,3810.0,P,54.0,P,11.3,P,7.11,P,0.4,P,,,,,0.23,P
2023-11-03 00:00:00+00:00,12.2,P,14162500,3800.0,P,54.0,P,11.2,P,8.19,P,0.4,P,,,,,0.22,P
2023-11-04 00:00:00+00:00,12.7,P,14162500,4490.0,P,53.0,P,10.8,P,14.73,P,0.7,P,,,,,0.35,P
2023-11-05 00:00:00+00:00,12.4,P,14162500,6650.0,P,50.0,P,11.0,P,23.43,P,0.6,P,,,,,0.31,P
2023-11-06 00:00:00+00:00,12.0,P,14162500,6230.0,P,50.0,P,11.0,P,18.81,P,0.5,P,,,,,0.24,P
2023-11-07 00:00:00+00:00,11.3,P,14162500,6620.0,P,49.0,P,11.4,P,17.48,P,0.4,P,,,,,0.24,P
2023-11-08 00:00:00+00:00,10.9,P,14162500,6010.0,P,49.0,P,11.6,P,15.35,P,0.4,P,,,,,0.24,P
2023-11-09 00:00:00+00:00,10.4,P,14162500,5280.0,P,50.0,P,11.7,P,12.99,P,0.3,P,,,,,0.23,P
2023-11-10 00:00:00+00:00,10.6,P,14162500,4230.0,P,52.0,P,11.7,P,11.3,P,0.3,P,,,,,0.22,P
2023-11-11 00:00:00+00:00,10.4,P,14162500,3880.0,P,53.0,P,11.7,P,10.59,P,0.3,P,,,,,0.22,P
2023-11-12 00:00:00+00:00,10.5,P,14162500,3390.0,P,55.0,P,11.7,P,9.74,P,0.3,P,,,,,0.22,P
2023-11-13 00:00:00+00:00,10.6,P,14162500,3340.0,P,55.0,P,11.6,P,9.79,P,0.3,P,,,,,0.22,P
2023-11-14 00:00:00+00:00,10.3,P,14162500,3230.0,P,55.0,P,11.7,P,9.75,P,0.3,P,,,,,0.22,P
2023-11-15 00:00:00+00:00,10.6,P,14162500,2970.0,P,57.0,P,11.6,P,9.02,P,0.3,P,,,,,0.22,P
2023-11-16 00:00:00+00:00,9.9,P,14162500,2690.0,P,58.0,P,11.8,P,8.35,P,0.3,P,,,,,0.23,P
2023-11-17 00:00:00+00:00,9.5,P,14162500,2500.0,P,59.0,P,12.0,P,7.71,P,0.3,P,,,,,0.23,P
2023-11-18 00:00:00+00:00,9.8,P,14162500,2480.0,P,59.0,P,11.8,P,7.51,P,0.3,P,,,,,0.23,P
2023-11-19 00:00:00+00:00,9.9,P,14162500,2880.0,P,58.0,P,12.0,P,10.29,P,0.3,P,,,,,0.24,P
2023-11-20 00:00:00+00:00,9.0,P,14162500,2840.0,P,58.0,P,12.3,P,9.6,P,0.3,P,,,,,0.24,P
2023-11-21 00:00:00+00:00,8.9,P,14162500,2770.0,P,58.0,P,12.3,P,8.63,P,0.3,P,,,,,0.23,P
2023-11-22 00:00:00+00:00,9.6,P,14162500,2660.0,P,59.0,P,12.1,P,8.15,P,0.3,P,,,,,0.23,P
2023-11-23 00:00:00+00:00,9.9,P,14162500,2550.0,P,59.0,P,12.1,P,7.5,P,0.3,P,,,,,0.23,P
2023-11-24 00:00:00+00:00,8.7,P,14162500,2450.0,P,60.0,P,12.5,P,7.04,P,0.3,P,,,,,0.26,P
2023-11-25 00:00:00+00:00,8.1,P,14162500,2390.0,P,60.0,P,12.8,P,6.58,P,0.3,P,,,,,0.29,P
2023-11-26 00:00:00+00:00,8.0,P,14162500,2260.0,P,61.0,P,12.8,P,6.07,P,0.3,P,,,,,0.29,P
2023-11-27 00:00:00+00:00,7.8,P,14162500,2140.0,P,62.0,P,12.8,P,5.74,P,0.3,P,,,,,0.28,P
2023-11-28 00:00:00+00:00,7.5,P,14162500,2060.0,P,62.0,P,12.9,P,5.45,P,0.3,P,,,,,0.29,P
2023-11-29 00:00:00+00:00,7.4,P,14162500,2080.0,P,62.0,P,12.9,P,5.45,P,0.3,P,,,,,0.28,P
2023-11-30 00:00:00+00:00,8.1,P,14162500,2160.0,P,62.0,P,12.5,P,5.82,P,0.3,P,,,,,0.28,P
2023-12-01 00:00:00+00:00,8.2,P,14162500,2480.0,P,60.0,P,12.5,P,8.19,P,0.3,P,,,,,0.28,P
2023-12-02 00:00:00+00:00,9.1,P,14162500,4490.0,P,56.0,P,12.2,P,15.74,P,0.6,P,,,,,0.32,P
2023-12-03 00:00:00+00:00,10.1,P,14162500,12400.0,P,43.0,P,11.7,P,32.52,P,1.7,P,,,,,0.91,P
2023-12-04 00:00:00+00:00,10.3,P,14162500,12000.0,P,41.0,P,11.7,P,25.65,P,0.7,P,,,,,0.42,P
2023-12-05 00:00:00+00:00,10.3,P,14162500,8140.0,P,43.0,P,11.6,P,19.93,P,0.4,P,,,,,0.28,P
2023-12-06 00:00:00+00:00,10.1,P,14162500,6540.0,P,45.0,P,11.6,P,17.05,P,0.3,P,,,,,0.25,P
2023-12-07 00:00:00+00:00,9.5,P,14162500,7900.0,P,43.0,P,11.9,P,19.15,P,0.4,P,,,,,0.26,P
2023-12-08 00:00:00+00:00,9.2,P,14162500,9030.0,P,42.0,P,12.1,P,18.83,P,0.4,P,,,,,0.26,P
2023-12-09 00:00:00+00:00,8.8,P,14162500,8280.0,P,43.0,P,12.2,P,16.9,P,0.3,P,,,,,0.24,P
2023-12-10 00:00:00+00:00,9.1,P,14162500,9450.0,P,43.0,P,12.1,P,16.84,P,0.3,P,,,,,0.25,P
2023-12-11 00:00:00+00:00,9.5,P,14162500,12400.0,P,40.0,P,12.1,P,17.84,P,0.4,P,,,,,0.26,P
2023-12-12 00:00:00+00:00,9.1,P,14162500,11100.0,P,41.0,P,12.2,P,15.86,P,0.3,P,,,,,0.23,P
2023-12-13 00:00:00+00:00,8.9,P,14162500,10600.0,P,40.0,P,12.3,P,15.19,P,0.3,P,,,,,0.23,P
2023-12-14 00:00:00+00:00,9.0,P,14162500,9830.0,P,40.0,P,12.3,P,14.27,P,0.3,P,,,,,0.29,P
2023-12-15 00:00:00+00:00,8.6,P,14162500,9450.0,P,41.0,P,12.4,P,13.77,P,0.3,P,,,,,0.23,P
2023-12-16 00:00:00+00:00,8.4,P,14162500,8990.0,P,41.0,P,12.4,P,13.13,P,0.2,P,,,,,0.21,P
2023-12-17 00:00:00+00:00,8.3,P,14162500,8150.0,P,42.0,P,12.3,P,12.94,P,0.2,P,,,,,0.21,P
2023-12-18 00:00:00+00:00,8.6,"P, [4]",14162500,,,43.0,"P, [4]",12.1,"P, [4]",11.72,"P, [4]",0.2,"P, [4]",,,,,0.2,"P, [4]"
