datetime,00010_Mean,00010_Mean_cd,site_no,00060_Mean,00060_Mean_cd,00300_2_Mean,00300_2_Mean_cd
2003-10-01 00:00:00+00:00,14.5,A,14159500,189.0,A,9.3,A
2003-10-02 00:00:00+00:00,14.4,A,14159500,189.0,A,9.3,A
2003-10-03 00:00:00+00:00,14.4,A,14159500,189.0,A,9.3,A
2003-10-04 00:00:00+00:00,14.3,A,14159500,189.0,A,9.2,A
2003-10-05 00:00:00+00:00,14.3,A,14159500,189.0,A,9.3,A
2003-10-06 00:00:00+00:00,14.3,A,14159500,190.0,A,9.3,A
2003-10-07 00:00:00+00:00,14.2,A,14159500,192.0,A,9.3,A
2003-10-08 00:00:00+00:00,13.9,A,14159500,186.0,A,9.3,A
2003-10-09 00:00:00+00:00,13.8,A,14159500,196.0,A,9.4,A
2003-10-10 00:00:00+00:00,13.5,A,14159500,271.0,A,9.5,A
2003-10-11 00:00:00+00:00,13.2,A,14159500,310.0,A,9.6,A
2003-10-12 00:00:00+00:00,13.0,A,14159500,316.0,A,9.8,A
2003-10-13 00:00:00+00:00,12.9,A,14159500,326.0,A,9.8,A
2003-10-14 00:00:00+00:00,12.8,A,14159500,273.0,A,9.7,A
2003-10-15 00:00:00+00:00,12.6,A,14159500,257.0,A,9.7,A
2003-10-16 00:00:00+00:00,12.3,A,14159500,247.0,A,9.7,A
2003-10-17 00:00:00+00:00,12.3,A,14159500,256.0,A,9.7,A
2003-10-18 00:00:00+00:00,12.2,A,14159500,254.0,A,9.7,A
2003-10-19 00:00:00+00:00,12.2,A,14159500,244.0,A,9.7,A
2003-10-20 00:00:00+00:00,12.3,A,14159500,222.0,A,9.8,A
2003-10-21 00:00:00+00:00,12.3,A,14159500,226.0,A,9.7,A
2003-10-22 00:00:00+00:00,12.2,A,14159500,232.0,A,9.7,A
2003-10-23 00:00:00+00:00,12.2,A,14159500,247.0,A,9.8,A
2003-10-24 00:00:00+00:00,12.1,A,14159500,223.0,A,9.8,A
2003-10-25 00:00:00+00:00,11.8,A,14159500,236.0,A,9.9,A
2003-10-26 00:00:00+00:00,11.6,A,14159500,254.0,A,10.0,A
2003-10-27 00:00:00+00:00,11.6,A,14159500,239.0,A,10.0,A
2003-10-28 00:00:00+00:00,11.7,A,14159500,213.0,A,9.9,A
2003-10-29 00:00:00+00:00,11.5,A,14159500,222.0,A,9.8,A
2003-10-30 00:00:00+00:00,11.2,A,14159500,221.0,A,9.9,A
2003-10-31 00:00:00+00:00,10.6,A,14159500,240.0,A,10.1,A
2003-11-01 00:00:00+00:00,10.2,A,14159500,227.0,A,10.2,A
2003-11-02 00:00:00+00:00,9.8,A,14159500,241.0,A,10.2,A
2003-11-03 00:00:00+00:00,9.8,A,14159500,208.0,A,10.4,A
2003-11-04 00:00:00+00:00,9.6,A,14159500,207.0,A,10.5,A
2003-11-05 00:00:00+00:00,9.5,A,14159500,207.0,A,10.5,A
2003-11-06 00:00:00+00:00,9.4,A,14159500,207.0,A,10.5,A
2003-11-07 00:00:00+00:00,9.4,A,14159500,209.0,A,10.5,A
2003-11-08 00:00:00+00:00,9.4,A,14159500,211.0,A,10.4,A
2003-11-09 00:00:00+00:00,9.3,A,14159500,215.0,A,10.5,A
2003-11-10 00:00:00+00:00,9.3,A,14159500,221.0,A,10.5,A
2003-11-11 00:00:00+00:00,9.3,A,14159500,333.0,A,10.7,A
2003-11-12 00:00:00+00:00,9.2,A,14159500,346.0,A,10.7,A
2003-11-13 00:00:00+00:00,9.1,A,14159500,269.0,A,10.5,A
2003-11-14 00:00:00+00:00,8.9,A,14159500,238.0,A,10.6,A
2003-11-15 00:00:00+00:00,8.8,A,14159500,249.0,A,10.6,A
2003-11-16 00:00:00+00:00,8.7,A,14159500,346.0,A,10.6,A
2003-11-17 00:00:00+00:00,8.7,A,14159500,734.0,A,10.9,A
2003-11-18 00:00:00+00:00,8.5,A,14159500,601.0,A,11.0,A
2003-11-19 00:00:00+00:00,8.5,A,14159500,533.0,A,10.9,A
2003-11-20 00:00:00+00:00,8.3,A,14159500,539.0,A,11.0,A
2003-11-21 00:00:00+00:00,7.9,A,14159500,521.0,A,11.2,A
2003-11-22 00:00:00+00:00,7.7,A,14159500,396.0,A,11.3,A
2003-11-23 00:00:00+00:00,7.4,A,14159500,318.0,A,11.3,A
2003-11-24 00:00:00+00:00,7.3,A,14159500,315.0,A,11.3,A
2003-11-25 00:00:00+00:00,7.1,A,14159500,331.0,A,11.3,A
2003-11-26 00:00:00+00:00,7.0,A,14159500,403.0,A,11.5,A
2003-11-27 00:00:00+00:00,6.8,A,14159500,415.0,A,11.6,A
2003-11-28 00:00:00+00:00,6.7,A,14159500,401.0,A,11.6,A
2003-11-29 00:00:00+00:00,6.8,A,14159500,1530.0,A,11.8,A
2003-11-30 00:00:00+00:00,6.5,A,14159500,1890.0,A,12.0,A
2003-12-01 00:00:00+00:00,6.5,A,14159500,1720.0,A,12.0,A
2003-12-02 00:00:00+00:00,6.6,A,14159500,1480.0,A,12.1,A
2003-12-03 00:00:00+00:00,6.6,A,14159500,1360.0,A,12.0,A
2003-12-04 00:00:00+00:00,6.7,A,14159500,1300.0,A,11.8,A
2003-12-05 00:00:00+00:00,6.6,A,14159500,1160.0,A,11.8,A
2003-12-06 00:00:00+00:00,6.8,A,14159500,1470.0,A,11.8,A
2003-12-07 00:00:00+00:00,6.8,A,14159500,1380.0,A,11.8,A
2003-12-08 00:00:00+00:00,6.5,A,14159500,1370.0,A,12.1,A
2003-12-09 00:00:00+00:00,6.3,A,14159500,1240.0,A,12.0,A
2003-12-10 00:00:00+00:00,6.2,A,14159500,1060.0,A,12.0,A
2003-12-11 00:00:00+00:00,6.1,A,14159500,791.0,A,11.9,A
2003-12-12 00:00:00+00:00,6.2,A,14159500,1110.0,A,11.9,A
2003-12-13 00:00:00+00:00,6.6,A,14159500,1160.0,A,11.5,A
2003-12-14 00:00:00+00:00,6.4,A,14159500,1950.0,A,11.8,A
2003-12-15 00:00:00+00:00,6.2,A,14159500,2810.0,A,12.3,A
2003-12-16 00:00:00+00:00,6.1,A,14159500,2780.0,A,12.3,A
2003-12-17 00:00:00+00:00,5.8,A,14159500,2680.0,A,12.5,A
2003-12-18 00:00:00+00:00,,,14159500,2610.0,A,,
2003-12-19 00:00:00+00:00,,,14159500,2200.0,"A, e",,
2003-12-20 00:00:00+00:00,5.6,A,14159500,2130.0,A,,
2003-12-21 00:00:00+00:00,5.7,A,14159500,2060.0,A,,
2003-12-22 00:00:00+00:00,5.9,A,14159500,1570.0,A,,
2003-12-23 00:00:00+00:00,5.8,A,14159500,1140.0,A,,
2003-12-24 00:00:00+00:00,5.8,A,14159500,898.0,A,11.9,A
2003-12-25 00:00:00+00:00,5.8,A,14159500,1300.0,A,12.2,A
2003-12-26 00:00:00+00:00,5.8,A,14159500,1060.0,A,12.2,A
2003-12-27 00:00:00+00:00,5.4,A,14159500,1060.0,A,12.4,A
2003-12-28 00:00:00+00:00,5.3,A,14159500,938.0,A,12.3,A
2003-12-29 00:00:00+00:00,5.0,A,14159500,1100.0,A,12.4,A
2003-12-30 00:00:00+00:00,5.0,A,14159500,1160.0,A,12.5,A
2003-12-31 00:00:00+00:00,4.7,A,14159500,905.0,A,12.4,A
2004-01-01 00:00:00+00:00,4.6,A,14159500,663.0,A,12.2,A
2004-01-02 00:00:00+00:00,4.7,A,14159500,744.0,A,12.4,A
2004-01-03 00:00:00+00:00,4.6,A,14159500,828.0,A,12.6,A
2004-01-04 00:00:00+00:00,4.4,A,14159500,679.0,A,12.6,A
2004-01-05 00:00:00+00:00,4.2,A,14159500,468.0,A,12.7,A
2004-01-06 00:00:00+00:00,4.2,A,14159500,496.0,A,12.6,A
2004-01-07 00:00:00+00:00,4.2,A,14159500,900.0,A,12.6,A
2004-01-08 00:00:00+00:00,4.2,A,14159500,1240.0,A,12.9,A
2004-01-09 00:00:00+00:00,4.2,A,14159500,1330.0,A,12.9,A
2004-01-10 00:00:00+00:00,4.3,A,14159500,1600.0,A,13.0,A
2004-01-11 00:00:00+00:00,4.4,A,14159500,1600.0,A,12.9,A
2004-01-12 00:00:00+00:00,4.6,A,14159500,1590.0,A,12.8,A
2004-01-13 00:00:00+00:00,4.8,A,14159500,1590.0,A,12.8,A
2004-01-14 00:00:00+00:00,4.9,A,14159500,1660.0,A,12.7,A
2004-01-15 00:00:00+00:00,5.0,A,14159500,1920.0,A,12.7,A
2004-01-16 00:00:00+00:00,5.2,A,14159500,1860.0,A,12.6,A
2004-01-17 00:00:00+00:00,5.2,A,14159500,1510.0,A,12.6,A
2004-01-18 00:00:00+00:00,5.2,A,14159500,1320.0,A,12.5,A
2004-01-19 00:00:00+00:00,5.4,A,14159500,1350.0,A,12.5,A
2004-01-20 00:00:00+00:00,5.4,A,14159500,1490.0,A,12.5,A
2004-01-21 00:00:00+00:00,5.4,A,14159500,1480.0,A,12.6,A
2004-01-22 00:00:00+00:00,5.4,A,14159500,1240.0,A,12.5,A
